implementation_event_id,municipality,state,region,latitude,longitude,compensation_cycle_id,period_start,period_end,mechanism_class,mechanism_subtype,side,beneficiary_unit,implementation_status,pressure_direction,recurring_or_one_time,compensation_type,pay_basis,source_count,evidence_span_count,corroborating_source_count,strongest_evidence_excerpt,human_readable_citation,implementation_confidence,claim_use_status,urbanicity_status,technical_lineage
IMPEVT-07bfe424d3b14183fe4f3cac,Chignik,AK,West,,,undated-source-B4X2500LIVE-20260729-009821,,,retroactivity_implementation,mechanism_only,unclear,unclear,formally_adopted,unclear,not_applicable,mechanism_only,unknown,1,1,0,An ordinance which has been approved by the city council shall be effective 24 hours after adoption.,"Chignik, AK, Civil-Service Or Hr Pay Plan, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-62ab03d4a876b33b63946265""]"
IMPEVT-6d78fb38a339720ca7e1afd0,Chuathbaluk,AK,West,,,undated-source-B4X2500LIVE-20260729-004780,,,across_the_board_raise,across_the_board_raise,unclear,unclear,implemented,unclear,percentage_adjustment,across_the_board_raise,unknown,1,3,0,Each member of the council shall receive compensation at the rate of ($20) dollars for each,"Chuathbaluk, AK, Wage Schedule, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
IMPEVT-d5ad1bbc0818eeeb86a47f20,Chuathbaluk,AK,West,,,undated-source-B4X2500LIVE-20260729-004780,,,budget_pay_plan,step_progression,unclear,unclear,formally_adopted,upward,scheduled_step,step_progression,annual_salary,1,1,0,"increase to the next step in the salary schedule adopted by the City Council, if city finances allow.","Chuathbaluk, AK, Wage Schedule, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
IMPEVT-e5bebb842d55a26f391d6f20,Chuathbaluk,AK,West,,,undated-source-B4X2500LIVE-20260729-004780,,,retroactivity_implementation,retroactive_pay,unclear,unclear,implemented,upward,retroactive_back_pay,retroactive_pay,unknown,1,1,0,"the probationary period an employee begins to accrue leave, retroactive to the date","Chuathbaluk, AK, Wage Schedule, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
IMPEVT-7d89b462bef702ba67ed3206,Cold Bay,AK,West,,,2015,2015,2015,across_the_board_raise,across_the_board_raise,unclear,unclear,implemented,unclear,percentage_adjustment,across_the_board_raise,unknown,1,1,0,"The Mayor of the City shall receive compensation at the rate of $1,500.00 per","Cold Bay, AK, Personnel Policy, 2015.",high,implementation_event_ready,missing_not_validated,"[""WCM-9a0f795650d7dbf24838460a""]"
IMPEVT-83522275162c0ab98a254859,Egegik,AK,West,,,undated-source-B4X2500LIVE-20260729-009822,,,retroactivity_implementation,retroactive_pay,unclear,unclear,implemented,upward,retroactive_back_pay,retroactive_pay,unknown,1,4,0,"days, retroactive to the first day of delinquency.","Egegik, AK, Wage Schedule, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
IMPEVT-cbe175c67b94079889f75f54,Newhalen,AK,West,,,2020,2020,2020,across_the_board_raise,across_the_board_raise,unclear,unclear,implemented,unclear,percentage_adjustment,across_the_board_raise,hourly,1,2,0,The operator shall receive $10 per hour to maintain the city water and sewer system.,"Newhalen, AK, Budget Or Pay Plan, 2020.",high,implementation_event_ready,missing_not_validated,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
IMPEVT-cb967b66b133c71114071245,Togiak,AK,West,,,undated-source-CBSRD-20260728-6dbe81366092e535caca,,,retroactivity_implementation,mechanism_only,unclear,unclear,formally_adopted,unclear,not_applicable,mechanism_only,unknown,1,1,0,,"Togiak, AK, Arbitration Award, period not explicit.",low,implementation_event_ready,missing_not_validated,"[""WCM-9dbe287ee1b1418399a47b2c""]"
IMPEVT-68793e521d7103d1b0a1713e,Whale Pass,AK,West,,,undated-source-B4X2500LIVE-20260729-002312,,,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,2,0,"hardships the Alaska Legislature amended the Title 29, effective January 1, 1986, and","Whale Pass, AK, Personnel Policy, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
IMPEVT-27b66460969c33b75539eaea,Ashland,AL,South,,,2017,2017,2017,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,3,0,"Records Manager/ Communications Supervisor effective November 01, 2017.","Ashland, AL, Council Packet Or Minutes, 2017.",high,implementation_event_ready,missing_not_validated,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]"
