hex_cell_id,geography_panel,mechanism_view_name,safety_event_count,non_safety_event_count,event_count_difference,interpretation_guard
ALASKA_INSET-cog_2025_160773,alaska_inset,compensation_outcome:retroactive_pay,1,0,1,event-count difference; not prevalence difference
ALASKA_INSET-cog_2025_160773,alaska_inset,compensation_outcome:stipend_or_premium,1,0,1,event-count difference; not prevalence difference
ALASKA_INSET-cog_2025_160773,alaska_inset,institutional_channel:none_identified,1,0,1,event-count difference; not prevalence difference
ALASKA_INSET-cog_2025_160773,alaska_inset,pressure_channel:none_identified,1,0,1,event-count difference; not prevalence difference
ALASKA_INSET-cog_2025_160773,alaska_inset,timing_implementation:payroll_effective_date,1,0,1,event-count difference; not prevalence difference
ALASKA_INSET-cog_2025_160773,alaska_inset,timing_implementation:recurring,1,0,1,event-count difference; not prevalence difference
ALASKA_INSET-cog_2025_160773,alaska_inset,timing_implementation:retroactive,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,compensation_outcome:retroactive_pay,2,0,2,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,compensation_outcome:step_progression,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,institutional_channel:none_identified,2,0,2,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,pressure_channel:none_identified,2,0,2,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,timing_implementation:one_time,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,timing_implementation:payroll_effective_date,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,timing_implementation:recurring,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00009,lower_48,timing_implementation:retroactive,2,0,2,event-count difference; not prevalence difference
CONUS50-+00000-+00013,lower_48,compensation_outcome:no_direct_compensation_outcome,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00013,lower_48,institutional_channel:budget_pay_plan_process,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00013,lower_48,pressure_channel:fiscal_constraint,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00013,lower_48,timing_implementation:payroll_effective_date,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,compensation_outcome:across_the_board_raise,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,compensation_outcome:retroactive_pay,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,institutional_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,pressure_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,timing_implementation:payroll_effective_date,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,timing_implementation:recurring,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00015,lower_48,timing_implementation:retroactive,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00021,lower_48,compensation_outcome:across_the_board_raise,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00021,lower_48,compensation_outcome:classification_band_change,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00021,lower_48,institutional_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00021,lower_48,pressure_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00021,lower_48,timing_implementation:unclear,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00025,lower_48,compensation_outcome:retroactive_pay,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00025,lower_48,institutional_channel:ordinance_council_adoption,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00025,lower_48,pressure_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00025,lower_48,timing_implementation:ordinance_adoption,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00025,lower_48,timing_implementation:payroll_effective_date,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00025,lower_48,timing_implementation:retroactive,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00026,lower_48,compensation_outcome:non_base_compensation_other,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00026,lower_48,institutional_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00026,lower_48,pressure_channel:none_identified,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00026,lower_48,timing_implementation:payroll_effective_date,1,0,1,event-count difference; not prevalence difference
CONUS50-+00000-+00027,lower_48,compensation_outcome:non_base_compensation_other,1,0,1,event-count difference; not prevalence difference
