implementation_event_id,municipality,state,original_side,repaired_side,side_confidence,side_repair_reason,bounded_side_evidence,technical_lineage
IMPEVT-07bfe424d3b14183fe4f3cac,Chignik,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"an ordinance which has been approved by the city council shall be effective 24 hours after adoption. chignik, ak, civil-service or hr pay plan, period not explicit. unclear","[""WCM-62ab03d4a876b33b63946265""]"
IMPEVT-6d78fb38a339720ca7e1afd0,Chuathbaluk,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"each member of the council shall receive compensation at the rate of ($20) dollars for each chuathbaluk, ak, wage schedule, period not explicit. unclear","[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
IMPEVT-d5ad1bbc0818eeeb86a47f20,Chuathbaluk,AK,unclear,side_independent,low,citywide or public-body mechanism lacks employee-side specificity,"increase to the next step in the salary schedule adopted by the city council, if city finances allow. chuathbaluk, ak, wage schedule, period not explicit. unclear","[""WCM-49e4d62cc2ddfff18fc7c878""]"
IMPEVT-e5bebb842d55a26f391d6f20,Chuathbaluk,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"the probationary period an employee begins to accrue leave, retroactive to the date chuathbaluk, ak, wage schedule, period not explicit. unclear","[""WCM-9e57bf8b4bc13bc4750478c9""]"
IMPEVT-7d89b462bef702ba67ed3206,Cold Bay,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"the mayor of the city shall receive compensation at the rate of $1,500.00 per cold bay, ak, personnel policy, 2015. unclear","[""WCM-9a0f795650d7dbf24838460a""]"
IMPEVT-83522275162c0ab98a254859,Egegik,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"days, retroactive to the first day of delinquency. egegik, ak, wage schedule, period not explicit. unclear","[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
IMPEVT-cbe175c67b94079889f75f54,Newhalen,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"the operator shall receive $10 per hour to maintain the city water and sewer system. newhalen, ak, budget or pay plan, 2020. unclear","[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
IMPEVT-cb967b66b133c71114071245,Togiak,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"togiak, ak, arbitration award, period not explicit. unclear","[""WCM-9dbe287ee1b1418399a47b2c""]"
IMPEVT-68793e521d7103d1b0a1713e,Whale Pass,AK,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"hardships the alaska legislature amended the title 29, effective january 1, 1986, and whale pass, ak, personnel policy, period not explicit. unclear","[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
IMPEVT-27b66460969c33b75539eaea,Ashland,AL,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"records manager/ communications supervisor effective november 01, 2017. ashland, al, council packet or minutes, 2017. unclear","[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]"
IMPEVT-6212a7e7f72e4fe92acfd82c,Brundidge,AL,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"employees to tier i status effective october 1, 2025. brundidge, al, council packet or minutes, 2025. unclear","[""WCM-20a631d9c0de37aed4d0904a""]"
IMPEVT-553f16535e8c0b7bf9887e05,Graysville,AL,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"this resolution shall become effective on november 7, 2016. graysville, al, wage schedule, 2016. unclear","[""WCM-a47e2950de5a3ecce227a477""]"
IMPEVT-1470a5b10fe6c225cb2fac05,Loachapoka,AL,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"a 5.75% cost of living adjustment effective october 8, 2022 for all eligible county employees. loachapoka, al, council packet or minutes, 2022. unclear","[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]"
IMPEVT-7889d35ec490944699b69ade,Stevenson,AL,unclear,side_independent,low,citywide or public-body mechanism lacks employee-side specificity,"exceed the amount approved by city council. city council must approve rates higher than the state per diem. stevenson, al, budget or pay plan, period not explicit. unclear","[""WCM-02da8c0126a8a8ca4b0a9cca""]"
IMPEVT-7174c7896e0bf5d281a4b484,Valley Grande,AL,unclear,remains_unclear,low,bounded corpus context does not identify an employee side,"this resolution shall become effective november 2, 2020. valley grande, al, wage schedule, 2020. unclear","[""WCM-a70c297ef779576e63ac7009""]"
