selection_id,claim_id,claim_section,municipality,state,evidence_excerpt,excerpt_word_count,excerpt_context_type,operative_language_flag,proposal_language_flag,adoption_language_flag,implementation_language_flag,payment_or_effect_flag,excerpt_confidence,excerpt_limitations,mechanism,implementation_status,pressure_direction,beneficiary,why_this_supports_mechanism,how_it_fits_claim,human_readable_citation,citation_id,technical_lineage_id,what_happened,mechanism_explanation,how_mechanism_works,pressure_direction_explanation,beneficiary_explanation,evidence_support_explanation,safety_wage_growth_fit,example_specific_limitation,semantic_fit_class
REPORT-CLAIM-A-01,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",Harrison,OH,Section 2.5 Bargaining unit members shall receive a three (3) percent lump sum payment equal to their base annual salary at the time of payment. This payment shall be made November 5. 2021 (pay period 22).,38,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",collective_bargaining,implemented,upward,police,The bounded language directly documents collective bargaining for the named unit or public body.,supports,"Harrison, Ohio, Memorandum of Understanding (wage re-opener) between the City of Harrison and the Fraternal Order of Police, Ohio Labor Council, Inc. (Police Sergeants and Lieutenants), memorandum of understanding, 2021, § Section 2.4 Employees shall receive pay bi-weekly. The City shall pay by direct deposit.",CITE-e343703e6b582295c992d837,WCM-20b28280dbc27a559ca3accd,"For Harrison, the excerpt sets an operative term: Section 2.5 Bargaining unit members shall receive a three (3) percent lump sum payment equal to their base annual salary at the.",collective bargaining,a negotiated agreement transmits bargaining into a written compensation term,"Upward: the lump-sum payment adds to, raises, or preserves employee compensation.",The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,The words “Section 2.5 Bargaining unit members shall receive a three (3) percent lump sum payment equal to their base annual salary at the” identify the concrete lump-sum payment; they show how a negotiated agreement transmits bargaining into a written compensation term.,Supports: this is operative upward-pressure evidence for a safety unit and therefore illustrates one pathway by which safety pay can grow.,"This Harrison example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as implemented.",supports
REPORT-CLAIM-A-02,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",Olive,NY,"procedure of the Taylor Law shall apply (e.g., mediation and interest arbitration). 3.1.2 Application of Collective Bargaining Agreement: This Collective Bargaining Agreement shall apply to the bargaining unit as de ned in 3.1.1 above.",34,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,interest_arbitration,negotiated_term,mixed,police,The bounded language directly documents interest arbitration for the named unit or public body.,complicates,"Olive, New York, Collective Bargaining Agreement (Olive Police Benevolent Association) 2024-2026, collective bargaining agreement, 2024.",CITE-ce0279e8cf2d5095ce730404,WCM-3140e457a07cd6f05de6770c,"For Olive, the excerpt states a negotiated term: procedure of the Taylor Law shall apply (e.g., mediation and interest arbitration). 3.1.2 Application of Collective Bargaining Agreement: This Collective Bargaining Agreement.",interest arbitration,a wage-setting neutral can select or impose compensation terms when bargaining does not settle them,Mixed: the process can generate higher or lower terms; this excerpt documents one bounded outcome without establishing its net effect across workers.,The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “procedure of the Taylor Law shall apply (e.g., mediation and interest arbitration). 3.1.2 Application of Collective Bargaining Agreement: This Collective Bargaining Agreement” identify the concrete compensation term; they show how a wage-setting neutral can select or impose compensation terms when bargaining does not settle them.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Olive example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
REPORT-CLAIM-A-03,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",Orchard Park,NY,"Section 13: No Strike. The Association hereby confirms its position under the Civil Service Law, Article 14, whereby it does not assert the right to strike against any government, to assist or participate in any such strike or form of strike, or to impose an obligation upon its members to conduct, assist or participate in any such strike. S",59,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,strike_no_strike_dispute_process,negotiated_term,neutral_or_procedural,police,The bounded language directly documents strike no strike dispute process for the named unit or public body.,partially supports,"Orchard Park, New York, Orchard Park Police Benevolent Association, Inc. Collective Bargaining Agreement (Duration section states effective dates), wage schedule, 2018, § Section 1.2: Certification. Subject to the provisions of the Public.",CITE-e238b7eae5d6162b1171ad41,WCM-003339a869c96f5aa7faaf91,"For Orchard Park, the excerpt states a negotiated term: Section 13: No Strike. The Association hereby confirms its position under the Civil Service Law, Article 14, whereby it does not assert.",strike no strike dispute process,the operative language connects an institutional decision to a defined compensation rule or payment,Neutral/procedural: the clause structures decision-making but does not itself establish a higher payment.,The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “Section 13: No Strike. The Association hereby confirms its position under the Civil Service Law, Article 14, whereby it does not assert” identify the concrete compensation term; they show how the operative language connects an institutional decision to a defined compensation rule or payment.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Orchard Park example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
REPORT-CLAIM-A-04,CLAIM-A,"Claim 1: Bargaining, Arbitration, and Factfinding",Bloomfield charter,MI,"ARTICLE XXIX - NO STRIKE - NO LOCK OUT Under no circumstances will the Union cause or authorize or permit its members to cause, nor will any member of the bargaining unit take part in any strike, sit-down, stay-in or slowdown or any violation of any State law. In the event of a work stoppage or other curtailment, the Union shall immediately instruct the in",65,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,strike_no_strike_dispute_process,negotiated_term,neutral_or_procedural,police,The bounded language directly documents strike no strike dispute process for the named unit or public body.,partially supports,"Bloomfield charter, Michigan, Police Officers Labor Council (POLC) Contract - January 1, 2026 to December 31, 2028 (signed with attachments), collective bargaining agreement, 2026.",CITE-aec512b2b7a651aa086b1ae9,WCM-01523ce2a91d89f1a2f6313e,"For Bloomfield charter, the excerpt states a negotiated term: ARTICLE XXIX - NO STRIKE - NO LOCK OUT Under no circumstances will the Union cause or authorize or permit its members.",strike no strike dispute process,the operative language connects an institutional decision to a defined compensation rule or payment,Neutral/procedural: the clause structures decision-making but does not itself establish a higher payment.,The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,The words “ARTICLE XXIX - NO STRIKE - NO LOCK OUT Under no circumstances will the Union cause or authorize or permit its members” identify the concrete compensation term; they show how the operative language connects an institutional decision to a defined compensation rule or payment.,"Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Bloomfield charter example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
REPORT-CLAIM-B-01,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,Union Gap,WA,"AN ORDINANCE authorizing a 5.0% increase in the salaries and wages for the City Manager, Director of Public Works and Community Development, Civil Engineer, Director of Finance and Administration, Police Chief, and the Police Lieutenant.",35,bounded_extracted_text_context,true,false,true,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",cola_cpi_indexing,formally_adopted,upward,police,The bounded language directly documents cola cpi indexing for the named unit or public body.,supports,"Union Gap, Washington, Union Gap City Council Packet (contains ratification of Union Gap Police Officers’ Association 2022-2024 Collective Bargaining Agreement), council packet or minutes, 2022, § ORDINANCE NO..",CITE-85d1175f2dd132dfa97af637,WCM-476f2d9a5900e2036e6978de,"For Union Gap, the excerpt records formal adoption: AN ORDINANCE authorizing a 5.0% increase in the salaries and wages for the City Manager, Director of Public Works and Community Development.",cola cpi indexing,the formula links pay to an inflation measure or stated cost-of-living adjustment,"Upward: the percentage pay adjustment adds to, raises, or preserves employee compensation.",The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “AN ORDINANCE authorizing a 5.0% increase in the salaries and wages for the City Manager, Director of Public Works and Community Development” identify the concrete percentage pay adjustment; they show how the formula links pay to an inflation measure or stated cost-of-living adjustment.",Supports: this is operative upward-pressure evidence for a safety unit and therefore illustrates one pathway by which safety pay can grow.,"This Union Gap example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as formally adopted.",supports
REPORT-CLAIM-B-02,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,Bruceville-Eddy,TX,most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for our Public Works Department to be in better alignment with market offerings.,34,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",cola_cpi_indexing,unclear_status,upward,non_safety,The bounded language directly documents cola cpi indexing for the named unit or public body.,insufficient,"Bruceville-Eddy, Texas, Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item), budget or pay plan, 2025.",CITE-60cde9d2cd7164687d8cc0ca,WCM-32ae0dd7404b0c8533e9afea,"For Bruceville-Eddy, the excerpt documents a term whose implementation status remains limited: most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for.",cola cpi indexing,the formula links pay to an inflation measure or stated cost-of-living adjustment,"Upward: the COLA or indexing rule adds to, raises, or preserves employee compensation.",The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,The words “most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for” identify the concrete COLA or indexing rule; they show how the formula links pay to an inflation measure or stated cost-of-living adjustment.,"Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Bruceville-Eddy example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-B-03,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,Wellsville,NY,"Time Period STEP 1 STEP 2 STEP 3 STEP 4 STEP 5 STEP 6 June 1, 2015 to May 31, 2016, hired before June 1, 2010 $18.21 $18.68 $19.18 $19.67 $20.20 $20.77 June 1, 2015 to May 31, 2016, hired after June 1, 2010 $16.51 $16.98 $17.48 $17.97 $18.50 $19.07",50,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,step_schedule_seniority,negotiated_term,upward,police,The bounded language directly documents step schedule seniority for the named unit or public body.,supports,"Wellsville, New York, Agreement Between the Village of Wellsville, New York State Council 66, Local 2574C (Police Department / Dispatchers & Communication Technicians), collective bargaining agreement, 2015, § APPENDIX ""G"".",CITE-c994cd78fff3dc5ad9d2d2d4,WCM-00a980f022281945c2af9e9b,"For Wellsville, the excerpt states a negotiated term: Time Period STEP 1 STEP 2 STEP 3 STEP 4 STEP 5 STEP 6 June 1, 2015 to May 31, 2016, hired.",step schedule seniority,"the schedule converts service, step placement, or progression into higher recurring pay","Upward: the step-progression rule adds to, raises, or preserves employee compensation.",The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “Time Period STEP 1 STEP 2 STEP 3 STEP 4 STEP 5 STEP 6 June 1, 2015 to May 31, 2016, hired” identify the concrete step-progression rule; they show how the schedule converts service, step placement, or progression into higher recurring pay.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Wellsville example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
REPORT-CLAIM-B-04,CLAIM-B,Claim 2: Step Schedules and Seniority Progression,Warwick,PA,"This includes 3.25% increase (per Collective Bargaining) in salary for sworn officers plus overtime, training time, court costs and other salary items required by CBA.",25,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",cola_cpi_indexing,unclear_status,upward,police,The bounded language directly documents cola cpi indexing for the named unit or public body.,insufficient,"Warwick, Pennsylvania, 2025 Draft Budget Worksheet (police salaries/wages increase noted as per Collective Bargaining), budget or pay plan, 2025, § 01.410.130 – SALARIES AND WAGES.",CITE-6b53b6704d4343f402a39d54,WCM-47b2faf43bf5c4502a66a7f6,"For Warwick, the excerpt documents a term whose implementation status remains limited: This includes 3.25% increase (per Collective Bargaining) in salary for sworn officers plus overtime, training time, court costs and other salary items.",cola cpi indexing,the formula links pay to an inflation measure or stated cost-of-living adjustment,"Upward: the overtime rule adds to, raises, or preserves employee compensation.",The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “This includes 3.25% increase (per Collective Bargaining) in salary for sworn officers plus overtime, training time, court costs and other salary items” identify the concrete overtime rule; they show how the formula links pay to an inflation measure or stated cost-of-living adjustment.","Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Warwick example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-C-01,CLAIM-C,Claim 3: Non-Base Compensation,Milaca,MN,Health Insurance was 9% increase. Was 15% increase as that is what our agent told us but luckily that came down.,21,bounded_extracted_text_context,false,false,false,false,false,high,The selected span concerns a health-insurance cost increase and does not establish that police employees received implemented non-base compensation; the example is downgraded.,non_base_compensation,unclear_status,upward,unclear,The bounded language directly documents non base compensation for the named unit or public body.,insufficient,"Milaca, Minnesota, Labor Agreement Between City of Milaca, Minnesota and Law Enforcement Labor Services, Inc. (Local #238), collective bargaining agreement.",CITE-be094f3f31251085c70b6c49,WCM-00613e37654f6a99adf1431e,"For Milaca, the excerpt documents a term whose implementation status remains limited: Health Insurance was 9% increase. Was 15% increase as that is what our agent told us but luckily that came down.",non base compensation,"the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term","Upward: the percentage pay adjustment adds to, raises, or preserves employee compensation.",The named beneficiary is unclear; the conclusion is limited to the unit actually named in the excerpt.,"The words “Health Insurance was 9% increase. Was 15% increase as that is what our agent told us but luckily that came down” identify the concrete percentage pay adjustment; they show how the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term.","Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Milaca example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-C-02,CLAIM-C,Claim 3: Non-Base Compensation,Sugarcreek,OH,"accumulated sick leave shall be converted to a lump sum payment at one hundred percent (100%) of its value, payable to the employee's designated beneficiary, or where no beneficiary is designated, to the employee's estate, upon application by the executor of the estate.",43,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,non_base_compensation,negotiated_term,upward,fire,The bounded language directly documents non base compensation for the named unit or public body.,supports,"Sugarcreek, Ohio, Collective Bargaining Agreement — Sugarcreek Township and Sugarcreek Township Professional Firefighters, IAFF, Local 4175, collective bargaining agreement, 2020, § Section 16.6 Death of Employee In the case of the death of an active employee, the employee’s.",CITE-bc9f3b5f89c8958226b0c02e,WCM-011041c42392c701cecb62b5,"For Sugarcreek, the excerpt states a negotiated term: accumulated sick leave shall be converted to a lump sum payment at one hundred percent (100%) of its value, payable to the.",non base compensation,"the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term","Upward: the lump-sum payment adds to, raises, or preserves employee compensation.",The named beneficiary is fire; the conclusion is limited to the unit actually named in the excerpt.,"The words “accumulated sick leave shall be converted to a lump sum payment at one hundred percent (100%) of its value, payable to the” identify the concrete lump-sum payment; they show how the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Sugarcreek example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
