search_target_id,municipality_id,municipality,state,period_start,period_end,period_label,side_scope,department_or_unit_scope,external_data_family,search_priority,expected_claim_upgrade,expected_public_availability,likely_source_families,query_primary,query_repair,linked_root_event_count,linked_mechanism_exposure_event_count,linked_claim_count,linked_external_gap_count,existing_source_reuse_count,compacted_from_raw_target_count,lane_id,lineage_raw_target_ids
EXTSEARCH-537e75ff807ab9f71b83765e,cog_2025_100234,Newhalen,AK,2020,2020,2020,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Newhalen"" ""AK"" ""2020"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Newhalen"" ""AK"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,4,0,6,0,6,external_search_lane_001,EXTTARGET-004b623d5d73bdf3faed2073|EXTTARGET-1fc2226de0cc7fdc982b4311|EXTTARGET-a552deecf5f27a59021f2998|EXTTARGET-c9e890db560219cbf2f570a2|EXTTARGET-d0b4af7979476d71c109baf7|EXTTARGET-eb25f405eb4a2b5f9155f963
EXTSEARCH-86754b1e8dd9873196a07fb2,cog_2025_160951,Hot Springs,AR,2024,2024,2024,non_safety,non_safety,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Hot Springs"" ""AR"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Hot Springs"" ""AR"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,7,0,6,0,6,external_search_lane_001,EXTTARGET-723a6d7b65bf6de0fc4a6c7d|EXTTARGET-a41a9949225c3ef90db9758f|EXTTARGET-d764e51815be81b86233b726|EXTTARGET-e7f62ddb64280b6ae79e8300|EXTTARGET-f955f95ff01b8cee64f1e253|EXTTARGET-fc89c63a59c64c43e636111f
EXTSEARCH-42c6291331c8b2c267217669,cog_2025_100699,Carmel-by-the-Sea,CA,2024,2024,2024,fire|non_safety,fire|non_safety,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Carmel-by-the-Sea"" ""CA"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Carmel-by-the-Sea"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",3,18,0,12,0,18,external_search_lane_001,EXTTARGET-0f36205042afd84d25b64b80|EXTTARGET-0f36205042afd84d25b64b80|EXTTARGET-3596922e2b01ee6d35dfefbb|EXTTARGET-40eaf2a58bafcd6d7e6d47d4|EXTTARGET-40eaf2a58bafcd6d7e6d47d4|EXTTARGET-66dfd95e214f0807998b9adf|EXTTARGET-6de1476563fbcb369116d395|EXTTARGET-aef09272fb4138ea649dd5ee|EXTTARGET-aef09272fb4138ea649dd5ee|EXTTARGET-bf4e40f6a403d885d48b267a|EXTTARGET-bf4e40f6a403d885d48b267a|EXTTARGET-c2c1bc173963a4925dd709aa|EXTTARGET-c2c1bc173963a4925dd709aa|EXTTARGET-c80dd6060019bd6a0ab082f9|EXTTARGET-c80dd6060019bd6a0ab082f9|EXTTARGET-d5816a235a6a982f19e8950c|EXTTARGET-e6d9b31cd0659f0db2bffc13|EXTTARGET-eb8610ef943200b238e70f7e
EXTSEARCH-b43a574a80a079de45e4f09c,cog_2025_123129,Sand City,CA,2020,2020,2020,police,police,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Sand City"" ""CA"" ""2020"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Sand City"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,7,0,6,0,6,external_search_lane_001,EXTTARGET-10a2f2c499482559a71d4e80|EXTTARGET-4cadfef62b67eab55e197034|EXTTARGET-89bc5e54b0a79bb2887fab20|EXTTARGET-9bad6e7bda420c01eb52dba5|EXTTARGET-a80ca911e8d00ee398ed8a68|EXTTARGET-ad5d777d19b9b9c0ccfe158e
EXTSEARCH-4a611d888f573c1ba5fef06c,cog_2025_123129,Sand City,CA,2025,2025,2025,non_safety|police,non_safety|police,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Sand City"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Sand City"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",2,12,0,12,0,12,external_search_lane_001,EXTTARGET-0a2ae3d475183a05cc5b7be9|EXTTARGET-35f3862460a6b24da70efc28|EXTTARGET-46486f20f1ffe1230e3ab6dd|EXTTARGET-549f59f6b86ebf79de1fe8d7|EXTTARGET-5b318cf0062a19eeb0a994bd|EXTTARGET-74d6ba53df860e63022fb0ac|EXTTARGET-a2f4bf12600cb5c01cd56d9e|EXTTARGET-a7cc04b9d7fb10b88bbd0bee|EXTTARGET-afa77906d0927d7beee40362|EXTTARGET-e303c4824f7503e5d9e44b29|EXTTARGET-e852a4a7bc44a518ac78b454|EXTTARGET-fb7f11eccf984d09b174af01
EXTSEARCH-8817d680fe1063b0fcfe77b2,cog_2025_161291,Waterford,CA,2025,2025,2025,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Waterford"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Waterford"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_001,EXTTARGET-27c4e4664d2e9826d442a36a|EXTTARGET-4ba42b30e4e8caf513805ae1|EXTTARGET-5849ac2eadef53092d76ae9c|EXTTARGET-658b3c5bb1cedab1d00f359b|EXTTARGET-d1064d219821e37e96f441f4|EXTTARGET-d7004cc4a75618b2b26efaee
EXTSEARCH-be4a6e29f174152a8d0858bb,cog_2025_184471,Wheatland,CA,2025,2025,2025,non_safety,non_safety,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Wheatland"" ""CA"" ""2025"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Wheatland"" ""CA"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",2,10,0,12,0,12,external_search_lane_001,EXTTARGET-087e9f933264a6a2b43350e8|EXTTARGET-0d360053ec6de12a6f6ae3ff|EXTTARGET-387795f644a450b2b81aa873|EXTTARGET-3a51e923be01e1619a34094d|EXTTARGET-87e1a550061aabd28d4f6cdf|EXTTARGET-a7188df358134a29891d040b|EXTTARGET-c035e36e1294c2bf2d0edce5|EXTTARGET-d5f71b549e3fb3149be95d37|EXTTARGET-d761162b4844a74a2fbf095d|EXTTARGET-dc75f3b88ba4bc45f053000f|EXTTARGET-e7cc614975d712eb1a9469d2|EXTTARGET-f7b278dccea9524ec029db5c
EXTSEARCH-5cba036243bef3b3dc715c87,cog_2025_123758,Mountain Village,CO,2015,2015,2015,police,police,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Mountain Village"" ""CO"" ""2015"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Mountain Village"" ""CO"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",3,15,0,12,0,18,external_search_lane_001,EXTTARGET-038f33baad2a9149b3e7a2b4|EXTTARGET-04511c22af2680ffaec4ce84|EXTTARGET-0917944a2f5366d7ee777e84|EXTTARGET-0d844eb189b216ceb6ce9666|EXTTARGET-0d844eb189b216ceb6ce9666|EXTTARGET-1da01ab7c475f73ef1f664f9|EXTTARGET-1da01ab7c475f73ef1f664f9|EXTTARGET-693b2dcb3421f13fd9856acf|EXTTARGET-693b2dcb3421f13fd9856acf|EXTTARGET-79647703c1b4edcd86eb297c|EXTTARGET-82e4882a01fcabf15b9c85e4|EXTTARGET-82e4882a01fcabf15b9c85e4|EXTTARGET-9b8a0fd05622e1a417ba59cd|EXTTARGET-c8e74e5933cc3326581eab97|EXTTARGET-c8e74e5933cc3326581eab97|EXTTARGET-dc38c0384191aff745169b1b|EXTTARGET-dc38c0384191aff745169b1b|EXTTARGET-f53f7803cd42ebe7c6c9c69f
EXTSEARCH-a3764d2fea626653d2303be1,cog_2025_201504,Yampa,CO,2026,2026,2026,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Yampa"" ""CO"" ""2026"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Yampa"" ""CO"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,5,0,6,0,6,external_search_lane_001,EXTTARGET-1856f28a7bee89b26d340069|EXTTARGET-3e7d6e004bf0e010548e649b|EXTTARGET-555f47aece8d73649fbdb2f8|EXTTARGET-6e7980218e911825e60aa8dc|EXTTARGET-96ad359eed517c16f5565264|EXTTARGET-d0691fbacad26568561082b7
EXTSEARCH-b8c0c3be116a136a8d749ae0,cog_2025_161508,Andover,CT,2024,2024,2024,all_units,all_units,benefits_and_total_compensation|implementation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,Tier 1,"implementation, payroll, workforce, progression, benefit, and staffing gaps linked to this municipality-period action bundle",moderate,official municipal payroll/open data|adopted budget|HR/staffing report|ordinance/resolution|compensation study|benefits schedule,"""Andover"" ""CT"" ""2024"" payroll salaries earnings overtime budget authorized positions vacancies staffing recruitment retention turnover salary step schedule ordinance resolution pay plan pension health contribution compensation study","""Andover"" ""CT"" site:.gov (budget OR payroll OR ""salary schedule"" OR staffing OR vacancies OR ""compensation study"")",1,7,0,6,0,6,external_search_lane_001,EXTTARGET-09b31f344b5625b5e1fa1f95|EXTTARGET-3df8d582be9e170732a5af32|EXTTARGET-500ece32f5abbf5ef89d21b9|EXTTARGET-63b11bee936aef05edc6b414|EXTTARGET-c1a935d869e0f2c8e747a957|EXTTARGET-f45554d5814858a219c77bb9
