fixture_id,failure_mode,expected_result
PF001,exact_input_count_drift,fail_closed
PF002,ambiguous_row_enters_coded_output,fail_closed
PF003,unavailable_row_enters_coded_output,fail_closed
PF004,duplicate_qualitative_observation_id,fail_closed
PF005,span_hash_drift,fail_closed
PF006,span_offset_or_length_drift,fail_closed
PF007,blank_page_pointer,fail_closed
PF008,missing_provenance,fail_closed
PF009,inactive_row_enters_exact_input,fail_closed
PF010,needs_review_marked_limited_eligible,fail_closed
PF011,historical_mixed_marked_active,fail_closed
PF012,mechanism_other_marked_typed_eligible,fail_closed
PF013,missing_detail_marked_typed_eligible,fail_closed
PF014,cycle_flag_without_exact_cycle,fail_closed
PF015,occupation_flag_without_controlled_class,fail_closed
PF016,matched_flag_without_exact_period_match,fail_closed
PF017,primary_flag_without_all_design_gates,fail_closed
PF018,quantitative_lane_enters_qualitative_view,fail_closed
PF019,non_base_lane_enters_qualitative_view,fail_closed
PF020,reference_lane_enters_qualitative_view,fail_closed
PF021,unresolved_conflict_enters_promoted_view,fail_closed
PF022,global_readiness_true,fail_closed
PF023,forbidden_output_boundary,fail_closed
PF024,immutable_input_drift,fail_closed
PF025,partial_checkpoint_claims_complete,fail_closed
PF026,rerun_duplicates_rows,reuse_complete_output_only
PF027,future_prompt_missing_phase_boundary,fail_closed
PF028,relay_missing_required_metadata,fail_closed
PF029,forbidden_full_page_or_raw_payload_field,fail_closed
PF030,scope_count_contradiction,fail_closed
