administrative_source_type,candidate_domain,candidate_id,candidate_relevance_score,candidate_review_bucket,candidate_review_lane_id,candidate_snippet,candidate_title,candidate_url,canonicalized_url,department_scope,discovered_at,expected_claim_upgrade,external_data_family,lane_id,likely_file_type,likely_source_type,linked_candidate_ids,linked_mechanism_exposure_event_ids,linked_root_event_id,metadata_only_review,municipality,official_source_flag,period,primary_external_data_family,prior_compacted_target_id,query_version,raw_target_id,review_confidence,review_id,review_reason,reviewed_at,search_call_id,search_wave,search_wave_provenance,secondary_family_tags,side_scope,source_quality_score,state
other,www.coldbayak.org,RESCAND-0e2a281f5d09e4760bb9fd89,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"I searched for **metadata-only** candidate sources matching your target sequence: - **municipality:** Cold Bay, AK - **period:** 2015 - **side:** unclear - **event:** unclear - **missing field:** pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects (across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record) - **source-family:** municipal official administrative ",,https://www.coldbayak.org/vertical/sites/%7BC66DA3E7-1956-493A-97C4-3E8CDB873D69%7D/uploads/Employee_Handbook.pdf,https://www.coldbayak.org/vertical/sites/%7BC66DA3E7-1956-493A-97C4-3E8CDB873D69%7D/uploads/Employee_Handbook.pdf,unclear,2026-08-05T03:36:04.286126+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_002,pdf,public_source_candidate_unconfirmed,RESCAND-0e2a281f5d09e4760bb9fd89,MECHEXP-32ea23f76b5fdf4586679be7|MECHEXP-7b2ff3db59ec8cf445842d72|MECHEXP-b3c7dbc711453c2cc24310f2|MECHEXP-e379ce5259210cc34d913048,ROOTCOMP-e76ba8adc52be1515bc9c465,true,Cold Bay,unconfirmed,2015,multi_family_administrative_source,EXTSEARCH-831ebc36ce16e5c28c4d7571,wave2_event_specific_v1,EXTTARGET-92ec408a009d82fd0d0ed689,moderate,EXTREVIEW-a5287548b88aefe863f9b40c,document locator with plausible administrative source signal,2026-08-05T03:53:21.885160+00:00,RESCALL-7b653199c6ef9ec8a3ed5906,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,AK
other,www.coldbayak.org,RESCAND-8c6eb92cc5cc77f7fcfd5597,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"I searched for **metadata-only** candidate sources matching your target sequence: - **municipality:** Cold Bay, AK - **period:** 2015 - **side:** unclear - **event:** unclear - **missing field:** pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects (across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record) - **source-family:** municipal official administrative ",,https://www.coldbayak.org/vertical/sites/%7BC66DA3E7-1956-493A-97C4-3E8CDB873D69%7D/uploads/Title_5_City_Departments_Chapter_31_.pdf,https://www.coldbayak.org/vertical/sites/%7BC66DA3E7-1956-493A-97C4-3E8CDB873D69%7D/uploads/Title_5_City_Departments_Chapter_31_.pdf,unclear,2026-08-05T03:36:04.286222+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_002,pdf,public_source_candidate_unconfirmed,RESCAND-8c6eb92cc5cc77f7fcfd5597,MECHEXP-32ea23f76b5fdf4586679be7|MECHEXP-7b2ff3db59ec8cf445842d72|MECHEXP-b3c7dbc711453c2cc24310f2|MECHEXP-e379ce5259210cc34d913048,ROOTCOMP-e76ba8adc52be1515bc9c465,true,Cold Bay,unconfirmed,2015,multi_family_administrative_source,EXTSEARCH-831ebc36ce16e5c28c4d7571,wave2_event_specific_v1,EXTTARGET-92ec408a009d82fd0d0ed689,moderate,EXTREVIEW-287e1bb6f6d36e5bbe171939,document locator with plausible administrative source signal,2026-08-05T03:53:21.885735+00:00,RESCALL-7b653199c6ef9ec8a3ed5906,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,AK
other,www.annualreports.com,RESCAND-e131488f8a624f013db70cca,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"I searched for **metadata-only** candidate sources matching your target sequence: - **municipality:** Cold Bay, AK - **period:** 2015 - **side:** unclear - **event:** unclear - **missing field:** pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects (across_the_board_raise municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record) - **source-family:** municipal official administrative ",,https://www.annualreports.com/HostedData/AnnualReportArchive/h/NYSE_HL_2015.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/h/NYSE_HL_2015.pdf,unclear,2026-08-05T03:36:04.286009+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_002,pdf,public_source_candidate_unconfirmed,RESCAND-e131488f8a624f013db70cca,MECHEXP-32ea23f76b5fdf4586679be7|MECHEXP-7b2ff3db59ec8cf445842d72|MECHEXP-b3c7dbc711453c2cc24310f2|MECHEXP-e379ce5259210cc34d913048,ROOTCOMP-e76ba8adc52be1515bc9c465,true,Cold Bay,unconfirmed,2015,multi_family_administrative_source,EXTSEARCH-831ebc36ce16e5c28c4d7571,wave2_event_specific_v1,EXTTARGET-92ec408a009d82fd0d0ed689,moderate,EXTREVIEW-c2d86b7ca273a940b8b0fb38,document locator with plausible administrative source signal,2026-08-05T03:53:21.886872+00:00,RESCALL-7b653199c6ef9ec8a3ed5906,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,AK
budget,cms8.revize.com,RESCAND-155e21c54947040964f52ab3,unreviewed,low_priority_verification_ready,candidate_review_lane_001,I ran live hosted web search for **metadata-only candidate discovery** using your target shape: - **Municipality:** “Ashland” **AL** - **Period:** **2017** - **Side:** unclear - **Event:** unclear - **Missing field targets:** pension contributions; health-cost shares; leave; premium eligibility & take-up; minimum-staffing overtime effects; retroactivity/implementation - **Source-family target:** municipal payroll / open data; adopted budget; HR report; Census/USDA official municipal administrati,,https://cms8.revize.com/revize/ashland/online%20document%20center/city%20budgets/City%20of%20Ashland%2C%20Kentucky%20Budget%20FY17.pdf,https://cms8.revize.com/revize/ashland/online%20document%20center/city%20budgets/City%20of%20Ashland%2C%20Kentucky%20Budget%20FY17.pdf,unclear,2026-08-05T02:33:09.451366+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,pdf,public_source_candidate_unconfirmed,RESCAND-155e21c54947040964f52ab3,MECHEXP-15b9aa79d012802f03bb9d4e|MECHEXP-3ae4d339d0ddf247a6adec24|MECHEXP-cd212c33e845ed196704ea96|MECHEXP-d3ec01bc44e78675c0dff46d|MECHEXP-edf04f6306e91413d2defb01,ROOTCOMP-619853891ac75c5d60ca57d7,true,Ashland,unconfirmed,2017,multi_family_administrative_source,EXTSEARCH-acd86968aeafb7c8c563977e,wave2_event_specific_v1,EXTTARGET-fb3ff065afe45f31a64b8e17,moderate,EXTREVIEW-9ef35ab39e0104b5dda5eb74,document locator with plausible administrative source signal,2026-08-05T03:53:21.887323+00:00,RESCALL-a79304077611de3b1a975210,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,AL
other,mccmeetingspublic.blob.core.usgovcloudapi.net,RESCAND-af11c32ad26a19c27b33e573,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"## Metadata-only candidate discovery (hosted web search; no URL verification/download) Target: **Brundidge, Alabama** | Period/Event year focus: **2025** | Side: *unclear* | Event type focus: **municipal payroll / open-data, adopted budget, HR report, census/USDA administrative record** | Missing fields to retrieve (if present in metadata): **pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects, retroactivity/implementation** | Source",,https://mccmeetingspublic.blob.core.usgovcloudapi.net/alabastal-meet-a4eb16a79c8a4fd7a7c0844ec092b389/ITEM-Attachment-001-6e8a291b7f00404ba760030d6891415b.pdf,https://mccmeetingspublic.blob.core.usgovcloudapi.net/alabastal-meet-a4eb16a79c8a4fd7a7c0844ec092b389/ITEM-Attachment-001-6e8a291b7f00404ba760030d6891415b.pdf,unclear,2026-08-05T02:52:56.188957+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_001,pdf,public_source_candidate_unconfirmed,RESCAND-af11c32ad26a19c27b33e573,MECHEXP-1ca82045a0c45aa7aaadfa90|MECHEXP-240f50ca2b25f6513ce7d64d|MECHEXP-5ac83264c596e7b931751ab7|MECHEXP-8df093a88d817e99ff0a8b8d|MECHEXP-ef0d4a3d3d7dca7591b55353,ROOTCOMP-4bf8e0842357958edb258979,true,Brundidge,unconfirmed,2025,multi_family_administrative_source,EXTSEARCH-ec5e1c326e90be7534da2f81,wave2_event_specific_v1,EXTTARGET-1e7fe1eefb6396d845618595,moderate,EXTREVIEW-98d733dfdf218e825ab18dfa,document locator with plausible administrative source signal,2026-08-05T03:53:21.893470+00:00,RESCALL-90ff0c9208f138659fffd3ee,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,AL
other,mccmeetingspublic.blob.core.usgovcloudapi.net,RESCAND-ddb0f340b4756f239f8cf16e,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"Metadata-only candidate discovery results (no URL verification or downloads). Target municipality/period/side/event/missing field/source-family interpreted from your string: - **Municipality:** Batesville, AR - **Period:** “undated” source; likely **best-effort cover of recent administrative-record material** surfaced during crawl - **Side:** unclear (candidate set includes both City admin and municipal pension/HR benefit sources) - **Event:** unclear (candidate set includes budgeting/HR/payroll",,https://mccmeetingspublic.blob.core.usgovcloudapi.net/wnnbagoil-meet-817de35f017f44d1a2918dd93612c427/ITEM-Attachment-001-5e27d9272dc94f258b83e85c1c331884.pdf,https://mccmeetingspublic.blob.core.usgovcloudapi.net/wnnbagoil-meet-817de35f017f44d1a2918dd93612c427/ITEM-Attachment-001-5e27d9272dc94f258b83e85c1c331884.pdf,unclear,2026-08-05T02:46:45.498337+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,pdf,public_source_candidate_unconfirmed,RESCAND-ddb0f340b4756f239f8cf16e,MECHEXP-29676d60821df46fb5e613b5|MECHEXP-668feb10a6f93ace893681b8|MECHEXP-a53ad9b68406eb9dc29be5a5|MECHEXP-c7719ce5cc6a515f5532cbad,ROOTCOMP-226c66c47fffae6c84293edf,true,Batesville,unconfirmed,undated-source-CBSRD-20260728-229e87b6cec1a609381b,multi_family_administrative_source,EXTSEARCH-dc461e8c412623ca292acd60,wave2_event_specific_v1,EXTTARGET-42524223f10d8a645541c688,moderate,EXTREVIEW-696c5a73880587786b94f918,document locator with plausible administrative source signal,2026-08-05T03:53:21.895574+00:00,RESCALL-98f1017b64b486c122fe5d9f,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|payroll_and_earnings,unclear,unreviewed,AR
other,www.citybigbearlake.com,RESCAND-6368f591c79c0c7535b51dda,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"I can’t reliably produce the specific **metadata-only candidate list** you’re asking for from just the query phrase (and without “verifying or downloading candidate URLs”), because your target criteria include very specific internal fields: - **municipality:** Big Bear Lake, CA - **period:** 2015 - **side:** non_safety - **event:** pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects, retroactivity_implementation - **missing field:** ",,https://www.citybigbearlake.com/images/DOWNLOADS/CITY_DEPARTMENTS/FINANCE/ANNUAL_COMPREHENSIVE_FINANCIAL_REPORT/2025-annual-comprehensive-financial-report.pdf,https://www.citybigbearlake.com/images/DOWNLOADS/CITY_DEPARTMENTS/FINANCE/ANNUAL_COMPREHENSIVE_FINANCIAL_REPORT/2025-annual-comprehensive-financial-report.pdf,non_safety,2026-08-05T02:54:51.827179+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_004,pdf,public_source_candidate_unconfirmed,RESCAND-6368f591c79c0c7535b51dda,MECHEXP-2051bfbf89176f8998580c85|MECHEXP-3f7a22af76015594ef844cfe|MECHEXP-5a11f265207115aa9640c9ec|MECHEXP-9dadb462340ff8035761e71f|MECHEXP-d6641be1fb50776c9e267817,ROOTCOMP-b486f061948be93581557e31,true,Big Bear Lake,unconfirmed,2015,benefits_and_total_compensation,EXTSEARCH-fdb80511332e593f47ff3a5a,wave2_event_specific_v1,EXTTARGET-7884f838d7d6fd20190ff50a,moderate,EXTREVIEW-97e609e561849ebf82b6aca0,document locator with plausible administrative source signal,2026-08-05T03:53:21.899634+00:00,RESCALL-9fc9198ac8753f8d83f376ca,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation,non_safety,unreviewed,CA
meeting_packet,www.sejpa.org,RESCAND-015e1d1e1386c81e1f99ff1e,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"## Metadata-only candidate discovery (hosted sources; no URL verification/download) Target: **“Colfax” (Municipality), CA (side), 2017 (period), unclear/unclear (event+missing field), pension contributions + health-cost shares + leave + premium eligibility/take-up + minimum-staffing overtime effects + retroactivity/implementation; municipal payroll/open data; adopted budget; HR report; Census/USDA official municipal administrative record; source-family match.”** ### Candidate set (hosted pages/f",,https://www.sejpa.org/images/am_pdf/2017%20October%209%20Agenda%20Complete.pdf,https://www.sejpa.org/images/am_pdf/2017%20October%209%20Agenda%20Complete.pdf,unclear,2026-08-05T03:28:52.542261+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_001,pdf,public_source_candidate_unconfirmed,RESCAND-015e1d1e1386c81e1f99ff1e|RESCAND-71defaa17936035d957accd1,MECHEXP-43b0580ebccb230dc713f294|MECHEXP-4ccd6491bc8a90dad35ef435|MECHEXP-84f85161427df45f1cc796d3|MECHEXP-86ae98d3581c3f958080f033|MECHEXP-9690930c659c6d1c1bb55af9|MECHEXP-adc61d2199766cc196867d08|MECHEXP-ae5f8b4d94c12c7c4aa795bb|MECHEXP-c9f6fffe7c311ba3837ad149|MECHEXP-cb65e452d552937d9326c2ee|MECHEXP-ed71d1fbedf61a55009c59c7,ROOTCOMP-996f0e23007d37af866f6dba|ROOTCOMP-affb0067653778e393d4861e,true,Colfax,unconfirmed,2017,multi_family_administrative_source,EXTSEARCH-5e0aaa2b962308155f8f832c,wave2_event_specific_v1,EXTTARGET-7585640ff5760182e94f084e|EXTTARGET-bd12b7ad62afad21815ae258,moderate,EXTREVIEW-ae0b4f835501eecbb481eda5,document locator with plausible administrative source signal,2026-08-05T03:53:21.911746+00:00,RESCALL-8b66e4f534b6e92f1f09fae8,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,CA
meeting_packet,cdnsm5-hosted.civiclive.com,RESCAND-f35462816ccff9837b8eccb2,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"## Metadata-only candidate discovery targets (live web search; no URL verification/download) ### Municipality: **Colma, CA** ### Period: **2021** ### Side: **unclear** (candidate sources covering both “adopted budget” and “HR/administrative reporting” content) Below are candidate documents/pages that *appear* to match your requested metadata fields: - **pension contributions** - **health-cost shares / premium eligibility and take-up** - **leave** - **minimum-staffing overtime effects** - **retro",,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_10946972/File/City%20Government/City%20Clerk/Agendas/2021/06-29-2021%20Special/6-29-2021%20Special%20Mtg%20Final%20Agenda%20Packet.pdf,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_10946972/File/City%20Government/City%20Clerk/Agendas/2021/06-29-2021%20Special/6-29-2021%20Special%20Mtg%20Final%20Agenda%20Packet.pdf,unclear,2026-08-05T03:30:36.001909+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_001,pdf,public_source_candidate_unconfirmed,RESCAND-f35462816ccff9837b8eccb2,MECHEXP-41f20c2b73d11c535ff73c98|MECHEXP-996665174dcd06dfa3869125|MECHEXP-b711000246e764a19e5119ac|MECHEXP-d90f31d8644497e834c5a871|MECHEXP-e607972ef41701f90d09bd87,ROOTCOMP-aa89db09d179849a9e4e74d6,true,Colma,unconfirmed,2021,multi_family_administrative_source,EXTSEARCH-4a0f56ba5fcd27d0597e47b0,wave2_event_specific_v1,EXTTARGET-bd0c72aea420d5eb5c60ce9d,moderate,EXTREVIEW-cbb3f4242304335f633d0205,document locator with plausible administrative source signal,2026-08-05T03:53:21.923825+00:00,RESCALL-8dc08198bb44857fbe884c4b,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation,unclear,unreviewed,CA
other,d2kbkoa27fdvtw.cloudfront.net,RESCAND-1c9d53b6eed30d2f1c2f50b3,unreviewed,low_priority_verification_ready,candidate_review_lane_001,"I found a few **metadata-only** leads for **Biscayne Park, FL (2014)** that partially align with your requested “municipality / period / side / event / missing field / source-family” targeting (e.g., adopted budget / HR-like compensation & benefits / police pensions-adjacent records). However, I did **not** find (yet) a single, direct Biscayne Park–2014 record that clearly contains all your specific fields together: **police pension contributions, health-cost shares, leave, premium eligibility &",,https://d2kbkoa27fdvtw.cloudfront.net/biscayneparkfl/69d77b0a955b0cd178b31cc0acbcbdd80.pdf,https://d2kbkoa27fdvtw.cloudfront.net/biscayneparkfl/69d77b0a955b0cd178b31cc0acbcbdd80.pdf,police,2026-08-05T02:33:40.764626+00:00,confirms whether negotiated or adopted terms became operative and paid | distinguishes contractual progression from compositional or tenure differences | separates wages from benefits and measures recurring total-compensation effects | upgrades implementation from documented term to paid outcome,benefits_and_total_compensation,residual_search_lane_001,pdf,public_source_candidate_unconfirmed,RESCAND-058bc7c3cf7eef214726b1ff|RESCAND-1c9d53b6eed30d2f1c2f50b3|RESCAND-699eb7d04b19b4a741e18b8f|RESCAND-7b5770f2299e2f04ce290bea|RESCAND-e272b83e68f606fa0a9c4063,MECHEXP-4186a69317f78a896836d78e|MECHEXP-4c4bdb59928cd6bca6de3622|MECHEXP-676893c2edb8f86dac608a4b|MECHEXP-830451f5aeebec0b241f068f|MECHEXP-8b7c4a0e5123587427ced9fd|MECHEXP-8dc25b8c2a8af86bc9960870|MECHEXP-ae697d61dc380f91dda936e0|MECHEXP-ba6611e04682a3a55f8fc914|MECHEXP-be8b115d9b74430b410f40c5|MECHEXP-d624846dd60eb218d5056453,ROOTCOMP-f38b13102a07cce326db092a|ROOTCOMP-fbae2d51501ca53daf5e2466,true,Biscayne Park,unconfirmed,2014,multi_family_administrative_source,EXTSEARCH-2902c0cb10a6ac213b2f0af1,wave2_event_specific_v1,EXTTARGET-490d4ac064bb6cfd95baedb4|EXTTARGET-501667ed20993fcbfa8e9762|EXTTARGET-6039334dc84faf4b8bc0371a|EXTTARGET-886f5356bd4bcde5059936ef|EXTTARGET-a7ef56cdf6b08fbc302ff728,moderate,EXTREVIEW-e253cdf6283b530deeae1a66,document locator with plausible administrative source signal,2026-08-05T03:53:21.945903+00:00,RESCALL-32af88a6354241036ea74591,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation,police,unreviewed,FL
