administrative_source_type,candidate_domain,candidate_id,candidate_relevance_score,candidate_review_bucket,candidate_review_lane_id,candidate_snippet,candidate_title,candidate_url,canonicalized_url,department_scope,discovered_at,expected_claim_upgrade,external_data_family,lane_id,likely_file_type,likely_source_type,linked_candidate_ids,linked_mechanism_exposure_event_ids,linked_root_event_id,metadata_only_review,municipality,official_source_flag,period,primary_external_data_family,prior_compacted_target_id,query_version,raw_target_id,review_confidence,review_id,review_reason,reviewed_at,search_call_id,search_wave,search_wave_provenance,secondary_family_tags,side_scope,source_quality_score,state
other,www.govinfo.gov,RESCAND-adadaf33dc3ae14323e1cb49,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"I ran live hosted web search with your target metadata string: - **Municipality:** “Chuathbaluk” (AK) - **Period/side/event:** “undated-source-B4X2500LIVE-20260729-004780” + “unclear unclear” + topics: pension contributions, health-cost shares, leave, premium eligibility/take-up, minimum-staffing overtime effects, retroactivity/implementation - **Missing field:** not specified (can’t infer which key you want filled) - **Source-family target:** municipal payroll/open data, adopted budget, HR repo",,https://www.govinfo.gov/content/pkg/FR-2024-03-15/pdf/2024-05609.pdf,https://www.govinfo.gov/content/pkg/FR-2024-03-15/pdf/2024-05609.pdf,unclear,2026-08-05T03:35:19.357624+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_003,pdf,official_government_search_result,RESCAND-adadaf33dc3ae14323e1cb49,MECHEXP-11bc678fccdfd3c029869852|MECHEXP-33162c8161292340bd895cd7|MECHEXP-3b30897255b1f9b64c76a966|MECHEXP-52f7f1b7743c4c1a4e21560d|MECHEXP-5b07257bb2b86260ad522462|MECHEXP-6507d9dd2c3e7c8bbb0871eb|MECHEXP-65be90245a8a4e734a461957|MECHEXP-67856a733785676ffeda03b3|MECHEXP-76dc7c73949a5eb2efb74ff8|MECHEXP-889364e73dc1ca117e3e50eb|MECHEXP-8933896c04c74c3f3dc51745|MECHEXP-caaee7e01596c697c83fcec2|MECHEXP-da7f2f68c8a3d62614ae74b5|MECHEXP-dbdb2dec35acc76c517beab3,ROOTCOMP-1270a740fa570d096bb60983|ROOTCOMP-31925e7a7b94d67d6bba46c3|ROOTCOMP-66773447e6a05796c9613a66,true,Chuathbaluk,true,undated-source-B4X2500LIVE-20260729-004780,multi_family_administrative_source,EXTSEARCH-9949e55153c62e871e511a49,wave2_event_specific_v1,EXTTARGET-16a9862ddcd54a2b21d79659,high,EXTREVIEW-b4fd5a516a93a1abcfdc2005,official government locator with administrative document/data signal,2026-08-05T03:53:21.883795+00:00,RESCALL-9c71ad49ace9ea5f97d84283,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,AK
other,www.congress.gov,RESCAND-cb07bca11a395b41c5205441,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"I ran a live, metadata-only web discovery search for **Chuathbaluk, AK** targeting your specified “municipality / period / side / event / missing field / source-family” concepts (municipal payroll/open data, adopted budget, HR report; and also Census/USDA-style official administrative-record families). **Result:** I did **not** find any hosted online municipal administrative record pages or open-data datasets that clearly match the requested structure/fields for **Chuathbaluk (AK)**—specifically",,https://www.congress.gov/117/crec/2021/03/04/CREC-2021-03-04.pdf,https://www.congress.gov/117/crec/2021/03/04/CREC-2021-03-04.pdf,unclear,2026-08-05T03:19:16.708802+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_001,pdf,official_government_search_result,RESCAND-8479548b9b8094b0ab0f8964|RESCAND-cb07bca11a395b41c5205441|RESCAND-dbf507b7c0363871d2383def|RESCAND-e255277ce8e8112c8b71bb8f,MECHEXP-038570e46344acf34f2f549f|MECHEXP-11bc678fccdfd3c029869852|MECHEXP-2ead77f6d068bc7f3358ba43|MECHEXP-2ec3885f9ae9fd3d1f952db4|MECHEXP-33162c8161292340bd895cd7|MECHEXP-385141e9958962a837e1d05b|MECHEXP-3b30897255b1f9b64c76a966|MECHEXP-4ee1e2df2f29805c4ba5177c|MECHEXP-52f7f1b7743c4c1a4e21560d|MECHEXP-53f2452353e7fc1ecb1aefa9|MECHEXP-5b07257bb2b86260ad522462|MECHEXP-61dbebbb9bbaa2ce98936c32|MECHEXP-6507d9dd2c3e7c8bbb0871eb|MECHEXP-65be90245a8a4e734a461957|MECHEXP-67856a733785676ffeda03b3|MECHEXP-756192861174b17fd3165887|MECHEXP-76dc7c73949a5eb2efb74ff8|MECHEXP-82c6745d8484cffacb2be3c2|MECHEXP-889364e73dc1ca117e3e50eb|MECHEXP-8933896c04c74c3f3dc51745|MECHEXP-8de5a281eb579a1bba9d1798|MECHEXP-90a6b5195448468ea78bd83d|MECHEXP-940a85240379774f1bf94b37|MECHEXP-a459d174d01bbb6497948284|MECHEXP-ad317d09d6dc41404b6bdb8a|MECHEXP-ba38075acc0b4e52d73b575e|MECHEXP-c64e5394c50e11a2c77c6b59|MECHEXP-caaee7e01596c697c83fcec2|MECHEXP-da7f2f68c8a3d62614ae74b5|MECHEXP-dbdb2dec35acc76c517beab3|MECHEXP-f4e564b73596f715c384ff1d,ROOTCOMP-1270a740fa570d096bb60983|ROOTCOMP-31925e7a7b94d67d6bba46c3|ROOTCOMP-4175b19a5d0189229fe93ab2|ROOTCOMP-66773447e6a05796c9613a66|ROOTCOMP-c7d34c9d42357ec070ac611b|ROOTCOMP-d7270125af4f5fd9afbbfa1b|ROOTCOMP-dbafe8645f0d936690f5eceb,true,Chuathbaluk,true,undated-source-B4X2500LIVE-20260729-004780,multi_family_administrative_source,EXTSEARCH-9949e55153c62e871e511a49,wave2_event_specific_v1,EXTTARGET-16a9862ddcd54a2b21d79659|EXTTARGET-303463b9a85ef86a5ac5a701|EXTTARGET-b445099a62b87b079cd6a958|EXTTARGET-f0771e306a5e5129ed061451,high,EXTREVIEW-380751904f77ce778270064f,official government locator with administrative document/data signal,2026-08-05T03:53:21.884469+00:00,RESCALL-9c71ad49ace9ea5f97d84283,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,AK
benefits_document,www.personnel.alabama.gov,RESCAND-f3a82d0ab79c1656f8750c29,unreviewed,high_priority_verification_ready,candidate_review_lane_001,I ran live hosted web search for **metadata-only candidate discovery** using your target shape: - **Municipality:** “Ashland” **AL** - **Period:** **2017** - **Side:** unclear - **Event:** unclear - **Missing field targets:** pension contributions; health-cost shares; leave; premium eligibility & take-up; minimum-staffing overtime effects; retroactivity/implementation - **Source-family target:** municipal payroll / open data; adopted budget; HR report; Census/USDA official municipal administrati,,https://www.personnel.alabama.gov/Benefits,https://www.personnel.alabama.gov/Benefits,unclear,2026-08-05T02:33:09.451538+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,web,official_government_search_result,RESCAND-f3a82d0ab79c1656f8750c29,MECHEXP-15b9aa79d012802f03bb9d4e|MECHEXP-3ae4d339d0ddf247a6adec24|MECHEXP-cd212c33e845ed196704ea96|MECHEXP-d3ec01bc44e78675c0dff46d|MECHEXP-edf04f6306e91413d2defb01,ROOTCOMP-619853891ac75c5d60ca57d7,true,Ashland,true,2017,multi_family_administrative_source,EXTSEARCH-acd86968aeafb7c8c563977e,wave2_event_specific_v1,EXTTARGET-fb3ff065afe45f31a64b8e17,high,EXTREVIEW-615a5cb4fff7d36c47cae627,official government locator with administrative document/data signal,2026-08-05T03:53:21.891389+00:00,RESCALL-a79304077611de3b1a975210,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,AL
meeting_packet,www.tallasseeal.gov,RESCAND-748bd7c16544c24188f8cfaa,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"## Metadata-only candidate discovery (hosted web search; no URL verification/download) Target: **Brundidge, Alabama** | Period/Event year focus: **2025** | Side: *unclear* | Event type focus: **municipal payroll / open-data, adopted budget, HR report, census/USDA administrative record** | Missing fields to retrieve (if present in metadata): **pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects, retroactivity/implementation** | Source",,https://www.tallasseeal.gov/council-minutes/council-meeting-minutes-4-28-2026/,https://www.tallasseeal.gov/council-minutes/council-meeting-minutes-4-28-2026,unclear,2026-08-05T02:52:56.188867+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_001,web,official_government_search_result,RESCAND-748bd7c16544c24188f8cfaa,MECHEXP-1ca82045a0c45aa7aaadfa90|MECHEXP-240f50ca2b25f6513ce7d64d|MECHEXP-5ac83264c596e7b931751ab7|MECHEXP-8df093a88d817e99ff0a8b8d|MECHEXP-ef0d4a3d3d7dca7591b55353,ROOTCOMP-4bf8e0842357958edb258979,true,Brundidge,true,2025,multi_family_administrative_source,EXTSEARCH-ec5e1c326e90be7534da2f81,wave2_event_specific_v1,EXTTARGET-1e7fe1eefb6396d845618595,high,EXTREVIEW-af26983ab93b2cbe899c3a1d,official government locator with administrative document/data signal,2026-08-05T03:53:21.892972+00:00,RESCALL-90ff0c9208f138659fffd3ee,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,AL
other,budget.alabama.gov,RESCAND-f26b23f283ea72bd98994b2b,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"## Metadata-only candidate discovery (hosted web search; no URL verification/download) Target: **Brundidge, Alabama** | Period/Event year focus: **2025** | Side: *unclear* | Event type focus: **municipal payroll / open-data, adopted budget, HR report, census/USDA administrative record** | Missing fields to retrieve (if present in metadata): **pension contributions, health-cost shares, leave, premium eligibility & take-up, minimum-staffing overtime effects, retroactivity/implementation** | Source",,https://budget.alabama.gov/wp-content/uploads/2025/05/FY2026-Operations-Plan-Instructions-PS.pdf,https://budget.alabama.gov/wp-content/uploads/2025/05/FY2026-Operations-Plan-Instructions-PS.pdf,unclear,2026-08-05T02:52:56.188466+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_001,pdf,official_government_search_result,RESCAND-f26b23f283ea72bd98994b2b,MECHEXP-1ca82045a0c45aa7aaadfa90|MECHEXP-240f50ca2b25f6513ce7d64d|MECHEXP-5ac83264c596e7b931751ab7|MECHEXP-8df093a88d817e99ff0a8b8d|MECHEXP-ef0d4a3d3d7dca7591b55353,ROOTCOMP-4bf8e0842357958edb258979,true,Brundidge,true,2025,multi_family_administrative_source,EXTSEARCH-ec5e1c326e90be7534da2f81,wave2_event_specific_v1,EXTTARGET-1e7fe1eefb6396d845618595,high,EXTREVIEW-6d33d578447bdebfd76aad4c,official government locator with administrative document/data signal,2026-08-05T03:53:21.894375+00:00,RESCALL-90ff0c9208f138659fffd3ee,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,AL
benefits_document,sas.arkansas.gov,RESCAND-06c7a89b8e239347fdfd620d,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"Metadata-only candidate discovery results (no URL verification or downloads). Target municipality/period/side/event/missing field/source-family interpreted from your string: - **Municipality:** Batesville, AR - **Period:** “undated” source; likely **best-effort cover of recent administrative-record material** surfaced during crawl - **Side:** unclear (candidate set includes both City admin and municipal pension/HR benefit sources) - **Event:** unclear (candidate set includes budgeting/HR/payroll",,https://sas.arkansas.gov/employee-benefits/faq/enrollment-and-eligibility/,https://sas.arkansas.gov/employee-benefits/faq/enrollment-and-eligibility,unclear,2026-08-05T02:46:45.498293+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,web,official_government_search_result,RESCAND-06c7a89b8e239347fdfd620d,MECHEXP-29676d60821df46fb5e613b5|MECHEXP-668feb10a6f93ace893681b8|MECHEXP-a53ad9b68406eb9dc29be5a5|MECHEXP-c7719ce5cc6a515f5532cbad,ROOTCOMP-226c66c47fffae6c84293edf,true,Batesville,true,undated-source-CBSRD-20260728-229e87b6cec1a609381b,multi_family_administrative_source,EXTSEARCH-dc461e8c412623ca292acd60,wave2_event_specific_v1,EXTTARGET-42524223f10d8a645541c688,high,EXTREVIEW-bbc9cec77d067f234fb30eee,official government locator with administrative document/data signal,2026-08-05T03:53:21.894847+00:00,RESCALL-98f1017b64b486c122fe5d9f,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|payroll_and_earnings,unclear,official_domain_metadata,AR
implementation_record,www.cde.ca.gov,RESCAND-04f61b33ce3ce5378c207cea,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"Below are **metadata-only candidate discovery results** for your target pattern: - **Municipality (Biggs, CA)** - **Period (2022)** - **Side (unclear)** - **Event (unclear)** - **Missing field (unclear)** - **Source-family target**: *municipal payroll / open data; adopted budget; HR report; Census/USDA official municipal administrative record* - **Rule honored**: I **did not verify** or **download** candidate URLs—just surfaced likely metadata candidates from live hosted search results. ## Candi",,https://www.cde.ca.gov/fg/fi/ir/disapprovedbdgts.asp,https://www.cde.ca.gov/fg/fi/ir/disapprovedbdgts.asp,unclear,2026-08-05T03:03:41.933134+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,asp,official_government_search_result,RESCAND-04f61b33ce3ce5378c207cea,MECHEXP-13e068d9e454a200413f7f11|MECHEXP-7fd72c706c5af9d55a4aefa0|MECHEXP-9ad3a4044873deb230852a94|MECHEXP-abab6461e52ba0543afd1cd3|MECHEXP-b033189b24061c0ec5c09657|MECHEXP-bf846bd77fa8fb38844dc4ea|MECHEXP-fc11d1ed7da4e8da22443cc3,ROOTCOMP-e3d4b443772a6b6e877e7084,true,Biggs,true,2022,multi_family_administrative_source,EXTSEARCH-02401ed47a97e6fbc1588d1c,wave2_event_specific_v1,EXTTARGET-2b20a710c5ed26b1defd8686,high,EXTREVIEW-a5bfdd94477d44619bf8d4fd,official government locator with administrative document/data signal,2026-08-05T03:53:21.900080+00:00,RESCALL-ae067806b64a2f9e466df71a,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,CA
benefits_document,lakecountyca.gov,RESCAND-2246752144cf7db8c6645051,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"I searched for **metadata-only candidate pages** matching your target fields for: - **Municipality:** “Blue Lake” **CA** - **Period:** **2024** - **Side:** unclear - **Event:** unclear - **Missing field(s):** unclear (you listed multiple payroll/HR/budget concepts) - **Source-family target:** *municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record* - **Do not verify/download candidate URLs** ### Candidate discovery (metadata-only) 1) **Pensio",,https://lakecountyca.gov/1532/Health-Benefits-Information,https://lakecountyca.gov/1532/Health-Benefits-Information,unclear,2026-08-05T02:48:24.021846+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_002,web,official_government_search_result,RESCAND-2246752144cf7db8c6645051,MECHEXP-00ae396ef943de59d3faf371|MECHEXP-0c39a45386a5289b0f40a030|MECHEXP-0ce523323f6062b224354b7e|MECHEXP-0ff2db4b3d227596669648e7|MECHEXP-11da2a673de94c86cc053d92|MECHEXP-23615a3e647d5f0587487740|MECHEXP-53bd2073334da81edd97c527|MECHEXP-745ce8258b517135c3b9d278|MECHEXP-8d81176dfd7fcac8c9390ac8|MECHEXP-b29557b41c98f493cffc204f|MECHEXP-bb4dfd482978295a797f0103|MECHEXP-c87c800c59eeb1bea92f1618|MECHEXP-f995550df0dcbebd95718956,ROOTCOMP-14ae680190ee0550ae9da63b|ROOTCOMP-4d65163d3dc538fb2d9ad50b|ROOTCOMP-509c255348bfda60c75cce3f,true,Blue Lake,true,2024,multi_family_administrative_source,EXTSEARCH-9d3d391f79afcde02e689f18,wave2_event_specific_v1,EXTTARGET-0919614d9996fb3cf3bc10b7,high,EXTREVIEW-6c629d7b2f65d8514103dd9c,official government locator with administrative document/data signal,2026-08-05T03:53:21.901277+00:00,RESCALL-84d315acf5737261d4aa3961,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_domain_metadata,CA
navigation_or_index,www.mvp.usace.army.mil,RESCAND-ebfd2f501e77b82f2c02bc64,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"Candidate discovery results (metadata-only; no candidate URL verification/download), targeting: - **Municipality:** “Blue Lake”, **CA** - **Period:** **2024** - **Side:** unclear - **Event:** unclear - **Missing field:** pension contributions, health-cost shares, leave, premium eligibility/take-up, minimum-staffing overtime effects, retroactivity/implementation - **Source-family:** municipal payroll / open data → adopted budget / HR report / Census- or USDA-adjacent official municipal administra",,https://www.mvp.usace.army.mil/Portals/57/docs/regulatory/approvjds_mn/MVP-2024-00450-JST%2020240422%20AJD.pdf?ver=7acwoiXrk7ZpihLHiySIsA%3D%3D,https://www.mvp.usace.army.mil/Portals/57/docs/regulatory/approvjds_mn/MVP-2024-00450-JST%2020240422%20AJD.pdf?ver=7acwoiXrk7ZpihLHiySIsA%3D%3D,unclear,2026-08-05T03:12:29.202786+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,pdf,public_source_candidate_unconfirmed,RESCAND-ebfd2f501e77b82f2c02bc64,MECHEXP-00ae396ef943de59d3faf371|MECHEXP-0c39a45386a5289b0f40a030|MECHEXP-0ce523323f6062b224354b7e|MECHEXP-0ff2db4b3d227596669648e7|MECHEXP-11da2a673de94c86cc053d92|MECHEXP-23615a3e647d5f0587487740|MECHEXP-53bd2073334da81edd97c527|MECHEXP-745ce8258b517135c3b9d278|MECHEXP-8d81176dfd7fcac8c9390ac8|MECHEXP-b29557b41c98f493cffc204f|MECHEXP-bb4dfd482978295a797f0103|MECHEXP-c87c800c59eeb1bea92f1618|MECHEXP-f995550df0dcbebd95718956,ROOTCOMP-14ae680190ee0550ae9da63b|ROOTCOMP-4d65163d3dc538fb2d9ad50b|ROOTCOMP-509c255348bfda60c75cce3f,true,Blue Lake,unconfirmed,2024,multi_family_administrative_source,EXTSEARCH-9d3d391f79afcde02e689f18,wave2_event_specific_v1,EXTTARGET-0919614d9996fb3cf3bc10b7,high,EXTREVIEW-a9851354f4e777621acd4032,official government locator with administrative document/data signal,2026-08-05T03:53:21.901740+00:00,RESCALL-84d315acf5737261d4aa3961,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unreviewed,CA
media_or_context,www.mountainview.gov,RESCAND-b3328bfa5d5f235ff820da46,unreviewed,high_priority_verification_ready,candidate_review_lane_001,"Metadata-only candidate discovery (no URL verification; no downloads). Target: **Carmel-by-the-Sea, CA; 2024; non_safety; non_safety; pension contributions; health-cost shares; leave; premium eligibility and take-up; minimum-staffing overtime effects retroactivity_implementation; municipal payroll/open data; adopted budget; HR report; Census/USDA official municipal administrative record**. ## Candidate sources (metadata targets) 1) **Municipal adopted budget (FY 2024-25, posted as “Adopted Budge",,https://www.mountainview.gov/Home/Components/News/News/789/284,https://www.mountainview.gov/Home/Components/News/News/789/284,non_safety,2026-08-05T03:34:37.415850+00:00,separates wages from benefits and measures recurring total-compensation effects,benefits_and_total_compensation,residual_search_lane_005,web,official_government_search_result,RESCAND-b3328bfa5d5f235ff820da46,MECHEXP-053fe7712de789a14b9cdbdb|MECHEXP-07e30946fc124ef631287be0|MECHEXP-11147515b78be2dc47176b67|MECHEXP-12ce50933f0c1b28948ed18c|MECHEXP-19040a3496fa101861465fe9|MECHEXP-39c9a613cb19fe40161fa17d|MECHEXP-4dea1dd06e9af3a304878670|MECHEXP-5b7b96b92ed8748b1caee557|MECHEXP-644fa0042332522d86b256de|MECHEXP-82e4a7a655a8605d690ac640|MECHEXP-a18bab5c3cf801aecfb32167|MECHEXP-c03ac126f91d235c8399a06c|MECHEXP-d311a1b9c3c1f09da17bb6db|MECHEXP-dd4321f3d253eb77144ae677|MECHEXP-e7c51a2fba2e45f3fb63e983|MECHEXP-f2c66fed0334dc388611b336|MECHEXP-f3d87ce5044febd6c90f0bfc|MECHEXP-feb0cbcc62d64e134f292bd2,ROOTCOMP-8280ebcc4caf526d373b4a05|ROOTCOMP-ceb4551cd1c7a3529346e5c1|ROOTCOMP-f7c869e33ce2212cae287fd7,true,Carmel-by-the-Sea,true,2024,multi_family_administrative_source,EXTSEARCH-42c6291331c8b2c267217669,wave2_event_specific_v1,EXTTARGET-c2c1bc173963a4925dd709aa,high,EXTREVIEW-2d6b5f80ade516872d804ec7,official government locator with administrative document/data signal,2026-08-05T03:53:21.910494+00:00,RESCALL-41223ecadb97e1c5f9ad290c,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,non_safety,official_domain_metadata,CA
