combined_review_id,source_candidate_id,candidate_origin,original_scout_candidate_id,verification_row_id,lane_id,review_lane_id,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,candidate_quality_tier,verification_status,http_status_code,content_type_header,content_length_header,redirect_count,candidate_review_status,source_review_priority,employer_match_confidence,municipality_match_confidence,unit_or_occupation_confidence,period_or_cycle_confidence,source_family_review_confidence,official_source_confidence,non_cba_diversity_value,matched_safety_non_safety_opportunity_flag,source_review_reason,review_notes,verification_status_preserved,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
CBCR-20260728-04857,B4XPAR-20260727-005290,broad_4x1000_deduped,B4XPAR-20260727-005290,BCV-20260728-02148,verify_lane_002,review_lane_003,IA,Midwest,Clarion,Wright County (19197; primary),"Clarion City Council Meeting (Tuesday, April 6, 2021) — minutes snippet referencing Resolution (21-32) and tentative agreement period with PPME Local 2003",https://7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com/ugd/c21554_a1a97f2b65db4907bcbad62158291ca7.pdf,https://7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com/ugd/c21554_a1a97f2b65db4907bcbad62158291ca7.pdf,7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com,agenda_packet_or_minutes,meeting_minutes,high,,pending_combined_review,verified_reachable,200,application/pdf,71354,0,source_review_ready_medium,medium,high,high,low,high,medium,low,high,false,reachable locator; deterministic metadata score=7; official=low; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-01597,B4XPAR-20260727-001727,broad_4x1000_deduped,B4XPAR-20260727-001727,BCV-20260728-04330,verify_lane_003,review_lane_003,IA,Midwest,Tiffin,Johnson County (19103; primary),Tiffin Special City Council Meeting packet (includes line item: POLICE PROTECTION CONTRACT),https://api.agendas.revize.com/api/meetings/packets/0f4ad34b-7eb4-4460-9415-b1002b495d1a,https://api.agendas.revize.com/api/meetings/packets/0f4ad34b-7eb4-4460-9415-b1002b495d1a,api.agendas.revize.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,application/pdf,823720,0,source_review_ready_medium,medium,high,high,high,medium,medium,low,high,false,reachable locator; deterministic metadata score=6; official=low; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-00001,B4XPAR-20260727-000001,broad_4x1000_deduped,B4XPAR-20260727-000001,BCV-20260728-04561,verify_lane_003,review_lane_003,IA,Midwest,Asbury,Dubuque County (19061; primary),City Council meeting agendas & minutes (Diligent public portal) - search platform for possible labor/pay attachments,https://cityofasbury.community.diligentoneplatform.com/Portal/,https://cityofasbury.community.diligentoneplatform.com/Portal,cityofasbury.community.diligentoneplatform.com,agenda_packet_or_minutes,context_only,high,,pending_combined_review,verified_reachable,200,text/html,34682,0,source_review_ready_medium,medium,high,high,low,low,medium,medium,high,false,reachable locator; deterministic metadata score=7; official=medium; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03234,B4XPAR-20260727-003515,broad_4x1000_deduped,B4XPAR-20260727-003515,BCV-20260728-06759,verify_lane_004,review_lane_003,IA,Midwest,Dyersville,Dubuque County (19061; primary); Delaware County (19055),"Agenda: Dyersville City Council Meeting (Receive & File proposed collective bargaining agreement for patrol officers) — October 21, 2019",https://www.cityofdyersville.com/DocumentCenter/View/10750/October-21-2019,https://cityofdyersville.com/DocumentCenter/View/10750/October-21-2019,cityofdyersville.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,unavailable_404_410,404,text/html,97551,0,defer_unreachable_or_unavailable,none,high,high,low,high,medium,medium,high,false,committed verification metadata reports unavailable; excluded from source-review queue,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04867,B4XPAR-20260727-005301,broad_4x1000_deduped,B4XPAR-20260727-005301,BCV-20260728-02504,verify_lane_002,review_lane_003,IA,Midwest,Harlan,Shelby County (19165; primary),CITY OF HARLAN – Cumulative Minutes 2021 (Council meeting packet; Resolution 2455 set salaries for appointed officers and employees for 2021/22),https://www.cityofharlan.com/vimages/shared/vnews/stories/64c974fe296ed/CummulativeMinutes_2021.pdf,https://cityofharlan.com/vimages/shared/vnews/stories/64c974fe296ed/CummulativeMinutes_2021.pdf,cityofharlan.com,agenda_packet_or_minutes,agenda_cover_sheet,high,non_safety_constraint_signal,pending_combined_review,verified_reachable,200,application/pdf,429259,0,source_review_ready_high,high,high,high,high,high,medium,medium,high,false,reachable locator; deterministic metadata score=8; official=medium; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03253,B4XPAR-20260727-003536,broad_4x1000_deduped,B4XPAR-20260727-003536,BCV-20260728-06884,verify_lane_004,review_lane_003,IA,Midwest,Rock Valley,Sioux County (19167; primary),Council & Minutes (monthly uploaded council minutes PDFs),https://www.cityofrockvalley.com/your-government/council-minutes,https://cityofrockvalley.com/your-government/council-minutes,cityofrockvalley.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,text/html,not_reported,0,source_review_ready_medium,medium,high,high,low,low,medium,medium,high,false,reachable locator; deterministic metadata score=7; official=medium; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04845,B4XPAR-20260727-005277,broad_4x1000_deduped,B4XPAR-20260727-005277,BCV-20260728-07024,verify_lane_004,review_lane_003,IA,Midwest,Anamosa,Jones County (19105; primary),Council Packet (includes Resolution ratifying three-year Police Department collective bargaining tentative agreement with Teamsters Local 238 (Police)),https://cms9files.revize.com/anamosa/041023%20Council%20Packet.pdf,https://cms9files.revize.com/anamosa/041023%20Council%20Packet.pdf,cms9files.revize.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,application/pdf,3940441,0,source_review_ready_medium,medium,medium,medium,high,medium,medium,low,high,false,reachable locator; deterministic metadata score=5; official=low; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04866,B4XPAR-20260727-005300,broad_4x1000_deduped,B4XPAR-20260727-005300,BCV-20260728-01040,verify_lane_001,review_lane_003,IA,Midwest,Grundy Center,Grundy County (19075; primary),Work Session Minutes — Wage surveys and fiscal year 2026 wage increases for city employees,https://grundycenter.com/wp-content/uploads/2025/01/01152025-minutes-work-session.pdf,https://grundycenter.com/wp-content/uploads/2025/01/01152025-minutes-work-session.pdf,grundycenter.com,agenda_packet_or_minutes,meeting_minutes,high,non_safety_constraint_signal;fiscal_constraint_signal,pending_combined_review,verified_reachable,200,application/pdf,60489,0,source_review_ready_medium,medium,high,high,high,high,medium,low,high,false,reachable locator; deterministic metadata score=7; official=low; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-01578,B4XPAR-20260727-001707,broad_4x1000_deduped,B4XPAR-20260727-001707,BCV-20260728-03465,verify_lane_002,review_lane_003,IA,Midwest,Maquoketa,Jackson County (19097; primary); Clinton County (19045),City Council Meeting Agenda (items include employment agreement resolutions for Police Chief and Assistant Police Chief; attached contract update discussed),https://www.maquoketaia.com/AgendaCenter/ViewFile/Item/28?fileID=70,https://maquoketaia.com/AgendaCenter/ViewFile/Item/28,maquoketaia.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,application/pdf,331927,0,source_review_ready_medium,medium,high,high,high,medium,medium,low,high,false,reachable locator; deterministic metadata score=6; official=low; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03242,B4XPAR-20260727-003525,broad_4x1000_deduped,B4XPAR-20260727-003525,BCV-20260728-03540,verify_lane_002,review_lane_003,IA,Midwest,Milford,Dickinson County (19059; primary),"Minutes and Agendas (landing page) - City of Milford, IA",https://milford.ia.us/minutes-and-agendas/,https://milford.ia.us/minutes-and-agendas,milford.ia.us,agenda_packet_or_minutes,index_page,high,,pending_combined_review,verified_reachable,200,text/html,not_reported,0,source_review_ready_high,high,high,high,low,low,medium,high,high,false,reachable locator; deterministic metadata score=8; official=high; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03249,B4XPAR-20260727-003532,broad_4x1000_deduped,B4XPAR-20260727-003532,BCV-20260728-05842,verify_lane_003,review_lane_003,IA,Midwest,Osage,Mitchell County (19131; primary),"City Council Agendas and Minutes — Osage, Iowa (Agendas listing landing page)",https://www.osageia.org/?SEC=8A2E12F8-F49B-4733-9784-F57FA32E437F,https://osageia.org,osageia.org,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,text/html,0,0,source_review_ready_medium,medium,high,high,low,low,medium,medium,high,false,reachable locator; deterministic metadata score=7; official=medium; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-03258,B4XPAR-20260727-003542,broad_4x1000_deduped,B4XPAR-20260727-003542,BCV-20260728-08478,verify_lane_004,review_lane_003,IA,Midwest,Waukon,Allamakee County (19005; primary),Resolution approving Police employee wage increases (City of Waukon ↔ Teamsters Union 238),https://www.waukonstandard.com/articles/2018/06/20/waukon-city-council-approves-three-percent-increase-water-rates-fy%E2%80%9919-discusses,https://waukonstandard.com/articles/2018/06/20/waukon-city-council-approves-three-percent-increase-water-rates-fy%E2%80%9919-discusses,waukonstandard.com,agenda_packet_or_minutes,agenda_cover_sheet,high,,pending_combined_review,verified_reachable,200,text/html,not_reported,0,source_review_ready_medium,medium,high,high,high,medium,medium,low,high,false,reachable locator; deterministic metadata score=6; official=low; source_family=medium,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
