municipality,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
Abbeville,4,4,2,2,0,0,false
Abbotsford,1,0,0,0,0,1,false
Aberdeen,4,1,0,1,0,3,false
Abilene,4,1,0,1,0,3,false
Abingdon,1,0,0,0,0,1,false
Abington,7,3,0,3,0,4,false
Abita Springs,2,2,2,0,0,0,false
Absecon,4,4,4,0,0,0,false
Acton,6,0,0,0,0,6,false
Acworth,5,4,0,1,3,1,false
Ada,5,2,0,2,0,3,false
Adams,3,3,0,2,1,0,false
Addis,4,4,3,1,0,0,false
Addison,1,0,0,0,0,1,false
Adel,2,1,0,1,0,1,false
Afton,2,2,0,2,0,0,false
Agoura Hills,1,1,0,1,0,0,false
Aiken,3,2,0,1,1,1,false
Ainsworth,2,2,1,1,0,0,false
Airmont,1,1,1,0,0,0,false
Airway Heights,2,1,0,1,0,1,false
Akutan,1,1,1,0,0,0,false
Alabaster,1,1,0,1,0,0,false
Alachua,3,2,0,2,0,1,false
Alamo,2,2,1,1,0,0,false
Alamosa,1,1,0,1,0,0,false
Albany,6,0,0,0,0,6,false
Albemarle,3,0,0,0,0,3,false
Alberton,3,3,0,3,0,0,false
Albertville,5,0,0,0,0,5,false
Albia,3,3,2,1,0,0,false
Albion,6,6,0,6,0,0,false
Albuquerque,1,1,1,0,0,0,false
Alburgh,3,3,1,2,0,0,false
Alcester,1,1,1,0,0,0,false
Alcoa,2,1,0,0,1,1,false
Alderson,1,0,0,0,0,1,false
Aleknagik,1,1,1,0,0,0,false
Alexander City,3,0,0,0,0,3,false
Alexandria,1,1,1,0,0,0,false
Algoma,1,1,1,0,0,0,false
Algona,3,1,0,1,0,2,false
Alice,1,1,1,0,0,0,false
Allegan,1,1,1,0,0,0,false
Allendale,2,2,2,0,0,0,false
Allendale charter,2,2,0,2,0,0,false
Allenstown,4,1,1,0,0,3,false
Alliance,3,0,0,0,0,3,false
Alma,4,4,4,0,0,0,false
Alpena,3,3,2,1,0,0,false
Alpharetta,2,2,1,1,0,0,false
Alpine,2,2,1,1,0,0,false
Alsip,5,4,1,3,0,1,false
Altavista,1,1,0,1,0,0,false
Alton,3,3,0,3,0,0,false
Alva,3,3,2,1,0,0,false
Alvin,4,3,3,0,0,1,false
Ambler,1,1,1,0,0,0,false
Ambridge,1,0,0,0,0,1,false
American,1,1,0,1,0,0,false
American Falls,2,2,1,1,0,0,false
Americus,3,2,0,1,1,1,false
Amery,2,2,1,1,0,0,false
Amherst,8,8,7,1,0,0,false
Amite City,3,2,0,2,0,1,false
Amity,4,2,0,2,0,2,false
Amityville,2,1,1,0,0,1,false
Anadarko,2,1,0,1,0,1,false
Anaktuvuk Pass,1,1,1,0,0,0,false
Anamosa,2,2,0,2,0,0,false
Andalusia,1,1,1,0,0,0,false
Anderson,8,7,4,3,0,1,false
Andover,8,2,1,1,0,6,false
Andrews,2,2,0,2,0,0,false
Angel Fire,1,1,0,1,0,0,false
Angier,2,0,0,0,0,2,false
Angleton,2,1,1,0,0,1,false
Angola,2,2,2,0,0,0,false
Angoon,3,3,0,3,0,0,false
Anna,4,1,1,0,0,3,false
Anniston,3,3,0,3,0,0,false
Ansted,2,2,1,1,0,0,false
Anthony,2,2,0,2,0,0,false
Antioch,5,1,1,0,0,4,false
Antwerp,2,2,1,1,0,0,false
Apache Junction,7,1,0,1,0,6,false
Apex,2,0,0,0,0,2,false
Appalachia,1,1,1,0,0,0,false
Apple Creek,1,1,0,1,0,0,false
Appomattox,2,2,2,0,0,0,false
Arab,1,1,0,1,0,0,false
Arcadia,5,5,2,3,0,0,false
Arcanum,2,2,1,1,0,0,false
Archbald,2,0,0,0,0,2,false
Archdale,2,2,2,0,0,0,false
Arco,2,2,1,1,0,0,false
Arden,3,3,1,2,0,0,false
Arden Hills,2,2,2,0,0,0,false
Ardmore,3,2,2,0,0,1,false
Argusville,2,2,1,1,0,0,false
Arkadelphia,1,0,0,0,0,1,false
Arkansas City,4,1,0,1,0,3,false
Arlington,4,4,2,2,0,0,false
Armour,2,1,0,1,0,1,false
Artesia,5,1,0,1,0,4,false
Asbury,2,1,0,1,0,1,false
Asheboro,2,2,0,2,0,0,false
Ashland,9,3,0,3,0,6,false
Ashland City,1,1,1,0,0,0,false
Asotin,1,1,1,0,0,0,false
Aspen,3,1,0,1,0,2,false
Atchison,2,2,0,2,0,0,false
Athena,2,2,2,0,0,0,false
Athens,11,9,4,5,0,2,false
Athol,6,2,2,0,0,4,false
Atkinson,4,2,0,2,0,2,false
Atlanta,1,1,0,0,1,0,false
Atlantic Beach,2,2,2,0,0,0,false
Atoka,3,0,0,0,0,3,false
Atqasuk,1,1,1,0,0,0,false
Attalla,1,1,0,1,0,0,false
Auburn,15,4,2,2,0,11,false
Audubon,3,3,1,2,0,0,false
Augusta,2,2,2,0,0,0,false
Ault,1,0,0,0,0,1,false
Aumsville,2,1,0,1,0,1,false
Aurora,7,3,1,2,0,4,false
Austell,2,2,2,0,0,0,false
Austin,1,1,1,0,0,0,false
Austintown,4,4,3,1,0,0,false
Avenal,5,4,3,1,0,1,false
Avon,4,3,2,1,0,1,false
Avon Park,3,0,0,0,0,3,false
