state,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
AK,82,49,33,15,1,33,false
AL,167,106,51,54,1,61,false
AR,120,78,48,26,4,42,false
AZ,163,91,45,41,5,72,false
CA,416,194,101,89,4,222,false
CO,147,80,36,38,6,67,false
CT,290,128,58,66,4,162,false
DE,61,52,42,10,0,9,false
FL,183,90,33,56,1,93,false
GA,197,135,33,78,24,62,false
IA,171,127,63,64,0,44,false
ID,113,75,42,31,2,38,false
IL,442,273,95,160,18,169,false
IN,208,163,107,54,2,45,false
KS,154,99,55,40,4,55,false
KY,171,113,74,37,2,58,false
LA,154,121,64,51,6,33,false
MA,405,108,67,41,0,297,false
MD,132,76,39,36,1,56,false
ME,189,142,102,39,1,47,false
MI,314,208,65,126,17,106,false
MN,208,156,79,74,3,52,false
MO,195,104,52,50,2,91,false
MS,47,29,9,19,1,18,false
MT,128,96,41,55,0,32,false
NC,203,130,53,76,1,73,false
ND,113,97,40,57,0,16,false
NE,144,102,60,42,0,42,false
NH,220,79,59,20,0,141,false
NJ,297,165,103,58,4,132,false
NM,83,59,30,29,0,24,false
NV,24,17,17,0,0,7,false
NY,261,181,106,72,3,80,false
OH,260,211,128,82,1,49,false
OK,175,105,47,55,3,70,false
OR,155,76,48,28,0,79,false
PA,333,219,79,135,5,114,false
RI,111,66,51,15,0,45,false
SC,132,98,38,58,2,34,false
SD,125,95,48,47,0,30,false
TN,140,97,43,52,2,43,false
TX,284,156,48,102,6,128,false
UT,181,130,99,31,0,51,false
VA,169,98,49,47,2,71,false
VT,155,112,70,39,3,43,false
WA,229,117,63,54,0,112,false
WI,222,159,108,50,1,63,false
WV,108,62,32,29,1,46,false
WY,84,65,31,34,0,19,false
