combined_review_id,source_candidate_id,candidate_origin,original_scout_candidate_id,verification_row_id,lane_id,review_lane_id,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_family_confidence,possible_mechanism_hints,candidate_quality_tier,verification_status,http_status_code,content_type_header,content_length_header,redirect_count,candidate_review_status,source_review_priority,employer_match_confidence,municipality_match_confidence,unit_or_occupation_confidence,period_or_cycle_confidence,source_family_review_confidence,official_source_confidence,non_cba_diversity_value,matched_safety_non_safety_opportunity_flag,source_review_reason,review_notes,verification_status_preserved,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
CBCR-20260728-00938,B4XPAR-20260727-001009,broad_4x1000_deduped,B4XPAR-20260727-001009,BCV-20260728-08193,verify_lane_004,review_lane_001,GA,South,Snellville,Gwinnett County (13135; primary),Notice of Request for Proposals: Classification and Compensation Study and Analysis (RFP #17-08-001) — City of Snellville,https://www.snellville.org/sites/default/files/uploads/administration/bid-docs/rfp-classification-and-compensation-study.pdf,https://snellville.gov/sites/default/files/uploads/administration/bid-docs/rfp-classification-and-compensation-study.pdf,snellville.org,classification_study,memorandum_or_settlement,high,market_or_comparability_pressure;non_safety_constraint_signal,pending_combined_review,duplicate_locator_skipped,200,application/pdf,206233,1,exclude_duplicate_or_prior_seen,none,high,high,low,low,high,medium,high,false,final canonical locator duplicates another reviewed candidate,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-02977,B4XPAR-20260727-003230,broad_4x1000_deduped,B4XPAR-20260727-003230,BCV-20260728-04553,verify_lane_003,review_lane_004,CA,West,Fort Bragg,Mendocino County (06045; primary),"Memorandum of Understanding Between the City of Fort Bragg and the Fort Bragg Employee Organization and Service Employees International Union, Local 1021 — FBEO/SEIU MOU",https://cityfortbragg.legistar.com/View.ashx?G=54A75F51-41E9-47D6-BFF5-6978350C5AE2&GUID=2FE68C90-C24F-47DC-8033-127FB7CDAE63&ID=15172295&M=F,https://cityfortbragg.legistar.com/View.ashx,cityfortbragg.legistar.com,mou_or_memorandum,cba,high,non_safety_constraint_signal,pending_combined_review,duplicate_locator_skipped,200,application/pdf,785808,0,exclude_duplicate_or_prior_seen,none,high,high,high,low,medium,medium,high,false,final canonical locator duplicates another reviewed candidate,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-04893,B4XPAR-20260727-005332,broad_4x1000_deduped,B4XPAR-20260727-005332,,,review_lane_004,IL,Midwest,Franklin Park,Cook County (17031; primary),"Ordinance 1415-G — Collective Bargaining Agreement (Teamsters Local 700) (Exhibit A attached) — covering August 1, 2013 through April 30, 2017",https://www.villageoffranklinpark.com/assets/1/7/Agenda_Items_20141124.pdf,,villageoffranklinpark.com,cba,cba,high,non_safety_constraint_signal,pending_combined_review,wrong_period,,,,,exclude_out_of_scope,none,high,high,medium,high,high,medium,low,false,committed prior verification lineage reports wrong period,already_present_in_prior_verification_results; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-05282,B4XPAR-20260727-005763,broad_4x1000_deduped,B4XPAR-20260727-005763,,,review_lane_004,CT,Northeast,Ellington,Capitol Planning Region (09110; primary),"Agreement between the Town of Ellington and the Ellington Public Works Department and Custodians (Local 1303-009 of Council 4 AFSCME, AFL-CIO)",https://www.ellington-ct.gov/fs/resource-manager/view/4154b19e-2bfa-453e-8b19-222535120459,,ellington-ct.gov,cba,cba,high,non_safety_constraint_signal,pending_combined_review,wrong_period,,,,,exclude_out_of_scope,none,high,high,high,medium,high,high,low,false,committed prior verification lineage reports wrong period,already_present_in_prior_verification_results; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-05540,B4XPAR-20260727-006036,broad_4x1000_deduped,B4XPAR-20260727-006036,,,review_lane_002,NY,Northeast,Hornell,Steuben County (36101; primary),"Hornell, City of & Hornell Police Association — Compulsory Interest Arbitration Award (listing record)",https://perb.ny.gov/compulsory-interest-arbitration-awards?page=17,,perb.ny.gov,arbitration_award,arbitration_award,high,strike_or_no_strike_constraint,pending_combined_review,wrong_period,,,,,exclude_out_of_scope,none,high,high,high,low,high,high,high,false,committed prior verification lineage reports wrong period,already_present_in_prior_verification_results; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-06141,B4XPAR-20260727-006691,broad_4x1000_deduped,B4XPAR-20260727-006691,BCV-20260728-08004,verify_lane_004,review_lane_004,AZ,West,Paradise Valley,Maricopa County (04013; primary),Administrative Policy AP-07.1 COMPENSATION (Rev. 06/23-07/07/2024; Effective Date 06/23-07/07/2024),https://paradisevalleyaz.legistar.com/View.ashx?GUID=718FB2F9-1546-4BC3-8DB6-DC6E4E1BD50D&ID=13013195&M=F,https://paradisevalleyaz.legistar.com/View.ashx,paradisevalleyaz.legistar.com,other_local_government_pay_policy,ordinance_or_policy,medium,non_safety_constraint_signal,pending_combined_review,duplicate_locator_skipped,200,application/pdf,178934,0,exclude_duplicate_or_prior_seen,none,high,high,medium,high,high,low,high,false,final canonical locator duplicates another reviewed candidate,local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-06505,BSSC-20260727-00074,broad_490_preserved_review_queue,BSSC-20260727-00074,,,review_lane_004,AR,South,Siloam Springs,,,,,,cba,cba,high,,weak_or_needs_review,invalid_locator,,,,,exclude_insufficient_locator,none,medium,medium,medium,low,high,low,low,false,committed queue lineage reports invalid or unsupported locator,invalid_or_unsupported_locator; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-06506,BSSC-20260727-00075,broad_490_preserved_review_queue,BSSC-20260727-00075,,,review_lane_001,AR,South,Siloam Springs,,,,,,cba,cba,high,,weak_or_needs_review,invalid_locator,,,,,exclude_insufficient_locator,none,medium,medium,medium,low,high,low,low,false,committed queue lineage reports invalid or unsupported locator,invalid_or_unsupported_locator; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-06515,BSSC-20260727-00087,broad_490_preserved_review_queue,BSSC-20260727-00087,,,review_lane_002,AZ,West,Apache Junction,,,,,,unknown_or_needs_review,unknown,low,strike_or_no_strike_constraint,weak_or_needs_review,invalid_locator,,,,,exclude_insufficient_locator,none,medium,medium,low,low,low,low,high,false,committed queue lineage reports invalid or unsupported locator,invalid_or_unsupported_locator; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
CBCR-20260728-06516,BSSC-20260727-00088,broad_490_preserved_review_queue,BSSC-20260727-00088,,,review_lane_003,AZ,West,Apache Junction,,,,,,budget_or_pay_plan,unknown,high,strike_or_no_strike_constraint,weak_or_needs_review,invalid_locator,,,,,exclude_insufficient_locator,none,medium,medium,medium,low,medium,low,high,false,committed queue lineage reports invalid or unsupported locator,invalid_or_unsupported_locator; local metadata-only deterministic review,true,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
