canonical_payload_id,extraction_result_id,structured_record_count,embedded_artifact_pointer
EXTPAYLOAD-001335100368c5fa28d271eb,EXTEXTRACT-20c6369ed212a89f2e481e50,2,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/fc/EXTPAYLOAD-001335100368c5fa28d271eb.embedded_structured.jsonl.gz
EXTPAYLOAD-001f6312d3c142563e4044fd,EXTEXTRACT-a8969f8fb6139841ce3e007b,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d0/EXTPAYLOAD-001f6312d3c142563e4044fd.embedded_structured.jsonl.gz
EXTPAYLOAD-00695731fb429c889ad66e00,EXTEXTRACT-9649138832fbcaf7842b168b,2,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7d/EXTPAYLOAD-00695731fb429c889ad66e00.embedded_structured.jsonl.gz
EXTPAYLOAD-0079b97aaafbf6d8287ecb36,EXTEXTRACT-f7fea735049dd844e63d5619,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e2/EXTPAYLOAD-0079b97aaafbf6d8287ecb36.embedded_structured.jsonl.gz
EXTPAYLOAD-008873b5b51a2c3bfd49fcc1,EXTEXTRACT-4dc9ccad2a93fb97f9ffb993,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4d/EXTPAYLOAD-008873b5b51a2c3bfd49fcc1.embedded_structured.jsonl.gz
EXTPAYLOAD-00a12b392568f74643c07c1c,EXTEXTRACT-76e8cecc41b0c0ecd6e3eeb6,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/14/EXTPAYLOAD-00a12b392568f74643c07c1c.embedded_structured.jsonl.gz
EXTPAYLOAD-00a8d28c11f7331b6f77fb6f,EXTEXTRACT-fe326ccbd794fe07936a62aa,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/c9/EXTPAYLOAD-00a8d28c11f7331b6f77fb6f.embedded_structured.jsonl.gz
EXTPAYLOAD-011289c779f8d4cebcccfd61,EXTEXTRACT-dc952194705952051200a384,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f9/EXTPAYLOAD-011289c779f8d4cebcccfd61.embedded_structured.jsonl.gz
EXTPAYLOAD-01167a717375bbfc0229baeb,EXTEXTRACT-10c7cfbc22215ec30958878c,1,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/35/EXTPAYLOAD-01167a717375bbfc0229baeb.embedded_structured.jsonl.gz
EXTPAYLOAD-0116e1fc7121806f9d1cb8d0,EXTEXTRACT-e36a87e7455982d948579fdc,2,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5c/EXTPAYLOAD-0116e1fc7121806f9d1cb8d0.embedded_structured.jsonl.gz
