canonical_payload_id,extraction_result_id,index_kind,index_local_path,index_SHA_256,index_byte_size,page_count,section_count,table_count,table_row_count,structured_record_count,lineage_scope
EXTPAYLOAD-eb39e56db69b693b82e3899d,EXTEXTRACT-eaed703c0a6d173bc9551ccc,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d5/EXTPAYLOAD-eb39e56db69b693b82e3899d.sections.jsonl.gz,4b5d724d8845c96f6c875c348e4fe35620a92473ad2d8d60fa2d935488f36baf,1633,0,87,1,27,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb44cd02f8ef88f1c6dc76e3,EXTEXTRACT-2d15dd5e25cc627dbf1125c7,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d5/EXTPAYLOAD-eb44cd02f8ef88f1c6dc76e3.sections.jsonl.gz,f5af5788989c9b8443fbb64e79aa83b68ff7698e1be59bf23b899a2b135c947e,22940,0,1298,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb45c90f46d9d0092c0dd1c7,EXTEXTRACT-c5424fba5f533db9de2fdf48,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6a/EXTPAYLOAD-eb45c90f46d9d0092c0dd1c7.sections.jsonl.gz,8cc4084f6686459d66505e48c56c4cbc40e7ccb740d93f1f0489277efb9e9cf7,3068,0,158,0,0,2,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb46cb91ab85bd9c242c6911,EXTEXTRACT-1f15d4c5e896636f4695ee16,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/71/EXTPAYLOAD-eb46cb91ab85bd9c242c6911.sections.jsonl.gz,7db4d0e266f473e01c260ce5433d4074c98700eda38bfaeb6972c2cc540551be,1007,0,42,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb49dff8f2975d0c29633aa7,EXTEXTRACT-5b59bf3fff0396d1ab767b35,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d3/EXTPAYLOAD-eb49dff8f2975d0c29633aa7.sections.jsonl.gz,335796cb2c3cc71f313faaa4ff26691e5bdf1905777f879d0cf0a58dab1f8359,1779,0,81,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb4f14178ed870004a60be8c,EXTEXTRACT-fdc50e67dacbce478ebad3ac,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f0/EXTPAYLOAD-eb4f14178ed870004a60be8c.sections.jsonl.gz,f249410cbeac9d8355379b91bfbc8b9a201fcff2454eed95985d649c14834599,1654,0,76,1,4,2,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb527eeedefeb5eb47c3a453,EXTEXTRACT-0ef397385edd351de35ee0ff,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/68/EXTPAYLOAD-eb527eeedefeb5eb47c3a453.sections.jsonl.gz,7021082401c357a24a8abee9ac19d01993577e79cef473f4a7d22d77a399fc3c,2362,0,120,0,0,1,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb55bff846826cdaee02df95,EXTEXTRACT-78a22773413307a6796f8144,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1d/EXTPAYLOAD-eb55bff846826cdaee02df95.sections.jsonl.gz,6ee2282b71c01ac1f5393d1255f53073a7e7e84a25bba0d684cadc70364ac08e,1298,0,53,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb578c667b61ccc6c7fd9550,EXTEXTRACT-de0b58718978ad45a1c16617,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/65/EXTPAYLOAD-eb578c667b61ccc6c7fd9550.sections.jsonl.gz,f86d61edfa55e3417fd3b8f4e9f01489e1303cca6b20597ba3be9b990c04a9a5,2275,0,114,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb5994741f5eacf1c2e3ba12,EXTEXTRACT-52976d2f8fb43999a377ba1e,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/da/EXTPAYLOAD-eb5994741f5eacf1c2e3ba12.sections.jsonl.gz,8bb559fb82ff68bcfc7aa16888605ecf7e9479631b0c01df62bd0914fcce608e,779,0,27,0,0,2016,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb5c88a0437032c1c1e96736,EXTEXTRACT-31b230eb216c273c00d79d68,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d3/EXTPAYLOAD-eb5c88a0437032c1c1e96736.sections.jsonl.gz,e1c3d05c7b90f9874528afe98b938b6cc8d552f9a1ce4e02ae5a949ef61f1460,2309,0,113,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb6b19cbd5b96b7b21a62a7c,EXTEXTRACT-4d0f3676b90237f0be73bbc7,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/05/EXTPAYLOAD-eb6b19cbd5b96b7b21a62a7c.sections.jsonl.gz,7a7afda0cb497898f8826ce5c29a0146d010918031297fed7b47d6eb34ad5437,1578,0,72,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb8454e8f38fd2d7949077e6,EXTEXTRACT-737ba90030d8f9cea15b0304,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ea/EXTPAYLOAD-eb8454e8f38fd2d7949077e6.sections.jsonl.gz,b30ed91acdb2c54e7a6988538b5bc745767bb529dcee3b526ebbe73ca83a63ff,2995,0,150,1,1,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb8585b78c02409fb4d29882,EXTEXTRACT-b616ee4d844d2390d6de7392,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5b/EXTPAYLOAD-eb8585b78c02409fb4d29882.sections.jsonl.gz,2c81837a7d63b4196a5753c7f04894490a2826f606f03fb09ac3a37bdc8c0066,652,0,23,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-eb8e794d22c2f236fee52035,EXTEXTRACT-0b8bc63c8f2c2cde9411c597,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/74/EXTPAYLOAD-eb8e794d22c2f236fee52035.sections.jsonl.gz,5159d322dd96f439f2edf9c98ed8577ddb4d200e86bd37ce4b5c3d7e17bbcb1e,4528,0,226,4,4,1,complete_index_in_ignored_local_artifact
