artifact_id,extraction_result_id,canonical_payload_id,source_SHA_256,artifact_kind,output_local_path,output_codec,output_SHA_256,output_byte_size
EXTART-8299089429b8e73a267b8e1d,EXTEXTRACT-9e76c1567d3c88e54fd04fa9,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b,full_pdf_text,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.txt.gz,gzip,f1f4ffd5bc5a67806dcc3a8aaeec55db8cf3b7a157815babd42cd321f27d3226,68437
EXTART-2038abb7b2c151329a01d078,EXTEXTRACT-9e76c1567d3c88e54fd04fa9,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b,pdf_extraction_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.index.json,json,3c009966ca02ed074ced0e2f67ffea33a608448fee2cc2c32eb1af2f01e853d6,859
EXTART-4f9744351311c305ed098ae6,EXTEXTRACT-9e76c1567d3c88e54fd04fa9,EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,7862edf322870141d1b8212546bb24a8ecdf90847057e4b3553621812777767b,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9.pages.jsonl.gz,gzip,69cf842a58684e666a983c2bb0e10aff44ab89282e3a21d7518f19afcfd1c3bc,1387
EXTART-58721b9782087a7dceb8fc99,EXTEXTRACT-1d64f9f44d17505a8e6a962b,EXTPAYLOAD-00036840dd1547c95ddf49b3,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,full_html_embedded_structured,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.embedded_structured.jsonl.gz,gzip,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20
EXTART-139f978e760466b4333980b6,EXTEXTRACT-1d64f9f44d17505a8e6a962b,EXTPAYLOAD-00036840dd1547c95ddf49b3,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,full_html_tables,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.tables.jsonl.gz,gzip,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20
EXTART-a0528f8af4f7e980e6a16c19,EXTEXTRACT-1d64f9f44d17505a8e6a962b,EXTPAYLOAD-00036840dd1547c95ddf49b3,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,full_html_visible_text,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.visible_text.txt.gz,gzip,c3a94077e070a25f96e31352d0150de93cddc77c19fd1ee9598e84cffd08f489,535
EXTART-df2319adf938315df525cefb,EXTEXTRACT-1d64f9f44d17505a8e6a962b,EXTPAYLOAD-00036840dd1547c95ddf49b3,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,html_extraction_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.index.json,json,1aba5500e5546ff2d7a84a1f44ecd79c647480eb5d0331be6d82f2bbf0f99d63,1353
EXTART-a4029b3a4f37c38183d18db6,EXTEXTRACT-1d64f9f44d17505a8e6a962b,EXTPAYLOAD-00036840dd1547c95ddf49b3,595f0305c1e68663093ed9146095f701b2c182563c0b859e670ef592e83c4fac,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/59/EXTPAYLOAD-00036840dd1547c95ddf49b3.sections.jsonl.gz,gzip,a7c977091ff817ba9eb01185b4df61733c9e9a749ed4505a6b9bee97abf9c0d3,693
EXTART-b884c0d04f0f78566fb81629,EXTEXTRACT-025aab17950d39443fb83572,EXTPAYLOAD-000842740a46817d53deae4c,2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e,full_pdf_text,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.txt.gz,gzip,ef8ef718d63196dc8ad28dee93c49c3e1d3e36fc73578d1cea3fe604fda53b43,889
EXTART-8636d6d03439b242bac6e4e2,EXTEXTRACT-025aab17950d39443fb83572,EXTPAYLOAD-000842740a46817d53deae4c,2e9feec2fcf77581902e9769f558840bb62f3a04f0d9a0421d0775d505e8d97e,pdf_extraction_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2e/EXTPAYLOAD-000842740a46817d53deae4c.index.json,json,75cbee61f6b34114507d1f9e353f1d9ee37e4ae3568eb1da2b13a59f68395b84,853
