canonical_payload_id,extraction_result_id,index_kind,index_local_path,index_SHA_256,index_byte_size,page_count,section_count,table_count,table_row_count,structured_record_count,lineage_scope
EXTPAYLOAD-001a1204ca212b6b85f43ef5,EXTEXTRACT-57d60e767f29a0478efd8fde,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/ab/EXTPAYLOAD-001a1204ca212b6b85f43ef5.pages.jsonl.gz,de5e9e58d7f971b363e959b5918a233369f698c4d0c6c1552540d6329bb3cf6a,773,36,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-0027da9767f30538f6a95de6,EXTEXTRACT-67b36dbb0a3b256e205366b8,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/40/EXTPAYLOAD-0027da9767f30538f6a95de6.pages.jsonl.gz,6ee615414de6fc1787b2a21b69336f2148092b885f0f72f92e5d4913b1850c30,537,21,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-0052b8a8e93a2c8f1f47cdf1,EXTEXTRACT-27dfb6d89cd4c84bd11014d2,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/78/EXTPAYLOAD-0052b8a8e93a2c8f1f47cdf1.pages.jsonl.gz,818277e7711f112318e903a4135a96e3360c156193a6ec5ce852b15b10a799ff,294,5,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-0062f64da9060a0cd6ed8c7f,EXTEXTRACT-1f76adb868a68932733b9e02,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d1/EXTPAYLOAD-0062f64da9060a0cd6ed8c7f.pages.jsonl.gz,9cd377f563916e7355095d2b8cc3386c9ebc9c64127868f515428e7d8688ac5f,582,23,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-008a9556aebdcc3e0251c7de,EXTEXTRACT-2365b4b4d002cf565840048b,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b2/EXTPAYLOAD-008a9556aebdcc3e0251c7de.pages.jsonl.gz,fb6c7105343ed1bd7b17614c19458ad8115458f552e30c5f65d53fa4ae259b2d,6437,426,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-00909f509836dd1d7cbf450d,EXTEXTRACT-02e45d699bfa205716f9431c,full_html_embedded_structured,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/bf/EXTPAYLOAD-00909f509836dd1d7cbf450d.embedded_structured.jsonl.gz,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,0,1,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-00909f509836dd1d7cbf450d,EXTEXTRACT-02e45d699bfa205716f9431c,full_html_tables,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/bf/EXTPAYLOAD-00909f509836dd1d7cbf450d.tables.jsonl.gz,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,0,1,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-00909f509836dd1d7cbf450d,EXTEXTRACT-02e45d699bfa205716f9431c,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/bf/EXTPAYLOAD-00909f509836dd1d7cbf450d.sections.jsonl.gz,02ec438eab4e8a26a410bb58ae4669d1f4cd2458d2d1481d3e20196a2622a190,211,0,1,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-009b8316cff17deee889190d,EXTEXTRACT-8187bffdddb18d66b1405c2a,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/fe/EXTPAYLOAD-009b8316cff17deee889190d.pages.jsonl.gz,b78d236215912f1a74b082ef9be584a70884bbe81b03c1212316163656e472ed,666,29,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-00afd016a9870870057b9a2d,EXTEXTRACT-402de9aa497bf5048eb2de3a,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f9/EXTPAYLOAD-00afd016a9870870057b9a2d.pages.jsonl.gz,2e06baf60bddf260a528b68f3e8b7ce61d159cc84b01f062153c8686e8d7e4fa,386,11,0,0,0,0,complete_index_in_ignored_local_artifact
