MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids,retained_source_ids,duplicate_source_ids,prior_reuse_source_ids,candidate_ids,search_wave_provenance,municipality_names,states,periods,side_scopes,department_scopes,primary_source_family,root_event_ids,mechanism_event_ids,claim_ids,extraction_lane_id,extraction_lane_sequence
text/csv; charset=utf-8,27eb87a1925874f19bdb25c2e26c84a7dbf22e500a368fcf1144abebd251a0b7,staffing_table,0,5209,1,EXTPAYLOAD-81815727f00754c94837a041,EXTSOURCE-81815727f00754c94837a041,1,EXTREADYQ-3aa7ae4c5cd48f3d0945c162,3,,unclear,csv,False,"{""blank_row_count"":4,""column_count"":4,""delimiter"":"","",""diagnostic_rows_persisted"":false,""duplicate_header_count"":0,""encoding"":""utf-8"",""header_candidates"":[""Fact"",""Fact Note"",""Atlantic Beach city, Florida"",""Value Note for Atlantic Beach city, Florida""],""likely_compensation_staffing_columns"":[],""likely_date_columns"":[],""likely_municipality_department_employee_columns"":[""Atlantic Beach city, Florida"",""Value Note for Atlantic Beach city, Florida""],""malformed_row_count"":0,""row_count"":85}",,8,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T18:57:39.122814+00:00,0.001065,RESCAND-1bd306451efc618ebd823989,,MECHEXP-0bfd3d9659861bf08caf3f21|MECHEXP-28f2028c87919a57a2e64f64|MECHEXP-3fb4812e39a264bc0ce7dfc4|MECHEXP-40b8d6cd7f6a085a65b4ad16|MECHEXP-74c48447a99dca9c80ad2f8d|MECHEXP-decebb909ffeba3d16572cf3,ROOTCOMP-2231f6f92352d0bd694d8529|ROOTCOMP-8aa7eea6527f9d2f9d800660,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/27eb87a1925874f19bdb25c2e26c84a7dbf22e500a368fcf1144abebd251a0b7.csv,Atlantic Beach,False,BZA110223,current_30_gib_store,undated-source-CBSRD-20260728-6fc976296b9ad19d0711,csv_extraction_queue,,readiness_lane_002,2,parseable_delimited_schema,EXTREADINESS-f4d522e094bd662a60e02df8,csv_structured_ready,high,,implementation_confirmation,unclear,staffing_and_headcount,direct_official_administrative_record,FL,,EXTSOURCE-81815727f00754c94837a041,,,RESCAND-1bd306451efc618ebd823989,external_search_wave_002_exhaustive_residual,Atlantic Beach,FL,undated-source-CBSRD-20260728-6fc976296b9ad19d0711,unclear,unclear,staffing_and_headcount,ROOTCOMP-2231f6f92352d0bd694d8529|ROOTCOMP-8aa7eea6527f9d2f9d800660,MECHEXP-0bfd3d9659861bf08caf3f21|MECHEXP-28f2028c87919a57a2e64f64|MECHEXP-3fb4812e39a264bc0ce7dfc4|MECHEXP-40b8d6cd7f6a085a65b4ad16|MECHEXP-74c48447a99dca9c80ad2f8d|MECHEXP-decebb909ffeba3d16572cf3,,extraction_lane_003,1
text/csv; charset=utf-8,82ddde5cb29daa4e72778cdf8fd7ee751b1fdb13226c480d8fc86ba7d3d9d214,payroll_roster,0,5187,1,EXTPAYLOAD-c9d398e4f1d14f3f88adfd8a,EXTSOURCE-c9d398e4f1d14f3f88adfd8a,1,EXTREADYQ-d581b83c752cf8fd00549264,6,,all_units,csv,False,"{""blank_row_count"":4,""column_count"":4,""delimiter"":"","",""diagnostic_rows_persisted"":false,""duplicate_header_count"":0,""encoding"":""utf-8"",""header_candidates"":[""Fact"",""Fact Note"",""Canfield city, Ohio"",""Value Note for Canfield city, Ohio""],""likely_compensation_staffing_columns"":[],""likely_date_columns"":[],""likely_municipality_department_employee_columns"":[""Canfield city, Ohio"",""Value Note for Canfield city, Ohio""],""malformed_row_count"":0,""row_count"":85}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:54:39.000518+00:00,0.00146,EXTCAND-10d7201f6d1763c391ce600e,,MECHEXP-1d172fcc2fe32b6316564476|MECHEXP-219f8f726ae9fc6074bc12b4|MECHEXP-5885e1b85db8bb6e3c4c9a7d|MECHEXP-85a3a8d5f7d12d013443f8a3|MECHEXP-b7f91f848fa34b8a536d0712,ROOTCOMP-49ec7df3b3e03644cbbb6c4c,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/82ddde5cb29daa4e72778cdf8fd7ee751b1fdb13226c480d8fc86ba7d3d9d214.csv,Canfield,False,VET605224,current_30_gib_store,2022,csv_extraction_queue,,readiness_lane_001,1,parseable_delimited_schema,EXTREADINESS-732210234da59b494024dbf7,csv_structured_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,multi_family_administrative_source,direct_official_administrative_record,OH,,EXTSOURCE-c9d398e4f1d14f3f88adfd8a,,,EXTCAND-10d7201f6d1763c391ce600e,external_search_wave_001_compacted,Canfield,OH,2022,all_units,all_units,multi_family_administrative_source,ROOTCOMP-49ec7df3b3e03644cbbb6c4c,MECHEXP-1d172fcc2fe32b6316564476|MECHEXP-219f8f726ae9fc6074bc12b4|MECHEXP-5885e1b85db8bb6e3c4c9a7d|MECHEXP-85a3a8d5f7d12d013443f8a3|MECHEXP-b7f91f848fa34b8a536d0712,,extraction_lane_003,2
text/csv; charset=utf-8,48929fabbdb5e0f3282abd49080d80af6097a62275f3e5061b9b53db598b7b44,payroll_roster,0,5218,1,EXTPAYLOAD-d059a434a0fcd62fc09aa5af,EXTSOURCE-d059a434a0fcd62fc09aa5af,1,EXTREADYQ-5248ce6d67e3a9f4d745bbd3,5,,fire,csv,False,"{""blank_row_count"":4,""column_count"":4,""delimiter"":"","",""diagnostic_rows_persisted"":false,""duplicate_header_count"":0,""encoding"":""utf-8"",""header_candidates"":[""Fact"",""Fact Note"",""Broadview village, Illinois"",""Value Note for Broadview village, Illinois""],""likely_compensation_staffing_columns"":[],""likely_date_columns"":[],""likely_municipality_department_employee_columns"":[],""malformed_row_count"":0,""row_count"":85}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T18:57:39.125826+00:00,0.000924,RESCAND-07daca562aa94f6d0bc74de8,,MECHEXP-3a7056b40587c5d0c94cfd9b|MECHEXP-d21164f809a1c7ea66141f4b|MECHEXP-f49a57ffb43053bf89208c76|MECHEXP-f65c8d3392d378e07464ca0f,ROOTCOMP-329d0a0286521d22457aac4d,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/csv/48929fabbdb5e0f3282abd49080d80af6097a62275f3e5061b9b53db598b7b44.csv,Broadview,False,BZA210223,current_30_gib_store,2023,csv_extraction_queue,,readiness_lane_002,4,parseable_delimited_schema,EXTREADINESS-7fdf96c0653f0a33b399d4ce,csv_structured_ready,high,,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,fire,multi_family_administrative_source,direct_official_administrative_record,IL,,EXTSOURCE-d059a434a0fcd62fc09aa5af,,,RESCAND-07daca562aa94f6d0bc74de8,external_search_wave_002_exhaustive_residual,Broadview,IL,2023,fire,fire,multi_family_administrative_source,ROOTCOMP-329d0a0286521d22457aac4d,MECHEXP-3a7056b40587c5d0c94cfd9b|MECHEXP-d21164f809a1c7ea66141f4b|MECHEXP-f49a57ffb43053bf89208c76|MECHEXP-f65c8d3392d378e07464ca0f,,extraction_lane_003,3
text/html; charset=utf-8,fcf9193252ae5495aed02119dc8bef6de418384ef99c3f23f090dbe6431aff6d,payroll_roster,0,208613,1,EXTPAYLOAD-001335100368c5fa28d271eb,EXTSOURCE-001335100368c5fa28d271eb,1,EXTREADYQ-3087bcbb15eff3a3787cb739,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":208613,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":133,""navigation_density"":0.259766,""payload_bytes"":208613,""row_element_count"":0,""script_count"":14,""structured_data_script_count"":2,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3463}",,13,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:39.081684+00:00,0.002885,RESCAND-e58091e14bf29c80f4385c78,,MECHEXP-1c5cb11232a1006a83cbb598|MECHEXP-283b01d60c53d9ff9387a3a1|MECHEXP-4e6f14f9d6f9c31d1b3b8075|MECHEXP-5e37e7ff7e9482999f34c44b|MECHEXP-69147ac59fac4d111f032cd0|MECHEXP-72f0ed3526fa840c4a42afbe|MECHEXP-876653681d36f34acb7b266d|MECHEXP-8bcf0128e35ea0ccaead31de|MECHEXP-c7370163c1710845985fc0e2|MECHEXP-f2dec8ae18330c12fcf20a6a,ROOTCOMP-0e73882cff2cbe8b6101bacf|ROOTCOMP-809472877af099c2bc02b747|ROOTCOMP-892fab18d54b558f8057e9f6,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/fcf9193252ae5495aed02119dc8bef6de418384ef99c3f23f090dbe6431aff6d.html,Brookfield,False,financial-reports,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_005,6,structured_data_or_dataset_signal,EXTREADINESS-f768893f464ca0c6fd10cdeb,html_structured_data_candidate,high,table_candidate,implementation_confirmation,police,payroll_and_earnings,official_administrative_summary,OH,,EXTSOURCE-001335100368c5fa28d271eb,,,RESCAND-e58091e14bf29c80f4385c78,external_search_wave_002_exhaustive_residual,Brookfield,OH,2025,police,police,payroll_and_earnings,ROOTCOMP-0e73882cff2cbe8b6101bacf|ROOTCOMP-809472877af099c2bc02b747|ROOTCOMP-892fab18d54b558f8057e9f6,MECHEXP-1c5cb11232a1006a83cbb598|MECHEXP-283b01d60c53d9ff9387a3a1|MECHEXP-4e6f14f9d6f9c31d1b3b8075|MECHEXP-5e37e7ff7e9482999f34c44b|MECHEXP-69147ac59fac4d111f032cd0|MECHEXP-72f0ed3526fa840c4a42afbe|MECHEXP-876653681d36f34acb7b266d|MECHEXP-8bcf0128e35ea0ccaead31de|MECHEXP-c7370163c1710845985fc0e2|MECHEXP-f2dec8ae18330c12fcf20a6a,,extraction_lane_003,4
text/html; charset=utf-8,7d9ddf4a7e40acfba5e95ead1b09cd5daa9d2fcd3ad5ed2838e441af55570ad5,ordinance_or_resolution,0,114603,1,EXTPAYLOAD-00695731fb429c889ad66e00,EXTSOURCE-00695731fb429c889ad66e00,1,EXTREADYQ-ed62ae4b22cc7f86ff415fd8,5,,all_units,html,False,"{""bounded_inspection"":false,""bytes_inspected"":114603,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":82,""navigation_density"":0.079457,""payload_bytes"":114603,""row_element_count"":75,""script_count"":14,""structured_data_script_count"":2,""table_count"":3,""valid_html_structure"":true,""visible_text_characters"":6556}",,8,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:03:39.091242+00:00,0.003818,EXTCAND-24b5f90189385db142845f29,,MECHEXP-217bdaa04a084354b3df5b0d|MECHEXP-4d82d79a47ef689b1c24aecc|MECHEXP-74f93057ec10433325c3305a|MECHEXP-cb3568b4426f45efaf7ef9b0|MECHEXP-e3f05c13daa7d4328866c219|MECHEXP-f8f94c5811529257d362a644,ROOTCOMP-5d6d05eba83a09c9447dad94|ROOTCOMP-a0133fc5af3d5c2f088d8b59,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7d9ddf4a7e40acfba5e95ead1b09cd5daa9d2fcd3ad5ed2838e441af55570ad5.html,Fifield,False,2014-county-board-resolutions-and-ordinances,current_30_gib_store,undated,html_table_candidate_queue,,readiness_lane_004,4,structured_data_or_dataset_signal,EXTREADINESS-e82d2d15457826089f4b6d3f,html_structured_data_candidate,high,table_candidate,payroll_and_earnings|staffing_and_headcount|tenure_and_progression,all_units,implementation_confirmation,official_administrative_summary,WI,,EXTSOURCE-00695731fb429c889ad66e00,,,EXTCAND-24b5f90189385db142845f29,external_search_wave_001_compacted,Fifield,WI,undated,all_units,all_units,implementation_confirmation,ROOTCOMP-5d6d05eba83a09c9447dad94|ROOTCOMP-a0133fc5af3d5c2f088d8b59,MECHEXP-217bdaa04a084354b3df5b0d|MECHEXP-4d82d79a47ef689b1c24aecc|MECHEXP-74f93057ec10433325c3305a|MECHEXP-cb3568b4426f45efaf7ef9b0|MECHEXP-e3f05c13daa7d4328866c219|MECHEXP-f8f94c5811529257d362a644,,extraction_lane_003,5
text/html; charset=utf-8,e2458787a3bf5577cfc22bbd45697a7398edcc148e451e1a69a3b7d7bcd7729a,other,0,39655,1,EXTPAYLOAD-0079b97aaafbf6d8287ecb36,EXTSOURCE-0079b97aaafbf6d8287ecb36,1,EXTREADYQ-bcfdac01b7b4f6e84d4369c4,2,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":39655,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":68,""navigation_density"":0.038375,""payload_bytes"":39655,""row_element_count"":0,""script_count"":23,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":10893}",,6,upgrades_implementation_confirmation|upgrades_mechanism_claim,extraction_priority_medium,True,2026-08-05T18:54:39.007203+00:00,0.003513,RESCAND-9949d635bce603504f892796,,MECHEXP-4cbca477648991ff4b21c39e|MECHEXP-72c3af1a25b1eb3a88dc9d9b|MECHEXP-87db0c3584e40d0e6139dee2|MECHEXP-8a91ff019440e78ac28d09c7|MECHEXP-9b75dc57329babb3928b668c,ROOTCOMP-718e1f887425f6a7a9695970,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/e2458787a3bf5577cfc22bbd45697a7398edcc148e451e1a69a3b7d7bcd7729a.html,Cochecton,False,22-NYCRR-25.22,current_30_gib_store,2024,html_table_candidate_queue,,readiness_lane_001,3,structured_data_or_dataset_signal,EXTREADINESS-1fed348148ced8885afcce87,html_structured_data_candidate,medium,table_candidate,implementation_confirmation,unclear,tenure_and_progression,official_administrative_summary,NY,,EXTSOURCE-0079b97aaafbf6d8287ecb36,,,RESCAND-9949d635bce603504f892796,external_search_wave_002_exhaustive_residual,Cochecton,NY,2024,unclear,unclear,tenure_and_progression,ROOTCOMP-718e1f887425f6a7a9695970,MECHEXP-4cbca477648991ff4b21c39e|MECHEXP-72c3af1a25b1eb3a88dc9d9b|MECHEXP-87db0c3584e40d0e6139dee2|MECHEXP-8a91ff019440e78ac28d09c7|MECHEXP-9b75dc57329babb3928b668c,,extraction_lane_003,6
text/html; charset=UTF-8,c97342df200d618aac2d34efb0c46512cf4ecb83524ae1d0cd2ceab95ff1b956,payroll_roster,0,70727,1,EXTPAYLOAD-00a8d28c11f7331b6f77fb6f,EXTSOURCE-00a8d28c11f7331b6f77fb6f,1,EXTREADYQ-efada3ba59d9cd6dc42a4bb3,4,,all_units,html,False,"{""bounded_inspection"":false,""bytes_inspected"":70727,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":1,""link_count"":138,""navigation_density"":0.244681,""payload_bytes"":70727,""row_element_count"":0,""script_count"":8,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3951}",,7,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.144956+00:00,0.002229,EXTCAND-07a741cca535e36af5a03319,,MECHEXP-01b935028084288f785d3609|MECHEXP-1337f01c065bd7b16213d032|MECHEXP-2faa72fcde6bddf9907d2753|MECHEXP-5ae0405b092b7ca744009c8d|MECHEXP-7114caf185962a9657e59ab4|MECHEXP-b43cd4867e145720afdf7dd8,ROOTCOMP-c1d9a794038d082afc2fa421,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/c97342df200d618aac2d34efb0c46512cf4ecb83524ae1d0cd2ceab95ff1b956.html,Oberlin,False,benefits-summary,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_002,10,structured_data_or_dataset_signal,EXTREADINESS-89aef99764e041bee207ca59,html_structured_data_candidate,high,table_candidate,benefits_and_total_compensation|payroll_and_earnings|recruitment_and_retention,all_units,multi_family_administrative_source,official_administrative_summary,LA,,EXTSOURCE-00a8d28c11f7331b6f77fb6f,,,EXTCAND-07a741cca535e36af5a03319,external_search_wave_001_compacted,Oberlin,LA,2025,all_units,all_units,multi_family_administrative_source,ROOTCOMP-c1d9a794038d082afc2fa421,MECHEXP-01b935028084288f785d3609|MECHEXP-1337f01c065bd7b16213d032|MECHEXP-2faa72fcde6bddf9907d2753|MECHEXP-5ae0405b092b7ca744009c8d|MECHEXP-7114caf185962a9657e59ab4|MECHEXP-b43cd4867e145720afdf7dd8,,extraction_lane_003,7
text/html; charset=UTF-8,abedabc34559e165d2898305ba7e93b5e4bd6077cb478450f8ab3adfa54d4bf3,payroll_roster,0,413480,1,EXTPAYLOAD-012add8bb35407a7acd8b5f7,EXTSOURCE-012add8bb35407a7acd8b5f7,1,EXTREADYQ-c4023a933eca6732b951f473,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":413480,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":201,""navigation_density"":0.109477,""payload_bytes"":413480,""row_element_count"":0,""script_count"":46,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":12637}",,12,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T18:57:39.155916+00:00,0.006544,RESCAND-90953fecf6e8a494c3eedb78,,MECHEXP-0538d2cac109f3004d8e4512|MECHEXP-5a5a668edd0d0f10a96fbbb1|MECHEXP-621b41debd2c328ff3264c39|MECHEXP-759af4dda043a6fd119f8f32|MECHEXP-79733390ea43dfa998da06ac|MECHEXP-835b6295201c3198d3523daa|MECHEXP-837545daf9364cfd4a64b210|MECHEXP-c23e05950c8616e24c580955|MECHEXP-ce7eebb7a1a34397863e9f52|MECHEXP-f7ae07c6e3e46a15f6f36d20,ROOTCOMP-457740160d576f894d9c7fbb|ROOTCOMP-6ae7e03e9ca6319e1620d352,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/abedabc34559e165d2898305ba7e93b5e4bd6077cb478450f8ab3adfa54d4bf3.html,Chester,False,2025.html,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_002,12,structured_data_or_dataset_signal,EXTREADINESS-5d466b9c1bc9350188a38466,html_structured_data_candidate,high,table_candidate,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,contextual_controls,official_administrative_summary,OH,,EXTSOURCE-012add8bb35407a7acd8b5f7,,,RESCAND-90953fecf6e8a494c3eedb78,external_search_wave_002_exhaustive_residual,Chester,OH,2025,unclear,unclear,contextual_controls,ROOTCOMP-457740160d576f894d9c7fbb|ROOTCOMP-6ae7e03e9ca6319e1620d352,MECHEXP-0538d2cac109f3004d8e4512|MECHEXP-5a5a668edd0d0f10a96fbbb1|MECHEXP-621b41debd2c328ff3264c39|MECHEXP-759af4dda043a6fd119f8f32|MECHEXP-79733390ea43dfa998da06ac|MECHEXP-835b6295201c3198d3523daa|MECHEXP-837545daf9364cfd4a64b210|MECHEXP-c23e05950c8616e24c580955|MECHEXP-ce7eebb7a1a34397863e9f52|MECHEXP-f7ae07c6e3e46a15f6f36d20,,extraction_lane_003,8
text/html; charset=utf-8,405e3a1282a41ef0593d075f559daa38149614997523f4b46383784c0a57f646,payroll_roster,0,260424,1,EXTPAYLOAD-0131240c6fc2b7daa962e497,EXTSOURCE-0131240c6fc2b7daa962e497,1,EXTREADYQ-b6653f357662a27788a33574,6,,fire,html,False,"{""bounded_inspection"":false,""bytes_inspected"":260424,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":136,""navigation_density"":0.019404,""payload_bytes"":260424,""row_element_count"":0,""script_count"":7,""structured_data_script_count"":1,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":45982}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:06:39.092072+00:00,0.005753,EXTCAND-4d632dfb810a628c2cfbdaa3,,MECHEXP-346c754c1ac209e236969179|MECHEXP-730608e67d75af32d65dcebe|MECHEXP-a96e5839fe5d7bd6be3770e7|MECHEXP-ae5b1033c48c0e9fe6d21c3d|MECHEXP-c4376085efb025c23a458983,ROOTCOMP-a406739a8eb4014a3d768fc3,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/405e3a1282a41ef0593d075f559daa38149614997523f4b46383784c0a57f646.html,Union,False,867755500,current_30_gib_store,2019,html_table_candidate_queue,,readiness_lane_005,9,structured_data_or_dataset_signal,EXTREADINESS-6730e6e93cfff529b34b7c23,html_structured_data_candidate,high,table_candidate,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,fire,multi_family_administrative_source,official_administrative_summary,OH,,EXTSOURCE-0131240c6fc2b7daa962e497,,,EXTCAND-4d632dfb810a628c2cfbdaa3,external_search_wave_001_compacted,Union,OH,2019,fire,fire,multi_family_administrative_source,ROOTCOMP-a406739a8eb4014a3d768fc3,MECHEXP-346c754c1ac209e236969179|MECHEXP-730608e67d75af32d65dcebe|MECHEXP-a96e5839fe5d7bd6be3770e7|MECHEXP-ae5b1033c48c0e9fe6d21c3d|MECHEXP-c4376085efb025c23a458983,,extraction_lane_003,9
text/html;charset=windows-1252,af4fab12e91064ff7920e051fefecda97dfc748c75668407a5e5e9228c489bf3,payroll_roster,0,20973,1,EXTPAYLOAD-0140eeb01ae042f934e1ed81,EXTSOURCE-0140eeb01ae042f934e1ed81,1,EXTREADYQ-0aa32bce9f7406f8ff13b403,4,,side_independent,html,False,"{""bounded_inspection"":false,""bytes_inspected"":20973,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":3,""link_count"":15,""navigation_density"":0.088235,""payload_bytes"":20973,""row_element_count"":42,""script_count"":4,""structured_data_script_count"":0,""table_count"":4,""valid_html_structure"":true,""visible_text_characters"":1086}",,5,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:57:39.285845+00:00,0.002781,EXTCAND-38e8a558f9351af06cb1cbb9,,MECHEXP-130f4e8ffdcdd8918160ea7b|MECHEXP-28ddecd4294b4c7a72f69a77|MECHEXP-b50b8fbffc5a847405d62f0c|MECHEXP-e317f8e50c274ab4b63331f3,ROOTCOMP-345d4cb849f218ac04633be4,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/af4fab12e91064ff7920e051fefecda97dfc748c75668407a5e5e9228c489bf3.html,Halcott,False,publicViewWageSchedule.do,current_30_gib_store,2025,html_table_candidate_queue,,readiness_lane_002,15,html_table_structure_present,EXTREADINESS-981957957e84aa325de509b6,html_table_candidate_ready,high,table_candidate,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,side_independent,contextual_controls,official_administrative_summary,NY,EXTVERSION-3116f542f6b5218c5ebd825d|EXTVERSION-53cab5abe1f4aa8756ddfd44,EXTSOURCE-0140eeb01ae042f934e1ed81,,,EXTCAND-38e8a558f9351af06cb1cbb9,external_search_wave_001_compacted,Halcott,NY,2025,side_independent,side_independent,contextual_controls,ROOTCOMP-345d4cb849f218ac04633be4,MECHEXP-130f4e8ffdcdd8918160ea7b|MECHEXP-28ddecd4294b4c7a72f69a77|MECHEXP-b50b8fbffc5a847405d62f0c|MECHEXP-e317f8e50c274ab4b63331f3,,extraction_lane_003,10
