canonical_payload_id,extraction_result_id,index_kind,index_local_path,index_SHA_256,index_byte_size,page_count,section_count,table_count,table_row_count,structured_record_count,lineage_scope
EXTPAYLOAD-a2dcfff950e55cd0b528f6ea,EXTEXTRACT-bd879a82d9969d32041bf4c2,full_html_tables,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/18/EXTPAYLOAD-a2dcfff950e55cd0b528f6ea.tables.jsonl.gz,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,0,1,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a2dcfff950e55cd0b528f6ea,EXTEXTRACT-bd879a82d9969d32041bf4c2,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/18/EXTPAYLOAD-a2dcfff950e55cd0b528f6ea.sections.jsonl.gz,b863a28092718ba1b0c268223807e8478d078612208ef8b37fd0b3e8e405e104,203,0,1,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a326196ba4e902b60c9e02d4,EXTEXTRACT-0d77c7672e0d617e173ac883,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b2/EXTPAYLOAD-a326196ba4e902b60c9e02d4.pages.jsonl.gz,846c1a0c5d67abc72d4fc48cc14e45a95da5314e0c0d6253dcc4d51f031c4b08,375,10,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a32865fb5a90d5430c4a1f6b,EXTEXTRACT-ba077cd7200cdc3c689716a4,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/0a/EXTPAYLOAD-a32865fb5a90d5430c4a1f6b.pages.jsonl.gz,d1f413ececc74fe75faf1cb1cbc81b2ad65f14654737ebb590f2db611fd658e2,574,23,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a33c77c8892d4dc46d418fa6,EXTEXTRACT-791c9de79ed3471525ce9160,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2f/EXTPAYLOAD-a33c77c8892d4dc46d418fa6.pages.jsonl.gz,53a26859d56659128a812b96f7884eebe7c5f7829e6e479b8c9262f4481364c0,365,9,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a348947d20a8aa6d44fec722,EXTEXTRACT-d909b6353fc42afa83040cd0,full_html_embedded_structured,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a5/EXTPAYLOAD-a348947d20a8aa6d44fec722.embedded_structured.jsonl.gz,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,0,176,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a348947d20a8aa6d44fec722,EXTEXTRACT-d909b6353fc42afa83040cd0,full_html_tables,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a5/EXTPAYLOAD-a348947d20a8aa6d44fec722.tables.jsonl.gz,ac73670af3abed54ac6fb4695131f4099be9fbe39d6076c5d0264a6bbdae9d83,20,0,176,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a348947d20a8aa6d44fec722,EXTEXTRACT-d909b6353fc42afa83040cd0,html_section_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a5/EXTPAYLOAD-a348947d20a8aa6d44fec722.sections.jsonl.gz,6b497e6e58791453226a0ca7e9ac9a002322a994e89c3aa40430e76033a67537,3476,0,176,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a361722594f73daec64f44b8,EXTEXTRACT-bc2169b0ab5a6a63d689ba5a,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/dd/EXTPAYLOAD-a361722594f73daec64f44b8.pages.jsonl.gz,5bf81cd61801f166f75405f80660b7bada3e76270ba0b54ce6040149f57db463,851,41,0,0,0,0,complete_index_in_ignored_local_artifact
EXTPAYLOAD-a375c081f148843bad9d2e95,EXTEXTRACT-d4a8fa8c08af53a21ef762b4,pdf_page_index,artifacts/local_extracted_text/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/2a/EXTPAYLOAD-a375c081f148843bad9d2e95.pages.jsonl.gz,36fcbacbc227da0f1ddcf39fe8ba23cac1001d3b4673ee6aec11ded56a782175,2239,135,0,0,0,0,complete_index_in_ignored_local_artifact
