extraction_result_id,canonical_payload_id,retained_source_id,linkage_basis
EXTEXTRACT-77912fb9359a422e6b9d50d6,EXTPAYLOAD-8ee26f11fd5272e6050a6e9e,EXTSOURCE-8ee26f11fd5272e6050a6e9e,readiness_preserved_lineage
EXTEXTRACT-7c2b6792b28685c5aae9862c,EXTPAYLOAD-8ee44f2ce85ee94390653190,EXTSOURCE-8ee44f2ce85ee94390653190,readiness_preserved_lineage
EXTEXTRACT-2f9d2be5472c6269eabfeee0,EXTPAYLOAD-8ee63df4fa5d00cbd9f813ee,EXTSOURCE-8ee63df4fa5d00cbd9f813ee,readiness_preserved_lineage
EXTEXTRACT-aa0958226613f4bddeb20cf2,EXTPAYLOAD-8ef1565065b4341f9a29886d,EXTSOURCE-8ef1565065b4341f9a29886d,readiness_preserved_lineage
EXTEXTRACT-3591a9740a957527fc7107dd,EXTPAYLOAD-8ef73d2f91061f92f3013c10,EXTSOURCE-8ef73d2f91061f92f3013c10,readiness_preserved_lineage
EXTEXTRACT-c2c49d281d212c859ef2be05,EXTPAYLOAD-8ef9bc833dcc77d0e62cb321,EXTSOURCE-8ef9bc833dcc77d0e62cb321,readiness_preserved_lineage
EXTEXTRACT-496a8f9e364eb9491c0663d4,EXTPAYLOAD-8efc2bcf52be96bdcc1df423,EXTSOURCE-8efc2bcf52be96bdcc1df423,readiness_preserved_lineage
EXTEXTRACT-b9041601f9100661655dc045,EXTPAYLOAD-8f011ad83e8fc6114a75b90c,EXTSOURCE-8f011ad83e8fc6114a75b90c,readiness_preserved_lineage
EXTEXTRACT-4303a9cdec15d9df1036a6b9,EXTPAYLOAD-8f02c4a4533a4c30d3b849d1,EXTSOURCE-8f02c4a4533a4c30d3b849d1,readiness_preserved_lineage
EXTEXTRACT-a71c85aabdb812206790c392,EXTPAYLOAD-8f03eef9d8070c9e67dd2447,EXTSOURCE-8f03eef9d8070c9e67dd2447,readiness_preserved_lineage
EXTEXTRACT-e95fb63b4a8e1b69bf589c5a,EXTPAYLOAD-8f06ce7f3a6e2ce446e1e3a2,EXTSOURCE-8f06ce7f3a6e2ce446e1e3a2,readiness_preserved_lineage
EXTEXTRACT-085337c57c0d0ded1ba1534e,EXTPAYLOAD-8f093a070ba00bbc0c766dbe,EXTSOURCE-8f093a070ba00bbc0c766dbe,readiness_preserved_lineage
EXTEXTRACT-e3c81962822567ebcfd768ad,EXTPAYLOAD-8f15138798ef83afa3b578a0,EXTSOURCE-8f15138798ef83afa3b578a0,readiness_preserved_lineage
EXTEXTRACT-0b5c97306a6c4e8d1cb1d052,EXTPAYLOAD-8f176f9557f9cdb8bd03ea36,EXTSOURCE-8f176f9557f9cdb8bd03ea36,readiness_preserved_lineage
EXTEXTRACT-b7a731098e990a2b5ac18a9e,EXTPAYLOAD-8f179f4e90d92cc15c7c3187,EXTSOURCE-8f179f4e90d92cc15c7c3187,readiness_preserved_lineage
EXTEXTRACT-f0e5e734557fc46bffa6cd4c,EXTPAYLOAD-8f18e1e74009732356987ff6,EXTSOURCE-8f18e1e74009732356987ff6,readiness_preserved_lineage
EXTEXTRACT-bfe5fdd69159fe327b324dd2,EXTPAYLOAD-8f190db942fcde9c1f0b95fb,EXTSOURCE-8f190db942fcde9c1f0b95fb,readiness_preserved_lineage
EXTEXTRACT-005274446a9073d62b5376bb,EXTPAYLOAD-8f21d06caf9f331a15fa74be,EXTSOURCE-8f21d06caf9f331a15fa74be,readiness_preserved_lineage
EXTEXTRACT-8525741a8423c9068d1b2f6c,EXTPAYLOAD-8f220a63e24b235326420883,EXTSOURCE-8f220a63e24b235326420883,readiness_preserved_lineage
EXTEXTRACT-b3501a19d8ade467cc571b13,EXTPAYLOAD-8f2624a75b161a188e5ab72a,EXTSOURCE-8f2624a75b161a188e5ab72a,readiness_preserved_lineage
EXTEXTRACT-4bf470094d247f25d6e01913,EXTPAYLOAD-8f27aa4f91031d8f7ee66e78,EXTSOURCE-8f27aa4f91031d8f7ee66e78,readiness_preserved_lineage
EXTEXTRACT-bed5cb5244f93914becabc51,EXTPAYLOAD-8f2eaa947d931448158cf8ca,EXTSOURCE-8f2eaa947d931448158cf8ca,readiness_preserved_lineage
EXTEXTRACT-3a8368eb4034d83992b9d71d,EXTPAYLOAD-8f31f7ae75b06753352160f5,EXTSOURCE-8f31f7ae75b06753352160f5,readiness_preserved_lineage
EXTEXTRACT-43724bf9c220239efd5ba1a5,EXTPAYLOAD-8f32792e02eeb47c1ac613ec,EXTSOURCE-8f32792e02eeb47c1ac613ec,readiness_preserved_lineage
EXTEXTRACT-7d4d947edbe508b6ad4e22df,EXTPAYLOAD-8f39fa46011048dd095d2bcd,EXTSOURCE-8f39fa46011048dd095d2bcd,readiness_preserved_lineage
EXTEXTRACT-b60a0d8d9ab8aa35840dedc0,EXTPAYLOAD-8f3a3450cd82d4bbc5a58ec9,EXTSOURCE-8f3a3450cd82d4bbc5a58ec9,readiness_preserved_lineage
EXTEXTRACT-157fe7e1681c6c7a71601ada,EXTPAYLOAD-8f3c00a8e7e4e26698cf44f9,EXTSOURCE-8f3c00a8e7e4e26698cf44f9,readiness_preserved_lineage
EXTEXTRACT-238159bb7141b6f580a363c5,EXTPAYLOAD-8f3e9e9e9846c35684fc6fd5,EXTSOURCE-8f3e9e9e9846c35684fc6fd5,readiness_preserved_lineage
EXTEXTRACT-3547a121507119a07177b678,EXTPAYLOAD-8f50c4210309f75f1754068e,EXTSOURCE-8f50c4210309f75f1754068e,readiness_preserved_lineage
EXTEXTRACT-f438990a8058502dbc8afea3,EXTPAYLOAD-8f61578e5316bbaecc7e1688,EXTSOURCE-8f61578e5316bbaecc7e1688,readiness_preserved_lineage
EXTEXTRACT-48c0737ecdf7abc9bfca5209,EXTPAYLOAD-8f623f78e465f8bd1ba2dbfc,EXTSOURCE-8f623f78e465f8bd1ba2dbfc,readiness_preserved_lineage
EXTEXTRACT-b677d9787996b623134efd3b,EXTPAYLOAD-8f67622f5e8bd7bae75f8dc2,EXTSOURCE-8f67622f5e8bd7bae75f8dc2,readiness_preserved_lineage
EXTEXTRACT-661df5058c5821390b25c230,EXTPAYLOAD-8f69243a5a10d34bcfadaf6e,EXTSOURCE-8f69243a5a10d34bcfadaf6e,readiness_preserved_lineage
EXTEXTRACT-af0f95c811ab0c4ffc0efa87,EXTPAYLOAD-8f71faf64a820ce7284b0672,EXTSOURCE-8f71faf64a820ce7284b0672,readiness_preserved_lineage
EXTEXTRACT-64d35875222fb585d91a3db1,EXTPAYLOAD-8f7f9cb79eea58a8cb943ed2,EXTSOURCE-8f7f9cb79eea58a8cb943ed2,readiness_preserved_lineage
EXTEXTRACT-18855a3ae6960f0f77686302,EXTPAYLOAD-8f8030f9f5ca159d2d203f97,EXTSOURCE-8f8030f9f5ca159d2d203f97,readiness_preserved_lineage
EXTEXTRACT-76c59a6d99781ea55a9167c9,EXTPAYLOAD-8f8b92d67d7ed78484981c91,EXTSOURCE-8f8b92d67d7ed78484981c91,readiness_preserved_lineage
EXTEXTRACT-73fcc5b854d49fbc51f62b44,EXTPAYLOAD-8f95b39ad0eda94a4b8c121c,EXTSOURCE-8f95b39ad0eda94a4b8c121c,readiness_preserved_lineage
EXTEXTRACT-e84774b12d7efe857e4aab83,EXTPAYLOAD-8f9dfc5b448da73936b5d141,EXTSOURCE-8f9dfc5b448da73936b5d141,readiness_preserved_lineage
EXTEXTRACT-f551ad8d019465e1ed5fd82c,EXTPAYLOAD-8f9eaf6b52824c8c56fbee01,EXTSOURCE-8f9eaf6b52824c8c56fbee01,readiness_preserved_lineage
EXTEXTRACT-c585277b36e49ec70b70d8e6,EXTPAYLOAD-8fa247908e14be6a090ebb55,EXTSOURCE-8fa247908e14be6a090ebb55,readiness_preserved_lineage
EXTEXTRACT-5ceea9a74261cbb81af6f405,EXTPAYLOAD-8fa8f713c56fa6c014cf574d,EXTSOURCE-8fa8f713c56fa6c014cf574d,readiness_preserved_lineage
EXTEXTRACT-b83d3c54e6e1af089bd6b608,EXTPAYLOAD-8fad325ddf1b0a2e21cb78ef,EXTSOURCE-8fad325ddf1b0a2e21cb78ef,readiness_preserved_lineage
EXTEXTRACT-e8e17731360895352ff7639b,EXTPAYLOAD-8faf88ef4c1b257619db3fbd,EXTSOURCE-8faf88ef4c1b257619db3fbd,readiness_preserved_lineage
EXTEXTRACT-eae126d6fe6f5bee3f1d9899,EXTPAYLOAD-8fb340a2ba089c529ebcddf3,EXTSOURCE-8fb340a2ba089c529ebcddf3,readiness_preserved_lineage
EXTEXTRACT-077d33352fb5f191aba4cc1c,EXTPAYLOAD-8fb3f5aaeaba2a4d39f4c759,EXTSOURCE-8fb3f5aaeaba2a4d39f4c759,readiness_preserved_lineage
EXTEXTRACT-7f33f7988b03197e47bf01f5,EXTPAYLOAD-8fbc25a1e0ef73dba590f9bd,RMSRD-20260802-fab3c13188e11b27b4a9,readiness_preserved_lineage
EXTEXTRACT-084c2f97c145e2c22a819684,EXTPAYLOAD-8fbcdf6a6b03c7b7bb8024a3,EXTSOURCE-8fbcdf6a6b03c7b7bb8024a3,readiness_preserved_lineage
EXTEXTRACT-0e4f6d85fbb24b8867d6c0e3,EXTPAYLOAD-8fbe142d629e768d08865535,EXTSOURCE-8fbe142d629e768d08865535,readiness_preserved_lineage
EXTEXTRACT-0cc3852e774542b0175d93f8,EXTPAYLOAD-8fbf1ecf9370570b02261311,EXTSOURCE-8fbf1ecf9370570b02261311,readiness_preserved_lineage
EXTEXTRACT-a42028e8114e1f854365be7e,EXTPAYLOAD-8fc26973745ff8f6b02143bd,EXTSOURCE-8fc26973745ff8f6b02143bd,readiness_preserved_lineage
EXTEXTRACT-ec944c1844f6ef9362bd3bfb,EXTPAYLOAD-8fcca5a3f6a1e5775e986ddd,EXTSOURCE-8fcca5a3f6a1e5775e986ddd,readiness_preserved_lineage
EXTEXTRACT-ee753a57364a08ea8b107757,EXTPAYLOAD-8fccb8e311620ad35163e7db,EXTSOURCE-8fccb8e311620ad35163e7db,readiness_preserved_lineage
EXTEXTRACT-115a9ddc7a5eb7f706ae9a97,EXTPAYLOAD-8fcd4671fecd17c5b79463f1,EXTSOURCE-8fcd4671fecd17c5b79463f1,readiness_preserved_lineage
EXTEXTRACT-92707d7ca2f8e6fef03cae4f,EXTPAYLOAD-8fcf132de355e07520b4b6ea,EXTSOURCE-8fcf132de355e07520b4b6ea,readiness_preserved_lineage
EXTEXTRACT-9d8d8f20da7cbaa609302014,EXTPAYLOAD-8fcf3bb1c2086df6b1b36621,EXTSOURCE-8fcf3bb1c2086df6b1b36621,readiness_preserved_lineage
EXTEXTRACT-cca6817d399b424d2648d55b,EXTPAYLOAD-8fd4b125ce637e5a339d424e,EXTSOURCE-8fd4b125ce637e5a339d424e,readiness_preserved_lineage
EXTEXTRACT-77dd81310693339b189fe1a5,EXTPAYLOAD-8fd6d27432683da83aa97512,EXTSOURCE-8fd6d27432683da83aa97512,readiness_preserved_lineage
EXTEXTRACT-a4612f15ef65f049e5280ba3,EXTPAYLOAD-8fd87ca7024c03ba82c26a93,EXTSOURCE-8fd87ca7024c03ba82c26a93,readiness_preserved_lineage
EXTEXTRACT-ca5b3117da3273aaac7eebe7,EXTPAYLOAD-8fd9a689fbdfd2e606077a03,EXTSOURCE-8fd9a689fbdfd2e606077a03,readiness_preserved_lineage
EXTEXTRACT-3e5b358b4c62ec6bd87f7c39,EXTPAYLOAD-8fda8c894a3d21dd0aa8a668,EXTSOURCE-8fda8c894a3d21dd0aa8a668,readiness_preserved_lineage
EXTEXTRACT-291284806dbcbd642695f456,EXTPAYLOAD-8fe4318d79dbf9cf9ed18325,EXTSOURCE-8fe4318d79dbf9cf9ed18325,readiness_preserved_lineage
EXTEXTRACT-33061af0689793b7fff2570f,EXTPAYLOAD-8fe69246146ce430128a6ef8,EXTSOURCE-8fe69246146ce430128a6ef8,readiness_preserved_lineage
EXTEXTRACT-ba9e107998d41e7e304dbbea,EXTPAYLOAD-8fe82559380e269f2a88012a,EXTSOURCE-8fe82559380e269f2a88012a,readiness_preserved_lineage
EXTEXTRACT-386e8b49a0ca61a1f4025b0c,EXTPAYLOAD-8feab17789effa7a320bb7dd,EXTSOURCE-8feab17789effa7a320bb7dd,readiness_preserved_lineage
EXTEXTRACT-d7ed1b8c5b45ce40ffe0a88d,EXTPAYLOAD-8feb55cef944666169795e1b,EXTSOURCE-8feb55cef944666169795e1b,readiness_preserved_lineage
EXTEXTRACT-09a2482fe0ba243d7b1e1d3e,EXTPAYLOAD-8ff45f0b11bc0a37e87c546f,EXTSOURCE-8ff45f0b11bc0a37e87c546f,readiness_preserved_lineage
EXTEXTRACT-f7071fc6ea5f428510675fc1,EXTPAYLOAD-8ff54a7f82979e916087ef41,EXTSOURCE-8ff54a7f82979e916087ef41,readiness_preserved_lineage
EXTEXTRACT-2800447390756f0616b9577f,EXTPAYLOAD-8ff6c40dba9b8fef647e84b3,EXTSOURCE-8ff6c40dba9b8fef647e84b3,readiness_preserved_lineage
EXTEXTRACT-ca1dd46533b94b26de1b995f,EXTPAYLOAD-8ff8a237d6cf32bff1c12224,EXTSOURCE-8ff8a237d6cf32bff1c12224,readiness_preserved_lineage
EXTEXTRACT-83a78ca9c5785e0ca1ceb066,EXTPAYLOAD-8ffd76c9591a622d8c6e38df,EXTSOURCE-8ffd76c9591a622d8c6e38df,readiness_preserved_lineage
EXTEXTRACT-7fb2d257fbf128901e02599c,EXTPAYLOAD-8fff785dae78418a6b5b75ce,EXTSOURCE-8fff785dae78418a6b5b75ce,readiness_preserved_lineage
EXTEXTRACT-64bf3d022acdf37928b5dfe2,EXTPAYLOAD-8fff86ff106b503089134b74,EXTSOURCE-8fff86ff106b503089134b74,readiness_preserved_lineage
EXTEXTRACT-7388b5a9a3637823d0d3fea8,EXTPAYLOAD-900086e5e5e2b85407c64e4c,EXTSOURCE-900086e5e5e2b85407c64e4c,readiness_preserved_lineage
EXTEXTRACT-efc180992d8b4872124c7df9,EXTPAYLOAD-9002efbd53f14824f426d96a,EXTSOURCE-9002efbd53f14824f426d96a,readiness_preserved_lineage
EXTEXTRACT-7d9bb0e800ffb81eedc3d052,EXTPAYLOAD-9008087c5cf8ddae8be92de6,EXTSOURCE-9008087c5cf8ddae8be92de6,readiness_preserved_lineage
EXTEXTRACT-fa3c64e5a7dd53cdc3b2d04a,EXTPAYLOAD-90091602f5701ee7462af14d,EXTSOURCE-90091602f5701ee7462af14d,readiness_preserved_lineage
EXTEXTRACT-c8237b17a7bfcb56ce0799ee,EXTPAYLOAD-900a7d27d9776d76b168fb76,EXTSOURCE-900a7d27d9776d76b168fb76,readiness_preserved_lineage
EXTEXTRACT-2de202878d3671389e60487e,EXTPAYLOAD-900e164864cc116cd45ba863,EXTSOURCE-900e164864cc116cd45ba863,readiness_preserved_lineage
EXTEXTRACT-0932252cc968b09de9943c9f,EXTPAYLOAD-90149de131bd3943ea629943,EXTSOURCE-90149de131bd3943ea629943,readiness_preserved_lineage
EXTEXTRACT-dd0b46e5fb4f8adcd6c93320,EXTPAYLOAD-9015a2e6380612f4db5763bc,EXTSOURCE-9015a2e6380612f4db5763bc,readiness_preserved_lineage
EXTEXTRACT-ebb5dfa91b6d50f95d739c74,EXTPAYLOAD-9015bf8ee2c0c644c6bf1545,EXTSOURCE-9015bf8ee2c0c644c6bf1545,readiness_preserved_lineage
EXTEXTRACT-49f917c8f41e52ce28e46955,EXTPAYLOAD-901b16a4a30f518da97ad75c,EXTSOURCE-901b16a4a30f518da97ad75c,readiness_preserved_lineage
EXTEXTRACT-4f125abb210c1bec583d61da,EXTPAYLOAD-901bc529f4d15631be9bbf60,EXTSOURCE-901bc529f4d15631be9bbf60,readiness_preserved_lineage
EXTEXTRACT-105fac67d53279a66542aade,EXTPAYLOAD-901c27f49c0870966c2be060,EXTSOURCE-901c27f49c0870966c2be060,readiness_preserved_lineage
EXTEXTRACT-db3ad1703ad0a8e165528848,EXTPAYLOAD-902158a7eb14c4cb4e8d5b79,EXTSOURCE-902158a7eb14c4cb4e8d5b79,readiness_preserved_lineage
EXTEXTRACT-0ff9eaf1506e665a4ab51752,EXTPAYLOAD-902b6f04dcad90d2f1c94eff,EXTSOURCE-902b6f04dcad90d2f1c94eff,readiness_preserved_lineage
EXTEXTRACT-00d5dfe09292a085d3f5e3b3,EXTPAYLOAD-902c517f7a9a5feb0c135684,EXTSOURCE-902c517f7a9a5feb0c135684,readiness_preserved_lineage
EXTEXTRACT-b143c7efb2ae7e266530c990,EXTPAYLOAD-9032365826eac9632d5b5cdd,EXTSOURCE-9032365826eac9632d5b5cdd,readiness_preserved_lineage
