MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids,retained_source_ids,duplicate_source_ids,prior_reuse_source_ids,candidate_ids,search_wave_provenance,municipality_names,states,periods,side_scopes,department_scopes,primary_source_family,root_event_ids,mechanism_event_ids,claim_ids,extraction_lane_id,extraction_lane_sequence
application/pdf,f7420494b6aa5dbcc7ce00196d59cbbb07a213a427237a5421c462e1a8987c9b,payroll_roster,0,172798,1,EXTPAYLOAD-8ee26f11fd5272e6050a6e9e,EXTSOURCE-8ee26f11fd5272e6050a6e9e,1,EXTREADYQ-ee1398d2cfdc9c5fe1ce879a,2,,unclear,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":1,""page_height_max"":612.0,""page_height_min"":612.0,""page_width_max"":792.0,""page_width_min"":792.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.7\r\n%µµµµ\r"",""sampled_image_object_count"":0,""sampled_page_count"":1,""sampled_text_characters"":3582,""valid_pdf_signature"":true}",,11,upgrades_growth_analysis|upgrades_local_wage_comparison,extraction_priority_high,True,2026-08-05T19:02:11.416787+00:00,0.023563,RESCAND-39e0aa5cf35d1cf9f6305e25,,MECHEXP-03f09635e6e0a62ffeca2eb2|MECHEXP-0de5f72eb1f1811bbe667b69|MECHEXP-40abfaabc0257e73c207ecbb|MECHEXP-586655b8fbdb768efc5fae6e|MECHEXP-67d07711867aecc7c9011521|MECHEXP-6ec061468b92d38346856563|MECHEXP-c3045ccdd24bec8dae2df139|MECHEXP-dca1fd88c0c27a16270eecc6|MECHEXP-e6f426483368ea895be6023d,ROOTCOMP-30d038a3a748c0609825fca0|ROOTCOMP-3e2916f42abeb07f56562528,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f7420494b6aa5dbcc7ce00196d59cbbb07a213a427237a5421c462e1a8987c9b.pdf,Amsterdam,False,Amsterdam_Env_2024.pdf,current_30_gib_store,2024,parse_text_pdf_extraction_queue,,readiness_lane_003,2446,usable_sampled_text_layer,EXTREADINESS-5c85e4297c73c618de4e3eef,parse_text_pdf_ready,high,,,unclear,payroll_and_earnings,direct_official_administrative_record,NY,,EXTSOURCE-8ee26f11fd5272e6050a6e9e,,,RESCAND-39e0aa5cf35d1cf9f6305e25,external_search_wave_002_exhaustive_residual,Amsterdam,NY,2024,unclear,unclear,payroll_and_earnings,ROOTCOMP-30d038a3a748c0609825fca0|ROOTCOMP-3e2916f42abeb07f56562528,MECHEXP-03f09635e6e0a62ffeca2eb2|MECHEXP-0de5f72eb1f1811bbe667b69|MECHEXP-40abfaabc0257e73c207ecbb|MECHEXP-586655b8fbdb768efc5fae6e|MECHEXP-67d07711867aecc7c9011521|MECHEXP-6ec061468b92d38346856563|MECHEXP-c3045ccdd24bec8dae2df139|MECHEXP-dca1fd88c0c27a16270eecc6|MECHEXP-e6f426483368ea895be6023d,,extraction_lane_002,2383
application/pdf,f978cbde0ecc980c6bb10d7adbfbe14b69cf106c903e727eaf9e8a70cdeb266d,other,0,3467563,1,EXTPAYLOAD-8ee44f2ce85ee94390653190,EXTSOURCE-8ee44f2ce85ee94390653190,1,EXTREADYQ-79ab5b9b1594d79f979d99e5,1,,fire,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":54,""page_height_max"":793.08,""page_height_min"":612.0,""page_width_max"":792.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.6\r%âãÏÓ\r\n"",""sampled_image_object_count"":5,""sampled_page_count"":5,""sampled_text_characters"":8335,""valid_pdf_signature"":true}",,11,upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T18:59:03.482372+00:00,0.097168,RESCAND-e7f7f5fec9120e3000245d38,,MECHEXP-073058048b354ee6eadc497e|MECHEXP-18f11d721c99ac5f9835385d|MECHEXP-2700b6b5dc1fe4a84dc1f3ca|MECHEXP-4c6e8fce0e0d38c170828f2d|MECHEXP-93bbeeca7bc69b96ad89baf3|MECHEXP-9ecde69fe8d49c60039eed1f|MECHEXP-db9d6d57ab6d86a7b2621bf5|MECHEXP-eb9b36c80b30c7af379fc1a0|MECHEXP-ec91b4e3b7396346804c8055,ROOTCOMP-28a759aa014548b8940d34b4|ROOTCOMP-d6123663a17e5150ab6f5228,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/f978cbde0ecc980c6bb10d7adbfbe14b69cf106c903e727eaf9e8a70cdeb266d.pdf,Chester,False,20-MED-10-1263.pdf,current_30_gib_store,2021,parse_text_pdf_extraction_queue,,readiness_lane_002,2457,usable_sampled_text_layer,EXTREADINESS-d2a5377fa62c48f98d76a133,parse_text_pdf_ready,medium,,recruitment_and_retention,fire,staffing_and_headcount,direct_official_administrative_record,OH,,EXTSOURCE-8ee44f2ce85ee94390653190,,,RESCAND-e7f7f5fec9120e3000245d38,external_search_wave_002_exhaustive_residual,Chester,OH,2021,fire,fire,staffing_and_headcount,ROOTCOMP-28a759aa014548b8940d34b4|ROOTCOMP-d6123663a17e5150ab6f5228,MECHEXP-073058048b354ee6eadc497e|MECHEXP-18f11d721c99ac5f9835385d|MECHEXP-2700b6b5dc1fe4a84dc1f3ca|MECHEXP-4c6e8fce0e0d38c170828f2d|MECHEXP-93bbeeca7bc69b96ad89baf3|MECHEXP-9ecde69fe8d49c60039eed1f|MECHEXP-db9d6d57ab6d86a7b2621bf5|MECHEXP-eb9b36c80b30c7af379fc1a0|MECHEXP-ec91b4e3b7396346804c8055,,extraction_lane_005,2366
application/pdf,6c21eb72cd47ad21bb5d8b61bb2016ac85552f1e2d864a024ae7966c3e15b68f,payroll_roster,0,392739,1,EXTPAYLOAD-8ee63df4fa5d00cbd9f813ee,EXTSOURCE-8ee63df4fa5d00cbd9f813ee,1,EXTREADYQ-7852fabb802d24aad83136ad,3,,police,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":9,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.5\r\n%úþ\r"",""sampled_image_object_count"":0,""sampled_page_count"":5,""sampled_text_characters"":12112,""valid_pdf_signature"":true}",,6,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:02:11.456825+00:00,0.03931,RESCAND-f49a806345bc7daa05430904,,MECHEXP-542e92c4a5a05d180343cc34|MECHEXP-a64920d9dcf70f5a5df92021|MECHEXP-b52f710961def8642f7d3582|MECHEXP-c9654758f1ab72d24ec916eb|MECHEXP-eebb38c74c63cd89f49a7a3d,ROOTCOMP-6b2d08c2e4dab3ca20c86ed9,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/6c21eb72cd47ad21bb5d8b61bb2016ac85552f1e2d864a024ae7966c3e15b68f.pdf,Cheltenham,False,_10102023-841,current_30_gib_store,2022,parse_text_pdf_extraction_queue,,readiness_lane_003,2447,usable_sampled_text_layer,EXTREADINESS-936c3cc4ab77e8f6b6fe9997,parse_text_pdf_ready,high,,staffing_and_headcount,police,payroll_and_earnings,direct_official_administrative_record,PA,,EXTSOURCE-8ee63df4fa5d00cbd9f813ee,,,RESCAND-f49a806345bc7daa05430904,external_search_wave_002_exhaustive_residual,Cheltenham,PA,2022,police,police,payroll_and_earnings,ROOTCOMP-6b2d08c2e4dab3ca20c86ed9,MECHEXP-542e92c4a5a05d180343cc34|MECHEXP-a64920d9dcf70f5a5df92021|MECHEXP-b52f710961def8642f7d3582|MECHEXP-c9654758f1ab72d24ec916eb|MECHEXP-eebb38c74c63cd89f49a7a3d,,extraction_lane_005,2367
application/pdf,640d985a58c7da22a6138b9d24ae45a961f5ffc32c27a9dca83eb006be45d01d,payroll_roster,0,262384,1,EXTPAYLOAD-8ef1565065b4341f9a29886d,EXTSOURCE-8ef1565065b4341f9a29886d,1,EXTREADYQ-f135ecd86283be224cd667a8,6,,non_safety,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":7,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.6\r%âãÏÓ\r\n"",""sampled_image_object_count"":1,""sampled_page_count"":5,""sampled_text_characters"":4837,""valid_pdf_signature"":true}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:55:56.378798+00:00,0.041676,EXTCAND-91118d1e3e7cb8dae67f61d7,,MECHEXP-4e9b641808cdea5ad2f16790|MECHEXP-6a550b31921b52adfe5260c0|MECHEXP-7e0d3d0a9fa4b3cd4402c374|MECHEXP-8ce2b360d442ea3b50633d3f|MECHEXP-8d93e1bf5b867be02f524500,ROOTCOMP-21839eb56764b0df8064ee4a,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/640d985a58c7da22a6138b9d24ae45a961f5ffc32c27a9dca83eb006be45d01d.pdf,Ithaca,False,_03012023-2642,current_30_gib_store,2023,parse_text_pdf_extraction_queue,,readiness_lane_001,2439,usable_sampled_text_layer,EXTREADINESS-00b7c5a5067d2c570e8f2400,parse_text_pdf_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,non_safety,multi_family_administrative_source,direct_official_administrative_record,NY,,EXTSOURCE-8ef1565065b4341f9a29886d,,,EXTCAND-91118d1e3e7cb8dae67f61d7,external_search_wave_001_compacted,Ithaca,NY,2023,non_safety,non_safety,multi_family_administrative_source,ROOTCOMP-21839eb56764b0df8064ee4a,MECHEXP-4e9b641808cdea5ad2f16790|MECHEXP-6a550b31921b52adfe5260c0|MECHEXP-7e0d3d0a9fa4b3cd4402c374|MECHEXP-8ce2b360d442ea3b50633d3f|MECHEXP-8d93e1bf5b867be02f524500,,extraction_lane_003,2377
application/pdf,4d7f2124fe31afbae97773e4d845ca57c1d29745c3c6f7460c57ec88658fb003,ordinance_or_resolution,0,844849,1,EXTPAYLOAD-8ef73d2f91061f92f3013c10,EXTSOURCE-8ef73d2f91061f92f3013c10,1,EXTREADYQ-0ba91bf3d9c9ace58df21d9a,6,,police,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":4,""page_height_max"":792.0,""page_height_min"":792.0,""page_width_max"":612.0,""page_width_min"":612.0,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.6\r%âãÏÓ\r\n"",""sampled_image_object_count"":4,""sampled_page_count"":4,""sampled_text_characters"":5521,""valid_pdf_signature"":true}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:07:51.674355+00:00,0.028383,EXTCAND-db3c9569b1e7631fb2be8891,,MECHEXP-18aa78a65ff3f106b783b7bf|MECHEXP-519d69ee0c6debc6830b42ab|MECHEXP-70442cd59ffa8cb3bebd56bc|MECHEXP-8ce7fe413b425232cbb61582|MECHEXP-a1f5c6b6586c0bde7ad9f050,ROOTCOMP-736600197db265015f0dd357,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/4d7f2124fe31afbae97773e4d845ca57c1d29745c3c6f7460c57ec88658fb003.pdf,Sisseton,False,2023-04-02-EXECUTED-Resolution,current_30_gib_store,2022,parse_text_pdf_extraction_queue,,readiness_lane_005,2442,usable_sampled_text_layer,EXTREADINESS-6084f30be20a35be291bce16,parse_text_pdf_ready,high,,benefits_and_total_compensation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,implementation_confirmation,direct_official_administrative_record,SD,,EXTSOURCE-8ef73d2f91061f92f3013c10,,,EXTCAND-db3c9569b1e7631fb2be8891,external_search_wave_001_compacted,Sisseton,SD,2022,police,police,implementation_confirmation,ROOTCOMP-736600197db265015f0dd357,MECHEXP-18aa78a65ff3f106b783b7bf|MECHEXP-519d69ee0c6debc6830b42ab|MECHEXP-70442cd59ffa8cb3bebd56bc|MECHEXP-8ce7fe413b425232cbb61582|MECHEXP-a1f5c6b6586c0bde7ad9f050,,extraction_lane_002,2384
text/html; charset=utf-8,0f4d630e4746a13e37f802fc0ccb151747f855a3e42b1729cd1cb03673fe272d,payroll_roster,0,156668,1,EXTPAYLOAD-8ef9bc833dcc77d0e62cb321,EXTSOURCE-8ef9bc833dcc77d0e62cb321,1,EXTREADYQ-2b100acc84a79994e1a14090,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":156668,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":5,""link_count"":60,""navigation_density"":0.099338,""payload_bytes"":156668,""row_element_count"":0,""script_count"":56,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":4190}",,14,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:00:44.217963+00:00,0.002517,EXTCAND-6fba899076b84208156323bb,,MECHEXP-067203eee148b33ca4611474|MECHEXP-0bd7bbfd371906cf90a1c56d|MECHEXP-1b29e715e15aa590cda029aa|MECHEXP-2940df81e543b43d400cd634|MECHEXP-4f6b464af328856e77f63224|MECHEXP-5b1a1832c4ea2903769c89a4|MECHEXP-7dfeb4cf092ba741e678bfbd|MECHEXP-813fdea20a18231b14d3c07c|MECHEXP-83062d7a7232e9419396fa9a|MECHEXP-cf125c54d5d66f7df426089d|MECHEXP-e395aa2d4c4b67f38265228a,ROOTCOMP-471a1570145a7be0e7652999|ROOTCOMP-b0f967537f2356da5e4a4bc4|ROOTCOMP-c311975e50c628d0c3b0f2d4,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0f4d630e4746a13e37f802fc0ccb151747f855a3e42b1729cd1cb03673fe272d.html,Bronxville,False,jobs.aspx,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_003,1007,substantive_visible_html_text,EXTREADINESS-afef9b897e9a0d085e0c7a8d,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,NY,,EXTSOURCE-8ef9bc833dcc77d0e62cb321,,,EXTCAND-6fba899076b84208156323bb,external_search_wave_001_compacted,Bronxville,NY,2024,police,police,multi_family_administrative_source,ROOTCOMP-471a1570145a7be0e7652999|ROOTCOMP-b0f967537f2356da5e4a4bc4|ROOTCOMP-c311975e50c628d0c3b0f2d4,MECHEXP-067203eee148b33ca4611474|MECHEXP-0bd7bbfd371906cf90a1c56d|MECHEXP-1b29e715e15aa590cda029aa|MECHEXP-2940df81e543b43d400cd634|MECHEXP-4f6b464af328856e77f63224|MECHEXP-5b1a1832c4ea2903769c89a4|MECHEXP-7dfeb4cf092ba741e678bfbd|MECHEXP-813fdea20a18231b14d3c07c|MECHEXP-83062d7a7232e9419396fa9a|MECHEXP-cf125c54d5d66f7df426089d|MECHEXP-e395aa2d4c4b67f38265228a,,extraction_lane_003,976
text/html;charset=UTF-8,c5f344121d33a1e365982ac64ddd71c87783ff09f882191930f21bf56f7055b9,contract_or_mou,0,17084,1,EXTPAYLOAD-8efc2bcf52be96bdcc1df423,EXTSOURCE-8efc2bcf52be96bdcc1df423,1,EXTREADYQ-44bdc28bbcc607f0281133b5,4,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":17084,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":2,""link_count"":38,""navigation_density"":0.147287,""payload_bytes"":17084,""row_element_count"":0,""script_count"":11,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":1626}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:00:44.219123+00:00,0.00075,RESCAND-1b9858b6f735aff5cea6ffa3,,MECHEXP-196bcb317c1ea47597c748b7|MECHEXP-321d1a42bafb3bb351aab861|MECHEXP-a9ea63581618cb420df5fc8b|MECHEXP-f93ee8878c173eaa09a8ad18,ROOTCOMP-a37cc1b842e697864f38bf65,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/c5f344121d33a1e365982ac64ddd71c87783ff09f882191930f21bf56f7055b9.html,Caernarvon,False,FOP-Lodge-92-Wage-Contract-Analysis,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_003,1008,substantive_visible_html_text,EXTREADINESS-6f3a83a2a094194986436655,html_text_ready,high,,implementation_confirmation,police,benefits_and_total_compensation,official_administrative_summary,PA,,EXTSOURCE-8efc2bcf52be96bdcc1df423,,,RESCAND-1b9858b6f735aff5cea6ffa3,external_search_wave_002_exhaustive_residual,Caernarvon,PA,2024,police,police,benefits_and_total_compensation,ROOTCOMP-a37cc1b842e697864f38bf65,MECHEXP-196bcb317c1ea47597c748b7|MECHEXP-321d1a42bafb3bb351aab861|MECHEXP-a9ea63581618cb420df5fc8b|MECHEXP-f93ee8878c173eaa09a8ad18,,extraction_lane_003,977
text/html; charset=utf-8,238ab4a1444d9007eefb2881c771c30de461fff37a922bdab5ca0aca7bc45508,payroll_roster,0,206001,1,EXTPAYLOAD-8f011ad83e8fc6114a75b90c,EXTSOURCE-8f011ad83e8fc6114a75b90c,1,EXTREADYQ-fcacaa8eb2f309ebc5f9278b,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":206001,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":681,""navigation_density"":0.154457,""payload_bytes"":206001,""row_element_count"":14,""script_count"":19,""structured_data_script_count"":0,""table_count"":2,""valid_html_structure"":true,""visible_text_characters"":30374}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:44.495936+00:00,0.004931,RESCAND-a1a3936effbb43dd5fb974bf,,MECHEXP-1aea0d9c2adaa45b4566ef1c|MECHEXP-2f97251a9ee2f64d8517133a|MECHEXP-6fef61676dfee36ea32ebe45|MECHEXP-c9156aa74daed04060f6a6fd|MECHEXP-fbddf3a49c5aa01c964fa4ff,ROOTCOMP-110405f4f84f424b160d00ff,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/238ab4a1444d9007eefb2881c771c30de461fff37a922bdab5ca0aca7bc45508.html,Bagley,False,idcplg,current_30_gib_store,2023,html_table_candidate_queue,,readiness_lane_005,1003,html_table_structure_present,EXTREADINESS-c0bc748e82dfa9d948557f06,html_table_candidate_ready,high,table_candidate,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,MN,,EXTSOURCE-8f011ad83e8fc6114a75b90c,,,RESCAND-a1a3936effbb43dd5fb974bf,external_search_wave_002_exhaustive_residual,Bagley,MN,2023,unclear,unclear,payroll_and_earnings,ROOTCOMP-110405f4f84f424b160d00ff,MECHEXP-1aea0d9c2adaa45b4566ef1c|MECHEXP-2f97251a9ee2f64d8517133a|MECHEXP-6fef61676dfee36ea32ebe45|MECHEXP-c9156aa74daed04060f6a6fd|MECHEXP-fbddf3a49c5aa01c964fa4ff,,extraction_lane_001,1030
text/html; charset=utf-8,d4b32f05a89a1a849727fa075045788dc1007d1ffe2c4332d396960ef8b7cc2a,ordinance_or_resolution,0,166749,1,EXTPAYLOAD-8f02c4a4533a4c30d3b849d1,EXTSOURCE-8f02c4a4533a4c30d3b849d1,1,EXTREADYQ-b54f6caeddb89e223bc7a282,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":166749,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":102,""navigation_density"":0.214737,""payload_bytes"":166749,""row_element_count"":0,""script_count"":79,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3111}",,17,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:03:44.477620+00:00,0.003185,EXTCAND-9026d59d92b6f925b13f09bc,,MECHEXP-0e3be0510c40578dc9ae50a8|MECHEXP-10154ebfd224cc11892cd106|MECHEXP-1c4c6f3e822888e4befe33be|MECHEXP-41e2e8fc0a41034344456ea4|MECHEXP-64f7a6c91228a82cbdad8dd6|MECHEXP-69f9279f8a7bb8d479e7806c|MECHEXP-73ba0a74d835deca906f7c04|MECHEXP-78c61d10b770e5542b73ee62|MECHEXP-86f1ca7a79b1c0d221cc9e2d|MECHEXP-a72f3edf6089d8d9b6a40a32|MECHEXP-ac7c058c80a3e10a5209be7d|MECHEXP-bf38df7a017c373599d04730|MECHEXP-fdad236287bf8ad796e6d1a6,ROOTCOMP-09884edb699391452777dfc8|ROOTCOMP-37fd6599c5a45b911d93a82f|ROOTCOMP-513d92a56b25effb2c08b3e6|ROOTCOMP-5912e6d58fa4478ec23ba12d,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d4b32f05a89a1a849727fa075045788dc1007d1ffe2c4332d396960ef8b7cc2a.html,Lancaster,False,Budget-Financial-Information,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_004,1013,substantive_visible_html_text,EXTREADINESS-4e43b0f7d4b4f8c2782be264,html_text_ready,high,,benefits_and_total_compensation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,police,implementation_confirmation,official_administrative_summary,NY,,EXTSOURCE-8f02c4a4533a4c30d3b849d1,,,EXTCAND-9026d59d92b6f925b13f09bc,external_search_wave_001_compacted,Lancaster,NY,2024,police,police,implementation_confirmation,ROOTCOMP-09884edb699391452777dfc8|ROOTCOMP-37fd6599c5a45b911d93a82f|ROOTCOMP-513d92a56b25effb2c08b3e6|ROOTCOMP-5912e6d58fa4478ec23ba12d,MECHEXP-0e3be0510c40578dc9ae50a8|MECHEXP-10154ebfd224cc11892cd106|MECHEXP-1c4c6f3e822888e4befe33be|MECHEXP-41e2e8fc0a41034344456ea4|MECHEXP-64f7a6c91228a82cbdad8dd6|MECHEXP-69f9279f8a7bb8d479e7806c|MECHEXP-73ba0a74d835deca906f7c04|MECHEXP-78c61d10b770e5542b73ee62|MECHEXP-86f1ca7a79b1c0d221cc9e2d|MECHEXP-a72f3edf6089d8d9b6a40a32|MECHEXP-ac7c058c80a3e10a5209be7d|MECHEXP-bf38df7a017c373599d04730|MECHEXP-fdad236287bf8ad796e6d1a6,,extraction_lane_003,978
application/pdf,23aad7169b4ded4f4567b27cb1ee4a7a581eda60d988be18f7c4a1393fd38c37,ordinance_or_resolution,0,159875,1,EXTPAYLOAD-8f03eef9d8070c9e67dd2447,EXTSOURCE-8f03eef9d8070c9e67dd2447,1,EXTREADYQ-9b899d2eb2445a60464b0c75,4,,police,pdf,False,"{""diagnostic_text_persisted"":false,""embedded_attachment_names"":0,""empty_text_sampled_pages"":0,""encrypted"":false,""likely_image_only"":false,""page_count"":9,""page_height_max"":841.92,""page_height_min"":841.92,""page_width_max"":595.32,""page_width_min"":595.32,""password_restriction"":false,""pdf_eof_marker_present"":true,""pdf_header"":""%PDF-1.5\r\n%µµµµ\r"",""sampled_image_object_count"":0,""sampled_page_count"":5,""sampled_text_characters"":14427,""valid_pdf_signature"":true}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:04:48.711109+00:00,0.060419,RESCAND-201cdcab2cc877d508e4e756,,MECHEXP-14663cb9ed722935a09c50a4|MECHEXP-56f75b4a27bc24d2c167c0ee|MECHEXP-b7c7ffe4b24fbaf3ec48d50b|MECHEXP-c1c46c8449fc6aa00b56c7f4|MECHEXP-dc97a0137b1f0675f2802d03,ROOTCOMP-1932437b01fb1eb1c7b62f70,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/23aad7169b4ded4f4567b27cb1ee4a7a581eda60d988be18f7c4a1393fd38c37.pdf,Blendon,False,08-02-2017_3-32-34_Township_Cemetery_Ordinance_091311.pdf,current_30_gib_store,2021,parse_text_pdf_extraction_queue,,readiness_lane_004,2423,usable_sampled_text_layer,EXTREADINESS-ab67ed43937fc92b4a83dd58,parse_text_pdf_ready,high,,,police,implementation_confirmation,direct_official_administrative_record,OH,,EXTSOURCE-8f03eef9d8070c9e67dd2447,,,RESCAND-201cdcab2cc877d508e4e756,external_search_wave_002_exhaustive_residual,Blendon,OH,2021,police,police,implementation_confirmation,ROOTCOMP-1932437b01fb1eb1c7b62f70,MECHEXP-14663cb9ed722935a09c50a4|MECHEXP-56f75b4a27bc24d2c167c0ee|MECHEXP-b7c7ffe4b24fbaf3ec48d50b|MECHEXP-c1c46c8449fc6aa00b56c7f4|MECHEXP-dc97a0137b1f0675f2802d03,,extraction_lane_005,2368
