canonical_source_record_id,canonical_payload_id,extraction_result_id,primary_terminal_status,modality_status,artifact_count,artifact_bytes,character_count,page_count,table_count,structured_record_count,candidate_ids,root_event_ids,mechanism_event_ids,claim_ids,municipality,state,period,side_scope,department_scope,source_family,administrative_source_type,extraction_priority,propagation_basis
EXTREADYQ-a38d66540c69f88eb1e56f75,EXTPAYLOAD-48860f08444a6a26302ae630,EXTEXTRACT-ef241cc86d336435f7a676e4,extracted_text_ok,pdf_extracted_ok,3,27746,83759,45,0,0,RESCAND-33e9631adb184f2ecb894a6c,ROOTCOMP-3b834027b3192e3098816e18,MECHEXP-0a38c4ac28a51c244888c487|MECHEXP-70cc48aee65892b1b1f8e72a|MECHEXP-89673c339206942ed001d5c3|MECHEXP-f7ee9cf7febd7a20bf287008,,Austin,MN,2019,unclear,unclear,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-8a78b9be7b7e40bb0090a6d8,EXTPAYLOAD-489077f8a631f82a512a683c,EXTEXTRACT-88a992544ffb8934b2490d63,extracted_text_ok,html_text_extracted_ok,5,2768,1313,0,0,0,RESCAND-bf592e549432df5b55495e11,ROOTCOMP-469580b4763553e8fa04d6db,MECHEXP-1029d4c4bf352d442337ca1c|MECHEXP-61f2d4eeb4966fe61dc2268b|MECHEXP-702b0a872b120e8899b28912|MECHEXP-b37531bfb6674b9846544ea1|MECHEXP-f68e34ca2dcaaeec67d07de7,,Brimfield,MA,2023,unclear,unclear,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-5602910be5813957dc24baa6,EXTPAYLOAD-4893c1f1b31a059469ad8d1a,EXTEXTRACT-8d56f315c47901bd53db99c9,extracted_text_and_structured_ok,html_text_and_tables_extracted_ok,5,3503,2344,0,1,0,RESCAND-0dcd2703d0cabe07feca5394,ROOTCOMP-9db1bffc8c1e5c415091b8ec,MECHEXP-141988089bd10c949f71b9f0|MECHEXP-1944666b234329e645573b21|MECHEXP-50bf7b1628b6ee653262ec1d|MECHEXP-9a8defe42ccc7894e7500bd2|MECHEXP-b144414c92b59a9a4f326bf1,,Chesaning,MI,2023,unclear,unclear,contextual_controls,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-4d559a848a84fdc4dd53b8d0,EXTPAYLOAD-4897fb60a8ecd834b2587a9a,EXTEXTRACT-fcfae338e47f2ae510221579,extracted_text_and_structured_ok,html_text_and_tables_extracted_ok,5,8747,14297,0,3,0,RESCAND-72209ad5b56a481ae518cc87,ROOTCOMP-f38b13102a07cce326db092a,MECHEXP-4186a69317f78a896836d78e|MECHEXP-4c4bdb59928cd6bca6de3622|MECHEXP-830451f5aeebec0b241f068f|MECHEXP-ba6611e04682a3a55f8fc914|MECHEXP-d624846dd60eb218d5056453,,Biscayne Park,FL,2014,police,police,implementation_confirmation,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-169467be084f9fdba5c8516a,EXTPAYLOAD-489f37dc8d306b01aba384dc,EXTEXTRACT-c9a8b6453361422b70c1d665,extracted_text_ok,pdf_extracted_ok,3,61084,207054,81,0,0,EXTCAND-f9b88c1c091bc00c457714f3,ROOTCOMP-2dc0a12c28d7bad029440927,MECHEXP-510b67c24483a1dd7d36e16d|MECHEXP-7650f647a440843a0aa0633f|MECHEXP-9cebe7df5534cb43a9629f98|MECHEXP-d2dd3a2db354162e01739edf,,Monticello,NY,undated,all_units,all_units,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-293561e35d0246a88f596441,EXTPAYLOAD-48a4f1132165be72b7658b38,EXTEXTRACT-361e8442f37f5c9fe444f44d,extracted_text_and_structured_ok,html_text_and_tables_extracted_ok,5,27045,54461,0,5,0,RESCAND-fa13d979ba5ca98e4daa29d0,ROOTCOMP-2d37a8a5660d4b9f3b6af254,MECHEXP-0840c2377c4beb9cbb298537|MECHEXP-0c6a46c61aa312241d1ea9a2|MECHEXP-5d51df67d8c0109154a7295b|MECHEXP-c254dc04100a1d37a3de7a0b|MECHEXP-d754172da4e6dae20100ee0d,,Altamont,KS,2024,police,police,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-00807bb8e94349d0ba1026c2,EXTPAYLOAD-48a6507cae98aac8b1115518,EXTEXTRACT-0bdd7e2fc0e36014191a8a81,extracted_text_and_structured_ok,html_text_and_tables_extracted_ok,5,14794,27786,0,2,0,EXTCAND-d8ed62663057cc5f8c55025b,ROOTCOMP-678cf9754dfe5e6ea83f8690,MECHEXP-2079c440a069fdc786e62ff3|MECHEXP-2fc11ca12fc890c5f43821a8|MECHEXP-3333a707fdf51396e07fe28f|MECHEXP-b1fc7d9ac7900d4539d7120a,,Colma,CA,2018,all_units,all_units,staffing_and_headcount,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-56e8fbd82369b9a30c036df4,EXTPAYLOAD-48a79851b0fb5e3bce0c468c,EXTEXTRACT-4d8a11ab417a7cf6963be27c,extracted_text_ok,html_text_extracted_ok,5,10127,17072,0,0,0,RESCAND-624800901284b00d783b42db,ROOTCOMP-4b0d4cde888bccb30a193906|ROOTCOMP-5a250f6c6086ed0175709efd|ROOTCOMP-834a238660aa7b68240f46e2,MECHEXP-027eab439e704d1ddbb31c1d|MECHEXP-3467b2d9412becfa8bdae043|MECHEXP-4491c7bc31747edb23ee7d63|MECHEXP-5fce9a6aec97f15929688740|MECHEXP-67a22aef1316f1983ad92d53|MECHEXP-8d45fce2657c8cabc8b0d2c7|MECHEXP-914f8622bdd3b8f99dd0ed4a|MECHEXP-bb45c1fbe82f04168c726542|MECHEXP-df8ca8e00a318da0f5dfe910,,Benson,MN,2024,unclear,unclear,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-8a47feafc611e378bf885421,EXTPAYLOAD-48b896d4c715d12804fa2906,EXTEXTRACT-910d71c77ddcf2ceffe3e930,extracted_text_ok,html_text_extracted_ok,5,11372,22993,0,0,0,RESCAND-ca8fce293f5c2742809e2df0,ROOTCOMP-870b69c284e81540c80d3be8|ROOTCOMP-cb727826f267c7b095d6952e,MECHEXP-09dba2367587baa38e3775cf|MECHEXP-4060c820550be4ea17f775f7|MECHEXP-50e5514e5f9b7ebacb10c8b0|MECHEXP-5cef9e0b106059e99a5121ae|MECHEXP-89e9b5c5145908a677f62426|MECHEXP-a89379d83367f5f2ebfcd55a|MECHEXP-c41cf0984c87c572909bbbbe,,Beloit,WI,undated-source-B4X2500LIVE-20260729-003392,police,police,implementation_confirmation,ordinance_or_resolution,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-d7e14b839f0b89941bd7fa0a,EXTPAYLOAD-48bb76cc2b3074b77632d108,EXTEXTRACT-86a3fc632b255fab4e5eb105,extracted_text_ok,html_text_extracted_ok,5,5747,6326,0,0,0,RESCAND-5e40b446cc92374ca4eecb28,ROOTCOMP-73b8948fdf48c3241c9ee7cb|ROOTCOMP-cae41083bf85b211e5b22514,MECHEXP-16ddde162442de6afa56cb88|MECHEXP-50dc419a49ec6b258cd18272|MECHEXP-6a67973b6b2c2f5c7db81fba|MECHEXP-a0ce5714b587c881a5c247fc|MECHEXP-d9205f3ee72d8ca8d3c53990|MECHEXP-dcd1b6bd77a20ae36bad088d|MECHEXP-fd706d8cc3c04e0597a3e96d,,Casey,IL,undated-source-B4X2500LIVE-20260729-005063,police,police,multi_family_administrative_source,government_dataset,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-e60cfc2e1e7b59dac5ac1c22,EXTPAYLOAD-48c0dc54a09376d643fa3a35,EXTEXTRACT-4adf0914de3a1ec8c262f3d2,extracted_text_ok,pdf_extracted_ok,3,47839,160751,101,0,0,EXTCAND-fbc5f3429cfae4d799974a0d,ROOTCOMP-a6f445010b9ebec3558283c7,MECHEXP-00fdf464ed1266bfdbf6cae7|MECHEXP-05a18d26738a6591af7715b5|MECHEXP-39d13ccc4f6af4b2462d4909|MECHEXP-6d5c6d57d7db3807317268e7|MECHEXP-9094456b4ba78b5d9e2124b8|MECHEXP-d989de433ac659353252ce88|MECHEXP-de9ddfdcfd2eaffc471e044f,,Oak Park Heights,MN,2023,police,police,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-42252a6e09ae8cc49acddec2,EXTPAYLOAD-48c29436eea6a00daa7afc0a,EXTEXTRACT-076e2b662ae33e0be7bb1f09,extracted_text_ok,html_text_extracted_ok,5,3499,2613,0,0,0,RESCAND-28bcf9ef5fe0956720375d1b,ROOTCOMP-64c382951e5a4d2a088c62d7,MECHEXP-04c140a3db8a13eba85de781|MECHEXP-0d407a31a6a8f041d84ba0dd|MECHEXP-2c90d58f28b4c8f06da19091|MECHEXP-8bc25105893f6ca0c3247a10|MECHEXP-d77e56dc205629af2e5b1c7c,,Bloom,OH,2019,fire,fire,contextual_controls,government_dataset,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-4f697393e0a7e3198406b704,EXTPAYLOAD-48c566e2dcd55a337fa19afc,EXTEXTRACT-31e2d9387ba113151944b6e0,extracted_text_ok,pdf_extracted_ok,3,344222,1156245,1075,0,0,RESCAND-1b75df6262ad6712df6e5b21,ROOTCOMP-50b310ccb083f249de381cc8|ROOTCOMP-55d6d7e5218640ef3a9713a4,MECHEXP-1307204c682b0d9f3b2d41c9|MECHEXP-2c5ca6fff4d022936d049211|MECHEXP-4dc4155acf4ef53fe7f9f6ba|MECHEXP-58e432aace24e5fc86a43ab2|MECHEXP-59046a56bd0e817ecdc29bfb|MECHEXP-910e8c9b62571daa788c1444|MECHEXP-a666337b45757f722b63593e|MECHEXP-cd91b66fb48a1236f8729f66|MECHEXP-d40129bc7d426ffbc7d0200a,,Austin,MN,2026,unclear,unclear,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-b24b3cbcb5c12f15cdb6aaba,EXTPAYLOAD-48cdb324d333badb300d5572,EXTEXTRACT-f7090c520eb4fdd8c3c80d4f,extracted_text_and_structured_ok,html_text_and_tables_extracted_ok,5,9539,11508,0,1,0,RESCAND-90f7a2cd545c06bde03a19b7,ROOTCOMP-cb596b07b63ca45314acb50a,MECHEXP-3402ad339a9d3c356f61304b|MECHEXP-37095a20659e577ec34a3171|MECHEXP-38fcb5afdfd7736a0bb2b66b|MECHEXP-7cf43fb4a61e224c9b657e02|MECHEXP-e22be5f9d48da103c97dca45,,Avery,TX,2022,unclear,unclear,multi_family_administrative_source,ordinance_or_resolution,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-8b2fe028661e77f67edf5fff,EXTPAYLOAD-48cdbb4ddde5c7f0af0e6cdc,EXTEXTRACT-e4e436719d6bbd05ddc5d3df,extracted_text_ok,pdf_extracted_ok,3,43362,238295,39,0,0,EXTCAND-fe0ab735654bc99c59dd9b1d,ROOTCOMP-2afc64bbe34ce822e4f83ae3|ROOTCOMP-ad33206b0375b5486761cded|ROOTCOMP-efc0ac54da17be32e995df0c,MECHEXP-16539b200e691f9dbba9797a|MECHEXP-1ae6eed11ab12a8fb0299a07|MECHEXP-2453e4ab6ae6d634c11fd439|MECHEXP-54e60936d65a053cd8585967|MECHEXP-6d50b58846d227a722f1af9a|MECHEXP-7f06adb6af8d5458afbe1754|MECHEXP-865ce83dda760313600fe312|MECHEXP-b649945c98b77f5e63083418|MECHEXP-c4179e883d4aa1e0f844827c|MECHEXP-c5fcbc50520755123f0b7988|MECHEXP-f00a1894dee074713ce4396e,,Middlesex,PA,2025,police|side_independent,police|side_independent,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-a4dbcdd23755b4082c156e38,EXTPAYLOAD-48ce960d1c44c138e44cc48f,EXTEXTRACT-0f25562470294b18fc52a820,extracted_structured_ok,csv_extracted_ok,3,4647,5213,0,1,85,EXTCAND-bc1eccc9535b47b345c1ffad,ROOTCOMP-b30f4aa8dc592a0a6ee007ec,MECHEXP-2457c07e5a803ba30eeac1a5|MECHEXP-4bcbc2ff2d75f0f868638ab7|MECHEXP-a0c92a02c1160052f0452cb4|MECHEXP-a7f641320d0b6201b78d1638|MECHEXP-a896db7e2c56603a0a6932a8|MECHEXP-cb6e89b54b2811c9d42a7007|MECHEXP-fc2f3001cdf5394b0e0ad044,,Sugar Grove,IL,2023,all_units,all_units,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-a5aa5baf38811a66b96dc7e5,EXTPAYLOAD-48d091f60feb668af3ceb3aa,EXTEXTRACT-03526a22dbb44edcaedc9161,extracted_text_and_structured_ok,html_text_tables_and_structured_extracted_ok,5,9578,6301,0,1,1,EXTCAND-f3dd84a96368dc5f8030896e,ROOTCOMP-8c160410286cee2cbdbb023a,MECHEXP-0d3615ca33a26e8fe099a463|MECHEXP-5cb19f5349681f53a396aaf8|MECHEXP-60a6e2e43b259ca20a226ea5|MECHEXP-e22fd2c34b9f795041c43656|MECHEXP-e2f9a4c14c91fa6e677bfcc0,,Lake Placid,NY,undated,all_units,all_units,multi_family_administrative_source,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-3aed5e61d8b5a82418643716,EXTPAYLOAD-48d541b310de934195366d09,EXTEXTRACT-238a4f0caa209a9eb9b68edc,extracted_text_and_structured_ok,html_text_and_structured_extracted_ok,5,48958,748,0,0,9,EXTCAND-4c4b772cd6ab3902f8fe842c,ROOTCOMP-082b14a882e37fc48f438e4e,MECHEXP-0f3376615b52a1fe9ff7c7ae|MECHEXP-1c78f46b0bbf9988c236928f|MECHEXP-5055036a48928e606e43a1f7|MECHEXP-7350b08408c7eb0541442248,,Mosinee,WI,undated,all_units,all_units,implementation_confirmation,salary_schedule,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-a1f4ba590895fcc81f9d4e65,EXTPAYLOAD-48d924b7362ccd32227b2a18,EXTEXTRACT-2d8f7bf6a6205f55a94ab231,extracted_text_and_structured_ok,html_text_and_structured_extracted_ok,5,68749,2817,0,0,9,EXTCAND-eca64af335f4aa7f3d5acff1,ROOTCOMP-6a0dcd72b36dbbde7a577cba,MECHEXP-1df38ea75975b902dff047ca|MECHEXP-247601648b125738b263bfc6|MECHEXP-c5a4aeef98eeb3e8a4646d62|MECHEXP-e6258a487763ec5a6eeba14d,,Nimishillen,OH,2023,all_units,all_units,implementation_confirmation,ordinance_or_resolution,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-e62136d91ed868af0fe571f2,EXTPAYLOAD-48db5894635e05619f01993b,EXTEXTRACT-61555bf6d20dfe579ee1c5de,extracted_text_ok,pdf_extracted_ok,3,1949,2130,2,0,0,RESCAND-abff94839ad367e61b693886,ROOTCOMP-9a1ae9473389bc73d28446af,MECHEXP-18f1506410cbbc35f3f547a8|MECHEXP-4a16408f120d94c3bd4dc0bd|MECHEXP-7bb2defb4cc00e606b4360e4|MECHEXP-c970142a17afcea829075aee,,Blissfield,MI,2025,unclear,unclear,implementation_confirmation,budget,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-6729d84936349c826f597508,EXTPAYLOAD-48e6e8fc7d849d337e7a7ef7,EXTEXTRACT-e38b7c63da9d57d47e50141e,extracted_text_and_structured_ok,html_text_and_tables_extracted_ok,5,3576,1553,0,4,0,EXTCAND-f8c5a1b2522980e2439614b9,ROOTCOMP-bcc3693fe8feb5d3a3f2ceba,MECHEXP-45db9b8d1c40a4c07e6a800e|MECHEXP-5a51310fdb39c50c4da07b5c|MECHEXP-6a8f322f3f905690b8b04489|MECHEXP-7c55cc55bcd043601f716637|MECHEXP-ba8738623615ae16faa9163b,,Granville,NY,2018,police,police,implementation_confirmation,ordinance_or_resolution,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
EXTREADYQ-96bdfc8490daa566e60e7eb9,EXTPAYLOAD-48e8e52e5c4d2c083844d05c,EXTEXTRACT-c53acb7654d0a08b5ad50b0c,extracted_text_and_structured_ok,html_text_and_structured_extracted_ok,5,20023,33870,0,0,2,RESCAND-eea8da6b55fe07c7399aab3e,ROOTCOMP-4b0d4cde888bccb30a193906|ROOTCOMP-5a250f6c6086ed0175709efd|ROOTCOMP-834a238660aa7b68240f46e2,MECHEXP-027eab439e704d1ddbb31c1d|MECHEXP-3467b2d9412becfa8bdae043|MECHEXP-4491c7bc31747edb23ee7d63|MECHEXP-5fce9a6aec97f15929688740|MECHEXP-67a22aef1316f1983ad92d53|MECHEXP-8d45fce2657c8cabc8b0d2c7|MECHEXP-914f8622bdd3b8f99dd0ed4a|MECHEXP-bb45c1fbe82f04168c726542|MECHEXP-df8ca8e00a318da0f5dfe910,,Benson,MN,2024,unclear,unclear,payroll_and_earnings,payroll_roster,extraction_priority_high,one_physical_extraction_to_all_canonical_source_lineage
