claim_id,claim_key,claim_title,careful_claim_text,evidence_basis_summary,valid_rating_count,report_ready_count,supporting_example_count,context_only_count,normalization_needed_count,excluded_count,average_strength_score,median_strength_score,caveats,normalization_dependency,causal_prevalence_boundary_warning,recommended_pi_report_placement,finding_classification,mechanism_cluster
B4X2500-CLAIM-20260730-001,non_base_compensation,Non-base compensation is a distinct compensation-growth channel,"Within the processed rated corpus, non-base compensation appears as a substantial compensation channel through longevity, shift, hazard, specialty, certification, education, stipend, allowance, and premium-pay provisions.","Derived from 3,718 schema-valid rated spans matching the controlled non_base_compensation definition.",3718,30,42,2476,1170,0,1.646,1.0,These components require separate classification from base pay before comparative compensation analysis.,true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,non_base_compensation
B4X2500-CLAIM-20260730-002,base_wage_values,Direct base-wage and schedule evidence is quantitatively promising,The processed rated corpus contains a substantial pool of direct compensation values and wage schedules that is potentially useful for quantitative analysis after normalization.,"Derived from 11,610 schema-valid rated spans matching the controlled base_wage_values definition.",11610,27,16,4419,5533,1615,1.452,1.0,"Hourly/annual units, base/non-base status, occupation, rank, step, effective period, and municipality-cycle alignment remain unresolved.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,quantitative_base_wage_needs_normalization
B4X2500-CLAIM-20260730-003,implementation_retroactivity,Implementation timing and retroactivity shape realized timing,"Rated evidence frequently identifies implementation dates, retroactivity, settlement timing, and delayed payment as mechanisms that can affect when negotiated wage gains are realized.","Derived from 2,230 schema-valid rated spans matching the controlled implementation_retroactivity definition.",2230,90,134,858,1148,0,2.012,2.0,Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,timing_implementation
B4X2500-CLAIM-20260730-004,automatic_raises,Automatic raises recur as a documentary wage-growth mechanism,"Within the processed rated corpus, automatic wage-growth provisions—including scheduled increases, percentage raises, and indexed adjustments—form a recurring documentary mechanism.","Derived from 1,431 schema-valid rated spans matching the controlled automatic_raises definition.",1431,27,18,379,1007,0,2.574,2.0,"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,automatic_wage_growth
B4X2500-CLAIM-20260730-005,rank_specialization,"Rank, step, specialization, and classification structures support progression","Rank, step, grade, specialization, and classification structures recur in report-usable evidence and provide plausible channels for wage progression within bargaining units.",Derived from 763 schema-valid rated spans matching the controlled rank_specialization definition.,763,3,5,211,544,0,2.427,2.0,"Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,rank_step_specialization_classification
B4X2500-CLAIM-20260730-006,quantitative_normalization,Quantitative evidence requires normalization before comparison,The processed rated corpus contains a substantial pool of direct compensation values and wage schedules that is potentially useful for quantitative analysis after normalization.,"Derived from 11,548 schema-valid rated spans matching the controlled quantitative_normalization definition.",11548,0,0,4400,5533,1615,1.446,1.0,"Hourly/annual units, base/non-base status, occupation, rank, step, effective period, and municipality-cycle alignment remain unresolved.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,quantitative_base_wage_needs_normalization
B4X2500-CLAIM-20260730-007,cola_cpi,COLA/CPI language is a recurring contract mechanism,"Within the processed rated corpus, COLA/CPI and inflation-indexing language appears as a recurring contract mechanism for scheduled wage adjustment.",Derived from 394 schema-valid rated spans matching the controlled cola_cpi definition.,394,0,0,168,208,18,2.066,2.0,"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,automatic_wage_growth
B4X2500-CLAIM-20260730-008,percentage_increases,Across-the-board percentage increases recur in compensation language,"Among valid rated spans, across-the-board percentage and growth values provide recurring documentary evidence of scheduled compensation changes.","Derived from 1,381 schema-valid rated spans matching the controlled percentage_increases definition.",1381,0,0,350,948,83,2.406,2.0,"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,automatic_wage_growth
B4X2500-CLAIM-20260730-009,step_schedule_progression,Step and schedule progression provide structured wage paths,"Rank, step, grade, specialization, and classification structures recur in report-usable evidence and provide plausible channels for wage progression within bargaining units.","Derived from 1,429 schema-valid rated spans matching the controlled step_schedule_progression definition.",1429,0,0,643,695,91,1.237,1.0,"Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,rank_step_specialization_classification
B4X2500-CLAIM-20260730-010,bargaining_arbitration,Bargaining and dispute resolution are plausible institutional mechanisms,"Rated evidence identifies bargaining, arbitration, factfinding, settlement, and strike/no-strike language as plausible institutional channels shaping municipal compensation terms in some documents.","Derived from 1,716 schema-valid rated spans matching the controlled bargaining_arbitration definition.",1716,264,198,1241,13,0,1.592,1.0,"The evidence identifies documentary mechanisms, not treatment effects or proof that dispute resolution raises wages.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,bargaining_dispute_resolution
