claim_id,claim_key,claim_title,careful_claim_text,evidence_basis_summary,valid_rating_count,report_ready_count,supporting_example_count,context_only_count,normalization_needed_count,excluded_count,average_strength_score,median_strength_score,evidence_quality_distribution,direction_distribution,top_source_families,top_states,top_regions,representative_paraphrases,caveats,normalization_dependency,causal_prevalence_boundary_warning,recommended_pi_report_placement,finding_classification,mechanism_cluster
B4X2500-CLAIM-20260730-001,non_base_compensation,Non-base compensation is a distinct compensation-growth channel,"Within the processed rated corpus, non-base compensation appears as a substantial compensation channel through longevity, shift, hazard, specialty, certification, education, stipend, allowance, and premium-pay provisions.","Derived from 3,718 schema-valid rated spans matching the controlled non_base_compensation definition.",3718,30,42,2476,1170,0,1.646,1.0,"{""high"":660,""moderate"":2476,""very_high"":582}","{""gap_narrowing"":1,""neutral_or_general"":1842,""non_safety_advantage"":345,""not_applicable"":1497,""safety_advantage"":33}","[[""cba"",1360],[""wage_schedule"",564],[""budget_or_pay_plan"",416],[""other_local_government_pay_policy"",243],[""arbitration_award"",235]]","[[""OH"",635],[""NY"",507],[""NJ"",320],[""MI"",311],[""MN"",266]]","[[""Midwest"",1788],[""Northeast"",1221],[""South"",529],[""West"",180]]","[""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review.""]",These components require separate classification from base pay before comparative compensation analysis.,true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,non_base_compensation
B4X2500-CLAIM-20260730-002,base_wage_values,Direct base-wage and schedule evidence is quantitatively promising,The processed rated corpus contains a substantial pool of direct compensation values and wage schedules that is potentially useful for quantitative analysis after normalization.,"Derived from 11,610 schema-valid rated spans matching the controlled base_wage_values definition.",11610,27,16,4419,5533,1615,1.452,1.0,"{""high"":2449,""moderate"":6034,""very_high"":3127}","{""gap_narrowing"":22,""neutral_or_general"":4705,""non_safety_advantage"":513,""not_applicable"":6330,""safety_advantage"":40}","[[""cba"",3360],[""wage_schedule"",2033],[""budget_or_pay_plan"",1716],[""agenda_packet_or_minutes"",1219],[""other_local_government_pay_policy"",788]]","[[""OH"",1560],[""NY"",1556],[""MI"",877],[""NJ"",825],[""MN"",765]]","[[""Midwest"",5341],[""Northeast"",3498],[""South"",2063],[""West"",708]]","[""The passage references market, comparison, recruitment, or retention context."",""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review.""]","Hourly/annual units, base/non-base status, occupation, rank, step, effective period, and municipality-cycle alignment remain unresolved.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,quantitative_base_wage_needs_normalization
B4X2500-CLAIM-20260730-003,implementation_retroactivity,Implementation timing and retroactivity shape realized timing,"Rated evidence frequently identifies implementation dates, retroactivity, settlement timing, and delayed payment as mechanisms that can affect when negotiated wage gains are realized.","Derived from 2,230 schema-valid rated spans matching the controlled implementation_retroactivity definition.",2230,90,134,858,1148,0,2.012,2.0,"{""high"":925,""moderate"":858,""very_high"":447}","{""gap_narrowing"":2,""neutral_or_general"":993,""non_safety_advantage"":90,""not_applicable"":1143,""safety_advantage"":2}","[[""cba"",761],[""wage_schedule"",339],[""agenda_packet_or_minutes"",211],[""budget_or_pay_plan"",189],[""arbitration_award"",189]]","[[""NY"",399],[""OH"",356],[""MI"",202],[""NJ"",201],[""MN"",135]]","[[""Midwest"",1055],[""Northeast"",778],[""South"",284],[""West"",113]]","[""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review.""]",Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,timing_implementation
B4X2500-CLAIM-20260730-004,automatic_raises,Automatic raises recur as a documentary wage-growth mechanism,"Within the processed rated corpus, automatic wage-growth provisions—including scheduled increases, percentage raises, and indexed adjustments—form a recurring documentary mechanism.","Derived from 1,431 schema-valid rated spans matching the controlled automatic_raises definition.",1431,27,18,379,1007,0,2.574,2.0,"{""high"":440,""moderate"":379,""very_high"":612}","{""gap_narrowing"":12,""neutral_or_general"":930,""non_safety_advantage"":81,""not_applicable"":408}","[[""cba"",295],[""budget_or_pay_plan"",266],[""agenda_packet_or_minutes"",225],[""wage_schedule"",217],[""arbitration_award"",170]]","[[""NY"",203],[""OH"",163],[""MI"",127],[""NC"",126],[""MN"",107]]","[[""Midwest"",644],[""Northeast"",399],[""South"",283],[""West"",105]]","[""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review.""]","This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,automatic_wage_growth
B4X2500-CLAIM-20260730-005,rank_specialization,"Rank, step, specialization, and classification structures support progression","Rank, step, grade, specialization, and classification structures recur in report-usable evidence and provide plausible channels for wage progression within bargaining units.",Derived from 763 schema-valid rated spans matching the controlled rank_specialization definition.,763,3,5,211,544,0,2.427,2.0,"{""high"":266,""moderate"":211,""very_high"":286}","{""gap_narrowing"":4,""neutral_or_general"":425,""non_safety_advantage"":32,""not_applicable"":289,""safety_advantage"":13}","[[""cba"",238],[""wage_schedule"",166],[""budget_or_pay_plan"",162],[""arbitration_award"",53],[""agenda_packet_or_minutes"",37]]","[[""OH"",127],[""NY"",99],[""NC"",84],[""MN"",61],[""MI"",58]]","[[""Midwest"",345],[""South"",190],[""Northeast"",184],[""West"",44]]","[""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review.""]","Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,rank_step_specialization_classification
B4X2500-CLAIM-20260730-006,quantitative_normalization,Quantitative evidence requires normalization before comparison,The processed rated corpus contains a substantial pool of direct compensation values and wage schedules that is potentially useful for quantitative analysis after normalization.,"Derived from 11,548 schema-valid rated spans matching the controlled quantitative_normalization definition.",11548,0,0,4400,5533,1615,1.446,1.0,"{""high"":2427,""moderate"":6015,""very_high"":3106}","{""gap_narrowing"":22,""neutral_or_general"":4681,""non_safety_advantage"":509,""not_applicable"":6296,""safety_advantage"":40}","[[""cba"",3341],[""wage_schedule"",2023],[""budget_or_pay_plan"",1705],[""agenda_packet_or_minutes"",1216],[""other_local_government_pay_policy"",783]]","[[""OH"",1553],[""NY"",1543],[""MI"",874],[""NJ"",820],[""MN"",759]]","[[""Midwest"",5313],[""Northeast"",3476],[""South"",2054],[""West"",705]]",[],"Hourly/annual units, base/non-base status, occupation, rank, step, effective period, and municipality-cycle alignment remain unresolved.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,core finding candidate,quantitative_base_wage_needs_normalization
B4X2500-CLAIM-20260730-007,cola_cpi,COLA/CPI language is a recurring contract mechanism,"Within the processed rated corpus, COLA/CPI and inflation-indexing language appears as a recurring contract mechanism for scheduled wage adjustment.",Derived from 394 schema-valid rated spans matching the controlled cola_cpi definition.,394,0,0,168,208,18,2.066,2.0,"{""high"":91,""moderate"":186,""very_high"":117}","{""gap_narrowing"":6,""neutral_or_general"":277,""non_safety_advantage"":31,""not_applicable"":80}","[[""budget_or_pay_plan"",103],[""wage_schedule"",73],[""agenda_packet_or_minutes"",49],[""arbitration_award"",41],[""cba"",34]]","[[""NC"",44],[""NY"",41],[""MN"",35],[""MI"",27],[""WI"",26]]","[[""Midwest"",148],[""South"",107],[""Northeast"",87],[""West"",52]]",[],"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,automatic_wage_growth
B4X2500-CLAIM-20260730-008,percentage_increases,Across-the-board percentage increases recur in compensation language,"Among valid rated spans, across-the-board percentage and growth values provide recurring documentary evidence of scheduled compensation changes.","Derived from 1,381 schema-valid rated spans matching the controlled percentage_increases definition.",1381,0,0,350,948,83,2.406,2.0,"{""high"":397,""moderate"":433,""very_high"":551}","{""gap_narrowing"":12,""neutral_or_general"":880,""non_safety_advantage"":70,""not_applicable"":419}","[[""budget_or_pay_plan"",287],[""agenda_packet_or_minutes"",241],[""cba"",234],[""wage_schedule"",198],[""arbitration_award"",163]]","[[""NY"",187],[""NC"",136],[""OH"",126],[""MI"",119],[""MN"",104]]","[[""Midwest"",602],[""Northeast"",375],[""South"",305],[""West"",99]]",[],"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,automatic_wage_growth
B4X2500-CLAIM-20260730-009,step_schedule_progression,Step and schedule progression provide structured wage paths,"Rank, step, grade, specialization, and classification structures recur in report-usable evidence and provide plausible channels for wage progression within bargaining units.","Derived from 1,429 schema-valid rated spans matching the controlled step_schedule_progression definition.",1429,0,0,643,695,91,1.237,1.0,"{""high"":381,""moderate"":734,""very_high"":314}","{""gap_narrowing"":6,""neutral_or_general"":629,""non_safety_advantage"":30,""not_applicable"":763,""safety_advantage"":1}","[[""cba"",415],[""wage_schedule"",397],[""budget_or_pay_plan"",307],[""arbitration_award"",107],[""mou_or_memorandum"",51]]","[[""NY"",261],[""OH"",159],[""NC"",143],[""MN"",124],[""IL"",107]]","[[""Midwest"",576],[""Northeast"",404],[""South"",312],[""West"",137]]",[],"Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,rank_step_specialization_classification
B4X2500-CLAIM-20260730-010,bargaining_arbitration,Bargaining and dispute resolution are plausible institutional mechanisms,"Rated evidence identifies bargaining, arbitration, factfinding, settlement, and strike/no-strike language as plausible institutional channels shaping municipal compensation terms in some documents.","Derived from 1,716 schema-valid rated spans matching the controlled bargaining_arbitration definition.",1716,264,198,1241,13,0,1.592,1.0,"{""high"":205,""moderate"":1241,""very_high"":270}","{""gap_narrowing"":1,""neutral_or_general"":853,""non_safety_advantage"":7,""not_applicable"":853,""safety_advantage"":2}","[[""cba"",746],[""wage_schedule"",238],[""agenda_packet_or_minutes"",207],[""arbitration_award"",187],[""mou_or_memorandum"",118]]","[[""OH"",397],[""NJ"",186],[""NY"",184],[""IL"",172],[""MI"",165]]","[[""Midwest"",1005],[""Northeast"",602],[""South"",64],[""West"",45]]","[""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review."",""The passage describes a possible wage-setting or employment-rule mechanism for later review.""]","The evidence identifies documentary mechanisms, not treatment effects or proof that dispute resolution raises wages.",true,"Does not by itself establish causality, population/national prevalence, or a normalized wage gap.",Findings,supporting finding candidate,bargaining_dispute_resolution
