codified_record_id,rating_id,span_id,primary_mechanism_cluster,secondary_mechanism_clusters,mechanism_strength_scores,evidence_quality_score,report_usability_bucket,claim_relevance_bucket,direction_bucket,careful_claim_type,pi_report_priority
B4X2500COD-20260730-59fa419a63b2a2bc572b76da,B4X2500-RATING-20260730-0154e58d57346ff9083a1b6f,B4X2500SPAN-20260730-f5fe3268c566071b19401d62,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":4,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,non_safety_advantage,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-9a7a85823bb15a59fd7db916,B4X2500-RATING-20260730-82783145f415f75ed8389802,B4X2500SPAN-20260730-ed3bf63054e91784d6b502c4,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":3,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,neutral_or_general,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-1d4f4b70936d03c5e70f0879,B4X2500-RATING-20260730-cdce3b16be077d61ac166972,B4X2500SPAN-20260730-7011db2a7ed279d0d5055efb,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":4,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,mechanism_summary_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-db5fe88a9ccf9ad915da7fbc,B4X2500-RATING-20260730-3e5753615fbb8fc376812206,B4X2500SPAN-20260730-8c9899581ea897c0f71e3804,timing_implementation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":2,""weak_context_exclusion"":0}",3,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-f4f6299677d32199c5993495,B4X2500-RATING-20260730-a21cedb4443fab8fde2b247c,B4X2500SPAN-20260730-61e40b2a8c1683fbb44da4b0,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":4,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,mechanism_summary_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-20a3bbddbca02161796f11a6,B4X2500-RATING-20260730-520fc35be430f28b66f1b291,B4X2500SPAN-20260730-cae6582ec186e3a12af9c229,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":2,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,mechanism_summary_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-9e806e88249c6ab8f5e80d8b,B4X2500-RATING-20260730-e78a30e4d44efe80d6582026,B4X2500SPAN-20260730-ea73697cdf19647151a68858,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":4,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,mechanism_summary_support,non_safety_advantage,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-ede087e2ac1ca944c15942f9,B4X2500-RATING-20260730-f1a63d08885ad9494a810814,B4X2500SPAN-20260730-844231894ab7955063d18e9b,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":2,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,mechanism_summary_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-ad1bbdf53af5fb9e92132e77,B4X2500-RATING-20260730-aa26dcc8b083357b8f74483e,B4X2500SPAN-20260730-81ca4243914840e302fbf8ee,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":4,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,mechanism_summary_support,neutral_or_general,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-ee14496c13e8df0be940f9b6,B4X2500-RATING-20260730-3834d4ab924c32ee440d4791,B4X2500SPAN-20260730-e6199c6cdb354542f6c232cb,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
