external_staffing_unit_id,observation_id,municipality,department,side,period,observation_type,field_name,raw_value,normalized_value,unit,staffing_hypothesis_type,terminal_match_status,source_SHA_256,source_coordinate_input_sha256,claim_ids
EXTSTAFF-f64db3d2d228b2f88fdf75e3,EXTRECON-49a0ef711555696f7b30e7de,cog_2025_167149,unclear,unclear,2025,vacant_position_observation,vacant_positions,2023,2023,,vacancy_without_elimination,matched_staffing_ready,03a8e56268ed552942887806a6be4549201f41e03084daf167e9cf78f5377f59,0cb01c6f4c78776c69e1abcd025763ec6607d07c4036739cee9cbc2b72ab219b,MECH-06
EXTSTAFF-f8a7b321b2438ae6f1b9baee,EXTRECON-291dd429e24225eb8875e9b2,cog_2025_212073,unclear,unclear,2024,hiring_freeze_observation,hiring_freeze,427,427,,hiring_freeze,matched_staffing_ready,b1d2f8fc583d7a30c318f60881feff0d3c797b7b4630a248b9dddea8c15063fd,5a9e0eadec21759f41ad8f59429b832122964df7547cf3034d81aad30e688c9e,MECH-06
EXTSTAFF-d2abac7a923693a07eb74dcc,EXTRECON-16ca5b2d6af6bb0b20bdc957,cog_2025_193766,unclear,unclear,undated,vacant_position_observation,vacant_positions,20,20,,vacancy_without_elimination,matched_staffing_ready,845a484eb4e94af8e3a8e3c9c57d0f07164b2ccc28761a0eee0b4fe7dd545ef4,f25a440cecee25f4940cf3f8a0971d451fb61a725d06f217dbb2392d595f207e,MECH-06
EXTSTAFF-0b9c6529e9122faa325b3064,EXTRECON-99a321de65b0b5c425e43387,cog_2025_174529,unclear,unclear,2024,vacant_position_observation,vacant_positions,1,1,,vacancy_without_elimination,matched_staffing_ready,0616dea1970acfb2d3a866332113341ce85118e8dd63d398b785f2f8b2a49b33,ad8d9b2aee2ce1f13e0ef477c61f2af48fdaa36f4fa1c421fafa65c48daf002c,MECH-06
EXTSTAFF-ba7eb39359f5a3b9640df5f9,EXTRECON-d5022ab20249111714f980a6,cog_2025_171211,unclear,unclear,2025,vacant_position_observation,vacancy_rate_explicit,18%,18,,vacancy_without_elimination,matched_staffing_ready,78ba70dfddf32a8c85a4733cd6d337fd0e25a45a7c6367450f6c752e9d2a2f6a,a2191e463d3531469e770b70122aaa497e8b68c8b167af26b50fb2901b963cb6,
EXTSTAFF-6836ab5b3f0fe378ac9c461d,EXTRECON-9c8d88bef0d3eeeec49d0225,cog_2025_225676,unclear,unclear,2023,vacant_position_observation,vacant_positions,23,23,,vacancy_without_elimination,matched_staffing_ready,e8db003277cf6bb41033f604a29ca35b7e1f5817a040312df5644d285ca54fe3,556bf1f345f782f7ef4e62f35971cf73b7efd871f468309c4884b9c251e073f5,MECH-06
EXTSTAFF-f6782a6ab8ad8eda40afa007,EXTRECON-9ad0948738970f7d6a48cd9e,cog_2025_100715,unclear,unclear,2021,hiring_freeze_observation,hiring_freeze,one Investigator and one Associate Management Analyst,one Investigator and one Associate Management Analyst,,hiring_freeze,matched_staffing_ready,1556cdd4f90d36be5e568674a1cbed9b9da6bae1f2e79d143a7502532124ddf6,6f0ec2c9f53908ae4072febc772f90fa8c6c3ce6429c44925c03c40ac1b3f93f,MECH-06
EXTSTAFF-3af775a3ecbb2f524cead229,EXTRECON-dcadf0a2994926fe8f725872,cog_2025_100715,unclear,unclear,2021,vacant_position_observation,vacancy_rate_explicit,-10%,-10,,vacancy_without_elimination,matched_staffing_ready,1556cdd4f90d36be5e568674a1cbed9b9da6bae1f2e79d143a7502532124ddf6,89a17814bb6a873bc23189137bbd8e941a43396f77d1a0cd406c427abe457020,
EXTSTAFF-476406c14bd18baf8cf484b5,EXTRECON-0ac97af3a1b9b533147067ee,cog_2025_170985,unclear,unclear,2023,vacant_position_observation,vacant_positions,"4,300",4300,,vacancy_without_elimination,matched_staffing_ready,2d619c141dbe963bd71cb6cb0286bfb35a1a3385c0d0a81ae717325290ac48b2,9e96f2fec31914672e00f2dc1fc07e43326e024bf6043953a51ad9a23463062a,MECH-06
EXTSTAFF-4b329da6a6fcb9d8d5e5e92e,EXTRECON-40f65915e72562a98688ce63,cog_2025_170985,unclear,unclear,2023,vacant_position_observation,vacant_positions,"2,100",2100,,vacancy_without_elimination,matched_staffing_ready,2d619c141dbe963bd71cb6cb0286bfb35a1a3385c0d0a81ae717325290ac48b2,9482964d37aa8983b1a0d0c83120a12a12d0602354b4c21fa38536396ca2fad6,MECH-06
EXTSTAFF-7aea09fcb1d1a34c1b7c9ee8,EXTRECON-094f6d10e75ef25d9f554763,cog_2025_170985,unclear,unclear,2023,layoff_observation,layoffs,2022/11/03,2022/11/03,,layoff,matched_staffing_ready,2d619c141dbe963bd71cb6cb0286bfb35a1a3385c0d0a81ae717325290ac48b2,6283a8d65d6a49f2cc8f0fc9d511dfc3da09af82a6f04158486b57590b1dded6,
EXTSTAFF-e7741ea452bd0fdedf3f42bc,EXTRECON-a51c07c6c60f080151b20bf2,cog_2025_170985,unclear,unclear,2023,vacant_position_observation,vacant_positions,2022,2022,,vacancy_without_elimination,matched_staffing_ready,2d619c141dbe963bd71cb6cb0286bfb35a1a3385c0d0a81ae717325290ac48b2,d7fb2198f86f5590279aa990c670a273507d1df8fffb4b03a419fbfd9ed5a3a7,MECH-06
EXTSTAFF-f7571f874ffe419f022f2397,EXTRECON-f46a0af3806798e984e57204,cog_2025_170985,unclear,unclear,2023,vacant_position_observation,vacant_positions,800,800,,vacancy_without_elimination,matched_staffing_ready,2d619c141dbe963bd71cb6cb0286bfb35a1a3385c0d0a81ae717325290ac48b2,914a7ac35ebdb86532397f287a56fd7c47cf8ca7cc598dc28fb2320cc620de5e,MECH-06
EXTSTAFF-21b9bcbb1932ce81c9edb8d3,EXTRECON-9e8632994cde6c8a3387b8c2,cog_2025_167724,unclear,unclear,2023,budgeted_position_observation,budgeted_positions,28,28,,budgeted_position_reduction,matched_staffing_ready,7016c7a490da2429bee798999ae87b7e251adce667067a585e5c981bf22ae80f,0eb1fcbccc28b9446572474a1f9df82acf17a097ad19bed2989a7565ef4e85c2,MECH-09
EXTSTAFF-32312d94fe6d8a3b113c63c9,EXTRECON-d21aa7bb0b790df6b08473d2,cog_2025_209137,unclear,unclear,2024,vacant_position_observation,vacant_positions,1,1,,vacancy_without_elimination,matched_staffing_ready,a1d2558bff20bfe22b391516009b135f84067c464b9fe7f2ddec28e82c9411c5,a0cfb86251cc481e561dab50fcc6ff39480d93c253903ca1e04c1bf162744aeb,MECH-06
EXTSTAFF-4d48444d61e5e4d5081331a4,EXTRECON-9d3fcf57e1cf833b093a4b62,cog_2025_209137,unclear,unclear,2024,layoff_observation,layoffs,RECALL,RECALL,,layoff,matched_staffing_ready,a1d2558bff20bfe22b391516009b135f84067c464b9fe7f2ddec28e82c9411c5,b6ed9d5dcd081fea3d498a04f843038f9160023fb176f807643fa7a624e4cfb9,
EXTSTAFF-a7d5e971ddc6cea9570937f2,EXTRECON-17ec6f8601bdcfaee3f22478,cog_2025_194229,unclear,unclear,undated-source-B4X2500LIVE-20260729-003393,vacant_position_observation,vacancy_rate_explicit,53,53,,vacancy_without_elimination,matched_staffing_ready,da96f555407058b6e97a7b0c8502556603843b3bec0f28f68b6f0deb2d0ae85c,10156e0086da004341654b02d6bce8f81441a3dd33aa01823c3aa00e88af9499,
EXTSTAFF-bb6ec25c15b6acac08f781a4,EXTRECON-ffad43cd9ba93e193a29fd9f,cog_2025_170340,unclear,unclear,2020,vacant_position_observation,vacancy_rate_explicit,8.78%,8.78,,vacancy_without_elimination,matched_staffing_ready,1b7bac1e2490ade5494a693f5e7f1648d6e6d52fed150fa6061645860a636606,1cdf4715cc642b95ebbffb531f5be85b353613c97a1240b780a6ccba8aed9b13,
EXTSTAFF-2795f0d784e820ec3dd699e4,EXTRECON-a49fadf587565343763e1b4e,cog_2025_170794,unclear,unclear,undated,vacant_position_observation,vacant_positions,0,0,,vacancy_without_elimination,matched_staffing_ready,16271a660994ac0bb0dde22a0e831567bd73a6d15a23d694c32387a83adc0fcb,92307c381a1497b21c0f37b55836ec260523c2917646b11d575acfdd666e32dd,MECH-06
EXTSTAFF-799c0c55dc3b8c8311ee7492,EXTRECON-1b642383d3506207454d71dc,cog_2025_170794,unclear,unclear,undated,vacant_position_observation,vacant_positions,0,0,,vacancy_without_elimination,matched_staffing_ready,16271a660994ac0bb0dde22a0e831567bd73a6d15a23d694c32387a83adc0fcb,e3d9d3a62b17f831d040a4d1bd6df043eab745044d9c65d064ee3d642224609d,MECH-06
EXTSTAFF-64d4d8b7688af18bd90da4f2,EXTRECON-fbf6786a4ad42b1f94f76ecf,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,1b39bb42348b1f1dc2093b2a56b31bffde610c52fe9358885c644cb697924f9d,
EXTSTAFF-bc18bd2adf7cef81f1aa2362,EXTRECON-87b7659a71bb400867e2f717,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,e6e925669b25604985f85c0207b2bcafb32e23a3179e93cd7771765a81f98428,
EXTSTAFF-b94d2bbe0a46edbf2b5e941e,EXTRECON-b550f02276d43acc9f11ffe4,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,beb5d79d696e7c25523e424eaa223ba6380c45422dfc1b74480f9dfd3cf7fdee,
EXTSTAFF-1b0ddfaeeb8b201f7b435d4e,EXTRECON-d8e353c70955572420489b63,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,db18763774711dc8d119660f65c79f6a37afcd57c3ff611c37034c6c1e4f6a24,
EXTSTAFF-ae4ba0f8cb85e989056a387d,EXTRECON-0c5cdb4ccde84ee6dd391c4f,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,23,23,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,cc742242cfd3872250066304080996c1aaf4f134cd590563b16234826733e02e,
EXTSTAFF-386db9550ec84d0821edbba1,EXTRECON-087e68d38491b9e349d1445e,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,dbe5f260d825b0be34816916b19a7c79f3a36e34a263e86a438096006ac05be2,
EXTSTAFF-fd2d3f31dac28d3287c2d186,EXTRECON-d3bc43cd67995a049c9ef793,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,ffe48d2e0ea000e8f656210cd723a546765670000d87bc654bc4934d503fa12c,
EXTSTAFF-f244fc45b1c77e6efd04c1bf,EXTRECON-aeb0b261e2bdc6d58ad4a79e,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,cdc335510ba1dc7c7eb9ef2486b417ca63d027c1bbcec4a6ef5a5434c30a10b6,
EXTSTAFF-023886fc35c4c0adfa85bdb6,EXTRECON-6220877bdbce4fa7804455db,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,05633e51a5a23d459724116f72614af1e95bf72a0c105457ffba947f71422b9a,
EXTSTAFF-505693ef11babda12325f684,EXTRECON-7550778caa99240cf005f736,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,2.5,2.5,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,8dadcef5d6acf4ce58c09d13f1ff6d7e12a69b9073017dd5e13a64ead92f9c3e,
EXTSTAFF-8dea8a896b02f0ee667287c1,EXTRECON-9721cd44b4031a9f243d1e38,cog_2025_209858,unclear,unclear,2023,authorized_position_observation,authorized_positions,0,0,,authorized_position_reduction,matched_staffing_ready,adba70ecd7ef52610323f1cc6a9828d16a4e7186d9229931e7f81766d5742e33,37ad12c19889d84743ea0de78039f6dcf9350b27e500ac18961f2e59e005631b,
