external_total_compensation_unit_id,observation_id,municipality,period,side,component_type,raw_value,normalized_value,status,component_sum_calculated,source_SHA_256,source_coordinate_input_sha256
EXTTOTAL-608a62bb5956bb52e7d6a945,EXTRECON-d179910c1104d2ae1f139a7e,cog_2025_194692,2025,police,benefit_component,$900,900,incomplete_component_set,False,ae2fe0aa8a3744765e9680a6b93dcdd4e52511dc03dc5eabedd8bc0620be7c73,e137011399283a9abb13147532c911f745935d7cb48db1486c4cf3a61caf73c6
EXTTOTAL-2fb462fefe4bd1b3c19b02a9,EXTRECON-e656f738cd9c4ab2fc6e70e1,cog_2025_176226,2024,side_independent,benefit_component,18.12,18.12,incomplete_component_set,False,2cdc0991f691774ee503e29dacee1be6de80899a6582cdbe9da0547c4a2a89f9,edc48b7b3efa9792f3ba1d2562ca53da04a571af343702ec02e88a79b0904ce0
EXTTOTAL-0ec65bb8df27cbfa52474dcc,EXTRECON-1259f9802994b25b091f231e,cog_2025_176226,2024,side_independent,benefit_component,0.00,0,incomplete_component_set,False,2cdc0991f691774ee503e29dacee1be6de80899a6582cdbe9da0547c4a2a89f9,17738ad94a4cbc7b549ba24bd2565cbde576b71c3f46d7094573f85c85801bad
EXTTOTAL-cb8cacc5550408b1085349c9,EXTRECON-748a670ec0c61c7c68d20e67,cog_2025_176226,2024,side_independent,benefit_component,375.00,375,incomplete_component_set,False,2cdc0991f691774ee503e29dacee1be6de80899a6582cdbe9da0547c4a2a89f9,5106ae6b7065d696287cc6996df1fcc9ef59cd6ba70a5f13bd405d40c8804b71
EXTTOTAL-7ba9cd11d3ebdba1a1f14a6f,EXTRECON-c06ccc170a2a9c4871a1ab17,cog_2025_211398,2024,side_independent,benefit_component,-08,-8,incomplete_component_set,False,308f58d7d8b41d159627d4ea4f95bea2fd6cf1adcbb548f3d43bd86517be5073,2475afbca77629bc7eaa0f065c61f89ad3090a0da07f5f3be53469ab9206763f
EXTTOTAL-d665ac46aa88e7610e167b85,EXTRECON-4f44202645c285acb4bb7539,cog_2025_132731,2023,side_independent,benefit_component,2024,2024,incomplete_component_set,False,f8c17c649443858798b642f44671ac3722fb022f4835fc617bb5ffa162f45d0f,c35913fc332d74dc806336219bcc4a2508e0f4d017abff8b4fa6bc35d277a637
EXTTOTAL-575432e05785b7bc1a24180c,EXTRECON-680b20a885c3763ca4f8e8ee,cog_2025_193555,2025,side_independent,benefit_component,30,30,incomplete_component_set,False,91814ac07bfcd0e60214b4ba04e260f89ffe745d1fb3602783878e01354a657e,b8357b7d0bf1ad58067c9c99838ec78f2c060b3ffa035848d73659d666c7d2d9
EXTTOTAL-96447d79bab2e2bbe432a317,EXTRECON-9f61f3be585c71d1d497bcfb,cog_2025_105798,2024,side_independent,benefit_component,$15,15,incomplete_component_set,False,799e75bbb3cdb26eeccafb0e6d522f58c097447dc6811c80ba992e6f9cd0515c,05729824eeb82de4c091eb70520265731b21c4b7609e4cfdafd0306299a8b8aa
EXTTOTAL-c417cfc4e8ca35c5ea5700de,EXTRECON-eb3ad39443937d5743e5c673,cog_2025_100715,2017,side_independent,unclear,9,9,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,a90209d7273d2537525a15c14a835118c4cb930bb058c95f5d7946f8d70fa97a
EXTTOTAL-074ea1af8ecbe7e759fdf63b,EXTRECON-54e4f9551fc9f961bec898d3,cog_2025_100715,2017,side_independent,unclear,"18,",18,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,aecf94475299e526038743cccb372adcc2be9d90b0cfa89ce955479ae441fbb9
EXTTOTAL-24a3c80a6cddb0c634d66a9e,EXTRECON-8d208a7d34f0f3e8920e6240,cog_2025_100715,2017,side_independent,unclear,"11,",11,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,42a192aac664507f4614efa39de35aeced70527986cfcb15cf13f9fb63ff0ef9
EXTTOTAL-4b411779b9dc7d55dca7ec90,EXTRECON-7b5b98cf0fdba2154656f38d,cog_2025_100715,2017,side_independent,unclear,"21,",21,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,ad03073c8541cd5e5e6ce9789e8ab60eebc9e3336ec46d25eaab9b617f47b666
EXTTOTAL-bfa3220122a41a974f7bad54,EXTRECON-af383cff77cd9838788f302f,cog_2025_100715,2017,side_independent,unclear,"16,",16,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,e16bd8a0e657c29b8fa1edb397f6eef8279fdf861efa938c4f43fe6c8586022d
EXTTOTAL-6e13e6a825e1dc3451cd0d47,EXTRECON-8ca9690c5b71279766735862,cog_2025_100715,2017,side_independent,unclear,"12,",12,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,3ead25336e9a040193475f4fb11c30e89ea17de62acf29fec1e0e229a23b0ff3
EXTTOTAL-f60c57d7e2b164788965fe2b,EXTRECON-fc9e35dc2a0adfaf669ebff1,cog_2025_100715,2017,side_independent,unclear,"9,",9,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,d90bc39c1dfc00df9da6fc0e2f0b5557064b2b2699e2e75b893b217c72a4cdc0
EXTTOTAL-384c79b5a86b13113e2f1771,EXTRECON-4a813056098100a96b25a9b8,cog_2025_100715,2017,side_independent,unclear,18,18,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,6a126b8a8bc1745fdf9a3ac072082ed6034c32a219a2106679f2ed7608344447
EXTTOTAL-09e00c984768a5f448d94a02,EXTRECON-de815fa2fad2a817449be838,cog_2025_100715,2017,side_independent,unclear,"13,",13,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,980e537b4c0109b51db11db4de011f409622a8f017efac85046cca9b064ab5e5
EXTTOTAL-46ad14e4daf5d462815ca719,EXTRECON-2803b440b6aac26a01ab7a17,cog_2025_100715,2017,side_independent,unclear,2019,2019,incomplete_component_set,False,dd3113315cf2199b3e62df5ea83385b49105caaf693e650135b00a48b292f4ab,33cfd2f4ce2e57d2028dc53db9866759ba65f3f5e8fa7143116b9319c0b9c5c2
