readiness_queue_id,retained_source_id,canonical_source_review_id,local_artifact_path,SHA_256,byte_size,detected_file_type,MIME_type,readiness_hint,source_quality,primary_content_family,administrative_source_type,linked_source_review_ids,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,source_review_only,analytical_extraction_performed
EXTREADYQ-6024495a0a4aad2f7534b87c,B4X2500SRD-20260730-00d368ada0a81add5f8e,EXTSRCREV-631f4718190fdba30dd9928e,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-00d368ada0a81add5f8e.pdf,931fef218df9f51285962148eb9309e87a54865dedb2edbcdcfcd3d565ac1859,1668698,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-631f4718190fdba30dd9928e,EXTCAND-d8c47365555a14affb82bda7,ROOTCOMP-56b568e6050a765e07db4176,MECHEXP-03b8b2a7be498a6a84ae18b5|MECHEXP-4b3733aa698360f39c96fbd4|MECHEXP-97984bee0d9a3788e1f136b1|MECHEXP-a10a5fa6ec00b9f853fe2c73|MECHEXP-e4d0663b3a61a620480e9479,,True,False
EXTREADYQ-6614998afaf62230c5841e0c,B4X2500SRD-20260730-061f01c0e58427b7deba,EXTSRCREV-3b44db2659012152c100ce30,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-061f01c0e58427b7deba.pdf,54c960cafc98dc2801a479d04a29cb5f08047e03a586e2116fe0cb22ea23f0da,751334,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,implementation_confirmation,ordinance_or_resolution,EXTSRCREV-3b44db2659012152c100ce30,EXTCAND-51a337d764bd0dc932c11b4f,ROOTCOMP-e76ba8adc52be1515bc9c465,MECHEXP-32ea23f76b5fdf4586679be7|MECHEXP-7b2ff3db59ec8cf445842d72|MECHEXP-b3c7dbc711453c2cc24310f2|MECHEXP-e379ce5259210cc34d913048,,True,False
EXTREADYQ-3408d0ae64c3c158a115fb09,B4X2500SRD-20260730-06a04ba4b69efd5f9e37,EXTSRCREV-d63004657523cd0bc596a86e,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-06a04ba4b69efd5f9e37.pdf,71fe538e7069df462064a99e1c18a1281e8647c01dce6b04126752b407365084,1079755,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-d63004657523cd0bc596a86e,RESCAND-dc742c38d075e4d7ab58dc6b,ROOTCOMP-471a1570145a7be0e7652999|ROOTCOMP-b0f967537f2356da5e4a4bc4|ROOTCOMP-c311975e50c628d0c3b0f2d4,MECHEXP-067203eee148b33ca4611474|MECHEXP-0bd7bbfd371906cf90a1c56d|MECHEXP-1b29e715e15aa590cda029aa|MECHEXP-2940df81e543b43d400cd634|MECHEXP-4f6b464af328856e77f63224|MECHEXP-5b1a1832c4ea2903769c89a4|MECHEXP-7dfeb4cf092ba741e678bfbd|MECHEXP-813fdea20a18231b14d3c07c|MECHEXP-83062d7a7232e9419396fa9a|MECHEXP-cf125c54d5d66f7df426089d|MECHEXP-e395aa2d4c4b67f38265228a,,True,False
EXTREADYQ-c8019e6ad899d1d7ce405dc7,B4X2500SRD-20260730-06fe6715152c73c0b9f4,EXTSRCREV-89baa8b895d2c48bab212d03,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-06fe6715152c73c0b9f4.pdf,cf7f1098689dc528d4317a0f6b6535cbead4b8dffce4ef4c35bd9685cd93202f,354781,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-89baa8b895d2c48bab212d03,EXTCAND-2feb24f6e0d2d7c6a3fc355e,ROOTCOMP-57cbfeb99753c04dd8c4ef20,MECHEXP-1aeaf7fd2012c5d64f909cdc|MECHEXP-5698ad1f4a2f61d4f7c76bf1|MECHEXP-654ca23a96482360441169ad|MECHEXP-d9d33bccf6840f3aabbf058b|MECHEXP-e857b4d3dd5c6cf2240001bf,,True,False
EXTREADYQ-6192a04bd9e2b47ef3addd1a,B4X2500SRD-20260730-0793e524ac24c8cd4957,EXTSRCREV-bf88dc8aca49ba2737876ea7,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-0793e524ac24c8cd4957.pdf,75f062c452283aeb64676da1d4b7485509c3e27d1591c18e5f56214407ac55f1,6342976,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-bf88dc8aca49ba2737876ea7,RESCAND-cecaa469dc6ceaa11d76f4d0,ROOTCOMP-a5740c1fac006405089eb123|ROOTCOMP-e908a8efd103799b4304f7c6,MECHEXP-02c18a7395ff66124853b003|MECHEXP-04a6d1b3374755064b15347c|MECHEXP-37ccfd9e0f7f8371bb988adb|MECHEXP-404a05c80f403f03a330a81a|MECHEXP-710546c8d434da19f11a2610|MECHEXP-713115b2c0e8a8a18547c644|MECHEXP-a3caac352ca5dbff7e47ba49,,True,False
EXTREADYQ-16f720fcc9871b6c779d8c64,B4X2500SRD-20260730-07f1d4a83e79a5f4d484,EXTSRCREV-9e5d8ee8cc2c817abe5bcea5,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-07f1d4a83e79a5f4d484.pdf,b54bb5e9530ee2c1586b880d3d3a3087ec19c097445db5929b9b9fd998c5a158,423063,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,payroll_and_earnings,payroll_roster,EXTSRCREV-9e5d8ee8cc2c817abe5bcea5,RESCAND-3bf96d2d6af51a209d6a22e8,ROOTCOMP-a3bd736deb6f4f567ca04181|ROOTCOMP-bccf67bcad76c5f9ec62e8d0,MECHEXP-04bd21559872af7193b7ca26|MECHEXP-1fcf03efad371a04442a7ca8|MECHEXP-2ce379d8e780c2a122cdf82d|MECHEXP-36cf6bbc78972b8c6455c6e3|MECHEXP-5a2393c69d29611ace1ad0cb|MECHEXP-60ebd05f8163c9371afe4939|MECHEXP-665098d92813e331b8d2b4e5|MECHEXP-f49a44f0fc966475368e3861,,True,False
EXTREADYQ-0bb322ae2fde2d317fc5be93,B4X2500SRD-20260730-0b7cea8037a766ed1303,EXTSRCREV-3e719e2f3cddbd2f872c343f,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-0b7cea8037a766ed1303.pdf,6402988f7645f1bba69c948ab2dc1d829a4ad48e1d7a0e7fb0b79df302243b93,1351345,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-3e719e2f3cddbd2f872c343f,EXTCAND-898e5126f36cfaf1ed2a52cb,ROOTCOMP-90c5be5b84a41e7f052a41bf,MECHEXP-188c4079d2737b189c0484b7|MECHEXP-3e9c7d50bc5881ede0b7d4ab|MECHEXP-6101e1685255c2d0ef6c6687|MECHEXP-62f6c73e17c49319486720d4|MECHEXP-c3c9736ded683aabd0bb8342,,True,False
EXTREADYQ-9fc6ab465284a4322b6b519d,B4X2500SRD-20260730-0ce8e7b51b6f999a6857,EXTSRCREV-6579bfb737edaa43005199bc,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-0ce8e7b51b6f999a6857.pdf,082935aa78b846823c0df744cbd179d3a9cca93394b928083ed720d6dd7781d3,6002999,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,payroll_and_earnings,payroll_roster,EXTSRCREV-6579bfb737edaa43005199bc,RESCAND-99caf49f9e57adad9b9396ba,ROOTCOMP-df40493e0bc73db684791008,MECHEXP-00eb158769f6bec8766a70d7|MECHEXP-125bcf4b7c419ca3a069416f|MECHEXP-b85b19870e22e63173b0f2ea|MECHEXP-d641a1b1a88790fc3e290e65|MECHEXP-dc5563b40da8dae04161c41e,,True,False
EXTREADYQ-67740927c406a72c4ebacf7c,B4X2500SRD-20260730-0d6e266bef41724611d3,EXTSRCREV-5865827c898bff09c48aae9e,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-0d6e266bef41724611d3.pdf,9abbb97bc79581417afd6173c0026503b6d73d2d216bb4a93463c13962c61f2d,4430706,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-5865827c898bff09c48aae9e,EXTCAND-8ccffaf1f189f778d24cf055,ROOTCOMP-ad1639c9a45a77d2b83bc1da,MECHEXP-1736b0ba2b8f94d819f20eff|MECHEXP-1d1ccf1d0239d6e8ded40a2c|MECHEXP-55b99a1ac383a74707972711|MECHEXP-c32441e543b11fa5be36ac8f|MECHEXP-c8de0a2a7144875f44186795,,True,False
EXTREADYQ-6e5e710ebe10e8745b249252,B4X2500SRD-20260730-0fed369356fb97a7029a,EXTSRCREV-26f46bf031cfdfbea279409d,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-0fed369356fb97a7029a.pdf,b058dadae79cd5ace5f98cdf039ca82b006a2de8d90ce9459da038e9f756c09c,1848943,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-26f46bf031cfdfbea279409d,EXTCAND-03bc004d351b400fc50bfc71,ROOTCOMP-c0a6ae7b1f249c64086bd27d,MECHEXP-32411b264cfe7354e6b0913a|MECHEXP-78f3d806f7461bfaff6246c7|MECHEXP-9781a71a58de9f1c209ad542|MECHEXP-99eaa66fca51859a27c3ce4a|MECHEXP-a2a0feb490262fcb8f7dbb46,,True,False
