retained_source_id,source_review_id,canonical_locator_id,canonical_candidate_id,linkage_basis
EXTSOURCE-e94fb50458bed5d1b0369b7f,EXTSRCREV-099f47505298a1a1beb1a552,EXTLOC-7ffe6c0cd285ded164921838,RESCAND-6318496926231f8b66331558,verified locator candidate lineage
EXTSOURCE-245118df94f59242638b4474,EXTSRCREV-c29590dd6416cf87deb62702,EXTLOC-7fff720f99c6f2f3179573aa,EXTCAND-748d1abefbe36e3aa3b9c0aa,verified locator candidate lineage
EXTSOURCE-5cd7881045c21fb581f5628a,EXTSRCREV-d5296452abbee473c177a711,EXTLOC-80061cd0afdb67058a94e152,RESCAND-ae7137f51233b1c86965e0a4,verified locator candidate lineage
EXTSOURCE-945c89821eb420da63449d8c,EXTSRCREV-d5c4066b337ed83989f1d30f,EXTLOC-8008b5e04652aa1e487e3666,EXTCAND-3554884aabfb8095aa01af64,verified locator candidate lineage
EXTSOURCE-755a13f3b134071644c909bd,EXTSRCREV-843c8b816fd9835eeb2dac75,EXTLOC-8009741d43c6c18eb64c9b5d,EXTCAND-aeb2198e78da439193a5178f,verified locator candidate lineage
EXTSOURCE-acc96288dc86ad84c87a064f,EXTSRCREV-395ea403bd912621e58c06d3,EXTLOC-800dbaebaf1acc1ad77cdbac,RESCAND-02cb676044dc0318891a664c,verified locator candidate lineage
EXTSOURCE-a14909417e4da34b9f58b4a1,EXTSRCREV-108883ff73e5506f545ed09f,EXTLOC-8014dedc296528931abd712e,EXTCAND-a416706941469783181a7610,verified locator candidate lineage
EXTSOURCE-45a5d0eba02270265d04d31e,EXTSRCREV-90afc3af2159e83d0011cc7d,EXTLOC-8018f0ed86922731369b20ef,EXTCAND-ffe39677de3f5fdad03b183b,verified locator candidate lineage
EXTSOURCE-e11df4c6efdb4ac89ebc50a5,EXTSRCREV-0d8848635e89cdc21452b850,EXTLOC-801925ef20cd812ed331d380,EXTCAND-f699bde01e6d2fd439a4d02c,verified locator candidate lineage
EXTSOURCE-8ea2799e9e64ec0ab76e73c9,EXTSRCREV-e9cb76bf19540e2274ee78c2,EXTLOC-802053933698fa1a25fae863,RESCAND-8cbd3b973cf499df1c84a763,verified locator candidate lineage
EXTSOURCE-66edf5eb8760e9404586ce6f,EXTSRCREV-de9d64c1df1607215e894672,EXTLOC-80206960694bf7dcb0437303,EXTCAND-d4b388c39e503c2ce89ff24d,verified locator candidate lineage
EXTSOURCE-fb278040fd39957c73cd18c4,EXTSRCREV-651f46cfd393b1ee34372937,EXTLOC-8020b4e985389afd9d4b250f,RESCAND-6b4d58aa8fb314ab7b420cff,verified locator candidate lineage
EXTSOURCE-181eaed3e84a8e5a35a2ea01,EXTSRCREV-7f41ba95f81a6f5c0aca85f0,EXTLOC-803105c9a66b883976d1fbdf,RESCAND-4e0443a16e3fca1783e63e95,verified locator candidate lineage
EXTSOURCE-df1dbb1661013c44f3190d26,EXTSRCREV-c1d5352faa587fa4dddff0cb,EXTLOC-8032857dbbfa00f668e9c253,RESCAND-2038db29972a3f143618c3f5,verified locator candidate lineage
EXTSOURCE-d10a0e18548dd941b7d0d88d,EXTSRCREV-b5b931324da052910e1f5c88,EXTLOC-8033370ce8161f3c5e367666,EXTCAND-1403ce8a56f34d38e3e30b08,verified locator candidate lineage
EXTSOURCE-d19252289e014e5678d0d418,EXTSRCREV-38fc10463e6ddf0a1e170117,EXTLOC-8037e4c08d303e24abc3fa60,RESCAND-d525012ce0e4e7627c334775,verified locator candidate lineage
EXTSOURCE-c9cce1eca2294c37c61c729d,EXTSRCREV-8eac3249a60f889827b9af47,EXTLOC-803a41536b074627a3cf2b34,EXTCAND-9f999ea428fe8009914ec2eb,verified locator candidate lineage
EXTSOURCE-ff7e8c623d397f33805746da,EXTSRCREV-42f41e0ec9d0d987f667f8b0,EXTLOC-8043c9d704e217660cbd410a,EXTCAND-f66ef95ac941b0a9011fca36,verified locator candidate lineage
EXTSOURCE-d037a3a128a6156d864ff61a,EXTSRCREV-24184e507088f6e2482508a5,EXTLOC-8045d853cbe1922aeec47016,EXTCAND-7e21ef9fa17c615def887431,verified locator candidate lineage
EXTSOURCE-3bd123511fa1a9d0b96650a5,EXTSRCREV-98d3b0ec388e7cf480ec4517,EXTLOC-804724ca9feee0fcb5823980,RESCAND-854e059e91a9b7d5928fed91,verified locator candidate lineage
EXTSOURCE-0731419ff5a615ecd960826e,EXTSRCREV-dbb903ef1abd52779b26dc5c,EXTLOC-8050db6ecb7725d23f2dd1dc,RESCAND-a1cfdd3cd285a9507a3d1d14,verified locator candidate lineage
EXTSOURCE-59b3f7b414c9aa80c1491a80,EXTSRCREV-d16ad64b1ee85466e0e32151,EXTLOC-80547d6b86463bae8e313a1d,RESCAND-6ca1ffc6c3a82b9c542dd30e,verified locator candidate lineage
EXTSOURCE-e50c2f0010609ca9ee433014,EXTSRCREV-f111dfd1e30dc9524ea3bdb5,EXTLOC-8059b0a3b792d546b51f3e9f,RESCAND-a38e1495e936ef726382eb16,verified locator candidate lineage
EXTSOURCE-f641576f68267a9d19e5193b,EXTSRCREV-ac70e80ec35cf71da1983644,EXTLOC-8069c029e4c7b2cc5397513c,RESCAND-4bce2ca7b839a8363e45c0fc,verified locator candidate lineage
EXTSOURCE-90912c4f59d60a0634ef792d,EXTSRCREV-9709f32d164ac0ff999dd73e,EXTLOC-806d3db1a8cdb5cbd0aac7e0,RESCAND-4cfb3f6b53b6a557fd9e03eb,verified locator candidate lineage
EXTSOURCE-9a00b8c453835d04ada848fd,EXTSRCREV-64619ce10d69f38b39cf62f6,EXTLOC-807103f0a4360a3396021312,RESCAND-54a369d6b6e39bbcc86dc769,verified locator candidate lineage
EXTSOURCE-807197c058ec221ae99e6802,EXTSRCREV-ede3a4426bb8dc384f5ff224,EXTLOC-80775d99f279b9d16001a828,EXTCAND-904dd56fdb2eb68726953277,verified locator candidate lineage
B4X2500SRD-20260730-c1ce12548e79f7efe08e,EXTSRCREV-0d82d8456fc2b393800e85f2,EXTLOC-8079f81380611e4d3741394b,EXTCAND-d6625269c820406e411ebbf2,verified locator candidate lineage
EXTSOURCE-76cd53a87ac5c1dd07649773,EXTSRCREV-a183d9eb15823ffc095646f1,EXTLOC-807ba4ac5102f9f03e9f3bbc,RESCAND-56cab45e77b16e91a8bd1716,verified locator candidate lineage
