source_review_id,canonical_locator_id,canonical_final_locator_id,canonical_final_url,original_requested_urls,linked_candidate_ids,linked_search_waves,municipality,state,period,side_scope,department_scope,primary_external_data_family,secondary_external_data_families,direct_staffing_relevance,administrative_source_type,primary_source_quality,verified_content_type,expected_file_type,final_priority_bucket,official_source_flag,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,expected_claim_upgrade_tags,redirect_lineage,duplicate_final_locator_lineage,verification_status,verification_content_type,verification_content_length,candidate_title,candidate_snippet,locator_host,candidate_fanout,event_fanout,review_complexity,source_review_lane_id,source_review_lane_sequence
EXTSRCREV-b37919995cb9fac3f037728b,EXTLOC-70dc3078a2a7cb63915f928b,EXTFINALLOC-70dc3078a2a7cb63915f928b,https://pub-detroitmi.escribemeetings.com/Meeting.aspx?Agenda=PostAgenda&Id=d5e02aa0-60ab-453e-a997-f1ef900557ae&lang=English,https://pub-detroitmi.escribemeetings.com/Meeting.aspx?Agenda=PostAgenda&Id=d5e02aa0-60ab-453e-a997-f1ef900557ae&lang=English,RESCAND-007202ed2ba30a2b66f6df3b,external_search_wave_002_exhaustive_residual,Benson,MN,2024,unclear,unclear,benefits_and_total_compensation,,contextual_staffing_only,contract_or_mou,weak_secondary_source,html,html,low,false,ROOTCOMP-4b0d4cde888bccb30a193906|ROOTCOMP-5a250f6c6086ed0175709efd|ROOTCOMP-834a238660aa7b68240f46e2,MECHEXP-027eab439e704d1ddbb31c1d|MECHEXP-3467b2d9412becfa8bdae043|MECHEXP-4491c7bc31747edb23ee7d63|MECHEXP-5fce9a6aec97f15929688740|MECHEXP-67a22aef1316f1983ad92d53|MECHEXP-8d45fce2657c8cabc8b0d2c7|MECHEXP-914f8622bdd3b8f99dd0ed4a|MECHEXP-bb45c1fbe82f04168c726542|MECHEXP-df8ca8e00a318da0f5dfe910,,upgrades_total_compensation_comparison,redirect_count=0|verification_terminal_request=EXTREQ-3df7c4e13031cf73a508f176,canonical_final_locator_id=EXTFINALLOC-70dc3078a2a7cb63915f928b,reachable_html_shell_or_portal,text/html; charset=utf-8,,,"## Metadata-only candidate discovery (no URL verification / no downloads) ### 1) Benson (MN) municipal personnel benefits & leave/premium eligibility/take-up (union contract / HR-adjacent) - **Municipality:** Benson, Minnesota - **Period:** 2025–2026 contract (contains benefit/premium + eligibility language that may be referenced in 2024 implementation contexts) - **Side:** municipal/employer (contract provisions apply to City administration) - **Event:** contract terms re: overtime, paid leaves",pub-detroitmi.escribemeetings.com,1,12,html,source_review_lane_004,8001
EXTSRCREV-983deac806f0e3c323e12e68,EXTLOC-7536def019cf108544876996,EXTFINALLOC-7536def019cf108544876996,https://public.destinyhosted.com/hubermindocs/2025/WORKS/20250107_4943/217_Council%20Work%20Session%20Minutes%20-%20010725.pdf,https://public.destinyhosted.com/hubermindocs/2025/WORKS/20250107_4943/217_Council%20Work%20Session%20Minutes%20-%20010725.pdf,EXTCAND-e25658308f70e9ca3d775dca,external_search_wave_001_compacted,Haslet,TX,undated,all_units,all_units,multi_family_administrative_source,implementation_confirmation|recruitment_and_retention|staffing_and_headcount,direct_vacancy_metric,staffing_table,weak_secondary_source,pdf,pdf,low,false,ROOTCOMP-95743555d70d11639a9acb99|ROOTCOMP-9eb3e092e7d4a904429dbe43,MECHEXP-1de0d167fec4fd8cd20c7095|MECHEXP-65e404a633ac1d356593282f|MECHEXP-cfcbce7ff81e03fbaab4b334|MECHEXP-df2399dc1d621c7aa664e0fb|MECHEXP-e4c09b0bf93b291f02089fa4|MECHEXP-fd4df81860d18434e9474d98,,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis,redirect_count=0|verification_terminal_request=EXTREQ-db7690b97f5d96c8af406819,canonical_final_locator_id=EXTFINALLOC-7536def019cf108544876996,reachable_direct_document,application/pdf,5846549,,"Likely **official / primary administrative source types** for municipal “pay plan / salary ordinance / authorized positions / vacancies / staffing & compensation” metadata in **Haslet, TX**: 1. **City HR / Employment (staffing + recruitment/retention signals)** - Official HR pages and job listings that document job openings and recruitment workflow. - Example source type: *“Employment Opportunitie",public.destinyhosted.com,1,8,document,source_review_lane_004,8002
EXTSRCREV-832603a90ad556fbcadef450,EXTLOC-f617182c7c39278cd94388cd,EXTFINALLOC-f617182c7c39278cd94388cd,https://richmondva.legistar.com/MeetingDetail.aspx?GUID=D258854C-C939-4A18-BC75-42D278E82265&ID=1354760,https://richmondva.legistar.com/MeetingDetail.aspx?GUID=D258854C-C939-4A18-BC75-42D278E82265&ID=1354760&Options=&Search=,EXTCAND-0f728904c790a92dd1bf225f,external_search_wave_001_compacted,Forest Hill,LA,2017,police,police,multi_family_administrative_source,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,overtime_staffing_response,payroll_roster,weak_secondary_source,html,html,low,false,ROOTCOMP-41737b45a4fe88e4adaba3ba,MECHEXP-164cbdc886e220ade5d55c8a|MECHEXP-7dbe3577d12acfbf47c19929|MECHEXP-d4862dec6f6feccb95f07580|MECHEXP-d9f874bb45f91c3f494579e3|MECHEXP-ecb7c44df895c9c882069df8,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,redirect_count=0|verification_terminal_request=EXTREQ-5181f04f2a47295116f0445b,canonical_final_locator_id=EXTFINALLOC-f617182c7c39278cd94388cd,reachable_html_shell_or_portal,text/html; charset=utf-8,,,"I searched for “Forest Hill” + “LA” + “2017” combined with payroll/salaries/earnings/overtime/budget authorized positions/vacancies/staffing/recruitment/retention/turnover/pay plan/ordinance/resolution/pension/health contribution/compensation study. The results I found were **not clearly tied to a specific official “Forest Hill, LA” entity in 2017**; most “Forest Hill” hits appear to be for other ",richmondva.legistar.com,1,6,html,source_review_lane_004,8003
EXTSRCREV-b72cfcafb42290f84cb83740,EXTLOC-493c6498460e0ac2652e1961,EXTFINALLOC-493c6498460e0ac2652e1961,https://static1.squarespace.com/static/62055664f50bb04e8aeb4d4d/t/673d2be00a62e353dcd7dfca/1732062177136/RFT+-+Board+of+Trustees+-+Minutes+20241015.pdf,https://static1.squarespace.com/static/62055664f50bb04e8aeb4d4d/t/673d2be00a62e353dcd7dfca/1732062177136/RFT%2B-%2BBoard%2Bof%2BTrustees%2B-%2BMinutes%2B20241015.pdf,EXTCAND-1b081cd8bc114b2e7a51771d,external_search_wave_001_compacted,River Forest,IL,2025,side_independent,side_independent,multi_family_administrative_source,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount,direct_vacancy_metric,payroll_roster,weak_secondary_source,pdf,pdf,low,false,ROOTCOMP-18312c229acc06e7e198ddd3,MECHEXP-52580cf1dd975ad654b2cbc3|MECHEXP-a3f6938b28e408050093855b|MECHEXP-c99cb61146a2dc6da0fafe8d|MECHEXP-ce80bf6fb47b17e7e2e80eeb,,upgrades_growth_analysis|upgrades_local_wage_comparison|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,redirect_count=0|verification_terminal_request=EXTREQ-4b980bf1d7d42cd3ef866c25,canonical_final_locator_id=EXTFINALLOC-493c6498460e0ac2652e1961,reachable_direct_document,application/pdf,188806,,"Likely **official / primary administrative source types** (metadata-oriented) for “River Forest, IL” **2025** payroll/salary/benefits/positions/vacancies/staffing/compensation matters are: 1. **Village of River Forest — Finance / Transparency pages** - Hosted “**Compensation & Benefits Report**” / itemized compensation reports required by Illinois (often tied to Public Act disclosure rules). - FOI",static1.squarespace.com,1,5,document,source_review_lane_004,8004
EXTSRCREV-6c8da1448213f5a9faf6903e,EXTLOC-1ed5e3400168559421ffaeeb,EXTFINALLOC-1ed5e3400168559421ffaeeb,https://stories.opengov.com/clearlake/published/ZjLo4bPN2,https://stories.opengov.com/clearlake/published/ZjLo4bPN2,RESCAND-7c31d12797b64df9ed66b3a8,external_search_wave_002_exhaustive_residual,Clear Lake,SD,2023,unclear,unclear,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,direct_position_reduction_metric,payroll_roster,weak_secondary_source,html,html,low,false,ROOTCOMP-d400ac3c3c0f7ae49823903a,MECHEXP-293e481a959276772de03ae7|MECHEXP-5562c32cb9cf6fbeffa7bddc|MECHEXP-6b6dec70bc803ebf97ce2766|MECHEXP-a30ac101a9c50dcbb4726a05,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,redirect_count=0|verification_terminal_request=EXTREQ-e460604b7270ef33c8676847,canonical_final_locator_id=EXTFINALLOC-1ed5e3400168559421ffaeeb,reachable_html_shell_or_portal,text/html,,,"I can’t reliably produce the metadata-only candidate discovery you’re asking for because the “Clear Lake, SD” target is **ambiguous** and the live results I found during discovery are **not consistently about the South Dakota municipality’s 2023 HR/budget/layoff/attrition/vacancy data**. What I found (relevant to your metadata-only pattern, but **does not yet satisfy** “authorized positions, filled positions, vacancy rate, layoffs, attrition” from **municipal payroll/open data, adopted budget, H",stories.opengov.com,1,5,html,source_review_lane_004,8005
EXTSRCREV-989f4e4e05382f90f1c53e02,EXTLOC-2128e2857eb30f8050e3b480,EXTFINALLOC-2128e2857eb30f8050e3b480,https://swagit-attachments.granicus.com/archive/agendas/197028/original/4-25%20AtlanticBeachCC.pdf,https://swagit-attachments.granicus.com/archive/agendas/197028/original/4-25%20AtlanticBeachCC.pdf,RESCAND-b0685a1e99e6b3860d214a51,external_search_wave_002_exhaustive_residual,Atlantic Beach,NC,2020,unclear,unclear,payroll_and_earnings,implementation_confirmation,unrelated_to_staffing,payroll_roster,weak_secondary_source,pdf,pdf,low,false,ROOTCOMP-5684074bd61715b763d976e9|ROOTCOMP-69ac40cf60182311a3d95f84,MECHEXP-0defdc35dc5e85f39c4a416a|MECHEXP-6bf734db77c72c7cf12dbf05|MECHEXP-8ac266e861f9895bcce196b7|MECHEXP-953d76b696005ad6825b668b|MECHEXP-a32390f4f2603745f0f68ff6|MECHEXP-bbf6508d6f120294ca9681c4|MECHEXP-c670ed0e6374971c348182d9|MECHEXP-f85729d6fa7462e54ead4419|MECHEXP-ffa5a7ccdd7b6365e31415ae,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,redirect_count=0|verification_terminal_request=EXTREQ-df9b77cd5540ebc06b3a6671,canonical_final_locator_id=EXTFINALLOC-2128e2857eb30f8050e3b480,reachable_direct_document,application/pdf,6416304,,I performed live web search for **metadata-only candidate discovery** for the target you specified: - **Municipality:** “Atlantic Beach” - **State:** NC - **Period:** 2020 - **Side:** unclear - **Event:** unclear - **Missing field:** unclear - **Source-family target:** “Census/USDA official municipal administrative record” + municipal payroll/open data + adopted budget + HR report ## Candidate discovery (metadata-only; no URL verification/download) ### Candidate A (likely relevant: municipal HR/,swagit-attachments.granicus.com,1,11,document,source_review_lane_004,8006
EXTSRCREV-3202683029468aee5dc37deb,EXTLOC-4df3e81677e48d4c0d880a12,EXTFINALLOC-4df3e81677e48d4c0d880a12,https://townofcochectonny.org/boards-meetings/town-board/,https://townofcochectonny.org/boards-meetings/town-board/,RESCAND-c2aa18d0c03c2b311f2bf01f,external_search_wave_002_exhaustive_residual,Cochecton,NY,undated-source-BRMGRS-20260802-d9d0334dbcf430895f6619eb,unclear,unclear,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,direct_vacancy_metric,payroll_roster,weak_secondary_source,html,html,low,false,ROOTCOMP-e022f6e9a0270078589928ad,MECHEXP-19fad36004f17cfb3ba8c44a|MECHEXP-46075d0b787dbae6510790c7|MECHEXP-a6671a33f8a2c4e4afa52094|MECHEXP-d1b3256ca5cd759af05c4e51,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,redirect_count=0|verification_terminal_request=EXTREQ-4c7337bdee67a69b84415a14,canonical_final_locator_id=EXTFINALLOC-4df3e81677e48d4c0d880a12,reachable_html_shell_or_portal,text/html; charset=UTF-8,18611,,"## Metadata-only candidate discovery targets (no URL verification/download) ### 1) Missing field clarification (needed to follow your “unclear …” constraint precisely) You requested: **“undated-source-BRMGRS-20260802-d9d0334dbcf430895f6619eb”** with **municipality Cochecton, NY** and **missing fields: unclear unclear** for: *applicant counts, turnover, retention, vacancy duration, recruitment and compensation studies budget_pay_plan municipal payroll/open data, adopted budget, HR report, Census/",townofcochectonny.org,1,5,html,source_review_lane_004,8007
EXTSRCREV-c8b4df5d1d181d03c7c51bc9,EXTLOC-c5e73e48f7b6e033b6503916,EXTFINALLOC-961db3bb8f984b3a67a6e5ec,https://validate.perfdrive.com/f30af4f43db4e2976dd4354af45c33aa/?ssa=9eb4df0f-8ad4-480a-9704-da6082adeb2b&ssb=42963275666&ssc=https%3A%2F%2Fnumerique.banq.qc.ca%2Fpatrimoine%2Fdetails%2F52327%2F3441112&ssi=bcb8b7c2-dpl6-4dd1-9162-fcf142a45794&ssk=botmanager_support%40radware.com&ssm=73658218507447437287736510140156&ssn=3ed00c4cf8c5bd7762dd8e6699717f77da1a97b0b8da-3c74-407c-b9c012&sso=01a55b12-cf01f364d443906d2b839cf09448642ee8f9a5864bfc2814&ssp=66196766351785908659178595717707216&ssq=72237944360627310063443087034221912986798&ssr=NzQuOTIuMTAuMjIy&sst=GabrielWagesLocatorVerifier%2F3.0%28metadata-onlyacademicverification%29&ssx=eyJfX3V6bWYiOiI3ZjkwMDA5N2IwYjhkYS0zYzc0LTQwN2MtYmIxMi1jZjAxZjM2NGQ0NDMxLTE3ODU5NDMwODc3ODg1MTg0MjctMDAyNWRhMWIyMDgzNmYxNjkzNDI4IiwicmQiOiJiYW5xLnFjLmNhIiwidXpteCI6IjdmOTAwMGI0OGE3MGMzLTc0NDctNDM3Yi1hYzc1LTUwNTQ3ZWI2ZjQ5YjEtMTc4NTk0MzA4Nzc4ODUxODQyNy0yZTZjZGNlZWU2OGJjY2Y2MjgifQ%3D%3D,https://numerique.banq.qc.ca/patrimoine/details/52327/3441112,RESCAND-8e657949317c327d8eb3be22,external_search_wave_002_exhaustive_residual,Colona,IL,2025,unclear,unclear,payroll_and_earnings,implementation_confirmation,unrelated_to_staffing,payroll_roster,weak_secondary_source,html,html,low,false,ROOTCOMP-d5a944ff035ab0d84ce00e61|ROOTCOMP-d890e272ce75e618346789b6,MECHEXP-0de7db8923d8874ca696fdc0|MECHEXP-229786eea8e8963f6c2ab106|MECHEXP-48d1fecbacea2be40045747a|MECHEXP-48f9fd598c56e9fe6d9689c6|MECHEXP-5f2810bfbc970a393f215a56|MECHEXP-7e08f2dc7f4d8101aeba33e1|MECHEXP-8162408e9f8adc0d0063938c|MECHEXP-b6a1fc1d44be1c1ce86793c3|MECHEXP-c384b30a6daad05ec8c54488|MECHEXP-d2e952fed5f5e61383517cd2|MECHEXP-d7878606accd6ca9ac801979,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,redirect_count=1|verification_terminal_request=EXTREQ-8af033db9d732c7f32587260,canonical_final_locator_id=EXTFINALLOC-961db3bb8f984b3a67a6e5ec,reachable_html_shell_or_portal,text/html; charset=UTF-8,,,"### Metadata-only candidate discovery (no candidate URL verification/download) **Target municipality / period / side / event / missing field / source-family** - Municipality: **Colona, IL** (City of Colona) - Period: **2025** - Side: **municipal (payer / employer)** - Event family: **municipal payroll / open-data administrative actions** tied to: - **adopted budget** - **ordinance adoption** - **budget appropriation** - **contract ratification** - **payment confirmation** - **retroactive pay / r",validate.perfdrive.com,1,13,html,source_review_lane_004,8008
EXTSRCREV-27e3a078657bebe01df5c29e,EXTLOC-946ef28a61af7baa534e04da,EXTFINALLOC-946ef28a61af7baa534e04da,https://www.alaiedontwp.com/map,https://www.alaiedontwp.com/map,RESCAND-815fd57d669595f503281936,external_search_wave_002_exhaustive_residual,Alaiedon,MI,2022,unclear,unclear,payroll_and_earnings,tenure_and_progression,unrelated_to_staffing,payroll_roster,weak_secondary_source,html,html,low,false,ROOTCOMP-3217f1650f2ef8694d0aad14,MECHEXP-740de3ec351913151ee0ac97|MECHEXP-bdeb3fd11deeb96b724b6aa9|MECHEXP-e883c27e8f542f27847c672c|MECHEXP-faa4f2535fd46fb0eaa7f80a,,upgrades_growth_analysis|upgrades_local_wage_comparison,redirect_count=0|verification_terminal_request=EXTREQ-000dc0e5516e35ac7b0f6e02,canonical_final_locator_id=EXTFINALLOC-946ef28a61af7baa534e04da,reachable_html_shell_or_portal,text/html; charset=UTF-8,,,"I found *metadata-only* candidate sources for **Alaiedon Township, MI (2022)**, but I did **not** find (from the first pass of hosted web discovery) any **hosted municipal 2022 payroll/pay plan/step-placement/rank progression/promotion timing/HR report** that’s available publicly in a structured way. Below are the **closest “source-family” targets** that appear relevant, plus what’s missing. ## 1) Municipality administrative record / baseline entity record (to locate the “official” HR/payroll ar",www.alaiedontwp.com,1,5,html,source_review_lane_004,8009
EXTSRCREV-c76541429fa1b8fc9e05d6aa,EXTLOC-2acce4c178b493e704e05581,EXTFINALLOC-2acce4c178b493e704e05581,https://www.applitrack.com/sd88/onlineapp/default.aspx?all=1,https://www.applitrack.com/sd88/onlineapp/default.aspx?all=1,RESCAND-872313384ca9eb20f5c939a0,external_search_wave_002_exhaustive_residual,Bellwood,IL,undated-source-CBSRD-20260728-8965ce3bf0dccd365679,unclear,unclear,multi_family_administrative_source,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,direct_vacancy_metric,payroll_roster,weak_secondary_source,html,html,low,false,ROOTCOMP-c7e8afc01d4545fd757c6fc6,MECHEXP-0405a5df91265c7c82b5d38a|MECHEXP-1668524a7700ef00069090db|MECHEXP-3c1d9dd86aa62dcabaf5a6f2|MECHEXP-a636552bbc5c0ecef1fcdc0a,,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,redirect_count=0|verification_terminal_request=EXTREQ-c6a50080fe9f57e3e2512ad7,canonical_final_locator_id=EXTFINALLOC-2acce4c178b493e704e05581,reachable_html_shell_or_portal,text/html; charset=utf-8,9175,,"{""target"":""Bellwood, IL; metadata-only candidate discovery (no URL verification or downloading)"",""candidate_request_pattern"":""undated-source-CBSRD-20260728-8965ce3bf0dccd365679; unclear/unclear; applicant counts/turnover/retention/vacancy duration/recruitment & compensation studies; retroactivity_implementation municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record"",""candidates"":[{""municipality"":""Bellwood"",""state"":""IL"",""event_field"":""undated-",www.applitrack.com,1,5,html,source_review_lane_004,8010
