MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state,candidate_title,candidate_snippet,original_requested_urls,expected_claim_upgrade_tags
,,bounded shell/metadata review,0,,{},0,https://cms3.revize.com/revize/chattahoocheehillsga/CouncilAgendaPacket07-11-2023_COMPRESSED.pdf,EXTLOC-00dc21731c246864cc4eca97,,unclear,unknown,404,unclear,https://cms3.revize.com/revize/chattahoocheehillsga/CouncilAgendaPacket07-11-2023_COMPRESSED.pdf,high,0,0,False,RESCAND-ec9a6e91389054031d850604,,MECHEXP-23a3c1384c96a61aa1478c16|MECHEXP-67af477ede64914f2c32eb21|MECHEXP-7c0daf8ca20b4ea187bdc180|MECHEXP-909c284f3c622de4a4665018|MECHEXP-c112a4aea99b89b7b4510b73,ROOTCOMP-cfd7515849c5c7d5111c31a6,external_search_wave_002_exhaustive_residual,,cms3.revize.com,Chattahoochee Hills,0,true,CouncilAgendaPacket07-11-2023_COMPRESSED.pdf,2022,unclear,payroll_roster,manual_review_candidate,1,,2026-08-05T17:03:59.967118+00:00,0,implementation_confirmation,unclear,unclear,EXTSRCREV-445623948f442d6e8ac64efa,source_review_lane_002,113,download returned 404,unavailable_on_download,GA,,"Candidate discovery (metadata-only) for **“Chattahoochee Hills”, GA, 2022** targeting fields like **unclear actual wages paid / total earnings / overtime / premiums / retroactive payments**, from **municipal payroll / open data**, **adopted budget**, **HR report**, and **official municipal administrative records**. ## Municipality/period/side/event/missing-field/source-family target - **Municipality (municipal):** City of **Chattahoochee Hills, GA** - **Period (2022):** fiscal year **FY2022** (t",https://www.chatthillsga.us/Council%20Agenda%20Packet%2007-11-2023_COMPRESSED.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
,,bounded shell/metadata review,0,,{},0,https://cms2.revize.com/revize/akronoh/Documents/Departments/Finance/Reports/OperatingBudget/2023_budget_plan.pdf,EXTLOC-0275ca1e1f0efdc7d0182f47,,police,unknown,404,unclear,https://cms2.revize.com/revize/akronoh/Documents/Departments/Finance/Reports/OperatingBudget/2023_budget_plan.pdf,high,0,0,False,EXTCAND-8cfd7fa284303b319fcea9bd,,MECHEXP-1b94fbba5bac4177d7a93c17|MECHEXP-58753392a9aa0845a9af4c68|MECHEXP-b8ca5e15e2b4feca6d7e019d|MECHEXP-d8eef90b3a9bf3ed1467230f|MECHEXP-fdb6754f6e8191bceaf2b7de,ROOTCOMP-227c2c317b8ce65d234260ae,external_search_wave_001_compacted,,cms2.revize.com,Clinton,0,true,2023_budget_plan.pdf,2023,unclear,payroll_roster,manual_review_candidate,1,,2026-08-05T17:28:01.516650+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|tenure_and_progression,police,unclear,EXTSRCREV-20210efc9f4c254f5b5d0ae6,source_review_lane_005,95,download returned 404,unavailable_on_download,OH,,"Here are **likely official/primary public administrative source types** to discover metadata for a target like **“Clinton, OH + 2023 payroll/salaries/overtime/budget positions staffing recruitment retention turnover pay plan step schedule ordinance/resolution compensation study pension/health contribution”** (without opening candidate pages): - **Village/City/Township legislation pages & document ",https://www.akronohio.gov/Documents/Departments/Finance/Reports/Operating%20Budget/2023_budget_plan.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison
,,bounded shell/metadata review,0,,{},0,https://ncrules.elaws.us/code/25ncac01i.2003,EXTLOC-04704631a17f27f3c277bffb,,unclear,unknown,,unclear,,high,0,0,False,RESCAND-842a7501a2f39b885ff9335f,,MECHEXP-423137edf60768faef56891e|MECHEXP-52eaae2c29273569511a9634|MECHEXP-772a605c88673f389bb96d5e|MECHEXP-884822f3e2c047e685b45542|MECHEXP-ce169c2c4d5e0193d15f68af,ROOTCOMP-98b1eda04e1a076a0e19bba4,external_search_wave_002_exhaustive_residual,,ncrules.elaws.us,Belville,0,true,25ncac01i.2003,2022,unclear,payroll_roster,manual_review_candidate,2,,2026-08-05T17:13:53.191992+00:00,1,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,unclear,EXTSRCREV-d465d188ffe7dae8734b0fc0,source_review_lane_003,336,ReadTimeout after bounded retry,download_timeout_retry_exhausted,NC,,"### Live-hosted metadata-only candidate discovery (no URL verification / no downloads) **Target (as given):** municipality = **“Belville”**, state = **NC**, period = **2022**, side = **unclear** (incumbent vs new-hire unspecified), event = **unclear employee tenure/step/rank/promotion timing** with missing fields including **unclear incumbent/new-hire tier retroactivity_implementation**, source-family = **municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal admi",https://ncrules.elaws.us/code/25ncac01i.2003,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
text/plain,,bounded shell/metadata review,0,,{},0,https://dlg.usg.edu/record/dlg_ggpd_1176240503-2025-01-01,EXTLOC-0776cf711473670d9066fe46,,unclear,unknown,503,unclear,https://dlg.usg.edu/record/dlg_ggpd_1176240503-2025-01-01,high,0,0,False,RESCAND-b43f027964df39a217b415b3,,MECHEXP-0ade829048f853a2aa17b6aa|MECHEXP-1120adea42601fe758828256|MECHEXP-2f1b36db769798c29b42ef2a|MECHEXP-2ff8cd6b796fec976c21ac3d|MECHEXP-529c3606ebb17872d65e0b90|MECHEXP-6da61985b9df60101713eec5|MECHEXP-7edcb6ba0cd8f998f28da470|MECHEXP-8c2070e823b08e0273c53070,ROOTCOMP-5c7765ac3141b416e9a79713|ROOTCOMP-b7b8d337a7b00dcd532e6eff,external_search_wave_002_exhaustive_residual,,dlg.usg.edu,Arnoldsville,0,true,dlg_ggpd_1176240503-2025-01-01,undated-source-B4X2500LIVE-20260729-009296,unclear,payroll_roster,manual_review_candidate,2,,2026-08-05T17:12:28.069838+00:00,1,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,unclear,EXTSRCREV-833a7cf138320bf8ecbfb931,source_review_lane_003,156,transient HTTP 503 after bounded retry,download_timeout_retry_exhausted,GA,,"I can’t find any web-hosted candidate documents/records that match your exact target: - municipality: **“Arnoldsville” “GA”** - period/side/event/missing-field/source-family: **undated-source-B4X2500LIVE-20260729-009296** + “unclear unclear pension contributions, health-cost shares, leave, premium eligibility and take-up, minimum-staffing overtime effects retroactivity_implementation” - record types: **municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal adminis",https://dlg.usg.edu/record/dlg_ggpd_1176240503-2025-01-01,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_total_compensation_comparison
text/html,,bounded shell/metadata review,0,,{},0,https://www.legislature.mi.gov/documents/2023-2024/Journal/Senate/htm/2023-SJ-03-02-022.htm,EXTLOC-0a611236e8f48a4d5b5caa26,,fire,unknown,404,unclear,https://www.legislature.mi.gov/documents/2023-2024/Journal/Senate/htm/2023-SJ-03-02-022.htm,high,0,0,False,EXTCAND-eb5dc35309a04b5886f05abe,,MECHEXP-0c387ec25e1fa5c4e66ed697|MECHEXP-3dd4cc36e0d4c9dc11f1694e|MECHEXP-5d71b4572d9d7e303ffe85d5|MECHEXP-9d9c7f81704a747796c658ed|MECHEXP-aeedeb5cbb9c6cbe13dc72f6|MECHEXP-ec75a0c8e83817101a89b0e2|MECHEXP-f0dff46dacdbd187e9acce3a|MECHEXP-f5f8523329f3d92a59e29164,ROOTCOMP-55f51960b898609b05b3b01e|ROOTCOMP-6c179dd278d1595d56eac06e,external_search_wave_001_compacted,,www.legislature.mi.gov,Port Huron charter,0,true,2023-SJ-03-02-022.htm,2026,unclear,staffing_table,manual_review_candidate,1,,2026-08-05T17:06:31.248219+00:00,0,implementation_confirmation,fire,unclear,EXTSRCREV-29051c61c3b8cd6cb287ce27,source_review_lane_002,725,download returned 404,unavailable_on_download,MI,,"I couldn’t identify any *official* “Port Huron charter” public-pay/position-control documents for **2026** via the search results I received (the results surfaced unrelated/insufficient items, and third-party salary aggregators like GovSalaries). However, based on what these fields (“pay plan”, “salary schedule/step”, “authorized positions”, “budget”, “ordinance/resolution”) typically map to in Mi",https://www.legislature.mi.gov/documents/2023-2024/Journal/Senate/htm/2023-SJ-03-02-022.htm,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis
,,bounded shell/metadata review,0,,{},0,https://cms2.revize.com/revize/charleston/DocumentCenter/Government/Administration/CityComptroller/FinancialStatements/Financial_Statements_2021.pdf,EXTLOC-0c592f38fe8873925161de8b,,police,unknown,404,unclear,https://cms2.revize.com/revize/charleston/DocumentCenter/Government/Administration/CityComptroller/FinancialStatements/Financial_Statements_2021.pdf,low,0,0,False,EXTCAND-08cdb30f5028e95621ae691c,,MECHEXP-08c14f7378ff5fd2dea87c1a|MECHEXP-bbe62e8e7783dc95e04f1a71|MECHEXP-c349eaa00782cc0d6fa04e19|MECHEXP-d2c0c7a296308b163632e2b4,ROOTCOMP-80df7fb8c3894df99b646eda,external_search_wave_001_compacted,,cms2.revize.com,Charleston,0,false,Financial_Statements_2021.pdf,2021,unclear,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:04.962419+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,unclear,EXTSRCREV-d93cf4e0708fcdab9efa5cb0,source_review_lane_005,7782,download returned 404,unavailable_on_download,IL,,"Likely **official/primary administrative source types** for metadata-only discovery of “**Charleston, IL – 2021 payroll/salaries/earnings/overtime/budget/authorized positions/vacancies/staffing/recruitment/retention/turnover/salary step schedule/pay plan/ordinance-resolution/pension-health compensation study**”: - **City of Charleston, IL administrative records (top target)** - **Annual budget doc",https://www.charlestonillinois.org/Document%20Center/Government/Administration/City%20Comptroller/Financial%20Statements/Financial_Statements_2021.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison
,,bounded shell/metadata review,0,,{},0,https://jobs.ohiomeansjobs.applygovt.com/search.aspx?cn=catawba+island+club,EXTLOC-0c8c39312608a56ad828c631,,non_safety,unknown,,unclear,,low,0,0,False,RESCAND-87a914b3fa20fe7ead8ccefd,,MECHEXP-57c2ca0bd90adc138d521b25|MECHEXP-9510424390728d932c589f5a|MECHEXP-b59efdfafb0c43c31e5390f1|MECHEXP-ec45137643d92fb72aa41208,ROOTCOMP-e2fb504ffbfab28baa654204,external_search_wave_002_exhaustive_residual,,jobs.ohiomeansjobs.applygovt.com,Catawba Island,0,false,search.aspx,2026,unclear,payroll_roster,manual_review_candidate,2,,2026-08-05T17:34:27.820120+00:00,1,implementation_confirmation,non_safety,unclear,EXTSRCREV-9880c5fa53c600955387c3d2,source_review_lane_002,5502,ConnectError after bounded retry,download_timeout_retry_exhausted,OH,,"I found metadata-only “candidate” discovery leads for **Catawba Island Township, OH** in **calendar year 2026**, aligned to your **non_safety / municipal payroll-open data / adopted budget / HR report / Census-USDA official municipal administrative record** family target. I did **not** verify or download the candidate URLs. ## Municipality / Period / Side / Event / Source-family targets (2026) - **Municipality (OH):** Catawba Island Township (Ottawa County) - **Period:** 2026 - **Non-safety:** (",https://jobs.ohiomeansjobs.applygovt.com/search.aspx?cn=catawba+island+club,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim
,,bounded shell/metadata review,0,,{},0,https://cms2.revize.com/revize/Niskayuna/Town%20Board%20Packet%2011.16.%2023.pdf,EXTLOC-0d5c64bbceb66992de5a7d20,,all_units,unknown,,unclear,,low,0,0,False,EXTCAND-12ae08b54a579ef4bc05df6b,,MECHEXP-0567cc591e331600c7148f65|MECHEXP-1cd1c5efb8ca0b876caddcf0|MECHEXP-41c249ff057dd0d3ca993719|MECHEXP-464dc6f9166819a60dd15ba1|MECHEXP-b3016d2a060f916497f79464,ROOTCOMP-b9c58a55b9e69ae734092f8c,external_search_wave_001_compacted,,cms2.revize.com,Niskayuna,0,false,Town Board Packet 11.16. 23.pdf,2023,unclear,payroll_roster,manual_review_candidate,2,,2026-08-05T18:01:40.886570+00:00,1,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,unclear,EXTSRCREV-b7d27040c0412634e86388b5,source_review_lane_005,8049,ConnectError after bounded retry,download_timeout_retry_exhausted,NY,,"Likely **official/primary administrative source types** you should target for metadata-only discovery around **Town/Village of Niskayuna, NY** employment **(2023)** covering “payroll, salaries, earnings, overtime, authorized positions, vacancies, staffing/recruitment, retention/turnover, salary step schedules, ordinances/resolutions, pay plan, pension/health contributions, compensation study”: 1. ",https://cms2.revize.com/revize/Niskayuna/Town%20Board%20Packet%2011.16.%2023.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison
,,bounded shell/metadata review,0,,{},0,https://cms3.revize.com/revize/villageofbutler/DocumentCenter/AgendasAndMinutes/LibraryBoard/2024/Packets/June2024MeetingPacket.pdf,EXTLOC-0d8c9a1dc6f48fd95d3a9751,,police,unknown,404,unclear,https://cms3.revize.com/revize/villageofbutler/DocumentCenter/AgendasAndMinutes/LibraryBoard/2024/Packets/June2024MeetingPacket.pdf,high,0,0,False,EXTCAND-4e31adbafafc82a84579a337,,MECHEXP-53d5fb7eb4a2821383a75aba|MECHEXP-a0d0b32f49ab17b2e8fe35dc|MECHEXP-a4eb03488af672663f3464ae|MECHEXP-ab129bc1e7502dca5d57fb28|MECHEXP-cc2b30ce84374e6b949cc682,ROOTCOMP-3e82acd747154967e644ba9a,external_search_wave_001_compacted,,cms3.revize.com,Butler,0,true,June2024MeetingPacket.pdf,2014,unclear,payroll_roster,manual_review_candidate,1,,2026-08-05T17:07:18.511469+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|staffing_and_headcount,police,unclear,EXTSRCREV-c5e108293d638ae88226cfbf,source_review_lane_002,1001,download returned 404,unavailable_on_download,WI,,"Likely **official/primary public administrative source types** for a “Butler, WI, 2014” payroll/salaries/benefits/overtime/authorized positions/vacancies/staffing/compensation-plan metadata-only discovery target: - **Municipal budgets & budget ordinances/resolutions (2014)** - “2014 Budget” / budget ordinance (often includes department staffing, authorized FTEs/positions, wage/fringe/overtime line",https://www.butlerwi.gov/Document%20Center/Agendas%20And%20Minutes/Library%20Board/2024/Packets/June%202024%20Meeting%20Packet.pdf,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison
text/html; charset=iso-8859-1,,bounded shell/metadata review,0,,{},0,https://cityofbutler.org/2014/01/january-6-2014-inaugurationreorganization-meeting/,EXTLOC-0d8f9ad0bc80532cebd57cf1,,police,unknown,503,unclear,https://cityofbutler.org/2014/01/january-6-2014-inaugurationreorganization-meeting/,low,0,0,False,RESCAND-3b261a5990bba0f936d3aada,,MECHEXP-53d5fb7eb4a2821383a75aba|MECHEXP-a0d0b32f49ab17b2e8fe35dc|MECHEXP-a4eb03488af672663f3464ae|MECHEXP-ab129bc1e7502dca5d57fb28|MECHEXP-cc2b30ce84374e6b949cc682,ROOTCOMP-3e82acd747154967e644ba9a,external_search_wave_002_exhaustive_residual,,cityofbutler.org,Butler,0,false,january-6-2014-inaugurationreorganization-meeting,2014,unclear,payroll_roster,manual_review_candidate,2,,2026-08-05T17:29:06.223520+00:00,1,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,police,unclear,EXTSRCREV-73f48fdb0bfba7e0c4df20d2,source_review_lane_003,6926,transient HTTP 503 after bounded retry,download_timeout_retry_exhausted,WI,,"I ran live, metadata-only web discovery for your target: - **Municipality:** Butler, **WI** - **Period:** **2014** - **Side/Event:** police (department staffing / authorized vs filled / vacancies) - **Missing fields requested:** authorized positions, filled positions, vacancy rate, layoffs, attrition, retroactivity_implementation, municipal payroll/open data, adopted budget, HR report, Census/USDA official municipal administrative record - **Source-family target:** official municipal administrat",https://cityofbutler.org/2014/01/january-6-2014-inaugurationreorganization-meeting/,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis
