attempt,reason,recorded_at,request_id,retry_after,source_review_id
1,ConnectTimeout,2026-08-05T16:59:30.905368+00:00,EXTDLREQ-5bad5633e7a124aab19452da,,EXTSRCREV-9aa21276357521136ea938a1
1,ConnectTimeout,2026-08-05T17:01:30.188764+00:00,EXTDLREQ-dd164c9509c410ea83c1a075,,EXTSRCREV-049c904e2727843da2e0cc5a
1,ConnectTimeout,2026-08-05T17:01:50.873952+00:00,EXTDLREQ-c6e7b58ca53bfed80c848da7,,EXTSRCREV-a2b26c782ce1d9ea4853274f
1,ReadTimeout,2026-08-05T17:02:34.541720+00:00,EXTDLREQ-e17384c576d8112a8567e818,,EXTSRCREV-94bffc17373b6994e164edb0
1,ReadTimeout,2026-08-05T17:03:41.844958+00:00,EXTDLREQ-f66ae4bcfaf301da5a30c46f,,EXTSRCREV-843136157313f7df093fec1b
1,ReadTimeout,2026-08-05T17:04:47.509206+00:00,EXTDLREQ-edf0f36d857dd6ed1e5c5e51,,EXTSRCREV-258e79e22de42cb93133af7f
1,ConnectError,2026-08-05T17:04:36.182701+00:00,EXTDLREQ-5f2e9331cd2242f4838f08dd,,EXTSRCREV-a284069e7d5aee62f8cc951c
1,ReadTimeout,2026-08-05T17:04:47.454945+00:00,EXTDLREQ-23b84a95b40e4da82e02ce2a,,EXTSRCREV-74552a1a31a1ecd57d74d1a4
1,ReadTimeout,2026-08-05T17:05:31.959859+00:00,EXTDLREQ-7880c519fff7bec808ea7c95,,EXTSRCREV-dcfd5e820679d2a9acb22ea4
1,ConnectTimeout,2026-08-05T17:06:26.132956+00:00,EXTDLREQ-ee479936e627fd3280e4dfe7,,EXTSRCREV-14ae06fe3dd54d7e061f28bf
1,ConnectError,2026-08-05T17:07:30.535669+00:00,EXTDLREQ-56eb3949578ab5775ff618ce,,EXTSRCREV-d9843696798320c5d8508f18
1,ConnectError,2026-08-05T17:08:27.677069+00:00,EXTDLREQ-0161e04858ac2405d9e21ed4,,EXTSRCREV-62311a2634a710c155a075a3
1,ReadTimeout,2026-08-05T17:07:57.776580+00:00,EXTDLREQ-61eac9cb5632afbf1b86795f,,EXTSRCREV-555cb7f0aa91e8ad38ef4d0d
1,ConnectError,2026-08-05T17:09:03.448423+00:00,EXTDLREQ-5282c03548742390d0cdc45f,,EXTSRCREV-320a28488dd565400bfcb836
1,ConnectError,2026-08-05T17:09:27.839883+00:00,EXTDLREQ-7d108ba3aef4e9b305c85418,,EXTSRCREV-34f1433e37511ed711ea5ffb
1,RemoteProtocolError,2026-08-05T17:09:59.515515+00:00,EXTDLREQ-ae932db2fe643b05632ae85f,,EXTSRCREV-9f80b30f26c53444b65dd948
1,ReadTimeout,2026-08-05T17:11:56.892712+00:00,EXTDLREQ-512ed7dc80787f15aed2c58a,,EXTSRCREV-20b9e753a214477b8f8f1a88
1,ReadTimeout,2026-08-05T17:12:20.286235+00:00,EXTDLREQ-18a7b388af7d181c7722a477,,EXTSRCREV-8f5fea2cd055eca227b3359e
1,ReadTimeout,2026-08-05T17:21:42.736697+00:00,EXTDLREQ-328ec4fe65808859b6c96862,,EXTSRCREV-1e94cb06c4d6dd2efa09bf16
1,ReadTimeout,2026-08-05T17:22:53.997610+00:00,EXTDLREQ-26f321c1e00b404e950f8ae8,,EXTSRCREV-964f11d8de6c27472a5e0f8b
1,ReadTimeout,2026-08-05T17:24:05.443923+00:00,EXTDLREQ-1fe2329c0ed3942979b0338f,,EXTSRCREV-a002d976eb3440bd5ac35519
1,HTTP 502,2026-08-05T17:24:42.202364+00:00,EXTDLREQ-de94cf4ec62bf53f6ef2ac2d,,EXTSRCREV-01800282bb7022804cf09d32
1,ReadTimeout,2026-08-05T17:25:18.750747+00:00,EXTDLREQ-382aba46fc0afd7f868b4d31,,EXTSRCREV-71c355cb90a296c1378a7d73
1,ReadTimeout,2026-08-05T17:27:26.784376+00:00,EXTDLREQ-de5b5aa068840d152fc166f8,,EXTSRCREV-06a1fdf7b0e8e9eb0d7aeced
1,ConnectError,2026-08-05T17:34:26.568719+00:00,EXTDLREQ-72bbe54372d2ec3fdc55cbf7,,EXTSRCREV-9880c5fa53c600955387c3d2
1,ConnectTimeout,2026-08-05T17:34:26.907169+00:00,EXTDLREQ-74843be9ff0326dbfc69c3d6,,EXTSRCREV-41719550a1c68482e9b36ed8
1,ConnectTimeout,2026-08-05T17:34:22.190530+00:00,EXTDLREQ-4989dc8358f3a09e8077adef,,EXTSRCREV-a39e37d561d4f7c6cb5cad04
1,ConnectTimeout,2026-08-05T17:35:22.382219+00:00,EXTDLREQ-bc594b1c25e542b844659eb8,,EXTSRCREV-ca470a3794ecf0cfa0016a04
1,ReadTimeout,2026-08-05T17:35:28.351886+00:00,EXTDLREQ-4207806868d3c2deb502a8f3,,EXTSRCREV-869a0a3fe24eccf7ad1ecf5e
1,ConnectTimeout,2026-08-05T17:35:36.916057+00:00,EXTDLREQ-4a25079cc0b6817d3542b6ba,,EXTSRCREV-2c7e7b12678f2ee7533d7584
1,ConnectTimeout,2026-08-05T17:35:37.458999+00:00,EXTDLREQ-34c564fc3f54d71960d8a566,,EXTSRCREV-141232031bc478779bc5bfe1
1,ConnectError,2026-08-05T17:36:00.377989+00:00,EXTDLREQ-121fd57ccf2906a997931b01,,EXTSRCREV-a35513f5810f47043e12acd3
1,ConnectTimeout,2026-08-05T17:36:26.593851+00:00,EXTDLREQ-e9dd21d2bd2032eda976f093,,EXTSRCREV-6b2bd75b35f9bbb5cb5bd431
1,ConnectTimeout,2026-08-05T17:37:10.144343+00:00,EXTDLREQ-9b3d40f91f4e0ee162abb1bc,,EXTSRCREV-bdaad7d9756ebb554ed898c1
1,ConnectError,2026-08-05T17:38:39.370008+00:00,EXTDLREQ-09e86d0be6d75141990a41cb,,EXTSRCREV-cc146c918a2d298ba96c79c3
1,ConnectTimeout,2026-08-05T17:38:27.323141+00:00,EXTDLREQ-811f61ccc3fd7000ae606e76,,EXTSRCREV-dfc507af84f139d439abbdc4
1,ConnectTimeout,2026-08-05T17:38:33.619667+00:00,EXTDLREQ-5e7ae73a7140b7bc527a7718,,EXTSRCREV-05e3180428b847430e297a2b
1,ConnectTimeout,2026-08-05T17:39:11.386476+00:00,EXTDLREQ-7276426e6c684e56a8bd3c1a,,EXTSRCREV-9d259af6b834a492b9ae4e39
1,ReadTimeout,2026-08-05T17:41:39.392664+00:00,EXTDLREQ-f8867f9232daa5d8a4d59447,,EXTSRCREV-95121b0cf60432b041839121
1,ReadTimeout,2026-08-05T18:01:39.853713+00:00,EXTDLREQ-4f763bcd831dd3da49275805,,EXTSRCREV-043c457884efaf6b7e1ad113
