readiness_queue_id,retained_source_id,canonical_source_review_id,local_artifact_path,SHA_256,byte_size,detected_file_type,MIME_type,readiness_hint,source_quality,primary_content_family,administrative_source_type,linked_source_review_ids,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids,source_review_only,analytical_extraction_performed
EXTREADYQ-e2bf7106e43c0ff38c56a5ee,EXTSOURCE-8a0769b8914f81511b88ad76,EXTSRCREV-b34b50eb96f528c5349e663a,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/315835a0ade87c29580d887acbea5e28ebc0de08898302c8aa2cd59a9bec4322.html,315835a0ade87c29580d887acbea5e28ebc0de08898302c8aa2cd59a9bec4322,69304,html,text/html; charset=UTF-8,html_text_candidate,official_administrative_summary,payroll_and_earnings,payroll_roster,EXTSRCREV-b34b50eb96f528c5349e663a,RESCAND-884bdac8111e0e456928e3ab,ROOTCOMP-0b8a1837188c768862a29cfa|ROOTCOMP-bdf5b5921d87c8834f0d062f|ROOTCOMP-c108614a939426af0cac13a6,MECHEXP-0ef05758427391391baf2af4|MECHEXP-3931c95f81e775f660b13d9d|MECHEXP-588cfa7e050b7ac135408c59|MECHEXP-65b25c0a5a7c4130c417d69e|MECHEXP-6df92cb2bb776be0589c3497|MECHEXP-807ac29aeb82831a48187820|MECHEXP-80b773b26d92d9106e16060a|MECHEXP-88c32f0a3873e55c62f430c2|MECHEXP-a320d9398fda99e5da2169aa|MECHEXP-de922c4737e806fa3d749efe,,True,False
EXTREADYQ-3fc6d350ab4f3a3c8075bba8,EXTSOURCE-8a0e256bc9e6943351d3ef02,EXTSRCREV-2222fd1e751af65ea93fbbd1,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/f8766d54602ab55df6115b3866f6f26fd090478f67cbacc050ccca81288b8cdb.html,f8766d54602ab55df6115b3866f6f26fd090478f67cbacc050ccca81288b8cdb,31221,html,text/html; charset=utf-8,html_text_candidate,official_administrative_summary,multi_family_administrative_source,payroll_roster,EXTSRCREV-2222fd1e751af65ea93fbbd1,RESCAND-516c502a624d58b3ebe86b84,ROOTCOMP-6c6f1c6848851293847d2ef7,MECHEXP-19657ebf2e1b5a35001e7bf5|MECHEXP-29c17c3f8746c8d65a5d0fac|MECHEXP-d5f210829e3a9494b323077e|MECHEXP-dade337c3ae7ca5a66f7d1f7,,True,False
EXTREADYQ-4cc3cfc95f1aedc85ae95bae,EXTSOURCE-8a1415d6f8f2a4a41c54c848,EXTSRCREV-c7aac5108fbb8d5f3eec4d9b,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/e60e9b6bbc730161fc4364ab6e8bc617770890117aae377005ea46c0406381d4.pdf,e60e9b6bbc730161fc4364ab6e8bc617770890117aae377005ea46c0406381d4,5695297,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-3882eb9987ef2b1fffaddd12|EXTSRCREV-c7aac5108fbb8d5f3eec4d9b,RESCAND-5ea5498e795199105bab789b|RESCAND-8be5234e4bc6b77a3e7bb25c,ROOTCOMP-4175b19a5d0189229fe93ab2|ROOTCOMP-d7270125af4f5fd9afbbfa1b,MECHEXP-2ead77f6d068bc7f3358ba43|MECHEXP-53f2452353e7fc1ecb1aefa9|MECHEXP-756192861174b17fd3165887|MECHEXP-82c6745d8484cffacb2be3c2|MECHEXP-8de5a281eb579a1bba9d1798|MECHEXP-90a6b5195448468ea78bd83d|MECHEXP-c64e5394c50e11a2c77c6b59,,True,False
EXTREADYQ-63fab2587738922320b8cc37,EXTSOURCE-8a16f4c0b44710a13dc96d6d,EXTSRCREV-ad819eb06aef04af4977d559,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/96c750d9ec8e2d590b5b9da1fe78b6b3cdf812538c7085ac598d21188f2caaee.html,96c750d9ec8e2d590b5b9da1fe78b6b3cdf812538c7085ac598d21188f2caaee,245058,html,text/html; charset=UTF-8,html_text_candidate,official_administrative_summary,implementation_confirmation,ordinance_or_resolution,EXTSRCREV-ad819eb06aef04af4977d559,EXTCAND-3e83d734e3a6860a439b6c96,ROOTCOMP-f24839f97ddf2d41bf889150,MECHEXP-123a1571266accd17512b8ee|MECHEXP-854a6a5d2a365e482a73f41a|MECHEXP-a16329059a534696e3948d86|MECHEXP-edb190852410cb8773b49e1e,,True,False
EXTREADYQ-6115de5206e0d21172191db0,EXTSOURCE-8a2345a20a7d427872c51db3,EXTSRCREV-e5230a8be40e914efc93e1a9,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/2bb6624d5863e730ea4e1803866df8c0aa32e515eed59ce66d1b72d84fba6a6b.html,2bb6624d5863e730ea4e1803866df8c0aa32e515eed59ce66d1b72d84fba6a6b,82866,html,text/html; charset=utf-8,html_text_candidate,official_administrative_summary,multi_family_administrative_source,budget,EXTSRCREV-e5230a8be40e914efc93e1a9,EXTCAND-9900b65b2ac5e001517c7ba5,ROOTCOMP-90c5be5b84a41e7f052a41bf,MECHEXP-188c4079d2737b189c0484b7|MECHEXP-3e9c7d50bc5881ede0b7d4ab|MECHEXP-6101e1685255c2d0ef6c6687|MECHEXP-62f6c73e17c49319486720d4|MECHEXP-c3c9736ded683aabd0bb8342,,True,False
EXTREADYQ-230ea574e96cbfd3f310f019,EXTSOURCE-8a25bfe7ef3387974a96d096,EXTSRCREV-1be7d08699ba99031eeb7e3f,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7f5b332ff665e8737fddfb8f17e08f6bf192d24d88d536b8540964a5d37a37a0.html,7f5b332ff665e8737fddfb8f17e08f6bf192d24d88d536b8540964a5d37a37a0,48592,html,text/html; charset=UTF-8,html_text_candidate,official_administrative_summary,multi_family_administrative_source,payroll_roster,EXTSRCREV-1be7d08699ba99031eeb7e3f,EXTCAND-074b235b7fe81b4b2f242c40,ROOTCOMP-211a332ca37cb331e78bfb0b,MECHEXP-0bf7181361ee7b1f5ed6f89d|MECHEXP-687ce449a4b94062ca775eeb|MECHEXP-73288a4f4f21d9ab7555410d|MECHEXP-a300b982fc87bdc046abc427|MECHEXP-d966fe91043e3d76a281bb79,,True,False
EXTREADYQ-125354b0e0f884332ba4c7ce,EXTSOURCE-8a262a5e38ed96f858cdeb21,EXTSRCREV-f3c48c859c504f87ece6e9b9,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/debdbed71b722a470f61837866e4748df193e46a35c56d611cb338b69a7c21ef.pdf,debdbed71b722a470f61837866e4748df193e46a35c56d611cb338b69a7c21ef,10926624,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-f3c48c859c504f87ece6e9b9,EXTCAND-6f6d28b386cc39b05ba45221,ROOTCOMP-20d362c553e5f0b7021d284a,MECHEXP-4b3b4542329b883fd14afeb5|MECHEXP-5933defc466caa6561cf803f|MECHEXP-92445071dd63c20cbc346fa5|MECHEXP-dc7ca0d0f24c5884cef3a6c9|MECHEXP-f1ddc272da56714995eae65d,,True,False
EXTREADYQ-245734cab5d587b0521d398a,EXTSOURCE-8a2a7e93855790a41f39d240,EXTSRCREV-115234c10b8797826796cae5,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/39f002d5c80ac38c44aea65ea25c7b41ec8ded117335b6d2743eca6947a8d909.html,39f002d5c80ac38c44aea65ea25c7b41ec8ded117335b6d2743eca6947a8d909,96896,html,text/html; charset=utf-8,html_text_candidate,official_administrative_summary,implementation_confirmation,ordinance_or_resolution,EXTSRCREV-115234c10b8797826796cae5,EXTCAND-6f7d06c98a4f978ed68222a8,ROOTCOMP-11d2cd68801aaa1691b6f741|ROOTCOMP-c03506e6551ef08313298ab2,MECHEXP-032c55dfb98779a9ca2e6444|MECHEXP-0b782f09ad9dfdf99880c791|MECHEXP-505401e8231654f119d11288|MECHEXP-a646ae789a09cb35c767bb83|MECHEXP-b227a70d0b1cb3efa57c66e8|MECHEXP-b9a9811db7fcdf3b67f7e6d4|MECHEXP-d7c6ce88208abf924dabcc86|MECHEXP-d9e793fb3a8cf670c5ea388a,,True,False
EXTREADYQ-0ed1ca02b27dd412db5c0371,EXTSOURCE-8a2ea62228afeccc7d9f6907,EXTSRCREV-93dd822bf8d41e54215e2d6e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/3e4f03e978ef5849ff8b99f35dc68d4334a97865abbd76f76b137f92e0a2e07a.pdf,3e4f03e978ef5849ff8b99f35dc68d4334a97865abbd76f76b137f92e0a2e07a,9786257,pdf,application/pdf,parse_text_pdf_candidate,direct_official_administrative_record,multi_family_administrative_source,payroll_roster,EXTSRCREV-93dd822bf8d41e54215e2d6e,RESCAND-65b9b3f0bca2b707f2688245,ROOTCOMP-0ebcf61c0687db47dba316b2|ROOTCOMP-28fdda973cfe62f16b9c1559,MECHEXP-196ee985f6483ebaf168f3bd|MECHEXP-412e451bfdd4e2f648f5d456|MECHEXP-4a4bc0fe8966f39a5077c2a9|MECHEXP-a9beb4cfce66e7f466967445|MECHEXP-ab0fce37b0daf6044de19405|MECHEXP-b9149ebba2904535461838b7|MECHEXP-d17e0d4eabc8e1e5ac8e049f,,True,False
EXTREADYQ-c554fc0f12ac048ad23e338e,EXTSOURCE-8a322121e947b9b6a30dd378,EXTSRCREV-e704f3bab349671c9505ca00,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6602754eab4d14a3639d8b21aa3c635ce0a83e5ae510ca48c7677030cdf8a0ab.html,6602754eab4d14a3639d8b21aa3c635ce0a83e5ae510ca48c7677030cdf8a0ab,12307,html,text/html,html_text_candidate,official_administrative_summary,multi_family_administrative_source,payroll_roster,EXTSRCREV-e704f3bab349671c9505ca00,EXTCAND-1977d3dc1cfcbd9d97c7f1b8,ROOTCOMP-cd54caed1a1670fed32a780a,MECHEXP-06bc2d27c316063c4335eec1|MECHEXP-0dbdff61aee19dcdee2704c9|MECHEXP-803159fd7d9bfbc6a7d5f011|MECHEXP-e123b9dc19a6652856d7687d|MECHEXP-ef6f798d7751809672dcbfe6,,True,False
