MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state
text/html; charset=utf-8,1fec757692122801108f2f26cf545c7f08dc9427f9a7681cd9fc5cff693fdcd8,retained prior type,0,"The City Record Online (CROL) | 404 Error You are using an UNSUPPORTED version of browser, please try to update your browser. City Record 311 Search all NYC.gov websites Home Sections Agency Rules Contract Award Hearings Court Notices Procurement Property Disposition Public Comment on Contract Awards Public Hearings and Meetings Special Materials User's Guide CROL User Manual City Agency Acronyms Common Abbreviations Source Selection Methods Key About The City Record Online FAQ Contact Us Print Edition Latest Edition All Print Editions Subscriptions Log In Sign Up Advanced 404 Error Sorry, but","{""bounded_link_count"": 46, ""bounded_visible_character_count"": 12074, ""html_title"": ""The City Record Online (CROL) | 404 Error""}",23410,https://a856-cityrecord.nyc.gov/Error/Error404?aspxerrorpath=%2FRequestDetail%2F20260122009,EXTLOC-be1776741240d49903e42781,,unclear,html,200,payroll_roster,https://a856-cityrecord.nyc.gov/Error/Error404?aspxerrorpath=%2FRequestDetail%2F20260122009,high,0,0,False,RESCAND-9d95f141f473744e140bf0f3,,MECHEXP-22a220a728fb8642e8efedda|MECHEXP-9901b0dd8fb2ee4382cef415|MECHEXP-cd37e6cdcafccf9b2bf28ad1|MECHEXP-d54df36ba5a25ae904b78d99,ROOTCOMP-566dd54168967470cf0b58ce,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/1fec757692122801108f2f26cf545c7f08dc9427f9a7681cd9fc5cff693fdcd8.html,a856-cityrecord.nyc.gov,Avoca,0,true,Error404,undated-source-BRMGRS-20260802-53e1dbd8f0755d69d5937c50,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-01a4c03f34a703f054153c0b,2026-08-05T17:19:42.870230+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings,unclear,official_administrative_summary,EXTSRCREV-f4a25e26554390503c161696,source_review_lane_004,1,bounded HTML shell contains plausible administrative source signal,retained_html,NY
text/html; charset=UTF-8,15a6e48ab6dd50ab8831116cf66dc70112be9c2d4ff273b3fc9a566461a119d0,retained prior type,0,"""Mass exodus? Police officer turnover intention and organizational comm"" by Kenneth M. Quick and Kevin T. Wolff --> Home Search Browse Colleges, Schools, Centers My Account About Digital Commons Network™ Skip to main content Home About FAQ Contact My Account < Previous Next > Home > John Jay College of Criminal Justice > Publications and Research > 544 Publications and Research Mass exodus? Police officer turnover intention and organizational commitment in New York City Authors Kenneth M. Quick , DeSales University Follow Kevin T. Wolff , CUNY John Jay College Follow Document Type Article Publ","{""bounded_link_count"": 57, ""bounded_visible_character_count"": 6023, ""html_title"": ""\""Mass exodus? Police officer turnover intention and organizational comm\"" by Kenneth M. Quick and Kevin T. Wolff""}",38452,https://academicworks.cuny.edu/jj_pubs/544/,EXTLOC-eb8a850cae1a3ce1976b53dd,,police,html,200,payroll_roster,https://academicworks.cuny.edu/jj_pubs/544/,high,0,0,False,RESCAND-2ba063b119563c3126840978,,MECHEXP-0fccd463bac835b84852e7be|MECHEXP-2e679c7a7da4a3f782e96695|MECHEXP-547c52d837b62fd547140081|MECHEXP-66898fb859213d2af1cf5295|MECHEXP-6c2253bc9d4cca3e0bde4b42|MECHEXP-c684b575b14681949deba3f8|MECHEXP-c70b519a1e777fc65ff0e367|MECHEXP-ebf47b6a65e20a45e5e1791c,ROOTCOMP-2666daf35378930cc6e3d25e|ROOTCOMP-5b6d9c186c06f057333aa901|ROOTCOMP-dd462b82c9da72e0bf6091a7,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/15a6e48ab6dd50ab8831116cf66dc70112be9c2d4ff273b3fc9a566461a119d0.html,academicworks.cuny.edu,Colonie,0,true,544,2024,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-2c98ea7a379803127949f2dd,2026-08-05T17:19:42.012256+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,official_administrative_summary,EXTSRCREV-a6fbcd290e09dca253c7d081,source_review_lane_004,2,bounded HTML shell contains plausible administrative source signal,retained_html,NY
text/html; charset=UTF-8,9735595a1e7d90ee05a0e1e710a0e90b66f24d4fc5f59fcccbbf9694bed9814b,retained prior type,0,"Human Resources – City of Acworth, GA Skip to content Skip to content PHONE DIRECTORY COMMUNITY SUPPORT RESOURCES Search for: Search Button NEWS DEPARTMENTS GOVERNANCE & DEVELOPMENT Administration Development Clerks Office Court Services DDA, Tourism, and Historic Preservation OPERATIONS Parks, Recreation, and Community Resources Power, Public Works, and Stormwater SUPPORT SERVICES Customer Service Human Resources Finance Information Technology PUBLIC SAFETY Acworth Police RESIDENTS E-News Sign Up Agenda & Minutes Board of Aldermen SPLOST Application for Boards & Commissions Public Art Master ","{""bounded_link_count"": 117, ""bounded_visible_character_count"": 6939, ""html_title"": ""Human Resources – City of Acworth, GA""}",200327,https://acworth-ga.gov/human-resources/,EXTLOC-a0f8100af87aafea5c505992,,all_units,html,200,payroll_roster,https://acworth-ga.gov/human-resources/,high,0,0,False,EXTCAND-e8d8ab0116d58c6a84d1f0c4,,MECHEXP-04805b78bb1baff2a9ab7605|MECHEXP-29fa124156ef8ef95a887799|MECHEXP-7c029682218cdbf0adcdace5|MECHEXP-a345640ab1c506147745a4ea|MECHEXP-ab5d38f326f594af29447eb5|MECHEXP-eb8d1aa10444798557d46573,ROOTCOMP-2134158ea02e9cb8124a94ff,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9735595a1e7d90ee05a0e1e710a0e90b66f24d4fc5f59fcccbbf9694bed9814b.html,acworth-ga.gov,Acworth,0,true,human-resources,undated,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-9d4de84c6134903b0cde342d,2026-08-05T17:19:49.999311+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,official_administrative_summary,EXTSRCREV-0c43fc5f3f1df4dac2bc5d7e,source_review_lane_004,3,bounded HTML shell contains plausible administrative source signal,retained_html,NH
application/pdf,e8b219c6ddcb3689210c9102f1892ee493bdda29a1dc1d1d1b894a24fa70706a,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",6049588,https://adams.extension.wisc.edu/files/2024/04/April-May-print.pdf,EXTLOC-7f180ae876aa4454f7fa0290,,non_safety,pdf,200,payroll_roster,https://adams.extension.wisc.edu/files/2024/04/April-May-print.pdf,high,0,0,False,RESCAND-5edda7e72f9c837b21e31557,,MECHEXP-2278935578c369dc012f46e3|MECHEXP-51117b6b219b66ab9eb6d42c|MECHEXP-e8999630fc77a54139e5725c|MECHEXP-ff0bec2e139abef2e21abbe8,ROOTCOMP-d8da717fb16c45f92c9b5d49,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/e8b219c6ddcb3689210c9102f1892ee493bdda29a1dc1d1d1b894a24fa70706a.pdf,adams.extension.wisc.edu,Adams,0,true,April-May-print.pdf,2024,payroll_and_earnings,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-fddfe42c678005fd06ad3f0a,2026-08-05T17:19:45.833914+00:00,0,tenure_and_progression,non_safety,direct_official_administrative_record,EXTSRCREV-93c14154e945835edf05ed8d,source_review_lane_004,4,supported source format and plausible administrative metadata,retained_pdf,WI
application/pdf,47ff8dd3e17116f016482b35440ae70a5698e6fc135aa98478dcc3cec9dad92b,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",26230112,https://admin.danecounty.gov/documents/pdf/budget/2022/adopted-budget-report.pdf,EXTLOC-38e4691e3abc242c0a68b140,inline; filename=Adopted-Budget-Report.pdf,unclear,pdf,200,payroll_roster,https://admin.danecounty.gov/documents/pdf/budget/2022/adopted-budget-report.pdf,high,0,0,False,RESCAND-8737fb4f8245eb0155361780,,MECHEXP-3673b93a4b90c18e866c3a1e|MECHEXP-4d913edbcc19c497ebdad74e|MECHEXP-5d3e83c5308517deef6be31a|MECHEXP-82fb71329280cad01682b380,ROOTCOMP-fb67b4765ced2688b4ea08ee,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/47ff8dd3e17116f016482b35440ae70a5698e6fc135aa98478dcc3cec9dad92b.pdf,admin.danecounty.gov,Arena,0,true,adopted-budget-report.pdf,2022,multi_family_administrative_source,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-a69a3b4e506dc64eb7b4f607,2026-08-05T17:19:56.413282+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,unclear,direct_official_administrative_record,EXTSRCREV-41438d39a60307b5acd5908a,source_review_lane_004,5,supported source format and plausible administrative metadata,retained_pdf,WI
application/pdf,29f134d9f98325a2c57ff631c9d86d195478a370dbf3f4da030a2c9ecb73190c,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",273391,https://aftonmn.gov/vertical/sites/%7B255148F5-88B9-45F6-9726-DD95D24AA11D%7D/uploads/09-16-2025_CC_APPROVED.pdf,EXTLOC-6048324c92e65a482818d992,,unclear,pdf,200,payroll_roster,https://aftonmn.gov/vertical/sites/%7B255148F5-88B9-45F6-9726-DD95D24AA11D%7D/uploads/09-16-2025_CC_APPROVED.pdf,high,0,0,False,RESCAND-cb6a1cd01435e666beb7208f,,MECHEXP-46950f8d865d4408df6a5948|MECHEXP-4c0df2778a00e479059ac5a9|MECHEXP-abac30929fbf97a7eb024387|MECHEXP-d3a1d849d8dea7cf564796ac|MECHEXP-d99a294b9f5bec8fd0a6e5de|MECHEXP-fa61f462cf001d06fc6fae1c,ROOTCOMP-9fdaf9b547fac53e2c57a4aa,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/29f134d9f98325a2c57ff631c9d86d195478a370dbf3f4da030a2c9ecb73190c.pdf,aftonmn.gov,Afton,0,true,09-16-2025_CC_APPROVED.pdf,2025,payroll_and_earnings,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-72ae0a7ec36e4d377779f6c0,2026-08-05T17:19:44.269195+00:00,0,implementation_confirmation,unclear,direct_official_administrative_record,EXTSRCREV-a5eb99d2cca51e46354ca337,source_review_lane_004,6,supported source format and plausible administrative metadata,retained_pdf,KS
application/pdf,e1b1128326e64e5b15c90b54d6ec3925473aee5a624e68f7d17f60935e79b773,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.6""}",5891776,https://agendadocs.downers.us/public/docs/agendas/2023/12-19-23/RES_2023-10148.pdf,EXTLOC-614d66b5f500ac117a7f0ccf,,fire,pdf,200,payroll_roster,https://agendadocs.downers.us/public/docs/agendas/2023/12-19-23/RES_2023-10148.pdf,high,0,0,False,RESCAND-f48fc970f55e73b872ee820a,,MECHEXP-3a7056b40587c5d0c94cfd9b|MECHEXP-d21164f809a1c7ea66141f4b|MECHEXP-f49a57ffb43053bf89208c76|MECHEXP-f65c8d3392d378e07464ca0f,ROOTCOMP-329d0a0286521d22457aac4d,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/e1b1128326e64e5b15c90b54d6ec3925473aee5a624e68f7d17f60935e79b773.pdf,agendadocs.downers.us,Broadview,0,true,RES_2023-10148.pdf,2023,payroll_and_earnings,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-fd4573cfde43056a5992276b,2026-08-05T17:19:46.300321+00:00,0,implementation_confirmation,fire,direct_official_administrative_record,EXTSRCREV-528eade1c7c2c0626c1ff42b,source_review_lane_004,7,supported source format and plausible administrative metadata,retained_pdf,IL
text/html;charset=UTF-8,ba81ebe9a94db00da345123f1eeede4a79ec03aaf717b0c8d5ac4e6145253c68,retained prior type,0,"Print Agenda Report Print Print ar-2161 Pgs. 7-12 City Council - Regular Meeting Meeting Date: 06/08/2016 Item Title: COPS Hiring Program Grant Submitted For: Scott Bieber, Police Department Project No: Funding/BARS No.: Financial Comments: There is no financial obligation to apply for this grant. If we are awarded the grant and accept it, that is when the City's financial obligation would begin. For each position we are awarded in the grant, we would receive a total of $125,000 over three years to help off-set the cost of one officer. The total cost of salary and benefits for an officer betwe","{""bounded_link_count"": 0, ""bounded_visible_character_count"": 10375, ""html_title"": ""Print Agenda Report""}",18571,https://agendas.ci.walla-walla.wa.us/print_ag_memo.cfm?mode=External&reloaded=true&rev_num=0&seq=2161,EXTLOC-2ca09771c36e858ad573c708,,police,html,200,payroll_roster,https://agendas.ci.walla-walla.wa.us/print_ag_memo.cfm?mode=External&reloaded=true&rev_num=0&seq=2161,high,0,0,False,RESCAND-b06bc94084432fc4509e5c79,,MECHEXP-00ed0d31982847f54866688a|MECHEXP-4005b5bb91eca44ff8c924a2|MECHEXP-424da1a495b132ca91d09a74|MECHEXP-d51ecf8f899ee9b4e0c948f9|MECHEXP-dc3a7942d55674cffad743ba,ROOTCOMP-3a05197640d21a9d8877d3a5,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ba81ebe9a94db00da345123f1eeede4a79ec03aaf717b0c8d5ac4e6145253c68.html,agendas.ci.walla-walla.wa.us,Cassopolis,0,true,print_ag_memo.cfm,2016,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-69e661c0b95327bad1a0253e,2026-08-05T17:19:49.165001+00:00,0,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,police,official_administrative_summary,EXTSRCREV-f2f7212afd5489ce8742b0e0,source_review_lane_004,8,bounded HTML shell contains plausible administrative source signal,retained_html,MI
application/pdf,15bbaae96df1faccc5fcebbdce55dec68d9b5cf26178875c94b95d8613c75116,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.4""}",85430,https://aging.waynecountypa.gov/AgendaCenter/ViewFile/Minutes/_07032025-828,EXTLOC-2c59429748a93ffad73cd547,inline;filename=,all_units,pdf,200,salary_schedule,https://aging.waynecountypa.gov/AgendaCenter/ViewFile/Minutes/_07032025-828,high,0,0,False,EXTCAND-b3be094fde7430362e7a5ee3,,MECHEXP-115eb8ed02f6bf080ddfe7c4|MECHEXP-185d3d5546b464a5f46e6a30|MECHEXP-48094bd90e2e90a161c93d97|MECHEXP-c75dce2ccdbfea1bed5c2252,ROOTCOMP-87168affb4bcfac7e3ee55f2,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/15bbaae96df1faccc5fcebbdce55dec68d9b5cf26178875c94b95d8613c75116.pdf,aging.waynecountypa.gov,Wayne,0,true,_07032025-828,2024,staffing_and_headcount,salary_schedule,parse_text_pdf_candidate,1,EXTSOURCE-c46327822f65640b516ff79f,2026-08-05T17:19:47.995753+00:00,0,recruitment_and_retention,all_units,direct_official_administrative_record,EXTSRCREV-928daf988fb5f14e086cbbe8,source_review_lane_004,9,supported source format and plausible administrative metadata,retained_pdf,PA
text/html; charset=UTF-8,bf723027ff747ded94f5093256aaab95c5ab94fe46533169ed8af75375f18394,retained prior type,0,"State of Missouri Administrative Hearing Commission --> × Notice : You are using Internet Explorer version 8 or below. Support for these browsers has been discontinued . For your safety & user experience, please upgrade to a modern web browser such as: Google Chrome , Mozilla Firefox , or Microsoft Internet Explorer 11 . State of Missouri Administrative Hearing Commission Quick Navigation Skip to Main Content MO.gov Governor Kehoe Find an Agency Online Services Accessibility Search Search Search Mobile Menu Button Toolbar Links Home About Commissioners FAQs Forms Press Releases --> Publication","{""bounded_link_count"": 47, ""bounded_visible_character_count"": 17444, ""html_title"": ""State of Missouri Administrative Hearing Commission""}",32634,https://ahc.mo.gov/cases/historical/10048597,EXTLOC-df5ba3b4dfd5eb2633325b6a,,unclear,html,200,payroll_roster,https://ahc.mo.gov/cases/historical/10048597,high,0,0,False,RESCAND-38f2b392130113fb1315cdba,,MECHEXP-618a4c7a57c55e67a2bba319|MECHEXP-86a0d052f0f0e56d776491ff|MECHEXP-b503518a99e25bdd73dc91f0|MECHEXP-d3cdedd54f97e395026fa465,ROOTCOMP-fec4a5b39c977d47468ca3f5,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/bf723027ff747ded94f5093256aaab95c5ab94fe46533169ed8af75375f18394.html,ahc.mo.gov,Arrow Rock,0,true,10048597,2014,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-6b4255d5b68ba274e7b20249,2026-08-05T17:19:47.620902+00:00,0,implementation_confirmation,unclear,official_administrative_summary,EXTSRCREV-8a47b3be23ccde79ffbc4d52,source_review_lane_004,10,bounded HTML shell contains plausible administrative source signal,retained_html,MO
