MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state
application/pdf,0c6716b5bb76efabec55235ffb80a556c05f59649feb09cef6cb657ffe4d826c,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",1484281,https://canandaiguanewyork.gov/ArchiveCenter/ViewFile/Item/151,EXTLOC-13c2622c7d5fa116fb58499e,inline;filename=2026 ADOPTED MASTER  BUDGET DOCUMENT.pdf,unclear,pdf,200,payroll_roster,https://canandaiguanewyork.gov/ArchiveCenter/ViewFile/Item/151,high,0,0,False,RESCAND-a855efb54ce49e72dc34bec7,,MECHEXP-40d08d465a775dc9226e2170|MECHEXP-5a001176aa785cd48a1c28b3|MECHEXP-b4ac28ee4f34af7999400e39|MECHEXP-bd539c910e40e959de0a1477|MECHEXP-ed8876003cc138b4f79bc573|MECHEXP-f57c31a2c8cadd32d8f4175a,ROOTCOMP-07d990a05d091a5dc8b208d5|ROOTCOMP-8ca931ec9b61d67a38e7f359,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/0c6716b5bb76efabec55235ffb80a556c05f59649feb09cef6cb657ffe4d826c.pdf,canandaiguanewyork.gov,Canandaigua,0,true,151,undated-source-CBSRD-20260728-35b66ab798090a11e557,payroll_and_earnings,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-4ee12d56e0c784f636c3f1cc,2026-08-05T17:27:57.839034+00:00,0,tenure_and_progression,unclear,direct_official_administrative_record,EXTSRCREV-9ef1745be30afdb0f3247452,source_review_lane_005,67,duplicate exact payload,duplicate_exact_payload,NY
text/html; charset=utf-8,7f9508a3853f002b45e727d41e3ba86f1b8d0e7270d8a17aa256a5c0ec17e217,retained prior type,0,"Annual Budget Reports | Chaska, MN - Official Website Skip to Main Content --> Business Development City Hall Community Pay Utility Bill Services How Do I... Search Annual Comprehensive Financial Reports Annual Budget Reports Home City Hall City Departments Administrative Services Annual Budget Reports Annual Budget Reports Current Budget Report 2026 Budget (PDF) Prior-Year Budget Reports 2025 Budget (PDF) 2024 Budget (PDF) 2023 Budget (PDF) 2022 Budget (PDF ) 2021 Budget (PDF) 2020 Budget (PDF) 2019 Budget (PDF) 2018 Budget (PDF) 2017 Budget (PDF) 2016 Budget (PDF) 2015 Budget (PDF) 2014 Budg","{""bounded_link_count"": 68, ""bounded_visible_character_count"": 6809, ""html_title"": ""Annual Budget Reports | Chaska, MN - Official Website""}",106883,https://chaskapolice.gov/137/Annual-Budget-Reports,EXTLOC-d68f7a1967eab7a9b781f152,,police,html,200,payroll_roster,https://chaskapolice.gov/137/Annual-Budget-Reports,high,0,0,False,RESCAND-e7965e29e728aaf756a5c71f,,MECHEXP-66cda5d53573383f7590abfb|MECHEXP-9582935ea8440607391f3565|MECHEXP-9784b473a0ca18c2bc5c1702|MECHEXP-dae045aaf5c3962c9403b2a9,ROOTCOMP-b827e8e576c6384badcece77,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7f9508a3853f002b45e727d41e3ba86f1b8d0e7270d8a17aa256a5c0ec17e217.html,chaskapolice.gov,Belle Plaine,0,true,Annual-Budget-Reports,2023,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-21fe95cc13367981e4546e58,2026-08-05T17:27:58.473545+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,police,official_administrative_summary,EXTSRCREV-fea9ceb5cee044fc79af8909,source_review_lane_005,77,duplicate exact payload,duplicate_exact_payload,MN
application/pdf,8f71343f9bcd80b706cabbb906c805dec4e5af3cba31d351e85f672d2072640c,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",7692442,https://ci.maple-lake.mn.us/vertical/sites/%7B499CE594-35D8-4E51-8130-0403E222C7B2%7D/uploads/20260506_Special_CC_Work_Session_Agenda_Packet.pdf,EXTLOC-2db4c5049265b5963aa5b7d5,,all_units,pdf,200,payroll_roster,https://ci.maple-lake.mn.us/vertical/sites/%7B499CE594-35D8-4E51-8130-0403E222C7B2%7D/uploads/20260506_Special_CC_Work_Session_Agenda_Packet.pdf,high,0,0,False,EXTCAND-5e6ee5fda6c2aebcf689f885,,MECHEXP-12055358c272700edfbde42a|MECHEXP-5f0f54b30a1575b021f1d875|MECHEXP-75f563648567bdbbb92efd72|MECHEXP-aa04a9c78b8258f9f9202993|MECHEXP-ae8a281d268af936b55e259e|MECHEXP-d79dbda58b6598bae5e53b97,ROOTCOMP-c820040d2b239c6a1c6f9f51,external_search_wave_001_compacted,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-ebef439a51fdc20fb5c6.pdf,ci.maple-lake.mn.us,Maple Lake,0,true,20260506_Special_CC_Work_Session_Agenda_Packet.pdf,undated,payroll_and_earnings,payroll_roster,parse_text_pdf_candidate,1,B4X2500SRD-20260730-ebef439a51fdc20fb5c6,2026-08-05T17:28:00.006540+00:00,0,staffing_and_headcount,all_units,direct_official_administrative_record,EXTSRCREV-544bb97e8f2d88b6be39ee13,source_review_lane_005,81,duplicate known retained source,duplicate_known_retained_source,MN
text/html; charset=utf-8,680f572df97f066ccbb75753f7dc0cda05f2f322ee1ec58a8404116c60ad77c1,retained prior type,0,"2024 Ordinances and Resolutions | Clayton, OH - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Our Community Government City Services Doing Business Help Center Search 2022 Ordinances and Resolutions 2023 Ordinances and Resolutions 2024 Ordinances and Resolutions 2025 Ordinances and Resolutions 2026 Ordinances and Resolutions Home Government Ordinances/Resolutions 2024 Ordinances and Resolutions 2024 Ordinances and Resolutions 2024 Ordinances Date Ordinances Legislation 01-04-2024 O-12-23-28 An Or","{""bounded_link_count"": 134, ""bounded_visible_character_count"": 33434, ""html_title"": ""2024 Ordinances and Resolutions | Clayton, OH - Official Website""}",159601,https://clayton.oh.us/566/2024-Ordinances-and-Resolutions,EXTLOC-2aacb003351f8b55f8db40cb,,police,html,200,payroll_roster,https://clayton.oh.us/566/2024-Ordinances-and-Resolutions,high,0,0,False,RESCAND-9275f4cc6c94355538e09f58,,MECHEXP-3ebce90281ad832a9b05687b|MECHEXP-5a428b1261e74d988379d190|MECHEXP-a91fce715ae91ff6a660b603|MECHEXP-bffe48b6fe3a284ca8cfbdb9|MECHEXP-e0b0ee1c78f19253e6a50225,ROOTCOMP-76fafcc2c86a18ad69ede7fd,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/680f572df97f066ccbb75753f7dc0cda05f2f322ee1ec58a8404116c60ad77c1.html,clayton.oh.us,Clinton,0,true,2024-Ordinances-and-Resolutions,2024,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-1e5be2211c7886a2f5399a03,2026-08-05T17:28:01.926064+00:00,0,implementation_confirmation,police,official_administrative_summary,EXTSRCREV-7439ca6808a27aee2ee732f3,source_review_lane_005,90,duplicate exact payload,duplicate_exact_payload,OH
text/html; charset=utf-8,4885f2476920676c9f84be4ea7ba857c26b52d9c504c62226ca5f97f608770be,retained prior type,0,"FY 2026 Adopted Budget and Special Projects | Danville, VA - Official Website Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In --> Government Services Community Business How Do I Search Previous Budgets FY 2022 Adopted Budget FY 2023 Adopted Budget FY 2024 Adopted Budget FY 2025 Adopted Budget FY 2026 Adopted Budget FY 2027 Adopted Budget Home Government Departments Budget Office FY 2026 Adopted Budget FY 2026 Adopted Budget and Special Projects Below is the information regarding the City's Adopted Budget. The City ","{""bounded_link_count"": 96, ""bounded_visible_character_count"": 9960, ""html_title"": ""FY 2026 Adopted Budget and Special Projects | Danville, VA - Official Website""}",121878,https://danvilleva.gov/2526/FY-2026-Adopted-Budget,EXTLOC-218d69020da6a39b3938a6a3,,unclear,html,200,payroll_roster,https://danvilleva.gov/2526/FY-2026-Adopted-Budget,high,0,0,False,RESCAND-474dbd12eaf735d6cdf52f81,,MECHEXP-778d52a352c8650d0204bb12|MECHEXP-848aeab9e4b0b7058d9d68e9|MECHEXP-d711024d353e76b652f2404a|MECHEXP-d8e4bc12259ad9023399541b|MECHEXP-efb4c8a768a06164087b0190,ROOTCOMP-36fc979839d8c630c636ba32,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/4885f2476920676c9f84be4ea7ba857c26b52d9c504c62226ca5f97f608770be.html,danvilleva.gov,Bethany,0,true,FY-2026-Adopted-Budget,undated-source-B4X2500LIVE-20260729-007307,payroll_and_earnings,payroll_roster,html_text_candidate,1,EXTSOURCE-59a1fd6b0acc5655472736c4,2026-08-05T17:28:06.849860+00:00,0,implementation_confirmation,unclear,official_administrative_summary,EXTSRCREV-c5a45b0423790a33eede7996,source_review_lane_005,116,duplicate exact payload,duplicate_exact_payload,WV
text/html; charset=UTF-8,770e3fecdf5aaf3e7a3bea1bfad0ed0bf3abb04883d66b5be0e30e73d4b890c9,retained prior type,0,"Census of Agriculture - 2022 Census Publications - State and County Profiles - Ohio Skip to Main Content United States Department of Agriculture National Agricultural Statistics Service Subscriptions: National | News Home Data & Statistics Publications Research, Science and Technology Newsroom (current) Surveys Census NASS Information About NASS Regional Offices Careers Contact Us Subscriptions National State News Data & Statistics Access Quick Stats (searchable database) The Quick Stats Database is the most comprehensive tool for accessing agricultural data published by NASS. It allows you to","{""bounded_link_count"": 318, ""bounded_visible_character_count"": 21140, ""html_title"": ""Census of Agriculture - 2022 Census Publications - State and County Profiles - Ohio""}",74230,https://data.nass.usda.gov/Publications/AgCensus/2022/Online_Resources/County_Profiles/Ohio/index.php,EXTLOC-0edd01ccabca71f82852645c,,unclear,html,200,payroll_roster,https://data.nass.usda.gov/Publications/AgCensus/2022/Online_Resources/County_Profiles/Ohio/index.php,high,0,0,False,RESCAND-615d8f8f03f281ad910d86c3,,MECHEXP-03ec8f47c94414b2ae5076d9|MECHEXP-146eb7e8c1f22258d52d3092|MECHEXP-2138a4f5f556aacdc772aae0|MECHEXP-37883088229cebf1f7b684e9|MECHEXP-54c227c8e106730fd769314e|MECHEXP-7fb964a671acdb5b961c62a6|MECHEXP-817e925471f2bedc14456d04|MECHEXP-9c38ddddb036274b1d5d521a|MECHEXP-9ce4348d1c061d8a8f5e3786|MECHEXP-e4ed27fee3a8002ed15502b1|MECHEXP-f9945c845c83e090d67e0e9f,ROOTCOMP-2601dd896315ee2907fbf200|ROOTCOMP-c0893d4e922b105bfc6df71c|ROOTCOMP-e4fc802273c7eaaf7718fd57,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/770e3fecdf5aaf3e7a3bea1bfad0ed0bf3abb04883d66b5be0e30e73d4b890c9.html,data.nass.usda.gov,Bainbridge,0,true,index.php,2022,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-fc3e3137d3fe9a980c001541,2026-08-05T17:28:09.355398+00:00,0,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,official_administrative_summary,EXTSRCREV-3fbfe806358ff5d40dae46c9,source_review_lane_005,123,duplicate exact payload,duplicate_exact_payload,OH
application/pdf,03593109918f5d3fcbfea0ae821c48d55e099b070e8d2e09cf842335df0736f8,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.5""}",9488435,https://cross-plains.wi.us/AgendaCenter/ViewFile/Agenda/_01262026-688?packet=true,EXTLOC-5a38eaaafaf9501bc0658722,inline;filename=01262026Plus.pdf,all_units,pdf,200,payroll_roster,https://cross-plains.wi.us/AgendaCenter/ViewFile/Agenda/_01262026-688?packet=true,high,0,0,False,EXTCAND-6dfbfd6af707721a9c4c003a,,MECHEXP-123a1571266accd17512b8ee|MECHEXP-854a6a5d2a365e482a73f41a|MECHEXP-a16329059a534696e3948d86|MECHEXP-edb190852410cb8773b49e1e,ROOTCOMP-f24839f97ddf2d41bf889150,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/03593109918f5d3fcbfea0ae821c48d55e099b070e8d2e09cf842335df0736f8.pdf,cross-plains.wi.us,Chilton,0,true,_01262026-688,undated,multi_family_administrative_source,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-6915d0d34c240375269f0b98,2026-08-05T17:28:36.121821+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,direct_official_administrative_record,EXTSRCREV-86d85d4e435711fceddfa9d5,source_review_lane_005,113,duplicate exact payload,duplicate_exact_payload,WI
text/html; charset=utf-8,7890236b610d3f1055604ac8400ea588eb9c12d30ea1ad2fa98b90d78a28fae9,retained prior type,0,"Financial Reports | McLean County, IL - Official Website Skip to Main Content Attention County offices currently experiencing intermittent phone issues. Read on for contact options. Read On... Search Departments Elections Government How Do I Jobs Residents Home Departments Departments A - F Administration Financial Reports Financial Reports 2026 Fiscal Year Adopted Budget (PDF) 2026 Fiscal Year Recommended Budget (PDF) 2025 Fiscal Year Adopted Budget (PDF) 2025 Fiscal Year Recommended Budget (PDF) 2024 Fiscal Year Adopted Budget (PDF) 2024 Fiscal Year Detailed Budget Overview (PDF) 2024 Fiscal","{""bounded_link_count"": 97, ""bounded_visible_character_count"": 8568, ""html_title"": ""Financial Reports | McLean County, IL - Official Website""}",113337,https://health.mcleancountyil.gov/102/Financial-Reports,EXTLOC-a75e2a025b221fa37ba4b458,,unclear,html,200,payroll_roster,https://health.mcleancountyil.gov/102/Financial-Reports,high,0,0,False,RESCAND-9b82104334abcd0b83fc5c59,,MECHEXP-3581d833443556c597d9c063|MECHEXP-412616bdc0c61e5b63e81603|MECHEXP-5c447eed2b28866d526f8539|MECHEXP-cf3b6f259a2c44f6680ecddb|MECHEXP-d0aa7b333114f546cb40296d,ROOTCOMP-59fa856967cdcccdb81b1e26,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/7890236b610d3f1055604ac8400ea588eb9c12d30ea1ad2fa98b90d78a28fae9.html,health.mcleancountyil.gov,Colona,0,true,Financial-Reports,2026,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-a46643a1018368431586321c,2026-08-05T17:28:43.265443+00:00,0,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,unclear,official_administrative_summary,EXTSRCREV-0e5d8bb67a5c52f758164e93,source_review_lane_005,210,duplicate exact payload,duplicate_exact_payload,IL
application/pdf,9a73f647c03e99278b14c8843b982ed715b8f3c6bb9914cee0bda17744f1a095,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.7""}",10644011,https://home4.nyc.gov/assets/omb/downloads/pdf/erc4-24.pdf,EXTLOC-5af5141dae40857d309ab52d,,unclear,pdf,200,payroll_roster,https://home4.nyc.gov/assets/omb/downloads/pdf/erc4-24.pdf,high,0,0,False,RESCAND-1be412b35ec5e12fbd6e1dac,,MECHEXP-03f09635e6e0a62ffeca2eb2|MECHEXP-0de5f72eb1f1811bbe667b69|MECHEXP-40abfaabc0257e73c207ecbb|MECHEXP-586655b8fbdb768efc5fae6e|MECHEXP-67d07711867aecc7c9011521|MECHEXP-6ec061468b92d38346856563|MECHEXP-c3045ccdd24bec8dae2df139|MECHEXP-dca1fd88c0c27a16270eecc6|MECHEXP-e6f426483368ea895be6023d,ROOTCOMP-30d038a3a748c0609825fca0|ROOTCOMP-3e2916f42abeb07f56562528,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/9a73f647c03e99278b14c8843b982ed715b8f3c6bb9914cee0bda17744f1a095.pdf,home4.nyc.gov,Amsterdam,0,true,erc4-24.pdf,2024,multi_family_administrative_source,payroll_roster,parse_text_pdf_candidate,1,EXTSOURCE-e3f17d221fc3882f4f8bc3fa,2026-08-05T17:28:45.151908+00:00,0,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,direct_official_administrative_record,EXTSRCREV-fc24d095bd8bd462ed97f91b,source_review_lane_005,218,duplicate exact payload,duplicate_exact_payload,NY
text/html; charset=utf-8,9619c7d0a5f5882c23963f65b8f02a2dd6c8d096ee0cc29fedf5b637c7ed8392,retained prior type,0,"Reports & Data | Lake County, CA Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Government Departments Business Visitors How Do I... Search Community Science Reports & Data Listing Public Meetings Videos News & Resources Home Departments Water Resources Clear Lake Hitch Reports & Data Reports & Data Organized by agency and survey. Click on the year for the report you wish to view. Lake County Watershed Protection District Clear Lake Hitch Visual Spawner Surveys District: 2025 , 2024 Community Science: 2025 Califor","{""bounded_link_count"": 93, ""bounded_visible_character_count"": 7177, ""html_title"": ""Reports & Data | Lake County, CA""}",94245,https://jobs.lakecountyca.gov/1451/Reports-Data,EXTLOC-ce32d7f757633815980ab858,,unclear,html,200,payroll_roster,https://jobs.lakecountyca.gov/1451/Reports-Data,high,0,0,False,RESCAND-e793269ce3aa02aa216a7d14,,MECHEXP-00ae396ef943de59d3faf371|MECHEXP-0c39a45386a5289b0f40a030|MECHEXP-0ce523323f6062b224354b7e|MECHEXP-0ff2db4b3d227596669648e7|MECHEXP-11da2a673de94c86cc053d92|MECHEXP-23615a3e647d5f0587487740|MECHEXP-53bd2073334da81edd97c527|MECHEXP-745ce8258b517135c3b9d278|MECHEXP-8d81176dfd7fcac8c9390ac8|MECHEXP-b29557b41c98f493cffc204f|MECHEXP-bb4dfd482978295a797f0103|MECHEXP-c87c800c59eeb1bea92f1618|MECHEXP-f995550df0dcbebd95718956,ROOTCOMP-14ae680190ee0550ae9da63b|ROOTCOMP-4d65163d3dc538fb2d9ad50b|ROOTCOMP-509c255348bfda60c75cce3f,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9619c7d0a5f5882c23963f65b8f02a2dd6c8d096ee0cc29fedf5b637c7ed8392.html,jobs.lakecountyca.gov,Blue Lake,0,true,Reports-Data,2024,multi_family_administrative_source,payroll_roster,html_text_candidate,1,EXTSOURCE-c9da77c2a57e04ee4a6c55cc,2026-08-05T17:28:47.146913+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,unclear,official_administrative_summary,EXTSRCREV-70f3060c69df52dc438479fa,source_review_lane_005,238,duplicate exact payload,duplicate_exact_payload,CA
