retained_source_id,SHA_256,byte_size,detected_file_type,local_artifact_path
EXTSOURCE-1ee14db0e30b0449ae192e64,0d440c32256e730d9936f30a1dcd93cc37edc264b76bf2b6ecb4c7fcdaf763b1,194522,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0d440c32256e730d9936f30a1dcd93cc37edc264b76bf2b6ecb4c7fcdaf763b1.html
EXTSOURCE-ba30226799fa35e706b80e16,789d7382603f8849a55ed9f2bf842bebd74ff886d8bc4fb4b463511df2d3dbf9,148183,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/789d7382603f8849a55ed9f2bf842bebd74ff886d8bc4fb4b463511df2d3dbf9.html
EXTSOURCE-481669f8ece086bd6c13a845,dc3f434cf94c4b3435285e2b58b66f57983a110617152c896e92213d26d251e8,435969,pdf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/dc3f434cf94c4b3435285e2b58b66f57983a110617152c896e92213d26d251e8.pdf
EXTSOURCE-e5b42db6697e2acd962929ce,a361d9be5be702ca0998dee44b2551cd9fc3d803c312b735bfdfaf74de104ddf,5420602,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/a361d9be5be702ca0998dee44b2551cd9fc3d803c312b735bfdfaf74de104ddf.html
EXTSOURCE-76a4e116cf1c4d8c22fe6eeb,810bff5d10346e6b3eba3bebba94a6e9e1706fe648809daf0d877efaf672b2d6,187640,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/810bff5d10346e6b3eba3bebba94a6e9e1706fe648809daf0d877efaf672b2d6.html
EXTSOURCE-dcf6835d40fbfa4f9403966f,6e67fa9a0b944459f30b0ccfdae5285da7de97f8b9a63c3d29029bf8bb0bc18c,191244,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6e67fa9a0b944459f30b0ccfdae5285da7de97f8b9a63c3d29029bf8bb0bc18c.html
EXTSOURCE-f47e20eceb0ab9b6d9ac3d4d,9e2b2ae41ac6c83625ebc709c52cd5324e11debe06223108f77d722318dc13fd,12488563,pdf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/9e2b2ae41ac6c83625ebc709c52cd5324e11debe06223108f77d722318dc13fd.pdf
EXTSOURCE-bb3f3796a14e87cbcfe247f4,398ece5f7c05880693aff37bf63fd77fc961a5ec89252dc54aef3d8d364caf8f,163771,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/398ece5f7c05880693aff37bf63fd77fc961a5ec89252dc54aef3d8d364caf8f.html
EXTSOURCE-5560455f7492e381b4f98bd2,c812d3bd2bdf89798c1f5010735e3c8e68fb958c46b9b7f05d9cace5a2536a35,97606,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/c812d3bd2bdf89798c1f5010735e3c8e68fb958c46b9b7f05d9cace5a2536a35.html
EXTSOURCE-bd324a054cd32ced4ebc5fbd,475f4b31dcee37f1827a9ec7d196fc7bf33cfa0591ab5247b7fb7c2d916af95e,61060,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/475f4b31dcee37f1827a9ec7d196fc7bf33cfa0591ab5247b7fb7c2d916af95e.html
EXTSOURCE-67de727a2e03fdb695db53e0,d0d757f167818c0e1b37001b2511a3e023b810cd4159300d53b2f0ec1a8696fc,82143,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d0d757f167818c0e1b37001b2511a3e023b810cd4159300d53b2f0ec1a8696fc.html
EXTSOURCE-b250c07f3d03d26604366a1a,4cde35e87af3fa368b2444e4cc7a393285527e98b2378af6065d17e79b6d3c10,157481,pdf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/4cde35e87af3fa368b2444e4cc7a393285527e98b2378af6065d17e79b6d3c10.pdf
EXTSOURCE-23a36711cb62494d1a19d17f,2b657da8d3452f14f72c461ec215cb53c6ec2008816f06e564713621f0ece209,233656,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/2b657da8d3452f14f72c461ec215cb53c6ec2008816f06e564713621f0ece209.html
EXTSOURCE-2feb46778ee267a521f7d13d,c8a9bb49d04d0ac8049e3bcaae9f978981eec3d47fb69528207ecac4b9e14edd,22516549,pdf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/c8a9bb49d04d0ac8049e3bcaae9f978981eec3d47fb69528207ecac4b9e14edd.pdf
EXTSOURCE-70d1e2803d269162664bc09d,558c09a45a2355b64525b0ff995777a33c407a05f17e68a10c262f638312deb8,5947864,pdf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/558c09a45a2355b64525b0ff995777a33c407a05f17e68a10c262f638312deb8.pdf
EXTSOURCE-a7ee53e72ee969bee6438328,6bbc14d01748d5de62084142b01649239ad885b85016738358b00ee372ade3ef,3245,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6bbc14d01748d5de62084142b01649239ad885b85016738358b00ee372ade3ef.html
EXTSOURCE-2e7daac1fb4b4f567205e23a,d527e63a4185d9e6bfba0a3e9380764fc280eb18fefa07c772806a252d9de98c,445313,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d527e63a4185d9e6bfba0a3e9380764fc280eb18fefa07c772806a252d9de98c.html
EXTSOURCE-625c51bcb04842fe03cf977e,d1e63ffd2ba6c34ea3ed1b005dcbcf217d531000701df9b82cc9fcf563a68839,802419,pdf,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/d1e63ffd2ba6c34ea3ed1b005dcbcf217d531000701df9b82cc9fcf563a68839.pdf
EXTSOURCE-a47f98d50d56a464fcf88b20,751e204e1ae7ad6170b8934cd35253a8793032374c9564ae3d40354e8010ea13,67233,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/751e204e1ae7ad6170b8934cd35253a8793032374c9564ae3d40354e8010ea13.html
EXTSOURCE-18d4b3e9e9c4a86c0c1760d8,6eb215e1aac2ae13425af30091d30fb6bd9a37903924b68bb7f0a3f3f63d022c,82823,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/6eb215e1aac2ae13425af30091d30fb6bd9a37903924b68bb7f0a3f3f63d022c.html
EXTSOURCE-e641c5853f58c33aa685c023,9ce2546cec407ba77950eace7f2b1cd30618fda3417e89bd504fc7528d95488a,109241,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9ce2546cec407ba77950eace7f2b1cd30618fda3417e89bd504fc7528d95488a.html
EXTSOURCE-f986ba0a51b0f9c8599d0a4c,c331a8ce0b59a90d0d3f0d9f665810632d0ccbd3ed60384b591e4bc75106be11,130488,html,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/c331a8ce0b59a90d0d3f0d9f665810632d0ccbd3ed60384b591e4bc75106be11.html
