MIME_type,SHA_256,administrative_source_type_change_reason,analytical_extraction_runs,bounded_metadata_preview,bounded_structure_summary,byte_size,canonical_final_url,canonical_locator_id,content_disposition,department_scope,detected_file_type,download_http_status,final_administrative_source_type,final_download_url,final_priority_bucket,gabriel_calls,hosted_search_calls,implementation_event_deduplication_rerun,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,locator_host,municipality,ocr_runs,official_source_flag,original_filename,period,primary_content_family,prior_administrative_source_type,readiness_hint,request_count,retained_source_id,retrieved_timestamp,retry_count,secondary_content_families,side_scope,source_quality,source_review_id,source_review_lane_id,source_review_lane_sequence,source_review_reason,source_review_status,state
text/html; charset=UTF-8,,retained prior type,0,"Bainbridge Adds HR Officer | Geauga County Maple Leaf Wednesday, August 5, 2026 Login Subscribe News Sports Community Schools More Crossword Jobs Board Classifieds Advertising How to Make An Announcement Store/Drop-box Locations Subscribe or Renew Today! Refund Policy How to Place a Legal Ad Commercial Printing Contact Us E-Editions Geauga County Maple Leaf Chesterland News Kirtland Chronicle Middlefield Post Special Sections Geauga NOW! Coupon Book Holidays in Geauga Amish Business Directory Bainbridge Adds HR Officer September 11, 2014 by Facebook Tweet Pin Print Email Bainbridge Township Tr","{""bounded_link_count"": 90, ""bounded_visible_character_count"": 5575, ""html_title"": ""Bainbridge Adds HR Officer | Geauga County Maple Leaf""}",74513,https://www.geaugamapleleaf.com/news/bainbridge-adds-hr-officer/,EXTLOC-262dd68f8986f41c8b3a2e5a,,unclear,html,200,payroll_roster,https://www.geaugamapleleaf.com/news/bainbridge-adds-hr-officer/,low,0,0,False,RESCAND-f9cadf02cd3b9c9824d26687,,MECHEXP-03ec8f47c94414b2ae5076d9|MECHEXP-146eb7e8c1f22258d52d3092|MECHEXP-2138a4f5f556aacdc772aae0|MECHEXP-37883088229cebf1f7b684e9|MECHEXP-54c227c8e106730fd769314e|MECHEXP-7fb964a671acdb5b961c62a6|MECHEXP-817e925471f2bedc14456d04|MECHEXP-9c38ddddb036274b1d5d521a|MECHEXP-9ce4348d1c061d8a8f5e3786|MECHEXP-e4ed27fee3a8002ed15502b1|MECHEXP-f9945c845c83e090d67e0e9f,ROOTCOMP-2601dd896315ee2907fbf200|ROOTCOMP-c0893d4e922b105bfc6df71c|ROOTCOMP-e4fc802273c7eaaf7718fd57,external_search_wave_002_exhaustive_residual,,www.geaugamapleleaf.com,Bainbridge,0,false,bainbridge-adds-hr-officer,2022,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:27.528637+00:00,0,implementation_confirmation|payroll_and_earnings|tenure_and_progression,unclear,reputable_secondary_context,EXTSRCREV-36f9058fa8af5c8c28db518b,source_review_lane_005,8001,secondary context deferred from administrative readiness,secondary_context_only_deferred,OH
application/pdf,,retained prior type,0,,"{""pdf_eof_marker_present"": true, ""pdf_header"": ""%PDF-1.6""}",52530,https://www.harveycedars.org/uppages/01082016minutes.pdf,EXTLOC-efda3ae709491eba71906570,,all_units,pdf,200,payroll_roster,https://www.harveycedars.org/uppages/01082016minutes.pdf,low,0,0,False,EXTCAND-08d311776b62c77bd2104931,,MECHEXP-0a4920da584ef21347ebd82b|MECHEXP-a13e5993901b633621777260|MECHEXP-ea4e4357a65f8ec13a012572|MECHEXP-fc2dbdafe1c9fa6d9b95ed0b,ROOTCOMP-a53e3aad6e6b9205268abd1b,external_search_wave_001_compacted,,www.harveycedars.org,Harvey Cedars,0,false,01082016minutes.pdf,2020,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:27.691971+00:00,0,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,reputable_secondary_context,EXTSRCREV-308778b4fff5854a61729813,source_review_lane_005,8002,secondary document deferred from administrative readiness,secondary_context_only_deferred,NJ
text/html,,retained prior type,0,"3.80 B. 4 ""Group IV"" Police Officers 3.80 B. Police Officers in Cities, Villages, and Incorporated Towns ""Group IV"" Police Officers These governmental units were not required by law to establish a police pension fund and had not established a police pension fund by referendum when they entered into a Social Security agreement with the State Social Security Unit before they joined IMRF. They now have a police pension fund or are required by law to establish a fund. Police officers do not participate in IMRF because: The governmental units have established a police pension fund, or are required ","{""bounded_link_count"": 6, ""bounded_visible_character_count"": 4404, ""html_title"": ""3.80 B. 4 \""Group IV\"" Police Officers""}",14527,https://www.imrf.org/aamanual/online_aa_manual/3.80_b._4.htm,EXTLOC-aa75e3598a949c3cc326bb7d,,police,html,200,payroll_roster,https://www.imrf.org/aamanual/online_aa_manual/3.80_b._4.htm,low,0,0,False,RESCAND-7f434b9c22c29b18d1803072,,MECHEXP-45aa666ddd2fafa54eeeff4f|MECHEXP-6efc43ec937135b19f91e5ca|MECHEXP-7e71a468b99304954f1771b6|MECHEXP-c03763132c751d958ec6ba8a|MECHEXP-cd325f78c0ccc454a3cbc506,ROOTCOMP-daeaab848d1acbd2171f4667,external_search_wave_002_exhaustive_residual,,www.imrf.org,Bethalto,0,false,3.80_b._4.htm,2018,payroll_and_earnings,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:27.805876+00:00,0,tenure_and_progression,police,reputable_secondary_context,EXTSRCREV-9bb1ea40149b461c1d3eef00,source_review_lane_005,8003,secondary context deferred from administrative readiness,secondary_context_only_deferred,IL
text/html; charset=UTF-8,,retained prior type,0,Kewaunee County | Departments » Finance » Annual Budget » Forms & Documents Calendar News Contact Us Government Agendas & Minutes Boards & Committees Employee Directory Employment Forms & Documents Services Live & Recorded Meetings County Directory Ordinances Elections Tax Information Broadband Jail Study Committee Land Rental Bids Wisconsin Surplus - Online Auction Request for Proposals Departments ADRC of the Lakeshore Child Support Circuit Court Clerk of Circuit Court Corporation Counsel County Administrator County Clerk County Coroner County Treasurer District Attorney Emergency Management,"{""bounded_link_count"": 95, ""bounded_visible_character_count"": 7168, ""html_title"": ""Kewaunee County | Departments » Finance » Annual Budget » Forms & Documents""}",27815,https://www.kewauneeco.org/departments/finance/annual-budget/forms_and_documents/,EXTLOC-f4263ecd20f73d1324288ac9,,fire,html,200,payroll_roster,https://www.kewauneeco.org/departments/finance/annual-budget/forms_and_documents/,low,0,0,False,EXTCAND-0a36c92b7fe6715371671ae2,,MECHEXP-26d08cdf814eb1e11269ab6a|MECHEXP-34736144d3f27fb913ee95ad|MECHEXP-8400cabc0e915ff776995f54|MECHEXP-8494d483c90371ea3b7be9a5|MECHEXP-c46f4682dad8f0fc34c86999|MECHEXP-ce4a67dfdd31cb7cbda3c5aa|MECHEXP-fb737c8d07c28b45fad269db,ROOTCOMP-cc9690e64eec8fdf15ecd464|ROOTCOMP-cf0bb51f5c464e07eebb9daa,external_search_wave_001_compacted,,www.kewauneeco.org,Kewanee,0,false,forms_and_documents,2019,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:27.746225+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention,fire,reputable_secondary_context,EXTSRCREV-e6e6b522de2c2b6e5c401813,source_review_lane_005,8004,secondary context deferred from administrative readiness,secondary_context_only_deferred,IL
text/html;charset=utf-8,,retained prior type,0,"Boards, Commissions & Study Groups | City Of Lathrup Village @charset ""UTF-8"";.lines-accent[data-v-0477e467]{margin-top:6px}.lines-accent .accent[data-v-0477e467]{background-color:var(--header-accent-color);height:1px;margin-bottom:6px;width:100%}.dots-accent[data-v-49a600d6]{margin-top:6px;overflow:hidden}.dots-accent line[data-v-49a600d6]{stroke:var(--header-accent-color)}.header-accent[data-v-8bc0e22c]{width:100%}@media only screen and (max-width:599px){.hide-on-xs[data-v-5a17ac72]{display:none}.show-on-xs[data-v-5a17ac72]{display:block}}@media only screen and (min-width:600px)and (max-widt","{""bounded_link_count"": 0, ""bounded_visible_character_count"": 156844, ""html_title"": ""Boards, Commissions & Study Groups | City Of Lathrup Village""}",1364017,https://www.lathrupvillage.org/page/boards-commissions-study-groups,EXTLOC-6c58113bf63bf0d082bd0978,,all_units,html,200,staffing_table,https://www.lathrupvillage.org/page/boards-commissions-study-groups,low,0,0,False,EXTCAND-383ba852c0c3833c27e17169,,MECHEXP-22e8d00ad6e9fee85434d87d|MECHEXP-3486afeeea0b1a1a5fe78472|MECHEXP-7015a8430e89e102e669eed3|MECHEXP-b0f015ca048cfee2a9b2faff|MECHEXP-b304b33e398a120ac671e616,ROOTCOMP-95302db2b4f85d118d0e2a31,external_search_wave_001_compacted,,www.lathrupvillage.org,Lathrup Village,0,false,boards-commissions-study-groups,2019,staffing_and_headcount,staffing_table,manual_review_candidate,1,,2026-08-05T17:59:28.510197+00:00,0,implementation_confirmation,all_units,reputable_secondary_context,EXTSRCREV-fba78a8a1ef8c9b40d33f82c,source_review_lane_005,8005,secondary context deferred from administrative readiness,secondary_context_only_deferred,MI
text/html; charset=utf-8,,retained prior type,0,"Assignments and Advances within the Clause Samples | Law Insider Book a Demo Sign In Sign Up AI Assistant Word Add-In Search Clauses Resources About Pricing Home Clauses Assignments and Advances within the AI-Powered Contracts Draft, Review & Redline at the Speed of AI Assignments and Advances within the Clause Samples Assignments and Advances within the . Pay Ranges 7.3.1 Step 1 . Step “1” shall normally be paid upon initial employment . When a pay range exists for a class and it appears that the education and previous training or experience of a proposed employee are substantially superior t","{""bounded_link_count"": 38, ""bounded_visible_character_count"": 2915, ""html_title"": ""Assignments and Advances within the Clause Samples | Law Insider""}",60828,https://www.lawinsider.com/clause/assignments-and-advances-within-the,EXTLOC-79eba92e8adc7835f15343d2,,unclear,html,200,payroll_roster,https://www.lawinsider.com/clause/assignments-and-advances-within-the,low,0,0,False,RESCAND-d3e6d0e51234a7d1ce108de7,,MECHEXP-42e7135c196551d04313afb7|MECHEXP-b448d94bbfebad0b45630dcb|MECHEXP-c95c78193bbdd61d651d7bc5|MECHEXP-ca74a6776c066b9f00e77925|MECHEXP-e554b7357e6086e2aa479001,ROOTCOMP-10ec1cc2e4a57ec0c4b49dbb,external_search_wave_002_exhaustive_residual,,www.lawinsider.com,Blue Mound,0,false,assignments-and-advances-within-the,2023,payroll_and_earnings,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:27.999099+00:00,0,implementation_confirmation,unclear,reputable_secondary_context,EXTSRCREV-3f15703279a4ecdd23258df2,source_review_lane_005,8006,secondary context deferred from administrative readiness,secondary_context_only_deferred,TX
text/html; charset=UTF-8,,retained prior type,0,"Millersburg Borough | Ordinance Home About Millersburg, PA Attractions Boards & Commissions Employment Local Employment Resources Millersburg Borough Community Garden Our Local Government Projects Tourism Brochure Transparency in Coverage Machine Readable Files Volunteer Opportunities Streets Parks Master Parks Plan MYO Park Renovation Events America 250 Documents Budgets Flood Plains Landlord Report Form Meeting Minutes Permits Planning Documents Pool Association Membership Resolutions Right to Know Shade Tree Maintenance Tax Information Ordinance Contact Us Home About Millersburg, PA Attract","{""bounded_link_count"": 265, ""bounded_visible_character_count"": 16495, ""html_title"": ""Millersburg Borough | Ordinance""}",121574,https://www.millersburgpa.org/ordinance/,EXTLOC-de7430595f5b10371b2834c0,,all_units,html,200,payroll_roster,https://www.millersburgpa.org/ordinance/,low,0,0,False,EXTCAND-3b7861393c8da63f1cc07e87,,MECHEXP-08573cd6ff097b5acb7b1b5d|MECHEXP-0c822f09af89c0ca0d51a7f6|MECHEXP-28017d42e56270cde13d17a5|MECHEXP-4b569cbeb3546fbc870ea149|MECHEXP-64fc8addd18be1d8a877456f|MECHEXP-6ec7a3bf347db2f7c031a7cd|MECHEXP-8032b26fc369e85dc1befeee|MECHEXP-d73049d0fbd4a3f52283ef30|MECHEXP-eb2fb6d4c3073bea640919b2,ROOTCOMP-218ec91d00b3d9525ec03aa0|ROOTCOMP-4c7c8c564b7be66e0be03197,external_search_wave_001_compacted,,www.millersburgpa.org,Millersburg,0,false,ordinance,2024,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:29.154170+00:00,0,implementation_confirmation|payroll_and_earnings|staffing_and_headcount,all_units,reputable_secondary_context,EXTSRCREV-e01870d34eaa622506adc1b1,source_review_lane_005,8007,secondary context deferred from administrative readiness,secondary_context_only_deferred,PA
text/html; charset=utf-8,,retained prior type,0,"Budgets & Financial Reports | Monroe, OH Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progress and more. Website Sign In Government Residents Business How Do I... Live Meetings Search Home Government Finance Budgets & Financial Reports Budgets & Financial Reports Annual Comprehensive Financial Reports (ACFRs) Popular Annual Financial Reports (PAFRs) Annual Budget Reports Capital Improvement Projects Comprehensive Annual Financial Reports Popular Annual Financial Reports Annual Budget Reports Capital Improvement Projects Alerts/Notify Me® Agendas ","{""bounded_link_count"": 46, ""bounded_visible_character_count"": 6341, ""html_title"": ""Budgets & Financial Reports | Monroe, OH""}",97936,https://www.monroeohio.org/304/Budgets-Financial-Reports,EXTLOC-84d72655086ecbba93e2eac1,,fire|police,html,200,payroll_roster,https://www.monroeohio.org/304/Budgets-Financial-Reports,low,0,0,False,EXTCAND-0c19026030f5ab3774899b00,,MECHEXP-01c8bffeaf3081801e51fec5|MECHEXP-1bdefaa5953b82aca400e11d|MECHEXP-1d89afc33b302e83446371ce|MECHEXP-4e086e86d8344ece49ac976d|MECHEXP-7e556920bf90f9791fc30746|MECHEXP-8156cfefbd6fd61555e450d9|MECHEXP-83570663c698b9e68619f24d|MECHEXP-ac840a26ee23c3e17ce583ea,ROOTCOMP-0af5405e15a97e472a620a1e|ROOTCOMP-54c81503f1bb92378ab78e62,external_search_wave_001_compacted,,www.monroeohio.org,Monroe,0,false,Budgets-Financial-Reports,2018,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:28.598888+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,fire|police,reputable_secondary_context,EXTSRCREV-8b4b9f7bd35dbe445bb8f103,source_review_lane_005,8008,secondary context deferred from administrative readiness,secondary_context_only_deferred,OH
text/html; charset=utf-8,,retained prior type,0,"Annual Budget | City of Mt. Vernon Skip to main content Skip to footer City of Mt. Vernon Menu Resident Services Expand sub pages Resident Services Water & Sewer Services Garbage, Recycling & Yard Waste Report an Issue Street Services Animal Services Building & Construction Public Safety Community Resources Parks & Recreation Expand sub pages Parks & Recreation City Parks Aquatic Zoo Water Park Downtown Outdoor Refreshment Area (DORA) Boating & Hunting in Mt. Vernon Jefferson County Historical Village Cedarhurst Center For The Arts C.E. Brehm Library Explore Rend Lake Mt. Vernon Tourism Depart","{""bounded_link_count"": 110, ""bounded_visible_character_count"": 25163, ""html_title"": ""Annual Budget | City of Mt. Vernon""}",61584,https://www.mtvernon.com/city-government/city-finances/annual-budget/,EXTLOC-fcfa0bed09c63c86140196aa,,all_units,html,200,payroll_roster,https://www.mtvernon.com/city-government/city-finances/annual-budget/,low,0,0,False,EXTCAND-e1970fec07689a23d2d097ee,,MECHEXP-418c29fc0c658e4135511250|MECHEXP-7762edb6da737daec246d409|MECHEXP-cb799626441e2e519ee396ca|MECHEXP-d5c6d404ebb66a067585a53c,ROOTCOMP-360b91a3f0cced2922cdd593,external_search_wave_001_compacted,,www.mtvernon.com,Mount Vernon,0,false,annual-budget,undated,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:28.243825+00:00,0,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,reputable_secondary_context,EXTSRCREV-f0a16ffbcc8386a7cc0e57e7,source_review_lane_005,8009,secondary context deferred from administrative readiness,secondary_context_only_deferred,IL
text/html; charset=UTF-8,,retained prior type,0,Audit Resources | Ohio SERS About SERS Education Center Video Center Careers Contact SERS Account Login About SERS Education Center Video Center Careers Contact SERS Account Login Member & Retiree Login Employer Login (eSERS) Next Retiree Payment Date: September 1 Next Retiree Payment Date: September 1 Members New to SERS Working Members Service Credit Retirement Basics Invest In Yourself Life Changes Refunds Ready to Retire Preparing For Retirement CBBC Health Care Coverage Forms and Publications Member Education Events Videos Retirees Health Care Enrollment and Cancellation Plans and Premium,"{""bounded_link_count"": 259, ""bounded_visible_character_count"": 18218, ""html_title"": ""Audit Resources | Ohio SERS""}",95118,https://www.ohsers.org/employers/audit-resources/,EXTLOC-4801522b75857f3a26e4e05f,,police,html,200,payroll_roster,https://www.ohsers.org/employers/audit-resources/,low,0,0,False,EXTCAND-6bb1492446a198bd388394d6,,MECHEXP-398779009988dca351f4bdcb|MECHEXP-601310e4272b118700aca38e|MECHEXP-ba7230c2a314a36ece5b5ac9|MECHEXP-e2b6e8062555911d617bdbb4,ROOTCOMP-d7ccfbda4c41a8de9d111229,external_search_wave_001_compacted,,www.ohsers.org,Peninsula,0,false,audit-resources,2025,multi_family_administrative_source,payroll_roster,manual_review_candidate,1,,2026-08-05T17:59:28.471391+00:00,0,benefits_and_total_compensation|payroll_and_earnings|staffing_and_headcount|tenure_and_progression,police,reputable_secondary_context,EXTSRCREV-c35c300286c506e4ea5df85a,source_review_lane_005,8010,secondary context deferred from administrative readiness,secondary_context_only_deferred,OH
