source_review_id,canonical_locator_id,duplicate_status,canonical_retained_source_id,SHA_256,canonical_local_artifact_path,linked_candidate_ids,linked_root_event_ids,linked_mechanism_exposure_event_ids,linked_claim_ids
EXTSRCREV-deed7743256e29215f6fbd85,EXTLOC-002bea6d5848f1493d39a180,duplicate_known_retained_source,B4X2500SRD-20260730-c27ea421ea7d464d1567,ecd32a09f2d5a64175de15adacba09feba85dd0cc13c7b2f7d59326149d35c9a,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-c27ea421ea7d464d1567.pdf,EXTCAND-ff47051590b0eac38ce1f2a2,ROOTCOMP-2095f770349bd4fbebc5fc66,MECHEXP-0fe712de5a34ef8a6ca824cf|MECHEXP-433483d862f26e4322a22cac|MECHEXP-69d52c65129da24ac4c2b594|MECHEXP-71a7473650dce748ca0c0edd|MECHEXP-ed5ffb5e7e7f1a6be6dc9596,
EXTSRCREV-e6020c910086c9bf011ba99a,EXTLOC-00720b72488a6a06f9bbb244,duplicate_exact_payload,EXTSOURCE-859f9803d2225a06661cd17a,60c42244af1c5fb3ea5deb0662a1bb403feedb2d67de7da61c2463632c79075e,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/60c42244af1c5fb3ea5deb0662a1bb403feedb2d67de7da61c2463632c79075e.html,EXTCAND-404efbc99e69588210b69573,ROOTCOMP-e324188c8fd726f0c909e2a6|ROOTCOMP-efc838503340416eb6da4974,MECHEXP-09f393e0c18763ec59b19c6d|MECHEXP-2ca7db36d7f5712db9c15ff8|MECHEXP-37bcb7dafa68b430ab13a683|MECHEXP-8367a53300b35ebcebc3c717|MECHEXP-866e3ee0a6ddc06120ecf8a0|MECHEXP-8b4461678d7d2606650e69e5|MECHEXP-b034aad16b2f9b5f3b951c4e|MECHEXP-c1f13b2cbf742c5d24991a75|MECHEXP-e259fca815868d1a263c3b62,
EXTSRCREV-f9960f73d8a4fc7b69a8e0ad,EXTLOC-015f9811e177f622a8cf0872,duplicate_exact_payload,EXTSOURCE-753bbca3ee25005b85dccf99,9cf6872234ed0208b66e6d6fbcb92e05bcd54a1108b34e82d93a82e3dc53a816,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/9cf6872234ed0208b66e6d6fbcb92e05bcd54a1108b34e82d93a82e3dc53a816.pdf,EXTCAND-d61ab75b960683e7f55b4685,ROOTCOMP-cfce038563eebcee121ebbf1,MECHEXP-08c38846af75ede5c7c82690|MECHEXP-1f4db6638f7ea588a2559c74|MECHEXP-8dd842e9c24125f0fed8ce1f|MECHEXP-a349d2866b5edfa44c72c55f|MECHEXP-b79831a3d860cb17d11a453d,
EXTSRCREV-19f2aef9204825b178d012b3,EXTLOC-01852daf4fc5b217e4c5e33d,duplicate_known_retained_source,B4X2500SRD-20260730-c2b04d504bbd911ecaf6,fdcdc5e11cdf0049b6ae736b471e75d6ddd809af08551903e6214099a7844e30,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-c2b04d504bbd911ecaf6.pdf,RESCAND-32df6dc3fc16c4579b8c1de5,ROOTCOMP-a7aa197ba0e7daa48f7954d3,MECHEXP-4b1dac98a6abb887e56b4e1b|MECHEXP-63e04a7ff585cbd90d8bbb4b|MECHEXP-c036f05c3f48b5ef3e85938b|MECHEXP-d1c37d54dbc3198fd46a71ba|MECHEXP-f039b98d6c60a5e9e9417be3,
EXTSRCREV-6a8e585407e4509fb546953b,EXTLOC-01bef74f82a4ae544f49ecc8,duplicate_known_retained_source,B4X2500SRD-20260730-15daeef8f0efc9043bd6,a5dc3b1cd179a03085d33d2e89ec3b2959665450b9c5e25a439108605eabb786,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-15daeef8f0efc9043bd6.pdf,RESCAND-0b1f2777ec9aa3dc2a439985,ROOTCOMP-fbae2d51501ca53daf5e2466,MECHEXP-676893c2edb8f86dac608a4b|MECHEXP-8b7c4a0e5123587427ced9fd|MECHEXP-8dc25b8c2a8af86bc9960870|MECHEXP-ae697d61dc380f91dda936e0|MECHEXP-be8b115d9b74430b410f40c5,
EXTSRCREV-c4be4e570324c512bb16e143,EXTLOC-01cca2fc389360dc360c5080,duplicate_exact_payload,EXTSOURCE-24201556b81c93789225e9b8,5fe62f90630d9a08ebc6b9c1b7d33964a7bde6337f377d329f4d8e2b97569be1,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/5fe62f90630d9a08ebc6b9c1b7d33964a7bde6337f377d329f4d8e2b97569be1.html,RESCAND-ccc3fc699587a73dee951fbe,ROOTCOMP-792fccaa6e0f61540827effb,MECHEXP-36b0db6b608e06e91312d245|MECHEXP-3b448c14c5435d687bcb7d97|MECHEXP-467a92ea6186582fba4649e0|MECHEXP-756c56e62dacafcafa80905e|MECHEXP-a8395d20eb95dc5818356a80,
EXTSRCREV-34b1838876b52b4e76aa2c9c,EXTLOC-02379bb4cff2e124ea26f7eb,duplicate_exact_payload,EXTSOURCE-365fc03c5763c5ee409fcf98,8d9d7352719dcece35f76f670552aca67a59feb99a0b0d886043b362960fb23b,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/8d9d7352719dcece35f76f670552aca67a59feb99a0b0d886043b362960fb23b.html,EXTCAND-27e4c0581d16c34dcdb934c9,ROOTCOMP-1d849f646f9a836026195e0d,MECHEXP-49dcf0d054d29f441bf74d9d|MECHEXP-dc7dfef6745f5eeb3b530f02|MECHEXP-dd433423468a559bfc5e5dca|MECHEXP-ed20eaad1403a60b6248b03a|MECHEXP-ef4ba77762f23a590d48bcd1,
EXTSRCREV-db3ffb4b878edb35994ebd39,EXTLOC-02c02c15aeb46264902bfacc,duplicate_exact_payload,EXTSOURCE-6a5f9b403e4f698d60247b2a,27494186bd526f2667134146a0921bc311df76436ea1e456133aa3662fa4cb55,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/27494186bd526f2667134146a0921bc311df76436ea1e456133aa3662fa4cb55.html,RESCAND-8af2fd114269237ee9e75239,ROOTCOMP-dce351eaa29d233d09ca361c,MECHEXP-1edb04348e16172bec69c442|MECHEXP-371f62e35a6c04e389c7fcf1|MECHEXP-b023676d7e179602ef558344|MECHEXP-c50aae1ea04de1a691c6d247,
EXTSRCREV-32f9e187a395b1126d594fba,EXTLOC-041378a689bdc60bfb2b2c57,duplicate_known_retained_source,B4X2500SRD-20260730-570bba50032febbb7976,ebe96d520231fcef1c3a59c39da91a44721d93e57cd1ec53077dc02393e8439b,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-570bba50032febbb7976.pdf,RESCAND-32302477ff7b514d64320d05,ROOTCOMP-aa8675e4005af6b8a203f15e,MECHEXP-2a633220e022bfdd216010aa|MECHEXP-607e6fdcd75e4685bbfeb264|MECHEXP-a28fb83dd1771d4f1e613ff5|MECHEXP-c4a6a5805a25a7978d07dbc5|MECHEXP-e238599348399ddd15372e39,
EXTSRCREV-0bf2a38e3e888763cb1de0a7,EXTLOC-04cef2a8a69bd0b5a8627952,duplicate_exact_payload,EXTSOURCE-9213bd2fa29522fc63597053,134b7fd591f752c885746e5e82843cc08b86af9b7de53b044ac28d8993661a53,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/134b7fd591f752c885746e5e82843cc08b86af9b7de53b044ac28d8993661a53.html,RESCAND-c7be482c50936091dbe4c3c0,ROOTCOMP-2f883deef7c431502f0aaeae|ROOTCOMP-b933434dde93695c9d0f777b,MECHEXP-0f1beaf2dfca160bd295c2e7|MECHEXP-35b3c5a5fe57cc705345bba6|MECHEXP-37f0a058a2c2694066e6f769|MECHEXP-52d0773e35537c62bb6e51a8|MECHEXP-6fc3f956ebcb777aed236227|MECHEXP-a286c4818cc7bcdca8320558|MECHEXP-d50fd64a8f371e597c60cf72|MECHEXP-ef9cbaf73fa96d4cc58c475b,
