verification_row_id,source_candidate_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,canonical_locator_before_verification,source_domain,source_family_hint,document_type_hint,candidate_quality_tier,possible_mechanism_hints,prior_seen_locator_flag,prior_verification_status,verification_status,http_status_code,redirect_count,final_canonical_locator,content_type_header,content_length_header,transport_error_type,verification_attempt_count,verification_started_at,verification_completed_at,worker_id,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
BCV-20260728-00698,B4XPAR-20260727-000502,broad_4x1000_deduped,verify_lane_001,698,CT,Northeast,Montville,Southeastern Connecticut Planning Region (09180; primary),Connecticut Department of Labor (Med-ARB) Award PDF — Montville (2024-A-0061) involving IAFF/UPFFA Local 3386 (firefighters-related dispute),https://www.ctdol.state.ct.us/medarb/awards/2024/SBMA%20Award%20Montville%202024-A-0061%20wo-T.pdf,https://ctdol.state.ct.us/medarb/awards/2024/SBMA%20Award%20Montville%202024-A-0061%20wo-T.pdf,ctdol.state.ct.us,arbitration_award,arbitration_award,pending_combined_review,,false,,blocked_transport,,,,not_reported,not_reported,ConnectError,2,2026-07-28T13:59:28Z,2026-07-28T13:59:31Z,worker_verify_lane_001,verify_lane_001-checkpoint-00117,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00242,B4XPAR-20260727-000661,broad_4x1000_deduped,verify_lane_001,242,NH,Northeast,Durham,Strafford County (33017; primary),"Durham Town Council packet (includes attached collective bargaining agreement language) — DPMMA contract ratification for January 1, 2026 through December 31, 2029",https://www.ci.durham.nh.us/sites/default/files/fileattachments/town_council/meeting/packets/73429/020226-compressed.pdf,https://ci.durham.nh.us/sites/default/files/fileattachments/town_council/meeting/packets/73429/020226-compressed.pdf,ci.durham.nh.us,cba,cba,pending_combined_review,non_safety_constraint_signal,false,,blocked_transport,,,,not_reported,not_reported,RemoteProtocolError,2,2026-07-28T14:00:00Z,2026-07-28T14:00:01Z,worker_verify_lane_001,verify_lane_001-checkpoint-00158,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00414,B4XPAR-20260727-000925,broad_4x1000_deduped,verify_lane_001,414,AR,South,Morrilton,Conway County (05029; primary),Morrilton City Council — Agendas and Meetings (Agendas + Minutes archive),https://cityofmorrilton.com/city-council/,https://cityofmorrilton.com/city-council,cityofmorrilton.com,agenda_packet_or_minutes,index_page,pending_combined_review,,false,,timeout,,,,not_reported,not_reported,ReadTimeout,2,2026-07-28T14:00:50Z,2026-07-28T14:01:07Z,worker_verify_lane_001,verify_lane_001-checkpoint-00224,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-01380,B4XPAR-20260727-001655,broad_4x1000_deduped,verify_lane_001,1380,WA,West,Medina,King County (53033; primary),Ordinance No. 1014 (Attachment A) — 2023 Salary Schedule (includes “Collective Bargaining Agreement between City of Medina and City of Medina Patrol Officers: Police Guild Contract” pay steps/COLA values),https://www.medina-wa.gov/sites/default/files/fileattachments/finance_amp_human_resources/page/17003/ordinance_no._1014_final_2023_budget_and_salary_schedule.pdf,https://medina-wa.gov/sites/default/files/fileattachments/finance_amp_human_resources/page/17003/ordinance_no._1014_final_2023_budget_and_salary_schedule.pdf,medina-wa.gov,wage_schedule,wage_schedule_or_compensation_plan,pending_combined_review,,false,,blocked_transport,,,,not_reported,not_reported,RemoteProtocolError,2,2026-07-28T14:03:19Z,2026-07-28T14:03:24Z,worker_verify_lane_001,verify_lane_001-checkpoint-00371,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00215,B4XPAR-20260727-001745,broad_4x1000_deduped,verify_lane_001,215,IL,Midwest,Chatham,Sangamon County (17167; primary),"Resolution No. 4-21 Approving a Collective Bargaining Agreement Between the Village of Chatham and the Fraternal Order of Police, Unit 821 (Illinois FOP Labor Council) (PDF attachment)",https://chathamil.gov/files/manual/2302/Res%2029-21%20Approving%20a%20Collective%20Bargaining%20Agreement%20Between%20the%20Village%20of%20Chatham%20and%20the%20Fraternal%20Order%20of%20Police%20Unit%20821.pdf,https://chathamil.gov/files/manual/2302/Res%2029-21%20Approving%20a%20Collective%20Bargaining%20Agreement%20Between%20the%20Village%20of%20Chatham%20and%20the%20Fraternal%20Order%20of%20Police%20Unit%20821.pdf,chathamil.gov,cba,memorandum_or_settlement,pending_combined_review,,false,,blocked_transport,,,,not_reported,not_reported,ConnectError,2,2026-07-28T14:03:38Z,2026-07-28T14:03:47Z,worker_verify_lane_001,verify_lane_001-checkpoint-00394,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00367,B4XPAR-20260727-001901,broad_4x1000_deduped,verify_lane_001,367,MI,Midwest,Hillsdale,Hillsdale County (26059; primary),"City Council budget resolutions: non-union, non-contractual employees wage/salary schedule increase (effective July 1, 2016)",https://www.cityofhillsdale.org/sites/default/files/fileattachments/mayor_and_city_council/meeting/packets/4271/06-06-2016_council_packet.pdf,https://cityofhillsdale.org/sites/default/files/fileattachments/mayor_and_city_council/meeting/packets/4271/06-06-2016_council_packet.pdf,cityofhillsdale.org,budget_or_pay_plan,ordinance_or_policy,pending_combined_review,,false,,blocked_transport,,,,not_reported,not_reported,RemoteProtocolError,2,2026-07-28T14:04:00Z,2026-07-28T14:04:03Z,worker_verify_lane_001,verify_lane_001-checkpoint-00420,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00277,B4XPAR-20260727-002114,broad_4x1000_deduped,verify_lane_001,277,SD,Midwest,Aurora,Brookings County (46011; primary),City of Aurora Resolution 23-03: Salaries (for 2023),https://cityofaurorasd.com/pdf/resolutions/Resolution_23-03_Salaries.pdf,https://cityofaurorasd.com/pdf/resolutions/Resolution_23-03_Salaries.pdf,cityofaurorasd.com,other_local_government_pay_policy,ordinance_or_policy,pending_combined_review,non_safety_constraint_signal,false,,blocked_transport,,,,not_reported,not_reported,ConnectError,2,2026-07-28T14:04:40Z,2026-07-28T14:04:43Z,worker_verify_lane_001,verify_lane_001-checkpoint-00469,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00460,B4XPAR-20260727-002135,broad_4x1000_deduped,verify_lane_001,460,SD,Midwest,Scotland,Bon Homme County (46009; primary),"January 13, 2025 — Wage Schedule - 2025 City Officials/Employee Wage Schedule (SDCL 6-1-10)",https://www.cityofscotland.com/january-13--2025.html,https://cityofscotland.com/january-13--2025.html,cityofscotland.com,wage_schedule,wage_schedule_or_compensation_plan,pending_combined_review,non_safety_constraint_signal,false,,blocked_transport,,,,not_reported,not_reported,ConnectError,2,2026-07-28T14:04:40Z,2026-07-28T14:04:43Z,worker_verify_lane_001,verify_lane_001-checkpoint-00471,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-01871,B4XPAR-20260727-002972,broad_4x1000_deduped,verify_lane_001,1871,OK,South,Tonkawa,Kay County (40071; primary),MINUTES OF THE MEETING OF THE CITY COUNCIL (CITY OF TONKAWA) — November City Minutes (longevity checks; Christmas bonuses to city employees),https://tonkawaok.gov/wp-content/uploads/2026/01/November-City-Minutes.pdf,https://tonkawaok.gov/wp-content/uploads/2026/01/November-City-Minutes.pdf,tonkawaok.gov,agenda_packet_or_minutes,meeting_minutes,pending_combined_review,non_safety_constraint_signal,false,,timeout,,,,not_reported,not_reported,ConnectTimeout,2,2026-07-28T14:07:28Z,2026-07-28T14:07:45Z,worker_verify_lane_001,verify_lane_001-checkpoint-00658,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00746,B4XPAR-20260727-003099,broad_4x1000_deduped,verify_lane_001,746,VA,South,Dayton,Rockingham County (51165; primary),"Town Council Regular Meeting Agenda (May 12, 2025) — FY 2025-2026 Budget; references Classification & Compensation study for salary table (incl. police payroll impacts)",https://www.daytonva.us/sites/g/files/vyhlif6721/f/events/agenda_5.12.25.pdf,https://daytonva.us/sites/g/files/vyhlif6721/f/events/agenda_5.12.25.pdf,daytonva.us,compensation_study,agenda_cover_sheet,pending_combined_review,market_or_comparability_pressure;non_safety_constraint_signal,false,,blocked_transport,,,,not_reported,not_reported,ConnectError,2,2026-07-28T14:08:13Z,2026-07-28T14:08:20Z,worker_verify_lane_001,verify_lane_001-checkpoint-00698,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
