state,state_name,municipality_universe,total_scout_coverage_count,scout_coverage_rate,map_data_date,global_analysis_readiness
AK,Alaska,149,13,8.7248,2026-07-27,false
AL,Alabama,463,17,3.6717,2026-07-27,false
AR,Arkansas,501,16,3.1936,2026-07-27,false
AZ,Arizona,91,19,20.8791,2026-07-27,false
CA,California,483,304,62.94,2026-07-27,false
CO,Colorado,271,20,7.3801,2026-07-27,false
CT,Connecticut,179,24,13.4078,2026-07-27,false
DC,District of Columbia,1,1,100.0,2026-07-27,false
DE,Delaware,57,8,14.0351,2026-07-27,false
FL,Florida,411,145,35.2798,2026-07-27,false
GA,Georgia,537,10,1.8622,2026-07-27,false
HI,Hawaii,1,1,100.0,2026-07-27,false
IA,Iowa,939,36,3.8339,2026-07-27,false
ID,Idaho,198,18,9.0909,2026-07-27,false
IL,Illinois,2719,123,4.5237,2026-07-27,false
IN,Indiana,1569,34,2.167,2026-07-27,false
KS,Kansas,1835,24,1.3079,2026-07-27,false
KY,Kentucky,411,16,3.8929,2026-07-27,false
LA,Louisiana,305,24,7.8689,2026-07-27,false
MA,Massachusetts,351,60,17.094,2026-07-27,false
MD,Maryland,157,38,24.2038,2026-07-27,false
ME,Maine,482,20,4.1494,2026-07-27,false
MI,Michigan,1773,73,4.1173,2026-07-27,false
MN,Minnesota,2630,82,3.1179,2026-07-27,false
MO,Missouri,1217,46,3.7798,2026-07-27,false
MS,Mississippi,299,34,11.3712,2026-07-27,false
MT,Montana,127,21,16.5354,2026-07-27,false
NC,North Carolina,550,20,3.6364,2026-07-27,false
ND,North Dakota,1658,9,0.5428,2026-07-27,false
NE,Nebraska,859,15,1.7462,2026-07-27,false
NH,New Hampshire,234,13,5.5556,2026-07-27,false
NJ,New Jersey,564,77,13.6525,2026-07-27,false
NM,New Mexico,105,32,30.4762,2026-07-27,false
NV,Nevada,19,11,57.8947,2026-07-27,false
NY,New York,1523,70,4.5962,2026-07-27,false
OH,Ohio,2233,328,14.6888,2026-07-27,false
OK,Oklahoma,590,15,2.5424,2026-07-27,false
OR,Oregon,240,69,28.75,2026-07-27,false
PA,Pennsylvania,2557,80,3.1287,2026-07-27,false
RI,Rhode Island,39,8,20.5128,2026-07-27,false
SC,South Carolina,271,8,2.952,2026-07-27,false
SD,South Dakota,1205,18,1.4938,2026-07-27,false
TN,Tennessee,345,26,7.5362,2026-07-27,false
TX,Texas,1224,103,8.415,2026-07-27,false
UT,Utah,255,39,15.2941,2026-07-27,false
VA,Virginia,227,24,10.5727,2026-07-27,false
VT,Vermont,276,8,2.8986,2026-07-27,false
WA,Washington,281,90,32.0285,2026-07-27,false
WI,Wisconsin,1849,122,6.5982,2026-07-27,false
WV,West Virginia,230,11,4.7826,2026-07-27,false
WY,Wyoming,99,13,13.1313,2026-07-27,false
