extracted_text_id,retained_source_id,candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,source_review_download_status,download_status,local_retained_path,readiness_status,readiness_reason,content_type_hint,file_extension,file_size_bytes,file_sha256,page_count,html_text_readiness_hint,file_integrity_status,extraction_status,extraction_reason,extracted_text_path,extracted_text_sha256,extracted_text_size_bytes,extracted_char_count,extracted_non_whitespace_char_count,extracted_page_count,page_count_metadata,extraction_method,bounded_input_or_output_truncated,ocr_used,pdf_rendering_used,model_api_used,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
TXT378-29175888fd8fccf32316,RS556-16d129851bc06d0d8d74,TS4L-17f61520f8305d89ab1d,lane_1,tier_c,verification_ready_medium,https://lbft.nj.aft.org/collective-bargaining-agreement-19,"LONG BRANCH FEDERATION of TEACHERS (LBFT, NJ AFT) — Collective Bargaining Agreement",Long Branch,NJ,Northeast,non_safety_comparator,Teachers,Long Branch Federation of Teachers (LBFT),2023-2026,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Yes (Long Branch, NJ)","Unclear from search snippet (needs period確認 in document metadata/content, not performed here)",verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-16d129851bc06d0d8d74.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,22521,607a1fdd2423f79ede51ade56556db3b25e35914e08f89d66e25e5a8325f10e9,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-29175888fd8fccf32316.txt,9991dabe7f6fb8d7a2d339c8e1b488fad9e040a6ea923da9b6e88e407caf5bc6,630,629,538,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-3e1386fcb7a916e4cdd0,RS556-1b84740f51d08c82c8bc,TS4L-2dcf944afaa4646f6baf,lane_1,tier_c,verification_ready_medium,https://newark.nj.aft.org/contract-information/2010-2015-ntu-contract,2010-2015 NTU Contract | Newark Teachers Union (AFT),Newark,NJ,Northeast,non_safety_comparator,Teachers (and related bargaining unit members),Newark Teachers Union (NTU),2010-2015 (includes 2013-2015 years),2013,2015,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Same city (Newark, NJ) lead",Overlaps expected period (2013-2015 within 2010-2015 span),verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-1b84740f51d08c82c8bc.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,44246,dd81d0ca6ebdcb41eb48517e2035570f5c73eb1a05dd4860877225be6909dc3d,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-3e1386fcb7a916e4cdd0.txt,a09f09410456149d7dc31a5637d4337b83cb0f246fcc48600a1ef36569525e29,2318,2313,1978,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-13e449729cef8865d866,RS556-77bc67e7139e2f7200fb,TS4L-a7b61d5f97bd0f57a87f,lane_1,tier_c,verification_ready_low,https://www.fallrivereducators.org/agreements.html,Agreements — Fall River Educators Association (links to multiple CBAs/periods),Fall River,MA,Northeast,non_safety_comparator,Education bargaining units (teacher/educator roles),Fall River Educators Association (multiple units),multiple (site lists current/prior agreements),unknown,unknown,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city=True (Fall River),unknown_overlap_cycle,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-77bc67e7139e2f7200fb.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,37377,e6fddc8fb699d0387fa6533c731aa17621bdf4768e420bb3d37f358e3ab1c356,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-13e449729cef8865d866.txt,edb53b15934a7608cb29a8014960ff992cafc9c0cbe0524f19a07eb1f37e61a9,945,923,782,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-4064b05fd6a936a535ac,RS556-7ba657a3cc89652ff62e,TS4L-326260d4143ac97d1c05,lane_1,tier_c,verification_ready_medium,https://www.myocea.org/contract,OCEA Contract page (links to Okaloosa County instructional master contract 2024-2027 PDF),Niceville,FL,South,non_safety_comparator,Instructional personnel (bargaining-unit reference hub),Okaloosa County Education Association (OCEA) - Instructional,Master Contract 2024-2027 (page indicates the 24-27 contract is available),2024-07-01,2027-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,unconfirmed_niceville_within_okaloosa_county_service_area,intended_to_cover_2024-2027,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-7ba657a3cc89652ff62e.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,394685,56ea874299a39bb910ab3021b5a2ecb22583fc03344b4e7383c7e411ad26e431,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-4064b05fd6a936a535ac.txt,8186021472a0128a5321212272d358dd5251844ab0a77f85aa0f6408f6d76840,1025,1022,877,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-3ae4f00527bd200cc6b6,RS556-89306bfdac1d34b000a1,TS4L-f34526c802f2ce77a239,lane_1,tier_c,verification_ready_low,https://lsmo.legistar.com/LegislationDetail.aspx?GUID=85DCCC55-201A-4FE4-A990-455C0D489028&ID=5759987&Options=&Search=,The City of Lee's Summit - File #: BILL NO. 22-169 (Ordinance approving the 2022 Labor Agreement; Exhibit A: 2022-2025 Labor Agreement),Lee's Summit,MO,Midwest,non_safety_comparator,"custodians, mechanics, equipment operators, utility workers",International Association of Machinists and Aerospace Workers (IAM) Lodge #778,2022-2025 (with contingent alignment through 2026 suggested by target window),2022,2025,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,exact_municipality_match,overlaps_2021-2025_and_contingent_2021-2026,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-89306bfdac1d34b000a1.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,112113,a049f0ed351447a9bb1ab9a9445b9cc159d6f12d1008306c067cbe643f31154b,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-3ae4f00527bd200cc6b6.txt,ebadb434b318cd27953b36b99a59371e17c60d0135d6b8304051a4895bff111f,3469,3461,2933,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-d067f9ce1bb7a62250a5,RS556-8afd60005501ea87c6aa,TS4L-c04e6830b2353cc18a26,lane_1,tier_c,verification_ready_low,https://www.hssd.net/30222,"Hot Springs School District - State Required Info (includes Classified Salary Schedules, 2024-2025)",Hot Springs,AR,South,non_safety_comparator,K-12 classified staff salary schedule users,,"2024-2025 school year (listed as Classified Salary Schedules, 2024-2025)",2024-08-01,2025-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_municipality_match_likely,overlaps_expected_period_2024_likely,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-8afd60005501ea87c6aa.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,360336,d5ee89634e890270725ffec9c5d9dc918b2e528628389a1dc94e1a880be691d7,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-d067f9ce1bb7a62250a5.txt,98c5502ee0d6f072561f7bc10d7708cb05b202b2296213506fc44211d84c7e8d,13917,13895,12007,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-43cd02df0f32db0cf086,RS556-9c533c22ded2f26455c2,TS4L-14b7a45e94724ad1cbbe,lane_1,tier_c,verification_ready_medium,https://dspace.njstatelib.org/items/6204e48c-2092-442c-bc63-74b3b768b9e9,"July 1, 2011 - June 30, 2015 Administrative/Clerical Unit, Professional Unit, Primary Supervisory Unit, Higher Level Supervisory Unit",Newark,NJ,Northeast,non_safety_comparator,Administrative/Clerical (plus other non-safety units listed in title),Administrative/Clerical Unit (as titled),"July 1, 2011 - June 30, 2015",2013,2015,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Potential same-city lead (Newark, NJ; unit identified via NJ State Library repository record)",Overlaps expected period (2013-2015 within 2011-2015 span),verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-9c533c22ded2f26455c2.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,384914,3fa2bb7cfafda11be0d19cc0fd0544039e444d266ad3a5ade026f00fa9e71112,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-43cd02df0f32db0cf086.txt,ccdcd5c8847616d28816170a0f212ad0814159baf771b1c04b684a8322f98d06,1388,1316,1142,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-c684924b35670040baed,RS556-a79a65568636c4b75250,TS4L-6d2cbd7cd7630a1fb5cb,lane_1,tier_c,verification_ready_low,https://www.smusd.org/negotiations-update,San Marcos Unified School District — Negotiations Updates (SMEA/SMUSD CBA timing references),San Marcos,TX,South,non_safety_comparator,Educators (SMEA/SMUSD bargaining context),San Marcos Educators’ Association (SMEA) / SMUSD,"Two-year term beginning July 1, 2024 through June 30, 2026 (as referenced on the page)",2024-07-01,2026-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"San Marcos (CA) — same name, not confirmed as TX",Overlaps 2023-2026 (covers 2024-2026).,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-a79a65568636c4b75250.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,330012,09ef4a5aa5c273c583ab09878ee2e8d59e79cbcf47bea55b4d01ddba61657cd6,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-c684924b35670040baed.txt,6a55833cf0a9d1186ef866954aca8686c335b2c3cafd541967bb6d5d6431dce5,63628,63345,53763,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-93548f2ec5c8a1522278,RS556-b50439f5ebaaf16574de,TS4L-a9b89e483d0867b73f36,lane_1,tier_c,verification_ready_medium,https://www.jamestownny.gov/corporation-counsel/bargaining-unit-contracts/,"Bargaining Unit Contracts (Jamestown, NY Corporation Counsel)",Jamestown,NY,Northeast,non_safety_comparator,Non-safety municipal bargaining units (directory lead for locating CBA/MOAs/wage schedules),Multiple bargaining units (index page; select non-safety comparator units from listed contracts),Not a single contract (directory/index),2016-01-01,2024-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same_city_expected (Jamestown, NY)",intended to cover 2016-2024 by retrieving relevant listed contracts,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-b50439f5ebaaf16574de.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,88145,fa0c4a642a7680ef09f29912609e316fef61950678fdb5ce99737e1c545f9076,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-93548f2ec5c8a1522278.txt,7472efd479ec2cac2a05354ae0ce4b7573753363e31f5e00a47bab23c1e6e77b,4349,4309,3646,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
TXT378-2bdbba58b56e5a008650,RS556-bb43a13833b8ead3241d,TS4L-bafe266fbe1a80e96414,lane_1,tier_c,verification_ready_low,https://sandulligrace.com/sandulli-grace-and-the-massachusetts-coalition-of-police-win-night-shift-differential-pay-for-the-community-service-officers-in-the-braintree-police-officers-association/,"Sandulli Grace article describing CSO night shift differential outcome for Braintree Police Officers Association — references Jan 20, 2016 award",Braintree Town,MA,Northeast,non_safety_comparator,Police bargaining unit (Community Service Officers / CSO context referenced),Braintree Police Officers Association Local 365,"Narrative references contract negotiations and “On January 20, 2016, the arbitrator issued his award” (full CBA/MOA period not reproduced in snippet)",2013,2016,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlap_expected_2013_2016,verified_source_lead,retained_downloaded_source,downloaded_retained,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-bb43a13833b8ead3241d.html,html_text_later,bounded_html_structure_has_usable_visible_text,text/html,.html,268622,e32f6eded2cf5331a309420dce5dd5459fcd7285985225e983b3c0e3744c7d4f,,text_ready,integrity_pass,extracted_ok,local_machine_readable_text_extracted_with_closed_downstream_statuses,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/html/TXT378-2bdbba58b56e5a008650.txt,2a424035044bec372dc3080d7e4c67d54c5dc0d717cba3c4e119aa3027c3a6e6,4553,4520,3800,,,local_html_visible_text_parser,false,false,false,false,not_rated,not_ingested,not_codified,not_causal_evidence,false,Text extraction is not evidence rating; extracted text is not causal or globally analysis-ready evidence.
