municipality,state,unit_type,contract_or_document_period,text_extraction_queue_count,extracted_ok_count,span_queue_count,span_extracted_source_count,ambiguous_or_no_span_count
Alabaster,AL,safety_and_non_safety_bargaining_units,2014-2024 (archive item; period not specified in locator),1,1,1,0,1
Alabaster,AL,safety_and_non_safety_bargaining_units,2014-2024 (attachment published/available within municipal meeting system timeframe; exact labor cycle not specified in locator),1,1,1,0,1
Alabaster,AL,safety_and_non_safety_bargaining_units,2014-2024 (document index; period not specified in locator),1,1,1,0,1
Alamo,TX,non_safety_municipal_units,FY 2023-2024 budget document,1,1,1,0,1
Albany,NY,non_safety_comparator,2015-2018 (overlaps expected 2016-2022 successor window partially),1,1,1,0,1
Algonquin,IL,safety_and_non_safety_bargaining_units,"May 1, 2018 – April 30, 2022",1,1,1,0,1
Algonquin,IL,safety_and_non_safety_bargaining_units,"May 1, 2021 – April 30, 2025",1,1,1,0,1
Alice,TX,non_safety_municipal_units,ADOPTED BUDGET FY 2021–2022,1,1,1,0,1
Alice,TX,non_safety_municipal_units,FY 2019–2020 adopted budget (labeled “2020 ADOPTED BUDGET”),1,1,1,0,1
Allen,TX,non_safety_comparator,"October 1, 2024 through September 30, 2028 (as indicated in search snippet)",1,1,1,0,1
Americus,GA,safety_and_non_safety_compensation_units,Likely prior-year study referenced in 2019 article (exact period not specified in snippet),1,1,1,1,0
Anaconda-Deer Lodge County,MT,non_safety_comparator,"August 1, 2021 through July 31, 2023",1,1,1,0,1
Anaconda-Deer Lodge County,MT,non_safety_comparator,From 9/1/2021 to 8/31/2023 (as indicated by file title),1,1,1,0,1
Anoka,MN,non_safety_comparator,Operative period unclear from lead snippet; file name shows 12-31-2026; earlier 2022–2024 cycle referenced by related city materials,1,1,1,0,1
Antwerp,MI,safety_and_non_safety_compensation_units,Document indicates 2022 (CVTRS-2022); specific payroll-year coverage not confirmed,1,1,1,0,1
Arlington,MA,non_safety_comparator,"July 1, 2018 — June 30, 2021",1,1,1,0,1
Atlanta,GA,non_safety_comparator,unclear,1,1,1,0,1
Barnegat,NJ,non_safety_municipal_units,"Five (5) year agreement; contract absent since December 31, 2014 (resolution dated Nov 16, 2015)",1,1,1,0,1
Barnegat,NJ,non_safety_municipal_units,"Four (4) year agreement (resolution dated Jan 1, 2020)",1,1,1,0,1
Barnegat,NJ,non_safety_municipal_units,"Four (4) year agreement (resolution dated Jan 1, 2024)",1,1,1,0,1
Beaver Dam,WI,non_safety_comparator,"Successor collective bargaining agreement covering negotiations after the prior agreement expired Dec. 31, 2004; successor bargaining described as 2005-06",1,1,1,0,1
Beekman,NY,safety_and_non_safety_compensation_units,"Manual adopted effective January 1, 2016 (per referenced description in search snippets)",1,1,1,0,1
Beeville,TX,safety_and_non_safety_compensation_units,Ongoing policy (document revision timing not fully inferred from search snippet),1,1,1,1,0
Berlin,WI,non_safety_comparator,"Agreement expired June 30, 1989; negotiations covering 1989-1990 and 1990-1991 (per award summary context)",1,1,1,0,1
Berlin,WI,non_safety_comparator,Unknown from lead snippet (award document likely contains the contract period and any wage/salary schedule references),1,1,1,1,0
