extracted_text_id,retained_source_id,extracted_text_path,extracted_text_sha256,extracted_text_size_bytes
TXT378-e86f68e5574c27afc7f8,RS556-00923076d6e9ab75d33f,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-e86f68e5574c27afc7f8.txt,0a6a2fadeeaee8c3c2da4684f083340fd7f1695720074ba35ea7fee065ed3c32,290918
TXT378-8ead42f0b458b4c1106d,RS556-0145e29ff5c9bd41bccb,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-8ead42f0b458b4c1106d.txt,14470c6cfdd4c38e7183d344a165fadefd466a6e322283e8937b6224c3d57c85,4691
TXT378-7b1961b356abf497b394,RS556-02489917ab0e7e498ce4,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-7b1961b356abf497b394.txt,fe8560f8965e41e3e64a54cab54326b7534cf987e591e6af418dcb3093a4b0e6,62243
TXT378-c7aaa034a30b818876aa,RS556-02815a227bd9bbc2ea27,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-c7aaa034a30b818876aa.txt,d1dd1ee09a76cd249a687372894f436bbc280664ff57d728cc16039a09f5b63e,17525
TXT378-70a73088b885a6311b88,RS556-02c244d081193185dfb4,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-70a73088b885a6311b88.txt,47a3fbb96197e3d721d81920ab3d92c64464095845acbf395912bd60764bba96,198891
TXT378-05bf874310e8016ecc38,RS556-098fea323f2c4c4f2ae7,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-05bf874310e8016ecc38.txt,0cb84b2aa001a8a0f280f269a156c5155470f402bc8cdda56013f70bf84b04c6,128063
TXT378-d4cbb8b924092f97d979,RS556-0f957dcdea01922fcc4f,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-d4cbb8b924092f97d979.txt,381ada59d80e1313c14ee39c883e56e842bc077a702a64627166d9de7ec2ab38,112967
TXT378-5e93924c2a6a17541601,RS556-1165df3f704416e42708,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-5e93924c2a6a17541601.txt,2e6c3c5534ceb5bd66ec952518fc5e82e6c0051c4f7c163c24f79ec06962daf5,52311
TXT378-1b5657aaf8810579bc97,RS556-11e6a472fd1a34eefe9d,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-1b5657aaf8810579bc97.txt,1e54931ac3ef36c6ae8de87db741b46931d03642041727e77d40afb15476ef1a,96973
TXT378-6f1de5a125bf468334aa,RS556-121d05df34a7da3c8686,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-6f1de5a125bf468334aa.txt,a27e3f20f0d5ae7676b60e83fdbaff9f6926e02e7095961873ce3363d7770c69,78771
TXT378-2235473420e3a8293c5f,RS556-13ad7d68fa2142e07698,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-2235473420e3a8293c5f.txt,76243aed12b07d03574d28f225089238379dc815af1a905d4176ab89b6ae5c95,131720
TXT378-8d2dce4a039116cc5fff,RS556-14e1d2c7981af4badec9,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-8d2dce4a039116cc5fff.txt,5666427435c7ae10ff0a7b13ddb1b5f0e9b1ab98a9de71e19e50a199baed86da,492196
TXT378-55b73082703018419a70,RS556-198cba6628572f24b1f8,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-55b73082703018419a70.txt,b58f9c550a2891385314728981f04a464ce3352590b1dd97ed295fdbeb5e2634,144893
TXT378-7b8aca6322d03a6289f9,RS556-1ebac3cbffc9cfed552f,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-7b8aca6322d03a6289f9.txt,7e286debee1ba693adc8cc321eb42e4d7880b108f63c43c730851546cd7dcdd1,200134
TXT378-f7a2267be529141b58da,RS556-22bd33e84a15a9bd719e,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-f7a2267be529141b58da.txt,afc27c5fd63aa83ea818f4af4fddcf7fef01b6e5334b8105272a73d7c56cdbdc,215396
TXT378-d434452f01dfd5ca0cbc,RS556-238ea1f4836380f41011,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-d434452f01dfd5ca0cbc.txt,58ab56de862d8fe516c19030443b14bb6f70938b774c71ca6af4838282b31016,29752
TXT378-0aa57723f113101d5f3e,RS556-259bc782293ece178105,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-0aa57723f113101d5f3e.txt,dfd5f53177ee7f8f262ef58609084733ead00c2ecfcaf1f97ea74112cb3dbe14,63136
TXT378-c8a0f27ca0c8c5fbee5c,RS556-2a18247eca0399539c86,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-c8a0f27ca0c8c5fbee5c.txt,418ddd95d962096a76974f2d13200551e1d3b40c72b0dcb35c67c0a7401c410a,91672
TXT378-e3ccbdbba7bcd5187409,RS556-2c217a4b2d266cae519d,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-e3ccbdbba7bcd5187409.txt,9f9c8f1a4930a05f0a406e3b36728502cfadde14079a9587534320ff8679c2c4,138591
TXT378-1d27b5b424dc381f1a66,RS556-2dd71c179955d3157313,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-1d27b5b424dc381f1a66.txt,7cad519ec07b36823a0ab515edd079693b1e700aca60939f23ae02f53d88ca16,85647
TXT378-2ccbe8d63ac6c2aa6fc4,RS556-3209cd0d3b29f8296e8a,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-2ccbe8d63ac6c2aa6fc4.txt,3e7596a736234a9c2f20a73020c52b0ecd2413006f6db04b00c3b03c1ffbfbc1,2953
TXT378-f2315f2d4339f24fc798,RS556-32bfe57d2781305131f3,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-f2315f2d4339f24fc798.txt,b791484e047cf6f121f9a54a106c3b0793abec033c66f380679a6264e76b4213,268519
TXT378-a5a78893cd5c49a0086c,RS556-3bd18cf1d08308c22eab,docs/analysis/compensation_extraction/DASHBOARD-DECLUTTER-MAP-CORRECTION-AND-TIER-C-TEXT-SPAN-EXTRACTION-378-2026-07-27/extracted_text/pdf/TXT378-a5a78893cd5c49a0086c.txt,4e5d101e09b84f0f993c950c2c80c8002c74e3efd4bc178089330ecb7567405f,89487
