claim_id,claim_title,claim_text,allowed_claim_level,finding_classification,average_strength_score,median_strength_score,evidence_basis_summary,caveat,forbidden_claim_warning,used_in_report,report_placement
B4X2500-CLAIM-20260730-001,Non-base compensation is a distinct compensation-growth channel,"Within the processed rated corpus, non-base compensation appears as a substantial compensation channel through longevity, shift, hazard, specialty, certification, education, stipend, allowance, and premium-pay provisions.",core careful mechanism claim,core finding candidate,1.646,1.0,"Derived from 3,718 schema-valid rated spans matching the controlled non_base_compensation definition.",These components require separate classification from base pay before comparative compensation analysis.,"Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-002,Direct base-wage and schedule evidence is quantitatively promising,The processed rated corpus contains a substantial pool of direct compensation values and wage schedules that is potentially useful for quantitative analysis after normalization.,core careful mechanism claim,core finding candidate,1.452,1.0,"Derived from 11,610 schema-valid rated spans matching the controlled base_wage_values definition.","Hourly/annual units, base/non-base status, occupation, rank, step, effective period, and municipality-cycle alignment remain unresolved.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-003,Implementation timing and retroactivity shape realized timing,"Rated evidence frequently identifies implementation dates, retroactivity, settlement timing, and delayed payment as mechanisms that can affect when negotiated wage gains are realized.",core careful mechanism claim,core finding candidate,2.012,2.0,"Derived from 2,230 schema-valid rated spans matching the controlled implementation_retroactivity definition.",Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,"Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-004,Automatic raises recur as a documentary wage-growth mechanism,"Within the processed rated corpus, automatic wage-growth provisions—including scheduled increases, percentage raises, and indexed adjustments—form a recurring documentary mechanism.",core careful mechanism claim,core finding candidate,2.574,2.0,"Derived from 1,431 schema-valid rated spans matching the controlled automatic_raises definition.","This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-005,"Rank, step, specialization, and classification structures support progression","Rank, step, grade, specialization, and classification structures recur in report-usable evidence and provide plausible channels for wage progression within bargaining units.",core careful mechanism claim,core finding candidate,2.427,2.0,Derived from 763 schema-valid rated spans matching the controlled rank_specialization definition.,"Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-006,Quantitative evidence requires normalization before comparison,The processed rated corpus contains a substantial pool of direct compensation values and wage schedules that is potentially useful for quantitative analysis after normalization.,core careful mechanism claim,core finding candidate,1.446,1.0,"Derived from 11,548 schema-valid rated spans matching the controlled quantitative_normalization definition.","Hourly/annual units, base/non-base status, occupation, rank, step, effective period, and municipality-cycle alignment remain unresolved.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-007,COLA/CPI language is a recurring contract mechanism,"Within the processed rated corpus, COLA/CPI and inflation-indexing language appears as a recurring contract mechanism for scheduled wage adjustment.",supporting careful mechanism claim,supporting finding candidate,2.066,2.0,Derived from 394 schema-valid rated spans matching the controlled cola_cpi definition.,"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-008,Across-the-board percentage increases recur in compensation language,"Among valid rated spans, across-the-board percentage and growth values provide recurring documentary evidence of scheduled compensation changes.",supporting careful mechanism claim,supporting finding candidate,2.406,2.0,"Derived from 1,381 schema-valid rated spans matching the controlled percentage_increases definition.","This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-009,Step and schedule progression provide structured wage paths,"Rank, step, grade, specialization, and classification structures recur in report-usable evidence and provide plausible channels for wage progression within bargaining units.",supporting careful mechanism claim,supporting finding candidate,1.237,1.0,"Derived from 1,429 schema-valid rated spans matching the controlled step_schedule_progression definition.","Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
B4X2500-CLAIM-20260730-010,Bargaining and dispute resolution are plausible institutional mechanisms,"Rated evidence identifies bargaining, arbitration, factfinding, settlement, and strike/no-strike language as plausible institutional channels shaping municipal compensation terms in some documents.",supporting careful mechanism claim,supporting finding candidate,1.592,1.0,"Derived from 1,716 schema-valid rated spans matching the controlled bargaining_arbitration definition.","The evidence identifies documentary mechanisms, not treatment effects or proof that dispute resolution raises wages.","Do not convert this corpus-bounded documentary claim into a final wage-gap, treatment-effect, causal, national, or population-prevalence claim.",True,Findings
