triage_id,candidate_queue_row_id,verification_id,verification_round_id,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,final_url,candidate_title,candidate_source_type,candidate_status_before_verification,verification_status,content_type,source_locator,triage_bucket,candidate_priority,verification_lane_id,duplicate_source_group_id,duplicate_group_size,duplicate_group_role_for_triage,source_owner_type,unit_type_scouted,population,state_candidate_rows_per_covered,matched_set_potential,official_domain_signal,triage_selection_rank,triage_stage,triage_status,triage_status_detail,source_relevance_prelim,source_officialness_prelim,employer_match_prelim,municipality_match_prelim,bargaining_unit_match_prelim,safety_unit_signal_prelim,non_safety_unit_signal_prelim,source_document_type_prelim,source_year_or_period_prelim,wage_table_signal_prelim,wage_growth_signal_prelim,mechanism_language_signal_prelim,extraction_readiness_prelim,priority_for_content_review,recommended_next_action,duplicate_handling_status,oversized_handling_status,manual_review_reason,triage_notes,reviewer,triaged_at
TRI-e25c7a2363eec5d755e1,NSCQ-DC-20260720-0002,VER-e0291116b404789ff785,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_124214,124214,DC,Washington,CITY OF WASHINGTON DC,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/Comp%20Unit%203%20-%20MPD-FOP%20Final%20CBA%202024-2026%20Clean.pdf,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/Comp%20Unit%203%20-%20MPD-FOP%20Final%20CBA%202024-2026%20Clean.pdf,"Collective Bargaining Agreement (Compensation Unit 3) - District of Columbia Police Union / FOP/MPD Labor Committee (Effective October 1, 2023 through September 30, 2026)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/Comp%20Unit%203%20-%20MPD-FOP%20Final%20CBA%202024-2026%20Clean.pdf,high_priority_later_verify,high,lane_2,URL-665e66c8f0678b5e21cf,1,canonical_representative,city,police,,5.0,yes,likely_official,1,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-24e39d8b292023dc0283,NSCQ-DC-20260720-0004,VER-49b9a371abd16333b148,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_124214,124214,DC,Washington,CITY OF WASHINGTON DC,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/CBA%20Comp%201-2%20w.%20Union%20Agency%20signatures%20and%20Mayor%20signature%20FY%202022-2025.pdf,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/CBA%20Comp%201-2%20w.%20Union%20Agency%20signatures%20and%20Mayor%20signature%20FY%202022-2025.pdf,Compensation Units One and Two Collective Bargaining Agreement (FY 2022-2025),cba,scheduled,reachable_pdf_or_document,application/pdf,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/CBA%20Comp%201-2%20w.%20Union%20Agency%20signatures%20and%20Mayor%20signature%20FY%202022-2025.pdf,high_priority_later_verify,high,lane_1,URL-ce1e381944c7979c087d,1,canonical_representative,city,non_safety,,5.0,yes,likely_official,3,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-6b1f3a832c8b7e905e0f,NSCQ-RI-20260720-0005,VER-4b616d6b312ba7a9a999,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_112807,112807,RI,Warwick,CITY OF WARWICK,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Warwick-Fire-Local-2748-CBA-Exp-06-30-25.pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Warwick-Fire-Local-2748-CBA-Exp-06-30-25.pdf,"Agreement by and Between the City of Warwick and Local 2748, International Association of Fire Fighters (Fire)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Warwick-Fire-Local-2748-CBA-Exp-06-30-25.pdf,high_priority_later_verify,high,lane_1,URL-e7c2fc3ec3a1525f89ec,1,canonical_representative,state_labor_board,fire,,3.375,yes,likely_official,5,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-0d6e6f768354aedf2672,NSCQ-RI-20260720-0008,VER-05c59818c66fb49000b2,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_209434,209434,RI,Cranston,CITY OF CRANSTON,https://municipalfinance.ri.gov/documents/contracts/Cranston_Fire.pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Cranston_Fire.pdf,"Agreement Between City of Cranston and Local 1363 IAFF (Contract Years July 1, 2016–June 30, 2019) (with Civilian Addendum)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Cranston_Fire.pdf,high_priority_later_verify,high,lane_3,URL-930fbbc7a576c9ebbd35,1,canonical_representative,state_labor_board,fire,,3.375,yes,likely_official,7,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-a086c37ff8b00487d3a6,NSCQ-RI-20260720-0010,VER-aeaf503ab4d906cd0753,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_174833,174833,RI,Pawtucket,CITY OF PAWTUCKET,https://municipalfinance.ri.gov/documents/contracts/Pawtucket-Police-Exp-6-30-2020.pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Pawtucket-Police-Exp-6-30-2020.pdf,"Collective Bargaining Agreement (Pawtucket Lodge No. 4, Fraternal Order of Police) — effective 1st day of July, 2016; read and ordered 6/21/2017",cba,scheduled,reachable_pdf_or_document,application/pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Pawtucket-Police-Exp-6-30-2020.pdf,high_priority_later_verify,high,lane_2,URL-bfbeda194a767680970c,1,canonical_representative,third_party,police,,3.375,yes,likely_official,9,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-7540e3808d48784221f3,NSCQ-RI-20260720-0012,VER-8465da5fe8e6ed9d826f,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_174833,174833,RI,Pawtucket,CITY OF PAWTUCKET,https://pawtucketri.gov/wp-content/uploads/2025/01/Signed-1012-Contract-2024_2027.pdf,https://pawtucketri.gov/wp-content/uploads/2025/01/Signed-1012-Contract-2024_2027.pdf,"CONTRACT BETWEEN R.I. COUNCIL 94, AFSCME, AFL-CIO LOCAL 1012 AND THE CITY OF PAWTUCKET, RHODE ISLAND (Signed 2024–2027)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://pawtucketri.gov/wp-content/uploads/2025/01/Signed-1012-Contract-2024_2027.pdf,high_priority_later_verify,high,lane_1,URL-2c951f0c8f9652a4372b,1,canonical_representative,city,non_safety,,3.375,yes,likely_official,11,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-9725fe0e29282ef9c8e3,NSCQ-RI-20260720-0015,VER-5e7f5f7985161bfbb928,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_194033,194033,RI,East Providence,CITY OF EAST PROVIDENCE,https://eastprovidenceri.gov/sites/default/files/field/files-docs/2._contract_-_fire_fighters_2022-2025_0.pdf,https://eastprovidenceri.gov/sites/default/files/field/files-docs/2._contract_-_fire_fighters_2022-2025_0.pdf,Collective Bargaining Agreement — Fire Fighters (2022-2025),cba,scheduled,reachable_pdf_or_document,application/pdf,https://eastprovidenceri.gov/sites/default/files/field/files-docs/2._contract_-_fire_fighters_2022-2025_0.pdf,high_priority_later_verify,high,lane_3,URL-2ab3f7c16b264aff4028,1,canonical_representative,city,fire,,3.375,yes,likely_official,13,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-8224f266c19ecc4a002b,NSCQ-RI-20260720-0020,VER-6449fcab67dc9c35ba3d,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_174832,174832,RI,Newport,CITY OF NEWPORT,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Newport-Police-Lodge-8-CBA-Exp-06-30-24.pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Newport-Police-Lodge-8-CBA-Exp-06-30-24.pdf,"Collective Bargaining Agreement (FOP FY 2021-2024) — City of Newport, Rhode Island; Lodge No. 8, Newport Fraternal Order of Police",cba,scheduled,reachable_pdf_or_document,application/pdf,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Newport-Police-Lodge-8-CBA-Exp-06-30-24.pdf,high_priority_later_verify,high,lane_2,URL-0e68c2aa5380e5e6f6a9,1,canonical_representative,state_labor_board,police,,3.375,yes,likely_official,15,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-d497af87e2b8fad27e5f,NSCQ-NV-20260720-0001,VER-4f696c92de1e44994a28,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_169987,169987,NV,Henderson,CITY OF HENDERSON,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20Henderson%20and%20HPSA%20Restated.pdf,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20Henderson%20and%20HPSA%20Restated.pdf,"LABOR AGREEMENT BETWEEN CITY OF HENDERSON, NEVADA AND HENDERSON POLICE SUPERVISORS ASSOCIATION — JULY 1, 2014 – JUNE 30, 2018 (Amended and Restated on January 17, 2017)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20Henderson%20and%20HPSA%20Restated.pdf,high_priority_later_verify,high,lane_1,URL-ac59ed87af7f00955d79,1,canonical_representative,state_labor_board,police,,3.090909,yes,likely_official,17,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-5ed8c38dad207ba627e8,NSCQ-NV-20260720-0003,VER-4c2412ac0c0678571590,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_169987,169987,NV,Henderson,CITY OF HENDERSON,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/FF/City%20of%20Henderson%20and%20IAFF%20Local%201883.pdf,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/FF/City%20of%20Henderson%20and%20IAFF%20Local%201883.pdf,"LABOR AGREEMENT — CITY OF HENDERSON, NEVADA AND IAFF LOCAL 1883 — JULY 1, 2014 THROUGH JUNE 30, 2016",cba,scheduled,reachable_pdf_or_document,application/pdf,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/FF/City%20of%20Henderson%20and%20IAFF%20Local%201883.pdf,high_priority_later_verify,high,lane_3,URL-3f27ffeb7b66fbe09c7c,1,canonical_representative,state_labor_board,fire,,3.090909,yes,likely_official,19,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
