state,municipality,unit_type,negotiation_cycle_id,row_count,direct_text_claim_ready_count,mechanism_linkage_candidate_count,source_family_count
AK,Fairbanks,non_safety,cycle_d63a5068ead5c6ee83ed96a0,3,0,2,1
AK,Ketchikan,fire,cycle_b5878a66fb28c271e922cc19,3,3,3,1
AL,Vestavia Hills,non_safety,missing_cycle,1,0,0,1
AR,Hot Springs,fire,missing_cycle,5,0,0,1
AZ,Mesa,non_safety,missing_cycle,5,5,0,1
CA,Alhambra,non_safety,cycle_3f0260164126988f0f5fcab5,3,3,3,1
CA,Bakersfield,fire,cycle_b8879172d5a8eaa496f37e7a,2,2,2,1
CA,Bakersfield,police,missing_cycle,1,1,0,1
CA,Bell,police,cycle_0b21b418a79fcef04fe87871,5,5,5,1
CA,Beverly Hills,non_safety,cycle_3443f8cf4acae03ee8a2867d,1,1,1,1
CA,Claremont,police,cycle_860396c10a8ff2700795e021,2,2,2,1
CA,Clearlake,police,cycle_8b2fe2049292c31d89bab79e,2,0,2,1
CA,Dana Point,non_safety,cycle_65778ecd55b2ce0eb8d8be55,1,1,1,1
CA,Davis,fire,cycle_17eaa51f41939b133d0d09ee,2,0,2,1
CA,El Paso de Robles (Paso Robles),non_safety,cycle_210bd065bc64b77566c5c3c2,1,1,1,1
CA,El Paso de Robles (Paso Robles),police,cycle_210bd065bc64b77566c5c3c2,3,3,3,1
CA,Encinitas,fire,cycle_a8860c04433b0a3ae607ae79,4,4,4,1
CA,Encinitas,non_safety,cycle_0560c2ee3deb77262042daad,1,0,1,1
CA,Fontana,non_safety,cycle_9695b406a0cb1550cfb46b04,3,3,3,1
CA,Fontana,police,cycle_9695b406a0cb1550cfb46b04,3,3,3,1
CA,Grass Valley,non_safety,cycle_07acf18d07866eaf10ef1bbb,5,5,5,1
CA,Huntington Beach,fire,cycle_9bffd07dbbeae73971db28a2,1,1,1,1
CA,Huntington Beach,police,cycle_69e0cf38a16edc78c48b96ef,1,1,1,1
CA,La Puente,non_safety,missing_cycle,1,1,0,1
CA,Laguna Hills,non_safety,cycle_91c6d9213898d9f1b4af567b,5,5,5,1
CA,Laguna Hills,non_safety,cycle_ca69e7f57cb3cafec3fb2b2f,2,0,2,1
CA,Lodi,police,cycle_ad1c2552e0e8382e8131aae6,2,0,2,1
CA,Long Beach,fire,cycle_8818faeebfb835d77dacbb52,3,3,3,1
CA,Menifee,police,cycle_ce97ace21642f3095ac8d7b4,1,0,1,1
CA,Merced,fire,cycle_4a191ced3db9a91de15a1812,3,0,3,1
CA,Merced,police,cycle_c1e671c6f591f2869d14ee7a,1,0,0,1
CA,Oroville,non_safety,cycle_5f2adc8533bb2628211110c7,3,3,3,1
CA,Pacific Grove,police,cycle_b004eaaad2180be8bd8d63f5,1,0,1,1
CA,Palo Alto,police,cycle_7d1d435cce18288e9c9b57f0,2,2,2,1
CA,Pasadena,police,missing_cycle,3,2,0,1
