text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,source_review_pilot_id,state,municipality,government_name,unit_type,candidate_source_type,priority_for_content_review,source_officialness_rating,source_relevance_rating,document_type_rating,extraction_readiness_rating,content_artifact_path,content_hash,content_byte_size,content_type_observed,pdf_page_count,text_layer_status,text_table_detection_pilot_id,text_table_detection_lane_id,pilot_selection_rank,page_count_bin,artifact_byte_size_bin,sample_selection_reason
ttd_2f49977a7dad0a2d4b6ca914,pr_357eb5e8a684d181d2962f49,sr_d52b4b96c793e8aab32ecf55,NSCQ-ID-20260720-0016,TRI-2ace17abac7b823706df,VER-39bd5d2560d3b8ece02b,SOURCE-REVIEW-BATCH2-500-2026-07-24,ID,Lewiston,CITY OF LEWISTON,fire,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0067_sr_d52b4b96c793e8aab32ecf55.pdf,ff4e7fdbd83e80982ea53268da52e74817bd198218add88dd7eaa1faf82b9ef3,1070172,application/pdf,38,partial,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,51,26_to_50,medium_512_kib_to_2_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_6a774d28117184ea877acc90,pr_dd1f89674b2fb3f094624d21,sr_633783bd1678cb6844ff9b78,NSCQ-IA-20260720-0013,TRI-fb497e161ea71676167c,VER-0c3681330e16473c6e05,SOURCE-REVIEW-BATCH2-500-2026-07-24,IA,Davenport,CITY OF DAVENPORT,fire,cba,p1,unknown,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0188_sr_633783bd1678cb6844ff9b78.pdf,71cc7e8b6dff599c3a093bc11f958873a36dfbba55e20cc4b23856d5c239118e,3633206,application/pdf,70,present,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,52,51_to_100,large_2_to_5_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_161f155f4957aecf4bbc6523,pr_88957832b8077080e01b1823,sr_1d4cde5b33a00f4065852362,NSCQ-NV-20260720-0007,TRI-c475be4b8e53e7805ede,VER-3c521bec9a563de67437,SOURCE-REVIEW-BATCH2-500-2026-07-24,NV,North Las Vegas,CITY OF NORTH LAS VEGAS,fire,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0047_sr_1d4cde5b33a00f4065852362.pdf,92eb17c11083200738287cc42e878fb0fae856810bd08f18a23f393e423e3246,885048,application/pdf,109,partial,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,53,over_100,medium_512_kib_to_2_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_7007a6b0d7a2a0a4316bdda0,pr_b2382e31ade75663568b04cd,sr_5d59ea80e3cb7e6a7692ac7f,NSCQ-MN-20260720-0130,TRI-e3a442f3014a4f2766ec,VER-74d5cc937d0ce405448b,SOURCE-REVIEW-BATCH2-500-2026-07-24,MN,Hopkins,CITY OF HOPKINS,non_safety,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0111_sr_5d59ea80e3cb7e6a7692ac7f.pdf,8c7d686c2a20661c0a027582de38dbb890eefd0e3bf026590693e123429ef5b8,1593536,application/pdf,20,present,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,54,11_to_25,medium_512_kib_to_2_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_d91748812c26133311dec0ac,pr_ace94457014122f0246120f5,sr_fdcc61f9efca149473ba2e06,NSCQ-DE-20260720-0013,TRI-6ea59e0b0117933f38e0,VER-2adb2cab8620d078f02b,SOURCE-REVIEW-BATCH2-500-2026-07-24,DE,Smyrna,TOWN OF SMYRNA,non_safety,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0065_sr_fdcc61f9efca149473ba2e06.pdf,c01756465b6a85d01e371f9778f7b786c072600a2efdb79278d41369a8679761,653454,application/pdf,32,present,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,55,26_to_50,medium_512_kib_to_2_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_49044b3eefcd68a94c4e0cb3,pr_1fbbd7fbeaf4adf1f1942790,sr_a2439ed09d17982bc0a576be,NSCQ-NV-20260720-0018,TRI-084dced35c7474b13e50,VER-54709d9d4475fed60378,SOURCE-REVIEW-BATCH2-500-2026-07-24,NV,Fernley,CITY OF FERNLEY,non_safety,cba,p1,official_state_repository,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0101_sr_a2439ed09d17982bc0a576be.pdf,9b69a1a93f38e27811e43fd486be0d4fb5229c8962afb236ce44df9ae1e5f16d,1349138,application/pdf,27,partial,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,56,26_to_50,medium_512_kib_to_2_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_c1b75949a148a318b824a1c3,pr_48f9d4d77278f0540a131714,sr_bb6a32be4fe9c5326c2419e2,NSCQ-FL-20260720-0011,TRI-da7b0fa3d9ec44a9fbfb,VER-c1166afccaeae38549b8,SOURCE-REVIEW-BATCH2-500-2026-07-24,FL,Orlando,CITY OF ORLANDO,non_safety,cba,p1,official_union,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0227_sr_bb6a32be4fe9c5326c2419e2.pdf,34a0aa0e5baab114e18c0be4ee1675786d37d5ede466e1c895cbf49280bb8277,856453,application/pdf,98,present,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,57,51_to_100,medium_512_kib_to_2_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_0a41e44a6df2a4fa3cde24a4,pr_1ce4b051ef720c0f499cd1f2,sr_98dd831c62fb2b2ac16e0774,NSCQ-OR-20260720-0011,TRI-99561b29f7f5e0ab35a9,VER-807939274e8b47677a4c,SOURCE-REVIEW-BATCH2-500-2026-07-24,OR,Eugene,CITY OF EUGENE,non_safety,cba,p1,official_municipal,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0056_sr_98dd831c62fb2b2ac16e0774.pdf,494a57fa103455df147b3be5f440903838e57fd753d32afa557e4c5fce3261dd,4358306,application/pdf,107,present,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,58,over_100,large_2_to_5_mib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_93011750e638125126b778cf,pr_0058fd0beb2098838e241d4d,sr_504e9f9ede69cd714aa6d5ac,NSCQ-TX-20260720-0030,TRI-be153d1c13d5accd80b0,VER-147707d63b6dc7b4acd5,SOURCE-REVIEW-BATCH2-500-2026-07-24,TX,McKinney,CITY OF MCKINNEY,police,cba,p1,uncertain,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0162_sr_504e9f9ede69cd714aa6d5ac.pdf,b68a68ae6bd48ead7b9dd6e69bb8eb2a892f99a6d099d6dc8832105207b70f59,518694,application/pdf,22,partial,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,59,11_to_25,small_le_512_kib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
ttd_f88ce214a483fb3a49817ad8,pr_d5f23c592a744b92e056f7eb,sr_fe40278a3d486e04f76aefa4,NSCQ-IN-20260720-0009,TRI-7e404b0f5235612c89c5,VER-1948a01d5e917bc8f836,SOURCE-REVIEW-BATCH2-500-2026-07-24,IN,Bloomington,CITY OF BLOOMINGTON,police,cba,p1,unknown,possible,cba_candidate,medium,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0103_sr_fe40278a3d486e04f76aefa4.pdf,aed9c6d1f2355004bf99b16489bfe972df6039541852d031e2d0ccad749669f8,293113,application/pdf,48,present,TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24,lane_2,60,26_to_50,small_le_512_kib,deterministic diversity sample from durable parse_text_layer_later retained PDFs
