citation_id,municipality,state,document_title,document_type,source_family,year,compensation_cycle,effective_date_or_period,page_number,section_heading,table_name_or_row_label,public_source_url,archived_source_reference,citation_display_short,citation_display_full,technical_lineage_id,source_hash,repo_source_path
CITE-e343703e6b582295c992d837,Harrison,OH,"Memorandum of Understanding (wage re-opener) between the City of Harrison and the Fraternal Order of Police, Ohio Labor Council, Inc. (Police Sergeants and Lieutenants)",memorandum of understanding,mou_or_memorandum,2021,2021,2021,,Section 2.4 Employees shall receive pay bi-weekly. The City shall pay by direct deposit,,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Addendums/2021/21-MED-02-0192.pdf,retained local source available,"Harrison, Ohio, Memorandum Of Understanding, 2021.","Harrison, Ohio, Memorandum of Understanding (wage re-opener) between the City of Harrison and the Fraternal Order of Police, Ohio Labor Council, Inc. (Police Sergeants and Lieutenants), memorandum of understanding, 2021, § Section 2.4 Employees shall receive pay bi-weekly. The City shall pay by direct deposit.",WCM-20b28280dbc27a559ca3accd,c2924f14d63aac89687f871e09e2c1fba0d354758f549b8c8f0416159dbf6689,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0623b86e76118f9bb037ce9e
CITE-ce0279e8cf2d5095ce730404,Olive,NY,Collective Bargaining Agreement (Olive Police Benevolent Association) 2024-2026,collective bargaining agreement,cba,2024,2024,2024,,,,https://townofoliveny.gov/wp-content/uploads/2023/12/Olive-Police-CBA-2024-2026.pdf,retained local source available,"Olive, New York, Collective Bargaining Agreement, 2024.","Olive, New York, Collective Bargaining Agreement (Olive Police Benevolent Association) 2024-2026, collective bargaining agreement, 2024.",WCM-3140e457a07cd6f05de6770c,e2cc791c2b585365696660baa94f5faeb22f8c43325f0f73f381107c1f105463,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-e1f197ee05ff1ed1a5d31c7f
CITE-e238b7eae5d6162b1171ad41,Orchard Park,NY,"Orchard Park Police Benevolent Association, Inc. Collective Bargaining Agreement (Duration section states effective dates)",wage schedule,wage_schedule,2018,2018,2018,,Section 1.2: Certification. Subject to the provisions of the Public,,https://orchardparkny.gov/wp-content/uploads/2018/02/PBA-Contract.pdf,retained local source available,"Orchard Park, New York, Wage Schedule, 2018.","Orchard Park, New York, Orchard Park Police Benevolent Association, Inc. Collective Bargaining Agreement (Duration section states effective dates), wage schedule, 2018, § Section 1.2: Certification. Subject to the provisions of the Public.",WCM-003339a869c96f5aa7faaf91,e826b10173907d2186e87731cc7cfc5bcd07082dc3d91f24e8019dfc562465ef,
CITE-aec512b2b7a651aa086b1ae9,Bloomfield charter,MI,"Police Officers Labor Council (POLC) Contract - January 1, 2026 to December 31, 2028 (signed with attachments)",collective bargaining agreement,cba,2026,2026,2026,,,,https://bloomfieldtwpmi.gov/media/nwepukaq/bt-polc-patrol-contract-2026-2028-signed-with-attachments.pdf,retained local source available,"Bloomfield charter, Michigan, Collective Bargaining Agreement, 2026.","Bloomfield charter, Michigan, Police Officers Labor Council (POLC) Contract - January 1, 2026 to December 31, 2028 (signed with attachments), collective bargaining agreement, 2026.",WCM-01523ce2a91d89f1a2f6313e,140ad8e55ea4e26fd4b2e0bfc3d9b86eab4c9adb5243894972213582175f8be8,
CITE-85d1175f2dd132dfa97af637,Union Gap,WA,Union Gap City Council Packet (contains ratification of Union Gap Police Officers’ Association 2022-2024 Collective Bargaining Agreement),council packet or minutes,agenda_packet_or_minutes,2022,2022,2022,,ORDINANCE NO.,,https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-10-2022-Council-Packet.pdf,retained local source available,"Union Gap, Washington, Council Packet Or Minutes, 2022.","Union Gap, Washington, Union Gap City Council Packet (contains ratification of Union Gap Police Officers’ Association 2022-2024 Collective Bargaining Agreement), council packet or minutes, 2022, § ORDINANCE NO..",WCM-476f2d9a5900e2036e6978de,f53d49d965707bc92dd5ac254944facbfaa0c17f86717da2e7affdb45dd19ade,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-cc01eca3010afbf82c79a15a
CITE-60cde9d2cd7164687d8cc0ca,Bruceville-Eddy,TX,"Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item)",budget or pay plan,budget_or_pay_plan,2025,2025,2025,,,,https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf,retained local source available,"Bruceville-Eddy, Texas, Budget Or Pay Plan, 2025.","Bruceville-Eddy, Texas, Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item), budget or pay plan, 2025.",WCM-32ae0dd7404b0c8533e9afea,a5096db3af00177e7bcc72e969d25441725a3be4ef5a56f84e1ca6ff68265bbc,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-f7d15ac611bb5130584cd0ad
CITE-c994cd78fff3dc5ad9d2d2d4,Wellsville,NY,"Agreement Between the Village of Wellsville, New York State Council 66, Local 2574C (Police Department / Dispatchers & Communication Technicians)",collective bargaining agreement,cba,2015,2015,2015,,"APPENDIX ""G""",,https://seethroughny.net/contracts/VillageofWellsville_P_2017.pdf,retained local source available,"Wellsville, New York, Collective Bargaining Agreement, 2015.","Wellsville, New York, Agreement Between the Village of Wellsville, New York State Council 66, Local 2574C (Police Department / Dispatchers & Communication Technicians), collective bargaining agreement, 2015, § APPENDIX ""G"".",WCM-00a980f022281945c2af9e9b,fd3d45d842f287d4e018f04844fb9f1da0f18aab0292b8305dfb3eb1fbaf4af8,
CITE-6b53b6704d4343f402a39d54,Warwick,PA,2025 Draft Budget Worksheet (police salaries/wages increase noted as per Collective Bargaining),budget or pay plan,budget_or_pay_plan,2025,2025,2025,,01.410.130 – SALARIES AND WAGES,,https://warwick-bucks.com/wp-content/uploads/2024/10/2025-Draft-Budget-10.23-2.pdf,retained local source available,"Warwick, Pennsylvania, Budget Or Pay Plan, 2025.","Warwick, Pennsylvania, 2025 Draft Budget Worksheet (police salaries/wages increase noted as per Collective Bargaining), budget or pay plan, 2025, § 01.410.130 – SALARIES AND WAGES.",WCM-47b2faf43bf5c4502a66a7f6,ca34f6b66478afe1eb7226e75c93252fbb2d4cac599cab1efe0a868aca675bc7,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-88eabb44ef43caef5b798b1c
CITE-be094f3f31251085c70b6c49,Milaca,MN,"Labor Agreement Between City of Milaca, Minnesota and Law Enforcement Labor Services, Inc. (Local #238)",collective bargaining agreement,cba,,,,,,,https://cityofmilaca.org/documents/556/01-17-24_AGENDA_PACKET_PAGE_NUMBERS.pdf,retained local source available,"Milaca, Minnesota, Collective Bargaining Agreement, date not explicit.","Milaca, Minnesota, Labor Agreement Between City of Milaca, Minnesota and Law Enforcement Labor Services, Inc. (Local #238), collective bargaining agreement.",WCM-00613e37654f6a99adf1431e,71b08d6c8df86490e113173bf30276daa785074cec1a412140a337b2e653f764,
CITE-bc9f3b5f89c8958226b0c02e,Sugarcreek,OH,"Collective Bargaining Agreement — Sugarcreek Township and Sugarcreek Township Professional Firefighters, IAFF, Local 4175",collective bargaining agreement,cba,2020,2020,2020,,"Section 16.6 Death of Employee In the case of the death of an active employee, the employee’s",,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-12-1421.pdf,retained local source available,"Sugarcreek, Ohio, Collective Bargaining Agreement, 2020.","Sugarcreek, Ohio, Collective Bargaining Agreement — Sugarcreek Township and Sugarcreek Township Professional Firefighters, IAFF, Local 4175, collective bargaining agreement, 2020, § Section 16.6 Death of Employee In the case of the death of an active employee, the employee’s.",WCM-011041c42392c701cecb62b5,11fc1c27a1558b41c1ca1294426a268304e61319b3107520e7d61dbbc8f8ebbb,
