staffing_evidence_id,municipality,state,compensation_cycle_id,side,staffing_reduction_language,vacancy_language,recruitment_language,retention_language,minimum_staffing_language,overtime_response_language,outsourcing_language,consolidation_language,attrition_language,hiring_freeze_language,position_elimination_language,authorized_headcount_language,filled_headcount_language,pressure_direction,implementation_status,evidence_quality,bounded_evidence_excerpt,technical_lineage_id
STAFF-0df1a251426ba0be92a18f49,,,undated-source-lobs_02cf16b14ae780a5964de0af,unclear,,,,,,,,,,,wage step increase program are eliminated,,,upward,unclear_status,moderate,wage step increase program are eliminated,WCM-c3b862126349ac18c27f0b05
STAFF-1c48290053b078c86fd5162b,,,undated-source-lobs_12744d8decb3d5913fd5c27d,unclear,,,,,,Overtime must be approved in advance.,,,,,,,,upward,unclear_status,moderate,Overtime must be approved in advance.,WCM-338ad46d387d097f3128a499
STAFF-57f4772e09d382456f290d78,,,undated-source-lobs_159e2081db9609dda3b11098,unclear,,,,,,regular or overtime rate of pay,,,,,,,,upward,unclear_status,moderate,regular or overtime rate of pay,WCM-2d6e5b99b6e21f540a68f11f
STAFF-73c19745f1413abf9a73fe26,,,undated-source-lobs_4c054f9e72080158a9b0f11d,unclear,scheduled layoffs,,,,,,,,,,,,,downward,unclear_status,moderate,scheduled layoffs,WCM-a5d793b255596d90e310004f
STAFF-68ae7c7f134c28ab72d93224,,,undated-source-lobs_4f998b47b6287d43c2674cfa,unclear,"effective input with respect to the scheduled layoffs, including the opportunity to suggest",,,,,,,,,,,,,downward,implemented,high,"effective input with respect to the scheduled layoffs, including the opportunity to suggest",WCM-8cff46cb3ada2af1c9d7b247
STAFF-6e3284c942b9d3ac3ba1717e,,,undated-source-lobs_72bbefdc7bd9b9b0b7fc92d9,unclear,,,,,,the officer shall be paid overtime in accordance with the overtime provisions of this,,,,,,,,upward,unclear_status,moderate,the officer shall be paid overtime in accordance with the overtime provisions of this,WCM-9f512175d9264f49d6ae1c4e
STAFF-4d81cf9d920ec692df325b22,,,undated-source-lobs_7e4788c6ccdf6c22f4786645,unclear,,,,,,officers shall be paid overtime,,,,,,,,upward,unclear_status,moderate,officers shall be paid overtime,WCM-0321947ac2e5ac448e000f16
STAFF-2839a3cfc249a7b9282f9e65,,,undated-source-lobs_85b5a82c21a92ddefa7a43eb,unclear,,,,,,and there shall be no overtime compensation for the time spent on IAFF business which,,,,,,,,upward,unclear_status,moderate,and there shall be no overtime compensation for the time spent on IAFF business which,WCM-2db7951dc2679c6022d1b133
STAFF-dbb8380b59710f5f6813a015,,,undated-source-lobs_904db59b8ca4f6270cbbfef2,unclear,,,,,,employees shall be paid at the overtime rate.,,,,,,,,upward,unclear_status,moderate,employees shall be paid at the overtime rate.,WCM-1ddab62141a767c62b8bf3ed
STAFF-3965fb20fe4e00e81d370ad7,,,undated-source-lobs_9096ca37a928824445354efc,unclear,,,,,,Employees are eligible for a rest period at the beginning of a continuous overtime shift that is anticipated,,,,,,,,upward,unclear_status,moderate,Employees are eligible for a rest period at the beginning of a continuous overtime shift that is anticipated,WCM-b0f1ab80eaa1081485050ea8
STAFF-4ac11f59c633e1998009993f,,,undated-source-lobs_960fee8ad86f50d115ca3c3d,unclear,,,,,,(b) If at any time the Department authorizes overtime,,,,,,,,upward,unclear_status,moderate,(b) If at any time the Department authorizes overtime,WCM-c3c97b93d0a8105377ef5948
STAFF-fb61295d09687c82c846d707,,,undated-source-lobs_a10ed7a3e82f2158d337bda3,unclear,,,,,,"the overtime cost was $211,000",,,,,,,,upward,unclear_status,moderate,"the overtime cost was $211,000",WCM-8e11391a7bdf889471e525d5
STAFF-ac8a516c26c978d111a31d58,,,undated-source-lobs_b2ffd925489ad34edb284b02,unclear,,,,,,"salary, benefits, and overtime",,,,,,,,upward,unclear_status,moderate,"salary, benefits, and overtime",WCM-402402440cbbbb1fd0a06fe9
STAFF-02935f30d2a6f34ef99512ad,,,undated-source-lobs_c50812ac8d7080e5f27f7f7b,unclear,,,,,,including overtime if appropriate.,,,,,,,,upward,unclear_status,moderate,including overtime if appropriate.,WCM-162ac8a4416df4bb583c1877
STAFF-efbd13bd749e84e01b4cf6fe,,,undated-source-lobs_cda492c36d2b149bd478926a,unclear,,,,,,computing overtime compensation.,,,,,,,,upward,unclear_status,moderate,computing overtime compensation.,WCM-7ee958f59d4fc78ae44128a6
STAFF-d8655442a6ac7c9241dcd109,,,undated-source-lobs_d12f37b659d8d62793538b82,unclear,,,,retain the same step 27,,,,,,,,,,upward,unclear_status,moderate,retain the same step 27,WCM-393c0f0892b072fe38016251
STAFF-18b4db1412374a4a0e9d3e8f,,,undated-source-lobs_d90ea9b9eac69cc9f4a49842,unclear,,,,,,Overtime will be offered on the basis of seniority,,,,,,,,upward,unclear_status,moderate,Overtime will be offered on the basis of seniority,WCM-bfd7c68a26ee909e5c910d34
STAFF-7a2ee0e799e79476f7573c5a,,,undated-source-lobs_d94ae64b6688b0b041c816ac,unclear,"effective input with respect to the scheduled layoffs, including the opportunity to suggest",,,,,,,,,,,,,downward,implemented,high,"effective input with respect to the scheduled layoffs, including the opportunity to suggest",WCM-935017387c3d4e26f6bb4aa6
STAFF-b1ade115ac2d5d5e53088f7f,,,undated-source-lobs_deb119f2611a3def0e7300d9,unclear,,,,,,Overtime shall be paid at the rate of one and one‐half (1‐1/2) times an employee's established hourly rate,,,,,,,,upward,unclear_status,moderate,Overtime shall be paid at the rate of one and one‐half (1‐1/2) times an employee's established hourly rate,WCM-6d2f73599c02cbb690e1976d
STAFF-b5e2c39f1c21cdcafe8b6628,,,undated-source-lobs_e1efad1c3988bf3ae294c2a6,unclear,,,,,,shall be paid to the affected bargaining unit member at the overtime rate of pay.,,,,,,,,upward,unclear_status,moderate,shall be paid to the affected bargaining unit member at the overtime rate of pay.,WCM-25f50f11f0d0fe57e97c3c0a
STAFF-02d4d10b484d6860e17ea102,,,undated-source-lobs_fccaa642b32c214385bdbc11,unclear,,,,,,reducing overtime costs,,,,,,,,upward,unclear_status,moderate,reducing overtime costs,WCM-8baab688647f50fd8f73bab5
