technical_lineage_id,source_span_lineage_id,municipality,state,region,source_family,source_title,source_url,mechanism_class,side,bounded_evidence_excerpt,claim_boundary,structure_type,table_identity,row_column_labels,step_rank_grade_label,effective_period,structured_value_elements,formula_text,caps_floors,fake_scalar_created
WCM-e8282d61be790bed965a74e7,WCRS-8fc10ef3bd85209f0df1240b,,,,,,,cola_cpi_indexing,unclear,in “E” Step after completion of four (4) years of active full -time service.,mechanism_only,step_schedule,,,,,"[""4""]",,,false
WCM-4349d2c20b4fbb5f43cc824e,WCRS-106f9578110df1d61b86eb2d,,,,,,,across_the_board_raise,unclear,The wage schedule of the CBA is hereby revised as follows:,mechanism_only,table_or_formula,,,,,[],,,false
WCM-c3b862126349ac18c27f0b05,WCRS-c3e3f2931c59ee924d119096,,,,,,,cola_cpi_indexing,unclear,wage step increase program are eliminated,mechanism_only,step_schedule,,,,,[],,,false
WCM-12b1abf8e450fe11c11099ce,WCRS-087aa4c21995abc64fbf83e3,,,,,,,cola_cpi_indexing,unclear,Create additional pay step for each pay grade to increase in one (1) percent increments each year,mechanism_only,percentage,,,,,"[""1""]",,,false
WCM-5ac96daa8619cde2ddea2197,WCRS-1c9c518043c463a5b7b7b6c6,,,,,,,cola_cpi_indexing,unclear,pay by progression from step to step shall be effected upon attendance,mechanism_only,step_schedule,,,,,[],,,false
WCM-f4a32fc2d368f386fb1246b8,WCRS-2b6634c792ade3f082c8d38e,,,,,,,cola_cpi_indexing,unclear,the increase will revert to the CPI,mechanism_only,table_or_formula,,,,,[],the increase will revert to the CPI,,false
WCM-faba08734c2066d5a7cf61ed,WCRS-b0854064b5b2482fcc07eb99,,,,,,,cola_cpi_indexing,unclear,The length of time required to be served as a Sergeant in each step of the Sergeant’s,mechanism_only,step_schedule,,,,,[],,,false
WCM-9fdcfb84615b8eb430b90ddc,WCRS-65de3480df17b6f9be1842a2,,,,,,,retroactivity_implementation,unclear,"Effective October 1, 2021 the appended salary schedule for the City of Lewiston will be",mechanism_only,annual_salary,,,,2021,"[""1,"", ""2021""]",,,false
WCM-1ef91a675b0c37596a228ec0,WCRS-2d20c8376d5d8816e61daca1,,,,,,,cola_cpi_indexing,unclear,at the same step level,mechanism_only,step_schedule,,,,,[],,,false
WCM-a8f0e43a503f22d8b71219be,WCRS-25ae5f5aff01f3ab4c3969b8,,,,,,,across_the_board_raise,unclear,advance one step on the grade and step scale,mechanism_only,step_schedule,,,,,[],,,false
WCM-9b26036362c35affd30e7986,WCRS-e96395ca4c4f1f1ec20286a8,,,,,,,non_base_compensation,unclear,emergencies shall be paid in accordance with Article 13 for a minimum of three (3) hours plus actual hours,mechanism_only,table_or_formula,,,,,"[""13"", ""3""]",,,false
WCM-8feb7e44400fb505df68576e,WCRS-5d2647fae60de83e6494a9b4,,,,,,,across_the_board_raise,unclear,at least five percent (5%) above the,mechanism_only,percentage,,,,,"[""5%""]",,,false
WCM-6ab0a74a80b3c830257fa08e,WCRS-d698bc96a52eba2475b1ee94,,,,,,,cola_cpi_indexing,unclear,2025 COLA = 3.6%,mechanism_only,percentage,,,,2025,"[""2025"", ""3.6%""]",,,false
WCM-d8d37b28e665ace2a7af815e,WCRS-e8a50b1b6acb250a7d72720b,,,,,,,other_pay_setting_mechanism,unclear,before any person or agency on his regular day off shall receive a minimum of,claim_ready,table_or_formula,,,,,[],,,false
WCM-9ea2abdfb7ea37028a1c62f8,WCRS-ebf2291be35a5dc606ba62f3,,,,,,,other_pay_setting_mechanism,unclear,Wages shall be paid in accordance with the salary schedules appearing herein as Schedule,claim_ready,annual_salary,,,,,[],,,false
WCM-b00552ffb0b0f85643db9ce9,WCRS-5040c29a4697c476ffca98aa,,,,,,,across_the_board_raise,unclear,3% general wage increase,mechanism_only,percentage,,,,,"[""3%""]",,,false
WCM-c95f6d5edfff5e96bc2fae34,WCRS-e6c525477ce012f147a9fcac,,,,,,,cola_cpi_indexing,unclear,the officer’s next anniversary date the officer will progress to the step commensurate with,mechanism_only,step_schedule,,,,,[],,,false
WCM-3a8b954014a853c3d3c5a16e,WCRS-98ffb6c0a450cade88b18965,,,,,,,non_base_compensation,unclear,"increases from PERS for retirement costs, as a percentage of payroll.",mechanism_only,percentage,,,,,[],,,false
WCM-933dc71e15632eba363a13a9,WCRS-b3e87cce50e4eeff19970793,,,,,,,cola_cpi_indexing,unclear,The year of the step anniversary date changes as the employee moves step to step.,mechanism_only,step_schedule,,,,,[],,,false
WCM-e60dc13dc880fa320fb96bb8,WCRS-46b99cfd05ad983ce5e6a418,,,,,,,cola_cpi_indexing,unclear,"lowest step which provides the employee an increase in the rate of pay of at least three percent (3 %),",mechanism_only,percentage,,,,,"[""3""]",,,false
WCM-7018455c429ce5487f63d2f2,WCRS-2ca2103dd609241c71eda748,,,,,,,cola_cpi_indexing,unclear,shall be paid at the same step in the next higher grade,mechanism_only,step_schedule,,,,,[],,,false
WCM-8ff1f1a9ef56cc5e42070f60,WCRS-0f44765891f24725fe5ab551,,,,,,,cola_cpi_indexing,unclear,prior to their anniversary in order to receive a step advancement.,mechanism_only,step_schedule,,,,,[],,,false
WCM-57086df1a76863b138fce121,WCRS-41942701255eba6f9caeef10,,,,,,,across_the_board_raise,unclear,3% on all pay ranges,mechanism_only,percentage,,,,,"[""3%""]",,,false
