technical_lineage_id,source_span_lineage_id,municipality,state,region,source_family,source_title,source_url,mechanism_class,side,bounded_evidence_excerpt,claim_boundary,compensation_cycle_id,period_start,period_end,period_label,period_source,period_confidence,period_caveats,conflicting_period_flag
WCM-01fdcd9fe2ac485543bd2533,WCRS-5de6b1e59b18a2e8ffb42534,,,,,,,non_base_compensation,unclear,"in number, shall be paid by the City for time spent in negotiations with a",mechanism_only,undated-source-lobs_002c1605061ebac04849affa,,,,source_level_identifier_only,low,missing explicit period,false
WCM-8f2bf1a1b98d40c5bffaf1ab,WCRS-5c38c6fae4818232f9d9019c,,,,,,,retroactivity_implementation,unclear,"retroactive to October 1, 2023.",mechanism_only,2023,2023,2023,2023,bounded_text_or_title_or_source_url,moderate,,false
WCM-ee790a5c94bcd6654f25be52,WCRS-2e3620688d8e92cd1b2d8ed8,,,,,,,retroactivity_implementation,unclear,"Effective the first full pay period following April 1, 2022 members shall receive",mechanism_only,2022,2022,2022,2022,bounded_text_or_title_or_source_url,moderate,,false
WCM-3e0f93422cc9338c697b0876,WCRS-d3cbd24e767ad4813c973226,,,,,,,retroactivity_implementation,unclear,Any pay increase shall be applied with the effective date of the successful completion of the,mechanism_only,undated-source-lobs_01c6e8860b466aa692232fb9,,,,source_level_identifier_only,low,missing explicit period,false
WCM-6bd164503c1ee15633a2c6dd,WCRS-bf10fe13bec34ea881efdf04,,,,,,,retroactivity_implementation,unclear,Individual salary review dates will be,mechanism_only,undated-source-lobs_01cf4dde9a822739e8c3a74b,,,,source_level_identifier_only,low,missing explicit period,false
WCM-a5395ca868fde9bdf50e54a5,WCRS-d079ea8dfee64ec30af7432e,,,,,,,retroactivity_implementation,unclear,"may be adopted after the date of the execution of this Contract, which change increases the",mechanism_only,undated-source-lobs_01d00a56e42bc6a4aef8fda3,,,,source_level_identifier_only,low,missing explicit period,false
WCM-e8282d61be790bed965a74e7,WCRS-8fc10ef3bd85209f0df1240b,,,,,,,cola_cpi_indexing,unclear,in “E” Step after completion of four (4) years of active full -time service.,mechanism_only,undated-source-lobs_01fde53ca68eab05b472dac3,,,,source_level_identifier_only,low,missing explicit period,false
WCM-cd76f2e420975d2c9e923f97,WCRS-0cebba8169a538953f3cf234,,,,,,,retroactivity_implementation,unclear,"Effective January 1, 2026",mechanism_only,2026,2026,2026,2026,bounded_text_or_title_or_source_url,moderate,,false
WCM-573342041c2b7ce8607501bc,WCRS-424b4c62c1ab12264f855502,,,,,,,cola_cpi_indexing,unclear,cost of living adjustment,mechanism_only,undated-source-lobs_0243e0cd2d60f9c9fd4c0959,,,,source_level_identifier_only,low,missing explicit period,false
WCM-db826541af62ea996ab7904e,WCRS-07c1e6eb87e485eec1afdaa2,,,,,,,other_pay_setting_mechanism,unclear,Police Officer and Police Sergeant classifications,claim_ready,undated-source-lobs_028611b71918af6461eeb646,,,,source_level_identifier_only,low,missing explicit period,false
WCM-4349d2c20b4fbb5f43cc824e,WCRS-106f9578110df1d61b86eb2d,,,,,,,across_the_board_raise,unclear,The wage schedule of the CBA is hereby revised as follows:,mechanism_only,undated-source-lobs_02a7433f56918e8ac6df6a76,,,,source_level_identifier_only,low,missing explicit period,false
