qualitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,mechanism_type,bargaining_logic,indexing_formula,comparability_basis,parity_logic,step_progression_rule,eligibility_rule,implementation_rule,fiscal_constraint,reopener_clause,differentiation_logic,bounded_evidence_pointer,confidence,reason_code,qa_status
lobs_ff07f7c2aecad159603f4357,cexrem_7b4d52a81880763a8ae85c85,,doc_6b79b7fff367cc170a3aa876,ttd_9bcb5fe5e443c3717b1b27e7,sr_90b2b7dd9a256d4a1d7200fa,NSCQ-AK-20260720-0026,AK,Kodiak,CITY OF KODIAK,police,cba,,,19,step_movement_or_seniority,,,,,Annual performance evaluations occur approximately one month before the date of each potential merit step increase.,Evaluations are required for regular employees prior to potential merit step increases.,Evaluation must be completed and reviewed with the employee no later than thirty (30) days after the employee’s anniversary date.,,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0028_sr_90b2b7dd9a256d4a1d7200fa.pdf#page=19,medium,MERIT_STEP_INCREASE_TIMING_LINKED_TO_AN_,provisional_unverified
lobs_fff87dba6fdf19a7eec283d2,cexrem_ed66a11a045084e7c067223f,,doc_4cfedd1b271871a2e03f2da8,ttd_46bca05ef946acfe58c1fc3a,sr_f1c1f91cf127870028e6233a,NSCQ-CA-20260720-0025,CA,Anaheim,CITY OF ANAHEIM,fire,cba,,,10,step_movement_or_seniority,,,,,"Regular, full-time employees in the classified service are eligible for merit pay increases based on step progression after required service in the prior step.",To the fifth (5th) step after completion of six (6) months of service in the fourth (4th) step; to the sixth (6th) step after completion of six (6) months of service in the fifth (5th) step.,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0141_sr_f1c1f91cf127870028e6233a.pdf#page=10,high,ART9_9_1_9_1_1_9_1_2_MERIT_PAY_INCREASES,provisional_unverified
lobs_7fd25efac555f0b7d6f45e21,cexrem_a5724468211f889fbfd83ba4,,doc_ef2846790b0144852762a932,ttd_6795bffbc75e8348e4897e73,sr_24d497829fab42d9ce35bd83,NSCQ-CA-20260720-0024,CA,Anaheim,CITY OF ANAHEIM,police,cba,,,9,other,,,,,,APA Board of APA President may take release time for meetings while off from normal work schedule; no loss of pay or benefits is referenced.,"ANAHEIM provides a combined total of up to one thousand (1,000) hours per APA; APA reimburses ANAHEIM on an hour-for-hour basis at the employee’s regular rate of pay for release time hours.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0209_sr_24d497829fab42d9ce35bd83.pdf#page=9,medium,ARTICLE_12_FULL_TIME_RELEASE_ALLOCATION_,provisional_unverified
lobs_25156fe51e2e7ac839a20681,cexrem_a5724468211f889fbfd83ba4,,doc_ef2846790b0144852762a932,ttd_6795bffbc75e8348e4897e73,sr_24d497829fab42d9ce35bd83,NSCQ-CA-20260720-0024,CA,Anaheim,CITY OF ANAHEIM,police,cba,,,10,step_movement_or_seniority,,,,,"Regular, full-time employees are eligible for merit pay increases to specific salary steps based on completion milestones and length of service in prior steps.",Eligibility timing includes: to the third (3rd) step after successful completion of the Police Academy; to the fourth (4th) step after completion of six (6) months in the third (3rd) step; to the fifth (5th) step after six (6) months in the,"Merit pay increases are conditioned on service completion periods at each step (e.g., additional six (6) months in successive steps and one (1) year in the seventh (7th) step for reaching the eighth (8th) step).",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0209_sr_24d497829fab42d9ce35bd83.pdf#page=10,medium,ARTICLE_15_MERIT_PAY_INCREASE_STEP_RULES,provisional_unverified
lobs_bd037795a9de01eb249881d1,cexrem_dc7b0801c438edd76a9405b3,mix_1e4fd14810617fa5efa9092d,doc_bc8e8af8bd5e98fa9b84dea8,ttd_cccd410c5a34fab04ed033b4,sr_d60ff4b9d0901c2fb4aa4110,NSCQ-CA-20260720-0022,CA,Bakersfield,CITY OF BAKERSFIELD,fire,cba,,,8,CPI_or_COLA_indexing,,"increase for all salary ranges equal to the increase in the Consumer Price December preceding the adjustment; regardless of the CPI, the increase shall",,,,,"Effective the pay period including July 1, 2020",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0136_sr_d60ff4b9d0901c2fb4aa4110.pdf#page=8,medium,ARTICLE1_06_1_CPI_BASED_INCREASE_PAYPERI,provisional_unverified
lobs_b9161cebec64043f754b4489,cexrem_dc7b0801c438edd76a9405b3,mix_1e4fd14810617fa5efa9092d,doc_bc8e8af8bd5e98fa9b84dea8,ttd_cccd410c5a34fab04ed033b4,sr_d60ff4b9d0901c2fb4aa4110,NSCQ-CA-20260720-0022,CA,Bakersfield,CITY OF BAKERSFIELD,fire,cba,,,8,implementation_or_effective_date_logic,,,,,,,"Effective the pay period including July 1, 2021 (continuation of CPI-based increase language shown)",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0136_sr_d60ff4b9d0901c2fb4aa4110.pdf#page=8,low,ARTICLE1_06_1_EFFECTIVE_PAYPERIOD_INCL_J,needs_review
lobs_14861bf513159c968b4ed4f1,cexrem_f96568a560c125afaeb3d35f,mix_7fa75fa1bd4be22fe082d879,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,,,4,implementation_or_effective_date_logic,,CPI for all urban consumers in the west region for the 12 months,,,,for all salary ranges in effect for unit classifications,"applies in pay period including July 1, 2020 / July 1, 2021",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0201_sr_90c2fe897b9b2d05ed41e5d2.pdf#page=4,medium,BASE_WAGE_CPI_EFFECTIVE_PAY_PERIOD_RULE,provisional_unverified
lobs_2c9ee96903e3a87d9a0149eb,cexrem_f96568a560c125afaeb3d35f,mix_7fa75fa1bd4be22fe082d879,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,,,4,CPI_or_COLA_indexing,,increase not greater than 2.5% or less than 1% (for the 2020 CPI-based increase),,,,for all salary ranges in effect for unit classifications,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0201_sr_90c2fe897b9b2d05ed41e5d2.pdf#page=4,medium,BASE_WAGE_CPI_CAP_FLOOR_2020,provisional_unverified
lobs_07e6da7b57d0082cf5ef0fb1,cexrem_0d5fa53b153d7e2e6bc9e5e0,mix_e97863440145203680942e89,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,,,8,CPI_or_COLA_indexing,Base pay COLA determined from Riverside County CPI with specified floor/ceiling limits.,Riverside County CPI for January 2025 (and January 2026 for the additional increase).,,,Placement at step equal to or above current pay plus a 1 step increase for officers/corporals/sergeants; does not impact timing of any step increases per 12.2.,"BPOA represented Unit members; grade increases for Officers, Corporals, and Sergeants.","No base wage adjustment in year 1; COLA applies to specified contract periods; retroactive to March 28, 2024 as necessary.",,,"Different grade ranges by classification (Officers, Corporals, Sergeants).",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf#page=8,medium,COLA_AND_GRADE_REALIGNMENT_MECHANICS,provisional_unverified
lobs_af6341fc198f8c497b969ee5,cexrem_6b61dfa45e8a6c081a62b29b,mix_d73d57d455180b55b2b6c937,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,,,5,implementation_or_effective_date_logic,,,,,,,"Base salary consists of the salaries listed in the table for each corresponding level and does not include special compensation defined in Section 571 (e.g., bilingual pay, education pay).",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf#page=5,medium,BASE_SALARY_DEFINITION_EXCLUDES_SPECIAL_,provisional_unverified
