verification_id,candidate_queue_row_id,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,candidate_title,candidate_source_type,candidate_priority,candidate_status_before_verification,verification_status,verification_status_detail,url_reachable,http_status_code,final_url,redirect_detected,redirect_chain_length,content_type,content_length_header,bytes_read,fetch_elapsed_seconds,source_officialness_prelim,employer_match_prelim,source_document_type_prelim,wage_data_signal_prelim,mechanism_language_signal_prelim,duplicate_source_group_id,duplicate_fetch_reused_from_verification_id,artifact_path,error_type,error_message_sanitized,verified_at,verification_round_id,verification_merge_id,verification_merged_at,verification_lane_id,verification_stage
VER-4c85e6d104f266adb03f,NSCQ-DC-20260720-0001,cog_2025_124214,124214,DC,Washington,CITY OF WASHINGTON DC,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/Comp-Unit-3---FOP-MPD-FY18-FY20-Union-FOP-Salary-Schedules.pdf,Comp Unit 3 - FOP MPD FY18-FY20 Union FOP Salary Schedules,wage_schedule_or_compensation_plan,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/Comp-Unit-3---FOP-MPD-FY18-FY20-Union-FOP-Salary-Schedules.pdf,no,0,application/pdf,1695227,1695227,0.290313,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-e60b4d3e85e1842254bd,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-4c85e6d104f266adb03f_response_metadata.json,,,2026-07-24T15:29:44Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-49b9a371abd16333b148,NSCQ-DC-20260720-0004,cog_2025_124214,124214,DC,Washington,CITY OF WASHINGTON DC,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/CBA%20Comp%201-2%20w.%20Union%20Agency%20signatures%20and%20Mayor%20signature%20FY%202022-2025.pdf,Compensation Units One and Two Collective Bargaining Agreement (FY 2022-2025),cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/CBA%20Comp%201-2%20w.%20Union%20Agency%20signatures%20and%20Mayor%20signature%20FY%202022-2025.pdf,no,0,application/pdf,2091313,2091313,0.502229,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-ce1e381944c7979c087d,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-49b9a371abd16333b148_response_metadata.json,,,2026-07-24T15:29:44Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-4b616d6b312ba7a9a999,NSCQ-RI-20260720-0005,cog_2025_112807,112807,RI,Warwick,CITY OF WARWICK,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Warwick-Fire-Local-2748-CBA-Exp-06-30-25.pdf,"Agreement by and Between the City of Warwick and Local 2748, International Association of Fire Fighters (Fire)",cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Warwick-Fire-Local-2748-CBA-Exp-06-30-25.pdf,no,0,application/pdf,2584450,2584450,0.406008,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-e7c2fc3ec3a1525f89ec,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-4b616d6b312ba7a9a999_response_metadata.json,,,2026-07-24T15:29:44Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-f344fae3373d8002f347,NSCQ-RI-20260720-0009,cog_2025_209434,209434,RI,Cranston,CITY OF CRANSTON,https://municipalfinance.ri.gov/documents/contracts/Cranston_GE.pdf,"Collective Bargaining Agreement: City of Cranston and Teamsters Local Union No. 251 (Municipal Employees) for the Term July 1, 2015–June 30, 2018",cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Cranston_GE.pdf,yes,1,application/pdf,9254092,9254092,0.741586,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-0884e413dbb64f64b998,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-f344fae3373d8002f347_response_metadata.json,,,2026-07-24T15:29:45Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-8465da5fe8e6ed9d826f,NSCQ-RI-20260720-0012,cog_2025_174833,174833,RI,Pawtucket,CITY OF PAWTUCKET,https://pawtucketri.gov/wp-content/uploads/2025/01/Signed-1012-Contract-2024_2027.pdf,"CONTRACT BETWEEN R.I. COUNCIL 94, AFSCME, AFL-CIO LOCAL 1012 AND THE CITY OF PAWTUCKET, RHODE ISLAND (Signed 2024–2027)",cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://pawtucketri.gov/wp-content/uploads/2025/01/Signed-1012-Contract-2024_2027.pdf,no,0,application/pdf,1628407,1628407,1.347894,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-2c951f0c8f9652a4372b,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-8465da5fe8e6ed9d826f_response_metadata.json,,,2026-07-24T15:29:45Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-94f9e6a33b576b642517,NSCQ-RI-20260720-0017,cog_2025_134386,134386,RI,Woonsocket,CITY OF WOONSOCKET,https://municipalfinance.ri.gov/documents/contracts/Woonsocket_Police.pdf,"Contract Agreement for July 1, 2014 through June 30, 2019 (City of Woonsocket and International Brotherhood of Police Officers Local Number 404)",cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Woonsocket_Police.pdf,yes,1,application/pdf,3516241,3516241,0.581550,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-ed234959cf7b923d38cc,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-94f9e6a33b576b642517_response_metadata.json,,,2026-07-24T15:29:44Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-4f696c92de1e44994a28,NSCQ-NV-20260720-0001,cog_2025_169987,169987,NV,Henderson,CITY OF HENDERSON,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20Henderson%20and%20HPSA%20Restated.pdf,"LABOR AGREEMENT BETWEEN CITY OF HENDERSON, NEVADA AND HENDERSON POLICE SUPERVISORS ASSOCIATION — JULY 1, 2014 – JUNE 30, 2018 (Amended and Restated on January 17, 2017)",cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20Henderson%20and%20HPSA%20Restated.pdf,no,0,application/pdf,503859,503859,2.916041,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-ac59ed87af7f00955d79,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-4f696c92de1e44994a28_response_metadata.json,,,2026-07-24T15:29:47Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-134d31654316d387a4c4,NSCQ-NV-20260720-0004,cog_2025_169987,169987,NV,Henderson,CITY OF HENDERSON,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/cities/City%20of%20Henderson.Blue%20Collar.July%201%2C%202018%20-%20June%2030%2C%202020.pdf,"City of Henderson Blue Collar — July 1, 2018 – June 30, 2020",cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/cities/City%20of%20Henderson.Blue%20Collar.July%201%2C%202018%20-%20June%2030%2C%202020.pdf,no,0,application/pdf,841823,841823,3.563351,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-73f3ba35e803c2a79be0,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-134d31654316d387a4c4_response_metadata.json,,,2026-07-24T15:29:47Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-6da2bf2d4ca6647a7611,NSCQ-NV-20260720-0009,cog_2025_169993,169993,NV,Reno,CITY OF RENO,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/RPSAE%202019%20to%202022%20Sgt%20CBA.pdf,Agreement Between the City of Reno and the Reno Police Supervisory and Administrative Employees Association Covering Supervisory Employees (RPSAE - Sergeants) (Contract term shown on document),cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/RPSAE%202019%20to%202022%20Sgt%20CBA.pdf,no,0,application/pdf,370552,370552,2.400223,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-930a1431c2acb6d141ac,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-6da2bf2d4ca6647a7611_response_metadata.json,,,2026-07-24T15:29:46Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
VER-7a44ddd62907b22f4536,NSCQ-NV-20260720-0012,cog_2025_169993,169993,NV,Reno,CITY OF RENO,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/FF/IAFF%20Local%20731%202024-2025%20CBA%281%29.pdf,Agreement Between the City of Reno and the Reno Fire Fighters Local 731 International Association of Firefighters (IAFF Local 731),cba,high,scheduled,reachable_pdf_or_document,bounded response metadata captured; content review not performed,yes,200,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/FF/IAFF%20Local%20731%202024-2025%20CBA%281%29.pdf,no,0,application/pdf,1533617,1533617,3.292532,unknown,needs_content_review,pdf_or_document_needs_content_review,unknown,unknown,URL-c5ad9493c8522b75637b,,tmp/verification_rounds/VERIFICATION-SCALE-ROUND1-3X750-2026-07-23/lane_1_live_attempt1/candidate_artifacts/VER-7a44ddd62907b22f4536_response_metadata.json,,,2026-07-24T15:29:48Z,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,VERIFICATION-SCALE-ROUND1-3X750-MERGE-2026-07-24,2026-07-24T15:49:10Z,lane_1,url_reachability_metadata_verified
