candidate_id,lane_id,priority_tier,gap_priority_score,dry_run_status,live_verification_status,document_download_planned,pdf_page_access_planned,source_review_planned,extraction_planned,model_api_planned
TS4L-10b7727bbb7f61fcb277,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-128e7a0428111f26e6a3,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-13dee3ba7e4e39857528,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-365cffc258271b820e47,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-484ebea358aa6b0d2b62,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-73d1b5bca69e01944355,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-7bd655ee6ada527ba900,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-981e8febd93c535638ed,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-b6184bb80ae0cdcc033b,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-ca61ab81e2c619cd71cc,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-dd46931a58eee2740ec4,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-e62cc82dec70a505f9fe,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-e945961ded3b1eece461,lane_2,tier_c,118,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-229c40192f7b422188d1,lane_2,tier_c,116,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-03af93f6e72f25245f4f,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-08a2ba0e867ca7220a48,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-32a6915c23e1d49c1619,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-3edb9bec0890606861c7,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-50abf7cf4763d1fb7c62,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-522da8adaa9096e6c603,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-692f455d86aebcca6e95,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-7f01b9e30858da921459,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-a31ec9b9ab04ea813203,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-e9be4e9e78cc8c986a6c,lane_2,tier_c,115,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-3e8946e43d8ce6d74cd0,lane_2,tier_c,114,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-4e3940d1a1ed7f4ce9a9,lane_2,tier_c,114,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-dcb25fe59e09d3a9618b,lane_2,tier_c,114,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-075f86ddabc2104191ed,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-1470b498a23666a5d9f7,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-1bffd24d6a70cb38780a,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-3a9e3d6a07ff0bc230b0,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-44b2dea6ae849920d97c,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-4548ea4ddc8a52b410dc,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-65d33665a6a527e5953f,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-67d6887c63536ca592cf,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-778b17d3afb706236ce2,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-7c350c5dc3843b6c78ca,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-978bde3cd5edd6521136,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-a350a367348c4e54b42a,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-a42f6644510d9ed7ef76,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-a7b8987d357a24aacb7b,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-b24c326aca69faeff043,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-c5eb7a83c877ae3b978e,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-d302202909f103145580,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-e47e5d714099d20f8f66,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-e8c52902988bb952d414,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-f6b30d1083bc1dfab26f,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-f8f0676caa2dda38919a,lane_2,tier_c,113,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-e2328061683e587b2304,lane_2,tier_c,112,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-5a7f3ba4733f2f8fd3aa,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-736b9e1ddb8caeb3d436,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-87f79f5040f21023d8d8,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-bb543fd098f10086649a,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-c0ee8e56ae4ea60b672f,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-c2506387585ad72ea671,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-ddd25a195b04435fe63c,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-eed936bd9234936fcade,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-f66d025da77c732069af,lane_2,tier_c,111,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-3d658f09d33d25ffc2ec,lane_2,tier_c,110,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-4736ad5ffea15095127b,lane_2,tier_c,110,ready_for_bounded_head_verification,not_started,no,no,no,no,no
TS4L-85eb57ad62cb37b515b5,lane_2,tier_c,110,ready_for_bounded_head_verification,not_started,no,no,no,no,no
