state,municipality,derived_region,unit_type,contract_or_document_period,queue_count,verified_source_lead_count,mechanism_families,coverage_status
AL,Alabaster,South,safety_and_non_safety_bargaining_units,2014-2024 (archive item; period not specified in locator),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
AL,Alabaster,South,safety_and_non_safety_bargaining_units,2014-2024 (attachment published/available within municipal meeting system timeframe; exact labor cycle not specified in locator),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
AL,Alabaster,South,safety_and_non_safety_bargaining_units,2014-2024 (document index; period not specified in locator),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
AL,Cullman,South,non_safety_municipal_units,"FY2021 budget cycle / pay period beginning October 1, 2021 (inferred from council-style “effective pay period beginning” language)",1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AL,Cullman,South,non_safety_municipal_units,"Pay plan effective October 1, 2022 (inferred from minutes reference to “become effective for the pay period beginning October 1st, 2022”)",1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AL,Cullman,South,non_safety_municipal_units,"Pay plan effective October 1, 2023 (inferred from council-style “effective on the 1st day of October” / “pay period” language)",1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AL,Fairhope,South,non_safety_municipal_units,2019 budget (explicitly describes compensation/merit pool and promotions),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AL,Fairhope,South,non_safety_municipal_units,Resolution adopted 04 March 2022 (mentions Compensation and Job Classification Plan + Grade Order Sheet and grade of pay for positions),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AL,Hartselle,South,safety_and_non_safety_compensation_units,(page states) Current Pay Plan as of October 2025 (not a 2014-2024 dated series on-page),1,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Jacksonville,South,safety_and_non_safety_compensation_units,2014-2024 target window,2,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Millbrook,South,safety_and_non_safety_compensation_units,document dated/published 2019-08 (benefits summary; compensation-related terms may be referenced indirectly),1,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Millbrook,South,safety_and_non_safety_compensation_units,index page containing agenda entries (includes an example: “RESOLUTION 26-38 Amending Resolution 14-01. Personnel Policy.”),1,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Mountain Brook,South,non_safety_municipal_units,"fiscal year ended September 30, 2016 (document includes longevity pay plan provisions referencing 2016 and 2015)",1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AL,Prichard,South,non_safety_municipal_units,2014-2024 (document contains jurisdiction-effective entries; Prichard non-public safety referenced for specific effective dates),1,1,fiscal_constraint_signal,verified_locator_metadata_only
AR,Bryant,South,non_safety_municipal_units,2018 budget book (target window: 2014-2024),1,1,fiscal_constraint_signal,verified_locator_metadata_only
AR,Bryant,South,non_safety_municipal_units,2019 budget book (target window: 2014-2024),1,1,fiscal_constraint_signal,verified_locator_metadata_only
AR,Bryant,South,non_safety_municipal_units,2020 budget book (target window: 2014-2024),1,1,fiscal_constraint_signal,verified_locator_metadata_only
AR,El Dorado,South,safety_and_non_safety_compensation_units,2014-2024 (searchable archive; exact document years need follow-up),1,1,market_or_comparability_pressure,verified_locator_metadata_only
AR,El Dorado,South,safety_and_non_safety_compensation_units,2019-02-26 publication (pay raise ordinance context; exact effective dates need follow-up),1,1,market_or_comparability_pressure,verified_locator_metadata_only
AR,Hot Springs,South,non_safety_comparator,"2024-2025 (""24.25"" in title/locator)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
AR,Hot Springs,South,non_safety_comparator,"2024-2025 school year (listed as Classified Salary Schedules, 2024-2025)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
AR,North Little Rock,South,non_safety_comparator,"Effective Jan 1, 2016 through Dec 31, 2016; then auto-renew unless modified/terminated with 60 days notice (per document language)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
AR,Siloam Springs,South,non_safety_municipal_units,2015 (budget year),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AR,Siloam Springs,South,non_safety_municipal_units,2016 (budget year; workbook includes personnel schedule tables),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AR,Siloam Springs,South,non_safety_municipal_units,2024 (budget year),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AR,Van Buren,South,non_safety_municipal_units,2019 Budget (fiscal-year framing in budget document),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AR,Van Buren,South,non_safety_municipal_units,2022-2023 Budget (resolution dated 12-08-2022; proposed budget worksheet referencing 2023),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AR,Van Buren,South,non_safety_municipal_units,"Ongoing code provisions; includes ordinance updates such as Ord. No. 13-2024 (May 28, 2024) referenced within compensation sections",1,1,fiscal_constraint_signal,verified_locator_metadata_only
