candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,candidate_only_lineage_status,review_candidate_quality_score,review_queue_rank,secondary_mechanism_families,match_priority_tier,review_disposition
TS4L-10b7727bbb7f61fcb277,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.townofglenville.gov/sites/g/files/vyhlif3161/f/minutes/tobminutes2.14.18special.pdf,"Town Board Minutes (Special) 2/14/2018 — Resolution approving GPBA MOA (Jan 1, 2017–Dec 31, 2021)",Glenville,NY,Northeast,safety_and_non_safety_bargaining_units,Police (GPBA / police benevolent association),Glenville Police Benevolent Association (GPBA),"Jan 1, 2017 through Dec 31, 2021",2017-01-01,2021-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,candidate_only_not_verified,86,842,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-128e7a0428111f26e6a3,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/NJ%20PERC%20Synopses%202014.01.30.pdf,"NJ PERC Synopses 30 January, 2014 (includes P.E.R.C. No. 2014-52: Manchester Township)",Manchester,NJ,Northeast,safety_and_non_safety_bargaining_units,office_and_professional,"Office and Professional Employees International Union, Local 32",2013-2014 (arbitration-related grievance; synopsis dated 2014-01-30),,,cba_or_arbitration_award_or_factfinding_or_impasse_record (restraint of binding grievance arbitration synopsis),strike_or_no_strike_constraint,Manchester (same municipality name match),within expected 2014-2024 window (by document date),candidate_only_not_verified,86,843,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-13dee3ba7e4e39857528,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/2022.05.26%20Synopsis.pdf,P.E.R.C. Synopsis (Township of Mount Olive; FOP Lodge 122) — 2022-05-26,Mount Olive,NJ,Northeast,safety_and_non_safety_bargaining_units,Police (FOP Lodge 122),FOP Lodge 122,Not specified in lead (PERC synopsis PDF dated 2022-05-26; Docket No. SN-2022-022),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,unknown_overlap_with_2014_2024_target_window,candidate_only_not_verified,86,844,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-365cffc258271b820e47,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.teanecknj.gov/media/ansnjh20/afscme-agreememt-2022-2026-signed.pdf,AFSCME Agreement 2022-2026 (Signed) (Teaneck Township),Teaneck,NJ,Northeast,safety_and_non_safety_bargaining_units,Non-safety public employees (AFSCME unit—needs specific sub-unit confirmation),AFSCME (Teaneck unit—specific local/department not confirmed from locator alone),2022-2026,2022-01-01,2026-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_teaneck_match,overlaps_target_window_2014_2024,candidate_only_not_verified,86,849,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-484ebea358aa6b0d2b62,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Johnston-Police-CBA-Exp-6-30-2022.pdf,Johnston-Police-CBA-Exp-6-30-2022.pdf (Rhode Island Division of Municipal Finance: Contracts),Johnston,RI,Northeast,safety_and_non_safety_bargaining_units,safety (police),Johnston Police bargaining unit (union/cba identified in document),Expires 06/30/2022 (CBA period in document),2019-07-01,2022-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,candidate_only_not_verified,86,857,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-73d1b5bca69e01944355,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.townofrotterdam.gov/download_file/db6409e3-21d2-41ff-81cd-3def80cf6b86/718,"Town of Rotterdam, NY Notes to Financial Statements (Union Contracts) (Dec. 31, 2022)",Rotterdam,NY,Northeast,safety_and_non_safety_bargaining_units,Public safety + non-safety (union contract expiration table),Rotterdam Patrolmen’s Benevolent Association; CSEA Local 1000 (Rotterdam Unit #8504),Union contracts table listing contract expiration dates (CSEA and PBA) and noting police/CSEA contracts not approved until Oct 2023,unknown_from_lead,2023-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same-municipality_match_expected,overlaps_expected_window_2014_2024,candidate_only_not_verified,86,870,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-7bd655ee6ada527ba900,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.montclairnjusa.org/files/sharedassets/public/v/1/government/departments/finance-and-taxes/documents/cwa-non-supervisory-2020-2026.pdf,Agreement (CWA Non-Supervisory) — Township of Montclair — 2020–2026 (collective negotiation agreement PDF),Montclair,NJ,Northeast,safety_and_non_safety_bargaining_units,Non-supervisory municipal employees (CWA bargaining unit),Communications Workers of America (CWA) — Non-Supervisory unit (as labeled in PDF),2020-2026,2020,2026,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Same city (Montclair Township) implied by document title/logo/host site,Overlaps target window (2020-2024 within 2014-2024),candidate_only_not_verified,86,873,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-981e8febd93c535638ed,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.mass.gov/doc/jlmc-meeting-minutes-5-9-2024/download,"JLMC Meeting Minutes (May 9, 2024) — Dartmouth Police (JLM-23-10011) item listed",Dartmouth,MA,Northeast,safety_and_non_safety_bargaining_units,public safety (police),Dartmouth Police (JLM-23-10011; union name not provided in lead snippet),2024-05-09 (meeting minutes; specific contract/award period not provided in lead),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality (Dartmouth, MA)",within target window (2014–2024) based on meeting date,candidate_only_not_verified,86,884,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-b6184bb80ae0cdcc033b,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.newmilford.org/filestorage/7526/19046/24427/24429/Nutmeg_Employees_Union_Contract_2023-27_Final.pdf,Town of New Milford Nutmeg Employees Union Contract 2023-2027 (Final) — collective bargaining agreement,New Milford,CT,Northeast,safety_and_non_safety_bargaining_units,"Town library supervisors / local town unit (non-safety, per agreement recognition)",Nutmeg Employees Union (Town of New Milford Nutmeg Employees Association),"July 1, 2023 – June 30, 2027",2023,2024,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match_expected,overlaps_target_window_(2014-2024),candidate_only_not_verified,86,897,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-ca61ab81e2c619cd71cc,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2025/falls-twp-pf-c-23-68-e.pdf,"Commonwealth of Pennsylvania PA Labor Relations Board — Proposed Decision and Order: Falls Township Police Association v. Falls Township (Bucks), Case No. PF-C-23-68-E (mentions Jan. 5, 2022 arbitration award)",Falls,PA,Northeast,safety_and_non_safety_bargaining_units,police (Act 111),Falls Township Police Association,"references January 5, 2022 arbitration award (successor/dispute context tied to 2022); hearing/charge filed July 28, 2023",,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality (Falls Township, Bucks County, PA)","overlaps 2014-2024 (award dated Jan. 5, 2022)",candidate_only_not_verified,86,904,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
