candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_region,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,content_type_hint,download_status,extraction_status,rating_status,causal_status,verification_timestamp,notes
TS4L-73d1b5bca69e01944355,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.townofrotterdam.gov/download_file/db6409e3-21d2-41ff-81cd-3def80cf6b86/718,"Town of Rotterdam, NY Notes to Financial Statements (Union Contracts) (Dec. 31, 2022)",Rotterdam,NY,Northeast,safety_and_non_safety_bargaining_units,Public safety + non-safety (union contract expiration table),Rotterdam Patrolmen’s Benevolent Association; CSEA Local 1000 (Rotterdam Unit #8504),Union contracts table listing contract expiration dates (CSEA and PBA) and noting police/CSEA contracts not approved until Oct 2023,unknown_from_lead,2023-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same-municipality_match_expected,overlaps_expected_window_2014_2024,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.863; identity_score=13; final_locator_hash=076eca217764cc296d59; no body or raw headers retained.
TS4L-c0ee8e56ae4ea60b672f,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2012/documents/pf10-7499.pdf,Commonwealth of Pennsylvania PA Labor Relations Board — Proposed Decision and Order: Police Association of Falls Township v. Falls Township (PF-C-10-74-E / PF-C-10-99-E),Falls,PA,Northeast,safety_and_non_safety_bargaining_units,police (Act 111),Police Association of Falls Township,"2010-era unfair labor practice proceedings (May 10, 2010 charge; proposed decision/order document)",,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality (Falls Township, Bucks County, PA)","outside 2014-2024 (document appears 2010), but may still be useful to trace later arbitration/impasse history within the same municipality/unit",wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:08Z,HEAD only; attempts=1; elapsed_seconds=0.242; identity_score=13; final_locator_hash=15d45f070888c4eb81a6; no body or raw headers retained.
TS4L-ddd25a195b04435fe63c,lane_2,tier_c,verification_ready_low,111,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/NJ_PERC_Synopses_2012.09.27.pdf,"NJ PERC Synopses (27 September 2012) — Township of South Brunswick / AFSCME Council 73, Local 2242 (P.E.R.C. NO. 2013-23)",South Brunswick,NJ,Northeast,safety_and_non_safety_bargaining_units,AFSCME public employees (non-safety likely),"AFSCME Council 73, Local 2242",2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,yes_same_municipality,uncertain_outside_2014_2024,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:08Z,HEAD only; attempts=1; elapsed_seconds=0.084; identity_score=13; final_locator_hash=e1c35c37108287d87107; no body or raw headers retained.
TS4L-4736ad5ffea15095127b,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0017.pdf,"Collective Bargaining Agreement — City of Franklin & Franklin Law Enforcement Association (Lieutenants, Sergeants, Patrol Officers and Dispatchers) (SERB Case Numbers incl. 20-MED-01-0017/0018/0019/0020)",Franklin,OH,Midwest,safety_and_non_safety_bargaining_units,Public safety (law enforcement),"Franklin Law Enforcement Association (FLEA) — Lieutenants, Sergeants, Patrol Officers and Dispatchers","Effective January 1, 2021 through June 30, 2023 (per document header)",2021-01-01,2023-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlapping_with_2014_2024_target_window,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:08Z,HEAD only; attempts=1; elapsed_seconds=0.255; identity_score=13; final_locator_hash=9115bc8649980462beaa; no body or raw headers retained.
TS4L-86a9d88bce31d2aa7e5f,lane_2,tier_c,verification_ready_medium,110,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://elrb.illinois.gov/content/dam/soi/en/web/elrb/documents/decisions/2025/Wooten%20Bremen%20CHSD228%202025-CA-0012-C.pdf,"Illinois Educational Labor Relations Board — Wooten / Bremen Community High School Dist. 228, Case No. 2025-CA-0012-C (Opinion and Order)",Bremen,IL,Midwest,safety_and_non_safety_bargaining_units,educational employee (union-related dispute; not specified as safety),Bremen Community High School Dist. 228 bargaining representation unit (implied by IELRB charge context),"unfair labor practice charge with events in 2024 (filed Aug 22, 2024; meeting March 7, 2024)",2024-03-07,2024-08-22,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same municipality name match (Bremen Community High School District 228 in Bremen, IL)",overlaps target window (events in 2024 within 2014-2024),wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:08Z,HEAD only; attempts=1; elapsed_seconds=0.215; identity_score=13; final_locator_hash=01520cdc2c98615b4906; no body or raw headers retained.
TS4L-696ddd234716a5689990,lane_2,tier_c,verification_ready_medium,106,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-10-1225.pdf,"Collective Bargaining Agreement (SERB/Ohio Public Sector) — Delhi Township Professional Fire Fighters - Local 3389, IAFF (Contract PDF)",Delhi,OH,Midwest,safety_and_non_safety_bargaining_units,Firefighters / Public Safety (IAFF),"Delhi Township Professional Fire Fighters - Local 3389, IAFF",Contract dated 1st day of January 2017 (URL indicates 16-MED-10-1225),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same_city_inferred_from_party_name_(""Delhi Township"")",unknown,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:19Z,HEAD only; attempts=1; elapsed_seconds=0.191; identity_score=13; final_locator_hash=92095e3aa82458e5331b; no body or raw headers retained.
TS4L-8ed5a02eec9cb06d7fe6,lane_2,tier_c,verification_ready_medium,106,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|cycle_metadata_value,https://www.pa.gov/content/dam/copapwp-pagov/en/dli/documents/individuals/labor-management-relations/plrb/proposed/2019/documents/warminster-twp-pf-c-16-39-e.pdf,"COMMONWEALTH OF PENNSYLVANIA — Pennsylvania Labor Relations Board (Proposed Decision and Order): WARMINSTER TOWNSHIP POLICE BENEVOLENT ASSOCIATION v. WARMINSTER TOWNSHIP, Case No. PF-C-16-39-E",Warminster,PA,Northeast,safety_and_non_safety_bargaining_units,police,Warminster Township Police Benevolent Association bargaining unit,"unfair labor practice charge filed Apr 14, 2016; allegations between Mar 4 and Mar 6, 2016 (from document heading/summary)",2016,2016,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Warminster, PA matched (document is expressly about Warminster Township)",overlaps target window (2014-2024),wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:19Z,HEAD only; attempts=1; elapsed_seconds=0.37; identity_score=13; final_locator_hash=630d4e9d8d226eb4699e; no body or raw headers retained.
TS4L-d88d0dacf2f4c38aafdd,lane_2,tier_c,verification_ready_medium,106,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|cycle_metadata_value,https://www.lmt.org/media/5378/011525-bos-agenda.pdf,Lower Makefield Township — 1/15/2025 BOS Agenda (authorizes collective bargaining agreement execution; public works employees referenced),Lower Makefield,PA,Northeast,safety_and_non_safety_bargaining_units,non-safety (public works) bargaining unit lead,Independent Association of Lower Makefield Township Public Works Employees,Not within 2014–2024 on the agenda item itself (execution referenced; use as lead to locate prior agreements in 2014–2024),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Lower Makefield match (explicitly referenced),Not directly overlapping the 2014–2024 window (included as a lead for locating earlier public-works CBA terms/constraints),wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:19Z,HEAD only; attempts=1; elapsed_seconds=0.13; identity_score=13; final_locator_hash=94c88acf35a5bcadd09d; no body or raw headers retained.
TS4L-43f94dd960c0e4017308,lane_2,tier_c,verification_ready_medium,105,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|cycle_metadata_value,https://offit.gjassets.com/content/uploads/2024/01/Bristol-Press-Release-FOP-Incident-.pdf,Bristol Township press release PDF: Dismissals/Suspensions of Six Police Officers Upheld (mentions AAA grievance arbitration award/decision upholding discipline),Bristol,PA,Northeast,safety_and_non_safety_bargaining_units,police (grievance arbitration; public safety),Bristol Township police union referenced as PBA (Bargaining agent in arbitration context),2020 (June 2020 disciplinary action; arbitration upheld in hearings described in PDF),2020,2020,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,exact_city_target_match,within_2014_2024_target_window,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:19Z,HEAD only; attempts=1; elapsed_seconds=0.219; identity_score=13; final_locator_hash=19c7e921584e9ebf268e; no body or raw headers retained.
TS4L-7ac8d7555afaa7225722,lane_2,tier_c,verification_ready_medium,105,memo_gap_strike_or_no_strike_constraint|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://cityofnewalbany.com/wp-content/uploads/2022/04/011515_ccmin.pdf,New Albany (IN) Common Council minutes (011515) — discussion referencing arbitration and FOP,New Albany,IN,Midwest,safety_and_non_safety_bargaining_units,Police (FOP),Fraternal Order of Police (FOP) (referenced in minutes; lodge name not specified in lead),2015-01-05 council meeting (minutes document; CBA period not specified in lead),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlapping_with_target_window,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:19Z,HEAD only; attempts=1; elapsed_seconds=0.253; identity_score=13; final_locator_hash=851e1505f923e3dc7c09; no body or raw headers retained.
