candidate_id,lane_id,priority_tier,quality_label,target_mechanism_family,state,derived_region,unit_type,gap_priority_score,gap_priority_reason,selected_for_verification
TS4L-0ba23a628735da584544,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,MO,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-1fa0df5acd3f57e78df3,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-24ecf76a5bcf2d5dd5b3,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,ID,West,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-2b5349fb01f8a9fecd15,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OK,South,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-2ccd244d025dee4872f6,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-3510d6909467d5019c81,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-3cb03647131a45ef179a,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,FL,South,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-4dbde441e54ef876df75,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OK,South,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-57b2637d6eb09a088604,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,ME,Northeast,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-6765c128bae5e0d678b2,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,TN,South,non_safety_comparator,159,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-70847458f048ea226ddb,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-767258d761b0ce814b98,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-776a4dea18cd69f12e3e,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-8242a4ed1ee11c1d629d,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,ME,Northeast,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-82574b96344db64cc391,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,NY,Northeast,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-82bb898950b98e447a0d,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,AR,South,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-8580d57be2bf623c3238,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-8aa7fe920c90c171f6c4,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,PA,Northeast,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-8bb6a332cb536a14f2ad,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,MN,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-a297a95b59f764012473,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,OH,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-a2a9fd560224156ae93e,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,IL,Midwest,non_safety_comparator,141,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-ad2031c2a7671c16a12b,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,MA,Northeast,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
TS4L-ad680f542b37a3da90d6,lane_1,tier_c,verification_ready_medium,non_safety_constraint_signal,ME,Northeast,non_safety_comparator,149,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,true
