span_extraction_id,stage,attempt,started_at,elapsed_seconds,status
SPAN378-6cc0a3e86df2b44fe6404503,preflight,1,2026-07-27T16:37:31.040043+00:00,5.871265,success
SPAN378-5eb472299ae76c66a50de814,preflight,1,2026-07-27T16:37:31.292400+00:00,5.589625,success
SPAN378-893b9d47b6c913068ebd6f1e,preflight,1,2026-07-27T16:37:31.292424+00:00,4.527755,success
SPAN378-1ff1e334ec7a978e2bfe6291,preflight,1,2026-07-27T16:37:31.292433+00:00,6.581192,success
SPAN378-7326cf0f3e7d16938fd8c47c,preflight,1,2026-07-27T16:37:31.292438+00:00,9.685750,success
SPAN378-20f726015ee3980345096877,preflight,1,2026-07-27T16:37:31.292443+00:00,8.738749,success
SPAN378-fc02d91ca9b3539c2a1ce0b1,preflight,1,2026-07-27T16:37:31.292446+00:00,9.506641,success
SPAN378-a6b50e8e07a2f56014a7d302,preflight,1,2026-07-27T16:37:31.292450+00:00,12.958486,success
SPAN378-1ff1e334ec7a978e2bfe6291,preflight,2,2026-07-27T16:37:44.262090+00:00,2.240122,success
SPAN378-20f726015ee3980345096877,preflight,2,2026-07-27T16:37:44.262228+00:00,3.397690,success
SPAN378-fc02d91ca9b3539c2a1ce0b1,preflight,2,2026-07-27T16:37:44.262258+00:00,4.363187,success
SPAN378-20f726015ee3980345096877,preflight_repair,1,2026-07-27T16:38:31.500460+00:00,4.576806,success
SPAN378-88ccbda7b400659b57c108f7,live,1,2026-07-27T16:39:04.280756+00:00,2.960652,success
SPAN378-237ab0c03cb70ed8e448fe99,live,1,2026-07-27T16:39:04.461626+00:00,2.717813,success
SPAN378-20f726015ee3980345096877,live,1,2026-07-27T16:39:04.461645+00:00,3.873510,success
SPAN378-2cc854178f9901dbc674f03f,live,1,2026-07-27T16:39:04.461653+00:00,2.600674,success
SPAN378-b578c879e0cfff4eb2dbda2d,live,1,2026-07-27T16:39:04.461659+00:00,6.141477,success
SPAN378-33572038174a8df0f0ec0246,live,1,2026-07-27T16:39:04.461666+00:00,7.461977,success
SPAN378-075c1c99f62b85ffeaef73a9,live,1,2026-07-27T16:39:04.461668+00:00,7.268851,success
SPAN378-b53aed700e031ce6641c620d,live,1,2026-07-27T16:39:04.461672+00:00,7.883187,success
SPAN378-7326cf0f3e7d16938fd8c47c,live,1,2026-07-27T16:39:04.461676+00:00,8.474459,success
SPAN378-f88403ba6a15a362e5114cd4,live,1,2026-07-27T16:39:04.461678+00:00,11.773940,success
SPAN378-035913c41217400b980cae59,live,1,2026-07-27T16:39:04.461679+00:00,9.765181,success
SPAN378-dd0270df7b07cce7e56daf3f,live,1,2026-07-27T16:39:04.461681+00:00,11.055753,success
SPAN378-e80a2291139775436be8d0aa,live,1,2026-07-27T16:39:04.461683+00:00,12.183776,success
SPAN378-df7119d45f87d0ef13a54786,live,1,2026-07-27T16:39:04.461684+00:00,13.821079,success
SPAN378-cf71758c30d33afa8edc3b9b,live,1,2026-07-27T16:39:04.461685+00:00,13.413092,success
SPAN378-aa2363d7a98cebbf5dff213b,live,1,2026-07-27T16:39:04.461687+00:00,14.559066,success
SPAN378-a2c0a7a0e8f2f374f02e1c1d,live,1,2026-07-27T16:39:04.461688+00:00,16.899177,success
SPAN378-9940326b36c51b04508418e4,live,1,2026-07-27T16:39:04.461689+00:00,17.136126,success
SPAN378-0e9cc46754b6eb814bce325a,live,1,2026-07-27T16:39:04.461691+00:00,16.826270,success
SPAN378-1a38a1f7027770f688d03555,live,1,2026-07-27T16:39:04.461692+00:00,20.378283,success
SPAN378-aa01dfcfb5c08403c0f293ff,live,1,2026-07-27T16:39:04.461693+00:00,19.352401,success
SPAN378-e84cc8d31096946af745812b,live,1,2026-07-27T16:39:04.461694+00:00,19.443559,success
SPAN378-1a9faaf668316343949293a3,live,1,2026-07-27T16:39:04.461696+00:00,19.292292,success
SPAN378-4ea61bffa32b2a0d7b3aa5b7,live,1,2026-07-27T16:39:04.461697+00:00,22.118263,success
SPAN378-55eba783a20307ae7c5095cf,live,1,2026-07-27T16:39:04.461698+00:00,22.834241,success
SPAN378-b53aed700e031ce6641c620d,live,2,2026-07-27T16:39:27.310822+00:00,3.571676,success
SPAN378-f88403ba6a15a362e5114cd4,live,2,2026-07-27T16:39:27.310987+00:00,2.853361,success
SPAN378-df7119d45f87d0ef13a54786,live,2,2026-07-27T16:39:27.311008+00:00,2.354095,success
SPAN378-9940326b36c51b04508418e4,live,2,2026-07-27T16:39:27.311025+00:00,3.624650,success
SPAN378-6a2a7910ecab67f8fda95f0f,live,1,2026-07-27T16:39:30.946189+00:00,3.222411,success
SPAN378-794b866af6e356484971c226,live,1,2026-07-27T16:39:30.946249+00:00,3.006979,success
SPAN378-123750d0f665642c8040e4b8,live,1,2026-07-27T16:39:30.946266+00:00,4.271977,success
SPAN378-c04160bdce2f91e471ca5db4,live,1,2026-07-27T16:39:30.946281+00:00,4.902835,success
SPAN378-0ab118aecd740b70c50a77b7,live,1,2026-07-27T16:39:30.946294+00:00,5.362907,success
SPAN378-ac6197b1915c28b9f2042d8b,live,1,2026-07-27T16:39:30.946301+00:00,5.402930,success
SPAN378-58072164fe44d6ce367e3dd5,live,1,2026-07-27T16:39:30.946305+00:00,6.783379,success
SPAN378-47134ebb958177e96c86c9e8,live,1,2026-07-27T16:39:30.946307+00:00,7.473594,success
SPAN378-258cf408e0e9938e86f17d82,live,1,2026-07-27T16:39:30.946310+00:00,7.757337,success
SPAN378-456327310626aa0812bfe43f,live,1,2026-07-27T16:39:30.946313+00:00,8.059437,success
SPAN378-e74e144cdfe21b499f9ea718,live,1,2026-07-27T16:39:30.946316+00:00,9.663901,success
SPAN378-877eafeccb76d7a9248a3f1e,live,1,2026-07-27T16:39:30.946318+00:00,9.853297,success
SPAN378-12554327a199b5ab9ca1c74d,live,1,2026-07-27T16:39:30.946321+00:00,11.308813,success
SPAN378-58946efe38f48825b5a130aa,live,1,2026-07-27T16:39:30.946324+00:00,10.582652,success
SPAN378-7be7fb702df42f7fb6f301c4,live,1,2026-07-27T16:39:30.946327+00:00,12.835460,success
SPAN378-f110768961ddf3becc0a2c03,live,1,2026-07-27T16:39:30.946330+00:00,12.712725,success
SPAN378-50cec1e5ba8db547a7bbddc5,live,1,2026-07-27T16:39:30.946332+00:00,14.576192,success
SPAN378-f7b4a3d60dc82161e1ef10ff,live,1,2026-07-27T16:39:30.946335+00:00,13.759849,success
SPAN378-da87217b9df31947cd90311a,live,1,2026-07-27T16:39:30.946337+00:00,15.190394,success
SPAN378-9102fe021d831feb2e7e713c,live,1,2026-07-27T16:39:30.946341+00:00,15.498415,success
SPAN378-40a9f104b171aa0bfe53880a,live,1,2026-07-27T16:39:30.946343+00:00,16.528970,success
SPAN378-4a2af2088efb40cb1b17eb14,live,1,2026-07-27T16:39:30.946345+00:00,17.038265,success
SPAN378-4c774c23fcdc2dbe4053319c,live,1,2026-07-27T16:39:30.946347+00:00,17.611670,success
SPAN378-5eb472299ae76c66a50de814,live,1,2026-07-27T16:39:30.946350+00:00,26.010955,success
SPAN378-3fcd781b4e7d70d94374a298,live,1,2026-07-27T16:39:30.946352+00:00,18.784645,success
SPAN378-47134ebb958177e96c86c9e8,live,2,2026-07-27T16:39:56.969699+00:00,3.210870,success
SPAN378-258cf408e0e9938e86f17d82,live,2,2026-07-27T16:39:56.969803+00:00,4.994339,success
SPAN378-e74e144cdfe21b499f9ea718,live,2,2026-07-27T16:39:56.969823+00:00,4.530624,success
SPAN378-58946efe38f48825b5a130aa,live,2,2026-07-27T16:39:56.969837+00:00,4.221737,success
SPAN378-50cec1e5ba8db547a7bbddc5,live,2,2026-07-27T16:39:56.969853+00:00,5.860939,success
