span_extraction_id,candidate_id,lane_id,target_mechanism_family,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved
SPAN378-b53aed700e031ce6641c620d,TS4L-82bb898950b98e447a0d,lane_1,non_safety_constraint_signal,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-9940326b36c51b04508418e4,TS4L-afa05c440788c7a436b5,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-47134ebb958177e96c86c9e8,TS4L-0c6ddde88e4816eecb2e,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-258cf408e0e9938e86f17d82,TS4L-0c6ddde88e4816eecb2e,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-e74e144cdfe21b499f9ea718,TS4L-61fa8c42d7b67e446075,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-50cec1e5ba8db547a7bbddc5,TS4L-dbe8fa9089712456c5d5,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-61572c2e46d0c5ab46b04329,TS4L-76c7c936d87bc5bdb024,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-fc5bab73413a9278cdb0dfb0,TS4L-50ad524a992fcb4a3da4,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-8463881a7b952994869a20b4,TS4L-50ad524a992fcb4a3da4,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-bfd3b833223807b6fb8e7e68,TS4L-6ea2b659933613064b0f,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-6cc0a3e86df2b44fe6404503,TS4L-2b7d774f062793ab2985,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-5ee7677c20e1a22d435157d6,TS4L-2b7d774f062793ab2985,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-2fe39d71ecd88d5aff1774e9,TS4L-c45efd5de8ba91f730fc,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-2095d657ec07c19b7d307bed,TS4L-a00eba67d249cd9411ab,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-56010fdd24bcee0ce2419058,TS4L-a00eba67d249cd9411ab,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-113c9ee828a554f3cb07c411,TS4L-8d289eba35a26bc3994b,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-31b10da2eda1d6160b04a230,TS4L-716235bb0d41ff8aecfa,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-a056349a688ccf16cc5b3995,TS4L-f1e04052c86466686159,lane_2,strike_or_no_strike_constraint,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
SPAN378-63b5f6aa6f6e67e5899f216d,TS4L-2639965333dc4cc67f52,lane_4,market_or_comparability_pressure,live,2,success,StrictValidationError,quote_not_exact_span_substring,persistent_transport_or_strict_schema_failure,false,false
