span_extraction_id,stage,attempt,request_id,backend,model,status,schema_valid,input_chars,span_chars,context_chars,input_tokens,output_tokens,total_tokens,elapsed_seconds,error_type,error_code,raw_prompt_saved,raw_response_saved
SPAN378-6cc0a3e86df2b44fe6404503,preflight,1,resp_09da006fb7b09287006a67894e1708819589adfcd8bf2cd789,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1716,90,320,696,286,982,5.871265,,,false,false
SPAN378-5eb472299ae76c66a50de814,preflight,1,resp_09f5afc91fcf3b9c006a67894e160881949c7f8b9de50a0052,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2518,892,320,857,266,1123,5.589625,,,false,false
SPAN378-893b9d47b6c913068ebd6f1e,preflight,1,resp_0e923be53a56a2e9006a67894ddf808197923274e7f80778dc,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1751,111,320,684,194,878,4.527755,,,false,false
SPAN378-1ff1e334ec7a978e2bfe6291,preflight,1,resp_04cff5b680690dd1006a67895012508195894e43837c929b76,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2522,882,320,853,188,1041,6.581192,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN378-7326cf0f3e7d16938fd8c47c,preflight,1,resp_0d16eee39c7517fe006a6789511ba881939eb03f2e049e3b0a,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,1779,112,320,700,255,955,9.685750,,,false,false
SPAN378-20f726015ee3980345096877,preflight,1,resp_0cfcbdacfc772194006a6789511fe48195b1d8ae4b7160b5b4,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2395,728,320,777,341,1118,8.738749,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN378-fc02d91ca9b3539c2a1ce0b1,preflight,1,resp_026743d259d15277006a6789521eb4819088baeea7cf961846,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,1968,336,320,743,280,1023,9.506641,StrictValidationError,quote_not_exact_span_substring,false,false
SPAN378-a6b50e8e07a2f56014a7d302,preflight,1,resp_0c8f11a65edf9bf9006a678954506c8194be12f4825185adf2,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2015,383,320,760,224,984,12.958486,,,false,false
SPAN378-1ff1e334ec7a978e2bfe6291,preflight,2,resp_049c873e208855e0006a678958a6cc8195a6e7c712a0e0d0f5,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,true,2655,882,320,879,192,1071,2.240122,,,false,false
SPAN378-20f726015ee3980345096877,preflight,2,resp_0683cfa0ba3f4069006a6789589be88190a63d3f6638e8e4fa,huit_openai_responses_direct_sdk,gpt-5.4-nano,success,false,2528,728,320,803,350,1153,3.397690,StrictValidationError,quote_not_exact_span_substring,false,false
