scope,state_or_region,accepted_terminal_outcomes,parseable_outcomes,failed_outcomes,raw_candidate_rows
state,AL,15,15,0,0
state,AR,54,54,0,0
state,CT,1,1,0,0
state,DE,1,1,0,1
state,FL,1,1,0,2
state,GA,97,96,1,20
state,IA,472,472,0,96
state,IL,2172,2167,5,797
state,IN,1107,1107,0,405
state,KS,1382,1382,0,282
state,LA,1,1,0,0
state,MA,1,1,0,4
state,ME,32,32,0,17
state,MI,1271,1271,0,783
state,MN,2123,2123,0,628
state,MO,740,739,1,146
state,NC,99,99,0,30
state,ND,1217,1214,3,98
state,NE,413,413,0,64
state,NJ,57,57,0,92
state,NY,1025,1024,1,792
state,OH,1475,1474,1,1040
state,OK,144,144,0,6
state,PA,2050,2050,0,1213
state,SD,756,756,0,103
state,TX,690,687,3,452
state,VT,2,2,0,4
state,WA,1,1,0,3
state,WI,1303,1303,0,835
region,Midwest,14431,14421,10,5277
region,Northeast,3168,3167,1,2122
region,South,1102,1098,4,511
region,West,1,1,0,3
