source_family_query_family,accepted_terminal_outcomes,parseable_outcomes,failed_outcomes,raw_candidate_rows
agenda_minutes_packet,1558,1557,1,1037
arbitration_factfinding_labor_relations,1558,1555,3,377
broad_pay_employee_compensation_index,1558,1558,0,773
budget_pay_plan,1559,1559,0,746
cba_agreement,1559,1559,0,354
civil_service_hr,1559,1558,1,662
compensation_classification_plan,1558,1557,1,590
local_pay_policy_payroll,1558,1557,1,717
mou_memorandum_settlement,1559,1559,0,406
personnel_policy,1559,1557,2,980
salary_pay_ordinance,1559,1555,4,700
wage_salary_schedule,1558,1556,2,571
