state,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
AK,49,46,3,49868054,false
AL,106,78,28,151104359,false
AR,78,74,4,56148209,false
AZ,91,79,12,178978922,false
CA,194,170,24,583160751,false
CO,80,63,17,238897989,false
CT,128,106,22,260823619,false
DE,52,50,2,21929481,false
FL,90,69,21,433116738,false
GA,135,104,31,561917074,false
IA,127,115,12,315154205,false
ID,75,65,10,35525005,false
IL,273,255,18,942125506,false
IN,163,149,14,165584586,false
KS,99,89,10,205337512,false
KY,113,105,8,132730074,false
LA,121,98,23,200848083,false
MA,108,98,10,166599792,false
MD,76,69,7,109973502,false
ME,142,138,4,297995030,false
MI,208,194,14,727314536,false
MN,156,126,30,715334694,false
MO,104,88,16,341723293,false
MS,29,27,2,27358587,false
MT,96,92,4,60113013,false
NC,130,118,12,664015533,false
ND,97,94,3,131480575,false
NE,102,86,16,148189152,false
NH,79,73,6,213435313,false
NJ,165,152,13,270691071,false
NM,59,55,4,65922076,false
NV,17,17,0,30586311,false
NY,181,154,27,261403313,false
OH,211,205,6,472124024,false
OK,105,86,19,206247304,false
OR,76,73,3,260672422,false
PA,219,209,10,350632656,false
RI,66,64,2,218149233,false
SC,98,84,14,240365343,false
SD,95,90,5,68720873,false
TN,97,92,5,128213408,false
TX,156,143,13,760475714,false
UT,130,61,69,167010584,false
VA,98,81,17,124243879,false
VT,112,109,3,132270345,false
WA,117,109,8,213124311,false
WI,159,149,10,257967287,false
WV,62,51,11,73491336,false
WY,65,59,6,36855094,false
