source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,verification_status,http_status_code,content_type_header,content_length_header,candidate_review_status,lane_id,lane_sequence,duplicate_canonical_locator_of,live_status,global_analysis_readiness
CBSRD-20260728-74d1b2c3b872fb346d35,CBCR-20260728-04504,B4XPAR-20260727-004910,BCV-20260728-07096,broad_4x1000_deduped,AK,West,Akutan,Aleutians East Borough (02013; primary),City of Akutan Municipal Code (includes reference to Employee Handbook/Pers. policies),https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Akutan%20Municipal%20Code.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Akutan%20Municipal%20Code.pdf,commerce.alaska.gov,wage_schedule,context_only,high,verified_reachable,200,application/pdf,1617863,source_review_ready_high,source_review_lane_001,1,,not_run,false
CBSRD-20260728-ffe736525031f76f4348,CBCR-20260728-06110,B4XPAR-20260727-006659,BCV-20260728-00026,broad_4x1000_deduped,AK,West,Aleknagik,Dillingham Census Area (02070; primary),Chapter 9 – City Clerk (clerk’s pay section),https://aleknagikak.gov/ordinance/chapter-9-city-clerk/,https://aleknagikak.gov/ordinance/chapter-9-city-clerk,aleknagikak.gov,other_local_government_pay_policy,ordinance_or_policy,high,verified_reachable,200,text/html,not_reported,source_review_ready_high,source_review_lane_001,2,,not_run,false
CBSRD-20260728-15aa5c8d716745d26632,CBCR-20260728-02896,B4XPAR-20260727-003142,BCV-20260728-07094,broad_4x1000_deduped,AK,West,Anaktuvuk Pass,North Slope Borough (02185; primary),City of Anaktuvuk Pass Code of Ordinances (Chapter 2.04.060 and 2.08.060 Council Compensation; plus employment/HR-related chapters),https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City%20of%20Anaktuvuk%20Pass%20Code%20of%20Ordinances.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City%20of%20Anaktuvuk%20Pass%20Code%20of%20Ordinances.pdf,commerce.alaska.gov,cba,ordinance_or_policy,high,verified_reachable,200,application/pdf,820662,source_review_ready_high,source_review_lane_001,3,,not_run,false
CBSRD-20260728-b8f26c9c257ba0c2703c,CBCR-20260728-06114,B4XPAR-20260727-006663,BCV-20260728-04949,broad_4x1000_deduped,AK,West,Atqasuk,North Slope Borough (02185; primary),City of Atqasuk Code of Ordinances (Chapter 3: Personnel System; includes compensation/merit pay increase definitions and related personnel pay provisions),https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Atqasuk%20Ordinance.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Atqasuk%20Ordinance.pdf,commerce.alaska.gov,budget_or_pay_plan,ordinance_or_policy,high,verified_reachable,200,application/pdf,3273406,source_review_ready_high,source_review_lane_001,4,,not_run,false
CBSRD-20260728-bb27a58b1984f6fb461f,CBCR-20260728-02897,B4XPAR-20260727-003143,BCV-20260728-05040,broad_4x1000_deduped,AK,West,Delta Junction,Southeast Fairbanks Census Area (02240; primary),City of Delta Junction Employee Policy Plan (with Employee Salary Schedule / Pay Schedule attachments),https://deltajunction.us/wp-content/uploads/20220222-EMPLOYEE-POLICY.pdf,https://deltajunction.us/wp-content/uploads/20220222-EMPLOYEE-POLICY.pdf,deltajunction.us,wage_schedule,wage_schedule_or_compensation_plan,high,verified_reachable,200,application/pdf,845421,source_review_ready_high,source_review_lane_001,5,,not_run,false
CBSRD-20260728-e001077890bf66646130,CBCR-20260728-02898,B4XPAR-20260727-003144,BCV-20260728-00752,broad_4x1000_deduped,AK,West,Delta Junction,Southeast Fairbanks Census Area (02240; primary),Delta Junction City Council Minutes (includes discussion/actions related to Employee Salary Schedule step placement),https://deltajunction.us/wp-content/uploads/20180703m.pdf,https://deltajunction.us/wp-content/uploads/20180703m.pdf,deltajunction.us,wage_schedule,meeting_minutes,high,verified_reachable,200,application/pdf,403146,source_review_ready_high,source_review_lane_001,6,,not_run,false
CBSRD-20260728-5d2489f5290fa5f9950d,CBCR-20260728-06440,BSSC-20260727-00003,BCV-20260728-03798,broad_490_preserved_review_queue,AK,West,Dillingham,,Collective Bargaining Agreement by and between City of Dillingham and Public Safety Employees Association,https://www.psea.net/images/documents/2023/Dillingham_contract_23.pdf,https://psea.net/images/documents/2023/Dillingham_contract_23.pdf,psea.net,arbitration_award,cba,high,verified_reachable,200,application/pdf,585165,source_review_ready_high,source_review_lane_001,7,,not_run,false
CBSRD-20260728-e35d851c8521dd2f465e,CBCR-20260728-01280,B4XPAR-20260727-001377,BCV-20260728-02806,broad_4x1000_deduped,AK,West,Elim,Nome Census Area (02180; primary),City of Elim Codebook (municipal code; includes provisions referencing compensation plans/salary schedules),https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City%20of%20Elim%20Codebook.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City%20of%20Elim%20Codebook.pdf,commerce.alaska.gov,budget_or_pay_plan,ordinance_or_policy,high,verified_reachable,200,application/pdf,1360197,source_review_ready_high,source_review_lane_001,8,,not_run,false
CBSRD-20260728-20d3f3646924027aac77,CBCR-20260728-06115,B4XPAR-20260727-006664,BCV-20260728-00663,broad_4x1000_deduped,AK,West,False Pass,Aleutians East Borough (02013; primary),"City of False Pass Municipal Code (2013 Code of Ordinances) — Title 9, Chapter 75 Personnel Policies (Classification, compensation, salary schedules; pay based on city-adopted schedules)",https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City%20of%20False%20Pass%20Municipal%20Code.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/City%20of%20False%20Pass%20Municipal%20Code.pdf,commerce.alaska.gov,budget_or_pay_plan,ordinance_or_policy,high,verified_reachable,200,application/pdf,1696515,source_review_ready_high,source_review_lane_001,9,,not_run,false
CBSRD-20260728-a97302bcebc62758229d,CBCR-20260728-06116,B4XPAR-20260727-006665,BCV-20260728-02170,broad_4x1000_deduped,AK,West,False Pass,Aleutians East Borough (02013; primary),"Aleutians East Borough “In the Loop” newsletter (Sept. 8, 2022) — City of False Pass job postings with stated starting wages",https://www.aleutianseast.org/wp-content/uploads/2022/09/In-the-Loop-Sept.-8-2022.pdf,https://aleutianseast.org/wp-content/uploads/2022/09/In-the-Loop-Sept.-8-2022.pdf,aleutianseast.org,wage_schedule,context_only,high,verified_reachable,200,application/pdf,294722,source_review_ready_high,source_review_lane_001,10,,not_run,false
